Date;TMoy (°C)
24/01/2023;2,6
23/01/2023;0,8
22/01/2023;-0,05
21/01/2023;1,4
20/01/2023;2,58
19/01/2023;2,02
18/01/2023;2,5
17/01/2023;3,55
16/01/2023;7,1
15/01/2023;7,88
14/01/2023;11,4
13/01/2023;10,75
12/01/2023;11,42
11/01/2023;11,02
10/01/2023;9,3
09/01/2023;8,48
08/01/2023;8,9
07/01/2023;9,72
06/01/2023;12,35
05/01/2023;12,7
04/01/2023;12,28
03/01/2023;8,98
02/01/2023;11,2
01/01/2023;13,3
31/12/2022;15,35
30/12/2022;10,95
29/12/2022;10,05
28/12/2022;10,4
27/12/2022;6,6
26/12/2022;9,88
25/12/2022;12,58
24/12/2022;11,85
23/12/2022;13,75
22/12/2022;13,42
21/12/2022;10,68
20/12/2022;12
19/12/2022;10,72
18/12/2022;3,42
17/12/2022;-1,35
16/12/2022;1,95
15/12/2022;2,35
14/12/2022;1,55
13/12/2022;-0,05
12/12/2022;-0,5
11/12/2022;1,08
10/12/2022;-1,65
09/12/2022;2,48
08/12/2022;1,08
07/12/2022;4,3
06/12/2022;4,68
05/12/2022;3,68
04/12/2022;3,32
03/12/2022;3,7
02/12/2022;3,48
01/12/2022;5,38
30/11/2022;4,68
29/11/2022;5,72
28/11/2022;9,52
27/11/2022;10,35
26/11/2022;7,75
25/11/2022;9,4
24/11/2022;10,98
23/11/2022;11,08
22/11/2022;9,4
21/11/2022;9,82
20/11/2022;8,28
19/11/2022;6,9
18/11/2022;10,2
17/11/2022;12,48
16/11/2022;11,28
15/11/2022;12,5
14/11/2022;11,78
13/11/2022;13,42
12/11/2022;13,92
11/11/2022;10,7
10/11/2022;11,2
09/11/2022;13,68
08/11/2022;14,3
07/11/2022;14,77
06/11/2022;13,4
05/11/2022;9,88
04/11/2022;11,62
03/11/2022;13,2
02/11/2022;12,38
01/11/2022;14,08
31/10/2022;14,68
30/10/2022;15,18
29/10/2022;20,3
28/10/2022;18,38
27/10/2022;19,75
26/10/2022;18,35
25/10/2022;15,35
24/10/2022;17,25
23/10/2022;19,45
22/10/2022;17,77
21/10/2022;18,05
20/10/2022;18,2
19/10/2022;20,52
18/10/2022;18,42
17/10/2022;17,25
16/10/2022;18,4
15/10/2022;17,27
14/10/2022;16,65
13/10/2022;14,72
12/10/2022;14,25
11/10/2022;16,3
10/10/2022;16,48
09/10/2022;14,68
08/10/2022;12,75
07/10/2022;12,72
06/10/2022;13,08
05/10/2022;16,15
04/10/2022;14,58
03/10/2022;16,12
02/10/2022;19,18
01/10/2022;17,27
30/09/2022;11,3
29/09/2022;12,58
28/09/2022;14,58
27/09/2022;14,1
26/09/2022;13,18
25/09/2022;16,27
24/09/2022;15,85
23/09/2022;15,42
22/09/2022;15,35
21/09/2022;15,65
20/09/2022;14,2
19/09/2022;14,4
18/09/2022;13,05
17/09/2022;12,55
16/09/2022;15,2
15/09/2022;21,18
14/09/2022;22,5
13/09/2022;24,98
12/09/2022;24,62
11/09/2022;20,52
10/09/2022;17,85
09/09/2022;18,62
08/09/2022;19,08
07/09/2022;18,77
06/09/2022;20,48
05/09/2022;22,7
04/09/2022;21,22
03/09/2022;20,45
02/09/2022;20,52
01/09/2022;22,72
30/08/2022;25,5
29/08/2022;24,22
28/08/2022;21,58
27/08/2022;21,32
26/08/2022;20,83
25/08/2022;22,8
24/08/2022;24,98
23/08/2022;23,5
22/08/2022;21,78
21/08/2022;17,9
20/08/2022;20,2
19/08/2022;21,7
18/08/2022;20,58
17/08/2022;19,95
16/08/2022;21,58
15/08/2022;21,62
14/08/2022;21,1
13/08/2022;27,95
12/08/2022;26,95
11/08/2022;26,32
10/08/2022;27,17
09/08/2022;25,45
08/08/2022;24,02
07/08/2022;22,17
06/08/2022;20,52
05/08/2022;21,42
04/08/2022;24,42
03/08/2022;27,57
02/08/2022;24,95
01/08/2022;22,78
30/07/2022;23,48
29/07/2022;24,2
28/07/2022;23,5
27/07/2022;19,38
26/07/2022;20,5
25/07/2022;21,92
24/07/2022;23,5
23/07/2022;21,2
22/07/2022;20,92
21/07/2022;22,82
20/07/2022;21,95
19/07/2022;27,15
18/07/2022;30,95
17/07/2022;26,83
16/07/2022;24,48
15/07/2022;22,9
14/07/2022;25,42
13/07/2022;27,72
12/07/2022;26,5
11/07/2022;25,32
10/07/2022;23,35
09/07/2022;23,7
08/07/2022;21,75
07/07/2022;19,8
06/07/2022;20,27
05/07/2022;18,45
04/07/2022;18,88
03/07/2022;18,48
02/07/2022;17,95
01/07/2022;15,18
30/06/2022;16,15
29/06/2022;15,92
28/06/2022;16,35
27/06/2022;16,98
26/06/2022;15,78
25/06/2022;16,92
24/06/2022;18,48
23/06/2022;20,72
22/06/2022;20,88
21/06/2022;21,9
20/06/2022;21,48
19/06/2022;22,15
18/06/2022;30,1
17/06/2022;27,62
16/06/2022;24,68
15/06/2022;24,48
14/06/2022;21,2
13/06/2022;17,75
12/06/2022;19,32
11/06/2022;18,42
10/06/2022;17,75
09/06/2022;17,58
08/06/2022;18,4
07/06/2022;17,83
06/06/2022;15,8
05/06/2022;18,7
04/06/2022;20,33
03/06/2022;20,8
02/06/2022;20,88
01/06/2022;16,23
31/05/2022;14,77
30/05/2022;14,35
29/05/2022;14,38
28/05/2022;15,95
27/05/2022;15,75
26/05/2022;16,35
25/05/2022;13,32
24/05/2022;14,32
23/05/2022;17,23
22/05/2022;21,92
21/05/2022;18,33
20/05/2022;19,5
19/05/2022;20,72
18/05/2022;21,05
17/05/2022;21,75
16/05/2022;20,3
15/05/2022;23,38
14/05/2022;19,4
13/05/2022;15,65
12/05/2022;15,92
11/05/2022;16,35
10/05/2022;19,7
09/05/2022;18,88
08/05/2022;17,12
07/05/2022;15,88
06/05/2022;14,7
05/05/2022;13,58
04/05/2022;14,3
03/05/2022;14,2
02/05/2022;14,75
01/05/2022;13,88
30/04/2022;12,65
29/04/2022;16,05
28/04/2022;15,45
27/04/2022;13,2
26/04/2022;12,02
25/04/2022;14,05
24/04/2022;15,18
23/04/2022;15,5
22/04/2022;14,48
21/04/2022;14,98
20/04/2022;13,98
19/04/2022;11,15
18/04/2022;12,75
17/04/2022;14,68
16/04/2022;15,3
15/04/2022;16,12
14/04/2022;14,9
13/04/2022;13,95
12/04/2022;14,28
11/04/2022;14,25
10/04/2022;7,98
09/04/2022;8,18
08/04/2022;11,02
07/04/2022;13,12
06/04/2022;10,42
05/04/2022;10,62
04/04/2022;4,15
03/04/2022;4,47
02/04/2022;5,3
01/04/2022;4,08
31/03/2022;6,38
30/03/2022;10,98
29/03/2022;13,1
28/03/2022;14,32
27/03/2022;14,22
26/03/2022;13,85
25/03/2022;13,65
24/03/2022;10,98
23/03/2022;10,25
22/03/2022;11,32
21/03/2022;12,77
20/03/2022;10,73
19/03/2022;11,05
18/03/2022;9,48
17/03/2022;8,73
16/03/2022;12,02
15/03/2022;12,68
14/03/2022;9,57
13/03/2022;9,6
12/03/2022;10,12
11/03/2022;10,52
10/03/2022;11,98
09/03/2022;11,22
08/03/2022;7,62
07/03/2022;4,47
06/03/2022;7,88
05/03/2022;6,6
04/03/2022;9,57
03/03/2022;10,32
02/03/2022;11,4
01/03/2022;11,42
28/02/2022;9,17
27/02/2022;7,55
26/02/2022;6,12
25/02/2022;5,82
24/02/2022;9,18
23/02/2022;10,07
22/02/2022;9,32
21/02/2022;9,73
20/02/2022;11,1
19/02/2022;6,82
18/02/2022;10,28
17/02/2022;13
16/02/2022;11,6
15/02/2022;7,38
14/02/2022;9,25
13/02/2022;5,88
12/02/2022;4,85
11/02/2022;4
10/02/2022;8,22
09/02/2022;7,02
08/02/2022;6,62
07/02/2022;9,3
06/02/2022;9,05
05/02/2022;4,95
04/02/2022;9,07
03/02/2022;7
02/02/2022;8,95
01/02/2022;6,85
31/01/2022;8,4
30/01/2022;8,72
29/01/2022;8,02
28/01/2022;6,2
27/01/2022;3,7
26/01/2022;0,92
25/01/2022;0,18
24/01/2022;2,8
23/01/2022;3,62
22/01/2022;1,62
21/01/2022;3,78
20/01/2022;5,33
19/01/2022;6,15
18/01/2022;4,18
17/01/2022;4,58
16/01/2022;3,12
15/01/2022;-0,33
14/01/2022;0,78
13/01/2022;5,85
12/01/2022;3,12
11/01/2022;7,32
10/01/2022;8,07
09/01/2022;7,55
08/01/2022;9,08
07/01/2022;7,5
06/01/2022;3,18
05/01/2022;4,65
04/01/2022;9,28
03/01/2022;12,2
02/01/2022;11,92
01/01/2022;10,3
31/12/2021;9,65
30/12/2021;14,45
29/12/2021;12,42
28/12/2021;12,08
