Date;TMoy (°C)
2023-01-24;2,6
2023-01-23;0,8
2023-01-22;-0,05
2023-01-21;1,4
2023-01-20;2,58
2023-01-19;2,02
2023-01-18;2,5
2023-01-17;3,55
2023-01-16;7,1
2023-01-15;7,88
2023-01-14;11,4
2023-01-13;10,75
2023-01-12;11,42
2023-01-11;11,02
2023-01-10;9,3
2023-01-09;8,48
2023-01-08;8,9
2023-01-07;9,72
2023-01-06;12,35
2023-01-05;12,7
2023-01-04;12,28
2023-01-03;8,98
2023-01-02;11,2
2023-01-01;13,3
2022-12-31;15,35
2022-12-30;10,95
2022-12-29;10,05
2022-12-28;10,4
2022-12-27;6,6
2022-12-26;9,88
2022-12-25;12,58
2022-12-24;11,85
2022-12-23;13,75
2022-12-22;13,42
2022-12-21;10,68
2022-12-20;12
2022-12-19;10,72
2022-12-18;3,42
2022-12-17;-1,35
2022-12-16;1,95
2022-12-15;2,35
2022-12-14;1,55
2022-12-13;-0,05
2022-12-12;-0,5
2022-12-11;1,08
2022-12-10;-1,65
2022-12-09;2,48
2022-12-08;1,08
2022-12-07;4,3
2022-12-06;4,68
2022-12-05;3,68
2022-12-04;3,32
2022-12-03;3,7
2022-12-02;3,48
2022-12-01;5,38
2022-11-30;4,68
2022-11-29;5,72
2022-11-28;9,52
2022-11-27;10,35
2022-11-26;7,75
2022-11-25;9,4
2022-11-24;10,98
2022-11-23;11,08
2022-11-22;9,4
2022-11-21;9,82
2022-11-20;8,28
2022-11-19;6,9
2022-11-18;10,2
2022-11-17;12,48
2022-11-16;11,28
2022-11-15;12,5
2022-11-14;11,78
2022-11-13;13,42
2022-11-12;13,92
2022-11-11;10,7
2022-11-10;11,2
2022-11-09;13,68
2022-11-08;14,3
2022-11-07;14,77
2022-11-06;13,4
2022-11-05;9,88
2022-11-04;11,62
2022-11-03;13,2
2022-11-02;12,38
2022-11-01;14,08
2022-10-31;14,68
2022-10-30;15,18
2022-10-29;20,3
2022-10-28;18,38
2022-10-27;19,75
2022-10-26;18,35
2022-10-25;15,35
2022-10-24;17,25
2022-10-23;19,45
2022-10-22;17,77
2022-10-21;18,05
2022-10-20;18,2
2022-10-19;20,52
2022-10-18;18,42
