                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4608,                 4.1082,                 1.4091,                0.02468,                0.50855,                0.05462,                 0.0312,                 1.3664,                 3.6885,                 1.2779,             0.00010908,             0.00010908,             0.00010908
                      2,                 1.5223,                 3.0801,                 1.3377,                0.01848,                0.69981,                0.12504,                0.07059,                 1.4492,                 3.3754,                  1.294,               0.000225,               0.000225,               0.000225
                      3,                 1.4661,                 2.5572,                 1.2992,                0.48822,                0.13345,                 0.2246,                0.12933,                 1.4616,                  3.251,                 1.3186,             0.00033858,             0.00033858,             0.00033858
                      4,                 1.4356,                  2.184,                 1.2945,                 0.6192,                 0.1081,                0.25084,                0.14545,                 1.5575,                 3.2061,                 1.3471,             0.00044982,             0.00044982,             0.00044982
                      5,                 1.4321,                 2.0692,                 1.3034,                0.45448,                0.25922,                0.28522,                0.17257,                 1.5461,                 2.9794,                 1.3663,             0.00055872,             0.00055872,             0.00055872
                      6,                 1.4466,                 1.9318,                 1.2903,                0.50079,                0.27798,                0.32108,                0.19296,                 1.5375,                 2.6526,                 1.3493,             0.00066528,             0.00066528,             0.00066528
                      7,                 1.3867,                 1.7749,                 1.2563,                0.43236,                0.33992,                0.36357,                0.21061,                 1.5485,                  2.662,                 1.4357,              0.0007695,              0.0007695,              0.0007695
                      8,                   1.39,                 1.7471,                 1.2669,                0.48979,                0.29269,                0.31481,                0.17426,                 1.6165,                  2.494,                 1.4495,             0.00084601,             0.00084601,             0.00084601
                      9,                  1.443,                 1.7211,                 1.2835,                0.37875,                0.37213,                0.31683,                0.16822,                 1.5985,                 2.1697,                 1.4392,             0.00083701,             0.00083701,             0.00083701
                     10,                  1.381,                 1.6642,                 1.2744,                0.52703,                0.42417,                0.47598,                 0.2739,                 1.5761,                  1.995,                 1.4179,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.3503,                 1.5608,                  1.234,                0.56217,                0.44445,                0.46991,                0.26917,                 1.6439,                 2.0305,                 1.4862,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.3658,                 1.5236,                 1.2364,                0.49132,                0.45559,                0.45775,                0.25379,                 1.6062,                 2.0069,                 1.4676,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.3414,                 1.4455,                 1.2137,                0.58788,                0.49712,                0.48949,                0.27197,                 1.5721,                 1.8087,                 1.4303,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.3327,                 1.4069,                 1.2106,                0.53993,                0.52104,                  0.508,                0.28783,                 1.5804,                 1.6929,                 1.4279,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.3117,                 1.4345,                 1.2164,                0.58627,                0.51659,                0.51919,                 0.2903,                  1.616,                 1.6744,                 1.4474,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.3248,                 1.3927,                 1.2083,                0.62463,                0.54978,                0.55994,                0.31116,                 1.5568,                 1.6415,                 1.3833,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.2727,                 1.3285,                 1.1876,                0.65518,                0.52911,                0.58419,                0.34357,                 1.5383,                 1.6129,                  1.396,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.2982,                 1.2731,                 1.2043,                0.61244,                0.59127,                0.61527,                0.36674,                 1.4829,                 1.4128,                 1.3874,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.2465,                 1.2347,                 1.1876,                0.66678,                 0.5622,                0.61046,                0.36243,                 1.4751,                 1.4096,                  1.375,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.2334,                 1.1819,                 1.1564,                0.73924,                0.58515,                0.65705,                0.38473,                   1.49,                 1.3771,                  1.361,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.2554,                  1.154,                 1.1684,                0.76392,                0.57932,                0.66449,                0.39349,                 1.5009,                 1.4061,                 1.3617,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.2204,                 1.1363,                 1.1548,                0.68677,                0.59909,                0.65678,                0.38502,                 1.4857,                 1.4085,                 1.3482,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.2211,                  1.086,                 1.1619,                0.69188,                0.64277,                0.63333,                0.36628,                 1.4988,                  1.332,                 1.3521,             0.00071102,             0.00071102,             0.00071102
