epoch,step,test_dataset_iou,test_per_image_iou,train_dataset_iou,train_per_image_iou,valid_dataset_iou,valid_per_image_iou
0,11,,,,,0.6622569561004639,0.6632593274116516
0,11,,,0.3951524496078491,0.43234801292419434,,
1,23,,,,,0.692621648311615,0.6934885382652283
1,23,,,0.6182885766029358,0.6258155107498169,,
2,35,,,,,0.6907132267951965,0.6920991539955139
2,35,,,0.6474799513816833,0.6531106233596802,,
3,47,,,,,0.7129531502723694,0.7139660120010376
3,47,,,0.6505297422409058,0.657808780670166,,
4,59,,,,,0.7185618877410889,0.7196720838546753
4,59,,,0.6551938652992249,0.6614769697189331,,
5,71,,,,,0.7193391919136047,0.7208178639411926
5,71,,,0.6620697379112244,0.6673531532287598,,
6,83,,,,,0.7356029152870178,0.7366095185279846
6,83,,,0.6661782264709473,0.6721329092979431,,
7,95,,,,,0.7229458093643188,0.724378764629364
7,95,,,0.6676331758499146,0.6735949516296387,,
8,107,,,,,0.7157509326934814,0.7171145081520081
8,107,,,0.6860635876655579,0.6921619772911072,,
9,119,,,,,0.7489503026008606,0.7502076029777527
9,119,,,0.6987999677658081,0.705240786075592,,
10,131,,,,,0.7502486705780029,0.7512138485908508
10,131,,,0.701646089553833,0.7085944414138794,,
11,143,,,,,0.7645151615142822,0.7657642364501953
11,143,,,0.7190669178962708,0.725409984588623,,
12,155,,,,,0.7702916860580444,0.7714737057685852
12,155,,,0.72458416223526,0.730327308177948,,
13,167,,,,,0.7583301663398743,0.7597354650497437
13,167,,,0.7271445393562317,0.7333877682685852,,
14,179,,,,,0.7994077801704407,0.800215482711792
14,179,,,0.7345715165138245,0.7401610612869263,,
15,191,,,,,0.7884404063224792,0.7890997529029846
15,191,,,0.7308412194252014,0.7364802360534668,,
16,203,,,,,0.7628862261772156,0.7637252807617188
16,203,,,0.7332369685173035,0.739181637763977,,
17,215,,,,,0.7806251049041748,0.781322717666626
17,215,,,0.7265753746032715,0.7335556149482727,,
18,227,,,,,0.7811992764472961,0.7820708155632019
18,227,,,0.740593671798706,0.7470118403434753,,
19,239,,,,,0.7796230912208557,0.7805849313735962
19,239,,,0.7546992301940918,0.7597028613090515,,
20,251,,,,,0.792171061038971,0.7930911779403687
20,251,,,0.7642486095428467,0.7690837979316711,,
21,263,,,,,0.8020855188369751,0.802930474281311
21,263,,,0.755089282989502,0.7602649927139282,,
22,275,,,,,0.8038889765739441,0.8047705292701721
22,275,,,0.7662826180458069,0.7708720564842224,,
23,287,,,,,0.80623459815979,0.8068267703056335
23,287,,,0.760765016078949,0.7660651206970215,,
24,299,,,,,0.8114542961120605,0.8121476173400879
24,299,,,0.75480717420578,0.7609760165214539,,
25,311,,,,,0.8190624713897705,0.8196731209754944
25,311,,,0.7595552802085876,0.7644127607345581,,
26,323,,,,,0.815603494644165,0.8162972331047058
26,323,,,0.7669848203659058,0.7719250917434692,,
27,335,,,,,0.8312137126922607,0.8318806886672974
27,335,,,0.7685944437980652,0.7736973762512207,,
28,347,,,,,0.8323661684989929,0.8330522179603577
28,347,,,0.7718959450721741,0.7766990661621094,,
29,359,,,,,0.8307464122772217,0.8314412832260132
29,359,,,0.7802032828330994,0.7848767042160034,,
30,371,,,,,0.8296687602996826,0.8304183483123779
30,371,,,0.7806206345558167,0.7848671078681946,,
31,383,,,,,0.8231654167175293,0.8239638209342957
31,383,,,0.7805919647216797,0.7846331000328064,,
32,395,,,,,0.8226520419120789,0.8232703804969788
32,395,,,0.779208779335022,0.7835935950279236,,
33,407,,,,,0.8215103149414062,0.8222469091415405
33,407,,,0.7696166634559631,0.7739818096160889,,
34,419,,,,,0.8236150741577148,0.8245024681091309
34,419,,,0.7769884467124939,0.7823992967605591,,
35,431,,,,,0.8394379019737244,0.8401051759719849
35,431,,,0.7803124189376831,0.7859583497047424,,
36,443,,,,,0.8397983908653259,0.8404397368431091
36,443,,,0.7823038697242737,0.787480890750885,,
37,455,,,,,0.8403063416481018,0.840967059135437
37,455,,,0.7890257239341736,0.7929377555847168,,
38,467,,,,,0.8404057025909424,0.8410711288452148
38,467,,,0.7820619940757751,0.7873765230178833,,
39,479,,,,,0.8352890014648438,0.8360310792922974
39,479,,,0.7897557020187378,0.7940553426742554,,
40,491,,,,,0.8381685018539429,0.838814377784729
40,491,,,0.784886360168457,0.7893469929695129,,
41,503,,,,,0.805147647857666,0.8060862421989441
41,503,,,0.7834160923957825,0.7879951596260071,,
42,515,,,,,0.8207478523254395,0.8215686082839966
42,515,,,0.7872235178947449,0.7913917303085327,,
43,527,,,,,0.8368865847587585,0.8375115990638733
43,527,,,0.7880194187164307,0.7921716570854187,,
44,539,,,,,0.8483170866966248,0.848974347114563
44,539,,,0.7955427765846252,0.7990903854370117,,
45,551,,,,,0.8504180908203125,0.851078450679779
45,551,,,0.7977864742279053,0.8016500473022461,,
46,563,,,,,0.8514902591705322,0.8521095514297485
46,563,,,0.7996712327003479,0.8034023642539978,,
47,575,,,,,0.8512237071990967,0.8518720865249634
47,575,,,0.8009459972381592,0.8053296208381653,,
48,587,,,,,0.8475393652915955,0.8481925129890442
48,587,,,0.8027241230010986,0.8063117265701294,,
49,599,,,,,0.8378542065620422,0.8383986949920654
49,599,,,0.8004403114318848,0.8038707375526428,,
50,600,,,,,0.8378542065620422,0.8383986949920654
50,600,0.7591032385826111,0.761941134929657,,,,
