1;Bourg-En-Bresse;393;269
2;Laon;326;458
3;Moulins;318;288
4;Digne-les-Bains;438;150
5;Gap;431;179
6;Nice;481;130
7;Privas;369;185
8;Charleville-Mézières;366;472
9;Foix;248;84
10;Troyes;345;387
11;Carcassonne;278;97
12;Rodez;286;161
13;Marseille;406;105
14;Caen;178;438
15;Aurillac;282;195
16;Saintes;191;237
17;La-Rochelle;140;266
18;Bourges;281;318
19;Tulle;256;214
20;Ajaccio;544;32
21;Dijon;382;333
22;Saint-Brieuc;84;404
23;Guéret;260;265
24;Périgueux;213;209
25;Besançon;422;330
26;Valence;384;197
27;Evreux;234;427
28;Chartres;246;395
29;Quimper;32;379
30;Nîmes;362;133
31;Toulouse;241;121
32;Auch;206;123
33;Bordeaux;160;192
34;Montpellier;342;120
35;Rennes;126;380
36;Châteauroux;253;304
37;Tours;215;335
38;Grenoble;414;213
39;Lons-le-Saunier;405;295
40;Mont-de-Marsan;162;137
41;Blois;239;347
42;Saint-Etienne;360;222
43;Le-Puy-en-Velay;341;200
44;Nantes;127;329
45;Orléans;263;364
46;Cahors;241;169
47;Agen;208;155
48;Mende;326;173
49;Angers;167;342
50;Saint-Lô;151;435
51;Châlons-en-Champagne;354;425
52;Chaumont;384;377
53;Laval;159;377
54;Nancy;423;412
55;Bar-le-Duc;384;415
56;Vannes;82;357
57;Metz;422;435
58;Nevers;311;313
59;Lille;304;520
60;Beauvais;270;452
61;Alençon;193;395
62;Arras;294;500
63;Clermont-Ferrand;309;243
64;Pau;167;103
65;Tarbes;183;100
66;Perpignan;300;68
67;Strasbourg;483;410
68;Colmar;469;379
69;Lyon;377;244
70;Vesoul;424;350
71;Mâcon;377;275
72;Le-Mans;195;371
73;Chambéry;421;234
74;Annecy;429;254
75;Paris;281;419
76;Rouen;232;451
77;Melun;290;399
78;Versailles;270;414
79;Niort;168;277
80;Amiens;277;478
81;Albi;269;137
82;Montauban;238;143
83;Toulon;429;93
84;Avignon;377;141
85;La-Roche-sur-Yon;131;296
86;Poitiers;199;290
87;Limoges;234;246
88;Epinal;433;385
89;Auxerre;325;356
90; Belfort;451;354
91;Evry;281;405
92;Nanterre;280;420
93;Bobigny;281;420
94;Créteil;283;417
95;Cergy;270;428
