Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -1.31449e-06 -2.87105e-06 29.0499 3.02894 0.845603 32.4567 6.14177 3.18363 35.8025 7.16949 4.56912 37.6811 7.61625 5.34843 39.6877 8.40371 6.78961 28.6741 2.59001 1.57076 31.2448 6.22299 4.83444 35.2861 4.34924 5.29561 35.1191 1.91491 4.69379 34.1204 -0.763733 3.54622 28.2983 2.15107 2.29591 30.4116 5.26891 6.67569 34.0459 2.09291 6.49034 32.8787 0.136619 4.81807 31.6141 -1.55183 3.00782 27.7348 1.52708 2.99894 29.6296 3.9668 7.90998 33.4453 1.87252 8.9303 33.9009 0.028623 7.28193 32.9998 -1.29814 5.06385 27.1181 -0.548236 2.4438 27.2881 0.0823723 3.86849 29.1171 -1.62811 6.09218 31.458 -1.65262 7.62128 34.6318 -1.71945 8.5472 
27 1.61774e-06 -2.06893e-06 29.0082 3.05326 0.858124 32.3651 6.20874 3.2145 35.6854 7.27719 4.62476 37.5623 7.72999 5.41591 39.5327 8.57757 6.87004 28.6342 2.60919 1.58105 31.1426 6.27418 4.85884 35.2015 4.4429 5.33418 35.0409 2.00676 4.73793 34.1305 -0.685504 3.55393 28.2601 2.16512 2.30398 30.3115 5.3076 6.69586 33.9896 2.183 6.52154 32.7557 0.281417 4.83411 31.2278 -1.11772 2.98074 27.7008 1.53371 3.0037 29.5375 3.9953 7.92428 33.3648 1.90736 8.93976 33.8504 0.0728832 7.28943 32.9968 -1.21482 5.01925 27.1125 -0.548596 2.44399 27.269 0.0828797 3.86983 29.1185 -1.61234 6.08823 31.4564 -1.59056 7.62218 34.6439 -1.60029 8.50704 
27 7.78158e-06 1.70653e-06 28.9741 3.06647 0.889653 32.2827 6.23853 3.2772 35.5853 7.32267 4.7097 37.4522 7.81175 5.48755 39.3852 8.67687 6.97338 28.5997 2.61443 1.60744 31.0477 6.28167 4.92163 35.1198 4.47621 5.39632 34.9668 2.04394 4.79546 34.1256 -0.653538 3.57456 28.2253 2.16238 2.32523 30.2196 5.29386 6.74892 33.9512 2.23211 6.59923 32.6532 0.402397 4.88072 30.8704 -0.670484 3.03747 27.6675 1.52143 3.0175 29.4491 3.9656 7.9685 33.3042 1.91815 8.99624 33.776 0.101496 7.32235 32.986 -1.18852 5.0203 27.1023 -0.56276 2.44122 27.2452 0.0699999 3.86792 29.096 -1.62736 6.0836 31.4252 -1.57588 7.62989 34.5897 -1.52004 8.57179 
27 2.47204e-06 -2.63709e-06 28.9459 3.08031 0.903866 32.2263 6.27039 3.30512 35.5186 7.38073 4.74493 37.3733 7.89316 5.55004 39.2887 8.78337 7.04074 28.5746 2.62226 1.61945 30.9873 6.2981 4.95001 35.064 4.52298 5.42588 34.9333 2.08416 4.83976 34.1212 -0.586871 3.54311 28.2032 2.1642 2.33503 30.165 5.29737 6.77293 33.9325 2.28043 6.65491 32.5725 0.537144 4.89498 30.8408 -0.66692 3.08437 27.6503 1.51572 3.02412 29.4 3.95959 7.98868 33.2691 1.94701 8.98581 33.7515 0.138021 7.30666 32.9446 -1.15807 5.02817 27.1042 -0.571141 2.43919 27.2399 0.0568041 3.86872 29.1044 -1.63413 6.07784 31.43 -1.56626 7.6289 34.5924 -1.48344 8.58044 
27 2.52184e-06 1.26105e-06 28.9142 3.1003 0.903273 32.1607 6.31775 3.32143 35.438 7.46233 4.7676 37.2868 7.98733 5.57082 39.1725 8.88995 7.10205 28.546 2.63962 1.61879 30.9195 6.34379 4.95073 35.0068 4.59044 5.44568 34.8979 2.15833 4.84128 34.1071 -0.525183 3.55732 28.1778 2.17895 2.3343 30.0961 5.34212 6.77327 33.8543 2.35707 6.62035 32.4507 0.649089 4.86007 31.1478 -1.00924 3.04912 27.6298 1.52606 3.02324 29.3466 4.00222 7.98132 33.2268 2.00686 9.0018 33.7153 0.208349 7.31317 32.9451 -1.08142 5.01098 27.1051 -0.566801 2.44016 27.2308 0.0669912 3.86802 29.1265 -1.62399 6.0504 31.4365 -1.53255 7.62349 34.5686 -1.43088 8.66225 
27 -8.13561e-06 -3.13586e-06 28.8527 3.13324 0.917616 32.0472 6.37543 3.37486 35.3085 7.57161 4.81007 37.1261 8.10201 5.66211 39.0542 9.0363 7.1197 28.4906 2.66404 1.63068 30.7932 6.39765 4.98511 34.8922 4.69256 5.47097 34.8 2.24716 4.8762 34.1369 -0.436192 3.52149 28.1284 2.19484 2.34375 29.9676 5.39176 6.80246 33.7636 2.44199 6.6674 32.3686 0.723442 4.91053 31.1893 -0.535534 2.73083 27.5903 1.53018 3.02913 29.2321 4.0519 7.99805 33.1311 2.10051 9.0427 33.6235 0.305453 7.35156 32.8541 -0.980785 5.04691 27.1068 -0.570687 2.43918 27.2074 0.0610287 3.86995 29.0956 -1.59007 6.08902 31.4036 -1.46387 7.66249 34.5389 -1.34301 8.66785 
27 -1.6461e-06 -1.26003e-06 28.8221 3.14736 0.930586 31.9646 6.42184 3.39658 35.2222 7.63239 4.84851 37.0191 8.18552 5.71896 38.9576 9.11821 7.16388 28.4598 2.67457 1.64123 30.7036 6.42652 5.00768 34.8153 4.73583 5.51879 34.757 2.29833 4.90951 34.1059 -0.393471 3.56574 28.0976 2.20179 2.35187 29.8828 5.40701 6.82078 33.7068 2.46718 6.72156 32.3269 0.760276 4.94158 30.9556 -0.314634 2.77567 27.5611 1.53215 3.03369 29.1561 4.05359 8.01513 33.0771 2.14649 9.0879 33.5804 0.369901 7.38053 32.8242 -0.902022 5.06503 27.098 -0.572027 2.43924 27.1885 0.0607774 3.8702 29.0778 -1.57485 6.09979 31.392 -1.4473 7.67178 34.5469 -1.32504 8.62741 
27 3.2479e-06 -1.83305e-06 28.8033 3.1552 0.94049 31.9212 6.44618 3.42368 35.1515 7.69375 4.8955 36.9419 8.26449 5.77036 38.8651 9.2051 7.23054 28.44 2.68039 1.64923 30.6556 6.44038 5.02772 34.7866 4.81079 5.57757 34.7437 2.37081 4.94346 34.0765 -0.338853 3.64428 28.0767 2.20557 2.35798 29.8279 5.41583 6.83673 33.6736 2.51582 6.73096 32.304 0.785417 4.96579 30.7775 -0.274484 2.89857 27.5402 1.53311 3.03699 29.1042 4.05665 8.02536 33.0199 2.18273 9.11131 33.5652 0.416476 7.40604 32.8957 -0.828026 5.03631 27.0895 -0.57286 2.43937 27.173 0.0617704 3.86995 29.0816 -1.56854 6.087 31.3823 -1.42378 7.66964 34.5162 -1.26746 8.68821 
27 2.85464e-06 -2.30917e-06 28.7856 3.16598 0.938006 31.878 6.4783 3.43229 35.0923 7.75701 4.92109 36.8911 8.35484 5.79016 38.7804 9.30799 7.28794 28.4229 2.69094 1.64689 30.6138 6.46949 5.0228 34.7521 4.88342 5.59558 34.7467 2.44461 4.96329 34.0327 -0.266299 3.69189 28.0602 2.2159 2.35578 29.7856 5.44239 6.83095 33.6551 2.56858 6.75434 32.3018 0.830369 4.98428 30.6831 -0.250891 2.99996 27.5253 1.54231 3.03495 29.0693 4.08444 8.01353 32.9996 2.23826 9.11002 33.5595 0.473912 7.4206 32.8822 -0.756718 5.05217 27.0863 -0.567117 2.44083 27.1646 0.0698528 3.87066 29.0737 -1.55092 6.09412 31.3802 -1.38497 7.6663 34.5206 -1.18297 8.65371 
27 -3.07799e-06 -6.16626e-06 28.7695 3.17112 0.951092 31.8391 6.49704 3.45387 35.0403 7.79861 4.94537 36.8343 8.39919 5.8183 38.7029 9.38773 7.33142 28.4065 2.69292 1.65771 30.5691 6.47409 5.0478 34.7263 4.91464 5.62137 34.751 2.48227 4.98972 33.9761 -0.22493 3.74632 28.0435 2.21473 2.36431 29.7423 5.43604 6.85117 33.6264 2.59932 6.75885 32.3013 0.83068 4.99762 30.5668 -0.209902 3.09086 27.5092 1.53734 3.0402 29.0291 4.06625 8.03305 32.9812 2.27638 9.12961 33.5552 0.51287 7.44003 32.8845 -0.70846 5.06598 27.0808 -0.572481 2.43976 27.1604 0.0618648 3.87068 29.1079 -1.55546 6.0632 31.3731 -1.38957 7.68732 34.4719 -1.19827 8.83517 
