Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 5.47894e-06 -5.4044e-06 30.6119 0.368086 -0.954134 35.7743 0.0305449 -0.668454 39.231 -1.15285 0.205961 41.0711 -1.8468 0.8816 43.3643 -2.24604 1.9862 30.4131 0.568774 -0.0709757 35.8616 1.00801 0.762549 39.927 -0.38086 1.98186 42.0134 -1.31848 3.0233 44.8651 -2.08122 3.89825 30.2144 0.769457 0.812179 35.5414 1.39046 2.90685 39.9533 0.261045 4.46564 42.37 -0.94239 5.30608 44.7801 -2.17555 5.95828 29.7694 1.00296 1.78613 34.8094 1.70495 4.54082 38.7824 0.443415 6.15435 41.0925 -0.304194 6.79558 43.6609 -1.01244 7.49762 27.7922 0.142888 2.37461 29.0047 0.645036 3.23131 30.5027 -0.802556 5.85352 32.8773 -1.97577 6.75016 35.4904 -3.99564 6.91934 
27 -6.15733e-06 -1.44053e-06 30.612 0.320151 -0.970767 35.7737 -0.0282898 -0.683089 39.215 -1.22319 0.238168 41.0429 -1.92571 0.949878 43.3373 -2.28476 2.07904 30.4151 0.55338 -0.0952358 35.8663 1.00311 0.713385 39.9113 -0.397881 1.99375 41.9812 -1.32644 3.07501 44.8168 -2.0899 3.99801 30.2181 0.786616 0.780299 35.5494 1.46568 2.84288 39.9447 0.3333 4.45023 42.3398 -0.87209 5.34262 44.7348 -2.10846 6.03204 29.7751 1.05683 1.74564 34.8204 1.84391 4.46759 38.7778 0.595697 6.11571 41.0657 -0.17217 6.78553 43.6154 -0.889854 7.53833 27.7956 0.225822 2.36702 29.0194 0.747682 3.19531 30.5354 -0.690133 5.81264 32.9131 -1.86281 6.69006 35.5138 -3.89139 6.83033 
27 -5.29393e-07 -2.68623e-06 30.6172 0.267607 -0.967443 35.7709 -0.103777 -0.662288 39.1904 -1.30814 0.322431 40.998 -2.02677 1.06456 43.2819 -2.35005 2.24552 30.4183 0.532023 -0.101263 35.8656 0.980926 0.70723 39.8943 -0.423599 2.04861 41.9543 -1.32658 3.16071 44.7302 -2.15103 4.14164 30.2194 0.796437 0.764921 35.545 1.52097 2.81882 39.9267 0.397072 4.47142 42.3075 -0.808142 5.41516 44.6888 -2.03774 6.16992 29.7743 1.10219 1.71864 34.8114 1.96457 4.43478 38.76 0.733277 6.11938 41.0377 -0.0482453 6.82051 43.586 -0.762736 7.59414 27.7881 0.30348 2.36082 29.0226 0.836097 3.16621 30.5556 -0.598682 5.77525 32.9368 -1.76767 6.67292 35.526 -3.81833 6.84778 
27 1.3524e-06 1.73524e-06 30.6189 0.226441 -0.971469 35.7689 -0.152311 -0.652096 39.1755 -1.34948 0.382361 40.9682 -2.06025 1.1803 43.2537 -2.36274 2.35404 30.4196 0.520492 -0.114989 35.8658 0.983282 0.683046 39.8815 -0.410929 2.07827 41.9261 -1.29888 3.23261 44.6994 -2.10573 4.25841 30.2203 0.814543 0.741495 35.5446 1.59899 2.77406 39.9151 0.489586 4.46967 42.2807 -0.697615 5.46498 44.644 -1.92732 6.26222 29.7749 1.15344 1.68376 34.8101 2.10335 4.37658 38.7464 0.892649 6.09816 41.0165 0.119364 6.83107 43.5653 -0.5768 7.6299 27.7861 0.381463 2.35016 29.0289 0.930079 3.1316 30.5748 -0.496409 5.73758 32.9599 -1.65727 6.62915 35.5481 -3.70584 6.79581 
27 -5.89164e-08 1.27505e-06 30.6217 0.187645 -0.969406 35.7677 -0.195218 -0.634085 39.1538 -1.39407 0.455392 40.9388 -2.09433 1.26561 43.2023 -2.38121 2.50079 30.4211 0.508803 -0.123023 35.8646 0.984787 0.669584 39.8605 -0.40819 2.12486 41.8977 -1.26876 3.31856 44.6705 -2.04176 4.39065 30.2205 0.829967 0.723366 35.5401 1.66641 2.74068 39.8976 0.575499 4.47459 42.2438 -0.597242 5.5262 44.5979 -1.82244 6.36477 29.7737 1.1992 1.6535 34.8027 2.22461 4.32853 38.729 1.04546 6.09039 40.9964 0.275285 6.84767 43.5445 -0.39159 7.67777 27.7815 0.453004 2.33895 29.0309 1.01467 3.10039 30.5821 -0.404258 5.70733 32.9692 -1.55705 6.59419 35.5592 -3.60155 6.74605 
27 1.34244e-06 -6.12984e-06 30.6226 0.148581 -0.972977 35.7651 -0.243442 -0.634022 39.1399 -1.43524 0.510087 40.9209 -2.11225 1.35693 43.201 -2.38299 2.56448 30.4225 0.495748 -0.13679 35.8655 0.980916 0.639085 39.8474 -0.401301 2.14204 41.8701 -1.24407 3.37282 44.6495 -1.97296 4.47686 30.2225 0.842912 0.699392 35.5426 1.72835 2.68862 39.891 0.65593 4.46044 42.221 -0.520106 5.55057 44.5631 -1.71887 6.45103 29.7763 1.24132 1.61772 34.8053 2.34118 4.2637 38.726 1.18743 6.05661 40.9892 0.428998 6.82928 43.5113 -0.252334 7.70497 27.7818 0.521519 2.32452 29.0386 1.09631 3.06384 30.6031 -0.309633 5.66982 32.9886 -1.46253 6.54362 35.5547 -3.53461 6.65614 
27 1.69459e-06 2.30653e-06 30.6236 0.0998211 -0.975274 35.7625 -0.318331 -0.626287 39.1264 -1.50494 0.558181 40.8993 -2.16718 1.43735 43.1793 -2.43464 2.64818 30.4253 0.472205 -0.149591 35.8704 0.946731 0.612301 39.8405 -0.426865 2.15771 41.8491 -1.24515 3.42251 44.6199 -1.98354 4.54215 30.227 0.84459 0.676093 35.5513 1.75953 2.63757 39.8875 0.692148 4.44774 42.2147 -0.462113 5.56775 44.5295 -1.65574 6.51683 29.7828 1.27197 1.58229 34.8172 2.42572 4.19626 38.7288 1.29278 6.01774 40.9827 0.534446 6.8194 43.5032 -0.134223 7.71539 27.7842 0.584246 2.30878 29.0499 1.1657 3.02725 30.6181 -0.234028 5.63437 33.0078 -1.38786 6.48439 35.5797 -3.44569 6.55354 
27 -2.63836e-07 -9.78901e-07 30.6242 0.0542734 -0.976664 35.7598 -0.38778 -0.619806 39.1124 -1.57907 0.595957 40.8727 -2.24133 1.50054 43.1548 -2.47341 2.73249 30.4281 0.447625 -0.16022 35.876 0.90767 0.590834 39.8346 -0.464663 2.17172 41.8274 -1.27442 3.46358 44.5941 -2.00087 4.60554 30.232 0.840971 0.656219 35.5616 1.77104 2.59611 39.8864 0.705533 4.43007 42.1962 -0.440856 5.59005 44.5099 -1.627 6.5559 29.7904 1.29273 1.55178 34.8321 2.47968 4.14071 38.7339 1.3689 5.98388 40.9752 0.601262 6.80623 43.5015 -0.0617465 7.7041 27.7876 0.634866 2.29421 29.063 1.22131 2.99108 30.6407 -0.17594 5.59381 33.033 -1.33359 6.43315 35.6026 -3.3906 6.49839 
27 5.73821e-06 3.78762e-06 30.6257 0.0151664 -0.972516 35.7578 -0.451649 -0.6062 39.0843 -1.66539 0.661803 40.8669 -2.29543 1.5424 43.1043 -2.55061 2.82461 30.4308 0.425498 -0.164204 35.8812 0.868204 0.583638 39.8261 -0.50443 2.20057 41.8062 -1.30733 3.51126 44.5529 -2.04456 4.68507 30.2358 0.835834 0.644115 35.5684 1.7739 2.57095 39.8801 0.706325 4.43522 42.1769 -0.440263 5.62053 44.4715 -1.62652 6.62412 29.7955 1.30746 1.53004 34.8399 2.51924 4.10314 38.7349 1.40931 5.96589 40.9718 0.641867 6.802 43.483 -0.0353758 7.71666 27.7881 0.675315 2.28244 29.071 1.265 2.96275 30.6548 -0.132903 5.56146 33.0512 -1.29119 6.42028 35.6307 -3.33716 6.55555 
27 -4.88813e-06 -2.15738e-06 30.6264 -0.0156449 -0.970016 35.7532 -0.502096 -0.587781 39.0627 -1.74366 0.701154 40.8229 -2.38908 1.62247 43.0768 -2.60724 2.88254 30.4328 0.406882 -0.167664 35.8835 0.835073 0.577991 39.8085 -0.562444 2.22456 41.781 -1.35729 3.55922 44.5227 -2.07418 4.764 30.2393 0.829408 0.634691 35.5741 1.77368 2.55037 39.87 0.682891 4.44139 42.1506 -0.466228 5.65435 44.4337 -1.64896 6.69102 29.8007 1.31547 1.51362 34.85 2.54523 4.06781 38.7304 1.42171 5.95394 40.9564 0.64332 6.80976 43.4622 -0.0421458 7.73619 27.7898 0.703434 2.27332 29.0791 1.29398 2.94063 30.6717 -0.106997 5.53228 33.0681 -1.26915 6.38404 35.6427 -3.31817 6.52588 
27 6.33081e-06 6.04655e-06 30.6269 -0.046508 -0.967106 35.7529 -0.551852 -0.579769 39.0532 -1.78507 0.737739 40.8052 -2.42945 1.6737 43.0523 -2.64883 2.94561 30.4345 0.390697 -0.172381 35.8873 0.809544 0.567639 39.798 -0.589142 2.24429 41.7574 -1.37529 3.5984 44.4837 -2.0935 4.82661 30.2421 0.827902 0.622345 35.5799 1.78408 2.52304 39.8613 0.689266 4.44394 42.1278 -0.461796 5.67991 44.3929 -1.64251 6.75153 29.8048 1.33092 1.49236 34.8566 2.58819 4.03106 38.728 1.46054 5.93399 40.9387 0.667449 6.80882 43.4452 -0.0171947 7.74401 27.7911 0.739969 2.26125 29.0871 1.33271 2.91345 30.6898 -0.062223 5.50212 33.0877 -1.23249 6.3385 35.6419 -3.30669 6.43703 
27 4.3033e-06 -1.98008e-06 30.6295 -0.0795201 -0.954933 35.7518 -0.614601 -0.550549 39.0441 -1.83584 0.798439 40.781 -2.4818 1.75556 43.0232 -2.71291 3.03453 30.437 0.370393 -0.167376 35.8903 0.769572 0.582775 39.7872 -0.621606 2.29346 41.7352 -1.4005 3.67229 44.4564 -2.10305 4.92558 30.2444 0.820313 0.620187 35.5825 1.77656 2.52142 39.8493 0.683293 4.47456 42.0997 -0.464168 5.74197 44.3452 -1.65963 6.83228 29.8071 1.33841 1.48128 34.8572 2.61291 4.02025 38.7144 1.4758 5.94374 40.9181 0.679316 6.83828 43.4133 -0.00611583 7.79717 27.7881 0.769305 2.25252 29.0886 1.35884 2.89852 30.6934 -0.0335838 5.48724 33.0982 -1.20417 6.3032 35.6481 -3.28375 6.33409 
27 1.74671e-07 -3.38335e-06 30.63 -0.101459 -0.950982 35.7484 -0.644824 -0.536386 39.0256 -1.86823 0.84201 40.7653 -2.51137 1.79809 42.989 -2.73158 3.10784 30.438 0.359484 -0.169695 35.8905 0.755629 0.578465 39.7761 -0.639738 2.31415 41.7136 -1.41265 3.71165 44.4273 -2.1327 4.97651 30.246 0.820434 0.611598 35.584 1.79098 2.50258 39.8378 0.689288 4.48162 42.0749 -0.460672 5.77181 44.323 -1.64854 6.87516 29.8094 1.35116 1.46531 34.8604 2.65054 3.98992 38.7099 1.50791 5.93188 40.9039 0.708447 6.84916 43.3956 0.00973871 7.80998 27.7883 0.797545 2.24258 29.0936 1.38773 2.87836 30.7023 -0.00210883 5.46606 33.1103 -1.16937 6.27728 35.6546 -3.25642 6.28746 
27 -2.79028e-06 -6.53367e-06 30.6311 -0.130014 -0.943516 35.7464 -0.694385 -0.514081 39.0192 -1.92307 0.885482 40.7575 -2.55919 1.83743 42.9513 -2.7755 3.18896 30.4399 0.341573 -0.168389 35.8938 0.720859 0.583951 39.77 -0.670672 2.34692 41.6998 -1.43269 3.75765 44.4089 -2.14751 5.04363 30.2488 0.813152 0.606738 35.589 1.78294 2.494 39.8375 0.687345 4.49237 42.0622 -0.460028 5.80491 44.3038 -1.63502 6.93332 29.8132 1.35653 1.453 34.8668 2.6665 3.96964 38.7066 1.53169 5.93042 40.8945 0.724317 6.86104 43.3793 0.033151 7.83715 27.7883 0.821977 2.23373 29.0984 1.40865 2.86288 30.7068 0.01298 5.44761 33.1242 -1.12406 6.27352 35.7419 -3.12654 6.35781 
27 -4.17943e-06 -7.54389e-06 30.6342 -0.150302 -0.92835 35.7461 -0.728784 -0.475555 39.0028 -1.96069 0.954414 40.7414 -2.59719 1.91059 42.9345 -2.80343 3.26559 30.4416 0.329194 -0.158453 35.8941 0.697319 0.6105 39.7572 -0.694288 2.39671 41.6776 -1.45127 3.82502 44.3841 -2.15344 5.12576 30.249 0.80869 0.611445 35.585 1.77917 2.50909 39.8222 0.686069 4.52842 42.0402 -0.455805 5.85586 44.2702 -1.63093 7.0062 29.812 1.36142 1.45086 34.8602 2.67931 3.97431 38.6985 1.55951 5.95017 40.8775 0.746613 6.89037 43.36 0.0561263 7.88215 27.7825 0.840615 2.22886 29.0943 1.42521 2.85621 30.6995 0.0340414 5.44534 33.1254 -1.0962 6.25577 35.7406 -3.10045 6.27752 
27 2.66973e-06 -3.31578e-06 30.6347 -0.170239 -0.922715 35.7439 -0.763686 -0.454574 38.9992 -1.99291 0.980694 40.7238 -2.61557 1.96479 42.9102 -2.82446 3.32929 30.4428 0.31715 -0.157637 35.8961 0.674593 0.616154 39.752 -0.711826 2.42064 41.6656 -1.46566 3.8608 44.3709 -2.16348 5.1664 30.2508 0.804538 0.607441 35.5891 1.77765 2.50237 39.8208 0.689328 4.53741 42.0315 -0.447333 5.88275 44.2644 -1.61338 7.04405 29.8145 1.36656 1.44105 34.8662 2.69646 3.95757 38.6996 1.57834 5.94207 40.8721 0.769306 6.89725 43.3411 0.0693616 7.90681 27.7825 0.859399 2.22165 29.098 1.44305 2.84228 30.7106 0.0597554 5.43104 33.125 -1.08627 6.25347 35.71 -3.13431 6.29689 
27 -2.49425e-07 -3.66924e-06 30.6364 -0.192623 -0.911599 35.7433 -0.803079 -0.429875 38.9943 -2.02986 1.02034 40.7168 -2.64618 2.01157 42.9125 -2.87429 3.35827 30.4443 0.302816 -0.15174 35.8978 0.646884 0.632241 39.7476 -0.735079 2.44991 41.657 -1.48856 3.89745 44.3578 -2.17844 5.22025 30.2522 0.798255 0.608122 35.5898 1.76832 2.50743 39.8177 0.682098 4.55694 42.0219 -0.448148 5.91978 44.2693 -1.62253 7.05537 29.8159 1.3699 1.43516 34.8656 2.70501 3.95569 38.6982 1.5907 5.94492 40.8675 0.780986 6.9147 43.3435 0.0952024 7.91302 27.7801 0.877814 2.21531 29.0994 1.458 2.83092 30.7164 0.0731813 5.41617 33.1346 -1.07495 6.22423 35.7212 -3.12175 6.22785 
27 -7.48672e-07 -5.82642e-07 30.6372 -0.210901 -0.90458 35.7426 -0.835896 -0.410235 38.9853 -2.06861 1.05152 40.7035 -2.68009 2.05389 42.8879 -2.89858 3.41636 30.4455 0.290408 -0.148468 35.9003 0.620954 0.641946 39.7434 -0.762829 2.47541 41.6467 -1.51094 3.93289 44.3372 -2.20316 5.26845 30.2539 0.791722 0.60765 35.5926 1.75667 2.50842 39.8113 0.67179 4.57638 42.0068 -0.460571 5.95108 44.246 -1.62686 7.11415 29.8182 1.37051 1.43004 34.8687 2.70642 3.94871 38.6947 1.58778 5.95221 40.8615 0.768997 6.92799 43.326 0.0985021 7.95012 27.7796 0.890551 2.21041 29.1016 1.46986 2.82107 30.7161 0.0821663 5.40628 33.1322 -1.07485 6.21613 35.7165 -3.12329 6.23445 
27 -4.47619e-06 -2.64077e-06 30.6367 -0.233859 -0.900723 35.7383 -0.877919 -0.398501 38.9768 -2.11733 1.06708 40.6874 -2.71967 2.09088 42.8795 -2.93833 3.44927 30.4468 0.27446 -0.148866 35.9024 0.588764 0.642043 39.7368 -0.796807 2.49199 41.6355 -1.54283 3.96039 44.327 -2.23864 5.29393 30.2569 0.782785 0.602996 35.5992 1.7425 2.49783 39.8069 0.651865 4.58611 41.9932 -0.474516 5.97535 44.2306 -1.65269 7.13634 29.8233 1.37016 1.42035 34.8789 2.70972 3.93081 38.6912 1.584 5.95456 40.8474 0.766346 6.94084 43.2983 0.0510097 7.98004 27.7822 0.905344 2.20346 29.1078 1.48177 2.80904 30.7243 0.0927819 5.39234 33.135 -1.06628 6.20716 35.7095 -3.13135 6.23231 
27 -2.37365e-06 -2.61897e-06 30.6364 -0.255004 -0.896108 35.7369 -0.917205 -0.380524 38.9692 -2.15621 1.10159 40.6774 -2.76924 2.11986 42.8612 -2.98603 3.48605 30.4481 0.258939 -0.147691 35.906 0.554266 0.648085 39.7312 -0.834539 2.51435 41.6262 -1.58178 3.98865 44.3149 -2.26895 5.33646 30.2597 0.772881 0.600727 35.6056 1.72192 2.49536 39.8033 0.624637 4.60104 41.9797 -0.505803 6.00285 44.2105 -1.68369 7.18187 29.8279 1.36732 1.41392 34.889 2.69978 3.91955 38.6918 1.57791 5.95751 40.8408 0.741739 6.95148 43.2931 0.0379394 8.00647 27.7842 0.916174 2.19827 29.1142 1.48926 2.79723 30.7308 0.0967359 5.37855 33.1423 -1.07281 6.19335 35.7156 -3.1385 6.23163 
27 1.50356e-06 2.11357e-06 30.6376 -0.273791 -0.885878 35.7332 -0.950482 -0.355579 38.9545 -2.19674 1.13654 40.6564 -2.81149 2.17188 42.8578 -3.01886 3.52162 30.4492 0.246333 -0.141738 35.9055 0.530118 0.663137 39.7198 -0.863747 2.54748 41.6065 -1.61013 4.03005 44.2924 -2.29388 5.38549 30.2609 0.766465 0.602407 35.6051 1.71346 2.50054 39.7887 0.608363 4.62571 41.9559 -0.525742 6.04256 44.1621 -1.69711 7.26965 29.8292 1.36838 1.41017 34.8882 2.70658 3.91663 38.6814 1.56848 5.97276 40.8212 0.729471 6.97254 43.243 0.0176348 8.06486 27.7823 0.929905 2.19318 29.1139 1.50143 2.79013 30.7272 0.107784 5.37295 33.1335 -1.06282 6.1832 35.7001 -3.13601 6.20603 
27 -6.43164e-06 -2.62847e-06 30.6381 -0.295234 -0.876804 35.729 -0.990009 -0.332675 38.9427 -2.24034 1.17729 40.6434 -2.85242 2.21444 42.8408 -3.06892 3.56818 30.4506 0.230347 -0.1363 35.9059 0.495997 0.67769 39.7144 -0.900088 2.57309 41.5931 -1.64484 4.06534 44.2769 -2.3269 5.42759 30.263 0.755928 0.604204 35.607 1.69207 2.50709 39.7853 0.584307 4.64891 41.9434 -0.550298 6.07471 44.1447 -1.73475 7.29323 29.8324 1.36476 1.40732 34.8919 2.69685 3.91592 38.6798 1.56209 5.98516 40.81 0.705404 7.00217 43.2458 0.0045947 8.09156 27.782 0.940135 2.18892 29.1161 1.50709 2.78471 30.725 0.10911 5.36791 33.1322 -1.06574 6.17846 35.706 -3.13183 6.20252 
27 -4.68117e-06 -5.58841e-06 30.6379 -0.30606 -0.873912 35.7289 -1.00614 -0.327533 38.9334 -2.26396 1.19299 40.6326 -2.87515 2.23415 42.8213 -3.08015 3.60078 30.451 0.224272 -0.136654 35.9073 0.487457 0.676238 39.703 -0.917398 2.59146 41.5841 -1.65804 4.08215 44.2725 -2.3423 5.43848 30.264 0.754605 0.600604 35.6098 1.69409 2.49902 39.7787 0.581116 4.6523 41.9232 -0.562139 6.0945 44.1273 -1.72714 7.34859 29.8341 1.36893 1.3999 34.8942 2.71071 3.90297 38.6685 1.55299 5.98347 40.8016 0.707244 7.00671 43.2097 -0.0241067 8.11601 27.7828 0.952159 2.18342 29.1189 1.52055 2.77325 30.7326 0.123557 5.35395 33.1386 -1.05637 6.15978 35.7011 -3.13522 6.17514 
27 1.27064e-06 6.37943e-07 30.6367 -0.315942 -0.875288 35.728 -1.02141 -0.327895 38.929 -2.28291 1.20093 40.6269 -2.88281 2.24781 42.8236 -3.11319 3.59791 30.4512 0.217771 -0.140103 35.9096 0.474327 0.668791 39.7042 -0.92937 2.58783 41.5814 -1.66656 4.09125 44.2693 -2.34847 5.4493 30.2657 0.751476 0.595082 35.6148 1.68876 2.48674 39.7805 0.576851 4.64998 41.9225 -0.565153 6.0968 44.113 -1.73934 7.34878 29.8374 1.36986 1.39214 34.9019 2.71128 3.88587 38.6704 1.55496 5.97754 40.7979 0.705201 7.00325 43.1993 -0.0398748 8.12159 27.786 0.959869 2.17888 29.1255 1.52638 2.76284 30.7413 0.124198 5.33944 33.1449 -1.05521 6.14073 35.7055 -3.13697 6.15095 
27 -4.25009e-07 7.18873e-07 30.6369 -0.319776 -0.873235 35.7285 -1.03323 -0.32906 38.9263 -2.28373 1.21033 40.6244 -2.90073 2.24975 42.8216 -3.10745 3.61428 30.4514 0.215886 -0.139472 35.9103 0.470218 0.668864 39.7025 -0.931815 2.59152 41.581 -1.66775 4.09455 44.2644 -2.35054 5.45538 30.2659 0.751548 0.594292 35.6158 1.69027 2.48325 39.7786 0.575565 4.6537 41.9225 -0.562059 6.10046 44.1076 -1.74542 7.3529 29.8376 1.37214 1.38962 34.9021 2.72036 3.88433 38.6777 1.5689 5.96936 40.797 0.705624 6.99862 43.1959 -0.0549481 8.10555 27.7857 0.965061 2.1767 29.126 1.53188 2.75852 30.7468 0.129827 5.33202 33.1522 -1.0505 6.12254 35.7104 -3.13376 6.10837 
27 -1.75481e-06 -2.27882e-06 30.6354 -0.337467 -0.872659 35.727 -1.072 -0.321465 38.933 -2.31778 1.2115 40.6295 -2.9116 2.26087 42.8145 -3.13965 3.61604 30.4521 0.202205 -0.14129 35.9149 0.435969 0.666945 39.7088 -0.950789 2.59419 41.5821 -1.6881 4.09769 44.2783 -2.37081 5.44437 30.2688 0.741883 0.590083 35.6251 1.66821 2.47352 39.7855 0.561515 4.64867 41.9207 -0.583679 6.10318 44.1164 -1.7582 7.35702 29.8431 1.36769 1.38269 34.9151 2.70972 3.86792 38.6845 1.55234 5.95926 40.8019 0.689057 6.99361 43.1828 -0.0772714 8.12771 27.7899 0.971947 2.17212 29.1336 1.53442 2.75031 30.7573 0.122932 5.31687 33.164 -1.0597 6.09328 35.7294 -3.13256 6.06157 
27 4.45027e-06 -1.59348e-06 30.6366 -0.343 -0.865421 35.7252 -1.08056 -0.306781 38.925 -2.32996 1.23375 40.6256 -2.9247 2.27465 42.825 -3.1417 3.62132 30.4526 0.198603 -0.135672 35.9128 0.430494 0.67975 39.7002 -0.964848 2.61103 41.5778 -1.69627 4.11156 44.2789 -2.37653 5.45849 30.2685 0.740205 0.59408 35.6219 1.66644 2.48383 39.7842 0.557114 4.65726 41.9122 -0.58574 6.12183 44.1062 -1.75922 7.38233 29.8419 1.36831 1.38444 34.9101 2.71229 3.87561 38.6785 1.55144 5.96721 40.795 0.683288 7.00283 43.1631 -0.0914988 8.14919 27.787 0.976406 2.17118 29.1323 1.53541 2.74903 30.7547 0.114546 5.31118 33.1637 -1.06252 6.08857 35.7422 -3.1234 6.05458 
27 -7.11175e-06 -5.73562e-06 30.636 -0.347966 -0.866332 35.7243 -1.09192 -0.31178 38.923 -2.34116 1.22929 40.6208 -2.94113 2.2732 42.8121 -3.14247 3.64019 30.4527 0.195315 -0.137629 35.9136 0.423795 0.674756 39.699 -0.975081 2.61014 41.5788 -1.70452 4.11604 44.2913 -2.37442 5.44894 30.2694 0.738596 0.591076 35.6253 1.66315 2.47673 39.784 0.552686 4.6572 41.9088 -0.594026 6.12099 44.0924 -1.77985 7.38216 29.8437 1.36872 1.38031 34.9142 2.71488 3.86948 38.6799 1.54716 5.96512 40.7953 0.674958 7.00023 43.174 -0.110307 8.12669 27.7888 0.98023 2.16878 29.1362 1.53735 2.74367 30.7611 0.112719 5.30213 33.1702 -1.06197 6.07517 35.7497 -3.12303 6.02921 
27 2.90943e-06 -6.27146e-07 30.6349 -0.360254 -0.865911 35.7238 -1.11376 -0.30789 38.9239 -2.36089 1.23788 40.6268 -2.95495 2.27236 42.8041 -3.17137 3.64161 30.4532 0.18567 -0.138792 35.9164 0.401995 0.673487 39.7018 -0.990263 2.61032 41.5777 -1.71662 4.11531 44.2819 -2.4289 5.43263 30.2715 0.731601 0.588331 35.6306 1.64719 2.47179 39.7863 0.535206 4.65719 41.9073 -0.612706 6.12323 44.0876 -1.79162 7.40332 29.8476 1.3652 1.37577 34.9228 2.70221 3.86097 38.6901 1.54597 5.95533 40.7975 0.662199 6.996 43.1638 -0.124189 8.14441 27.7918 0.984548 2.16573 29.1412 1.54059 2.73687 30.7694 0.112267 5.29122 33.1761 -1.06997 6.05128 35.7454 -3.13983 5.98496 
