Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -1.10046e-06 -1.53613e-06 29.3557 2.75665 0.971232 33.3472 5.20555 3.18843 36.8022 6.1974 4.30623 38.8134 6.26699 4.85483 41.3504 5.96832 5.29031 29.0962 2.19557 1.66233 32.7711 4.81953 4.85356 36.666 5.64192 6.89788 39.0077 5.13897 7.65912 41.748 3.80497 8.09082 28.8368 1.63449 2.35343 32.3236 3.46469 6.57877 36.3986 4.549 8.93254 38.9941 3.72931 9.69231 40.8153 1.67489 9.25664 28.3777 0.900846 3.02587 31.6045 2.12639 7.70336 35.1684 3.46954 10.0434 37.4609 3.49691 11.0768 40.005 2.55315 11.5403 27.5406 -1.01227 2.22931 27.8981 -0.544433 3.68174 29.2578 -2.90719 5.62708 31.0276 -4.33164 7.25735 32.1303 -7.0025 8.86587 
27 1.33634e-06 7.75282e-07 29.3236 2.77302 1.00154 33.2775 5.24845 3.25642 36.7022 6.27525 4.43415 38.7053 6.35396 5.01044 41.2401 6.10578 5.48831 29.0655 2.20531 1.68773 32.6952 4.84632 4.91631 36.5657 5.69188 6.99722 38.9018 5.20264 7.7842 41.6571 3.89931 8.21412 28.8074 1.63759 2.37391 32.2522 3.47469 6.63063 36.3006 4.58076 9.01996 38.8977 3.78316 9.79746 40.7325 1.74163 9.35827 28.3515 0.895534 3.03923 31.5411 2.12075 7.74227 35.0757 3.49176 10.1103 37.363 3.54577 11.1543 39.9057 2.61192 11.6445 27.5373 -1.0206 2.22629 27.8798 -0.554967 3.68306 29.2417 -2.92388 5.61937 31.0081 -4.34184 7.25894 32.1168 -6.99701 8.88913 
27 3.77315e-06 2.37975e-06 29.2954 2.78827 1.02389 33.2169 5.2889 3.30733 36.6153 6.34431 4.53493 38.6105 6.43002 5.13702 41.1427 6.22256 5.64694 29.0391 2.21544 1.70647 32.6305 4.87447 4.96302 36.4817 5.74095 7.07091 38.8129 5.26124 7.87793 41.5817 3.98517 8.3028 28.7827 1.64262 2.38905 32.1925 3.48997 6.66945 36.2194 4.61722 9.08506 38.8182 3.84157 9.87909 40.6619 1.80899 9.43581 28.3302 0.893873 3.04913 31.4895 2.12361 7.7714 35.0004 3.52194 10.1586 37.2838 3.59922 11.2097 39.8288 2.68072 11.7162 27.5359 -1.02557 2.22434 27.8658 -0.560051 3.68406 29.2303 -2.9334 5.61302 30.9968 -4.33714 7.26465 32.1188 -6.96615 8.9279 
27 2.88807e-06 2.39381e-06 29.2612 2.81202 1.03514 33.1399 5.35546 3.34409 36.5106 6.44187 4.62009 38.4951 6.54237 5.25441 41.0234 6.36298 5.79362 29.0046 2.23856 1.71711 32.5438 4.93947 4.99631 36.3687 5.84261 7.13639 38.6947 5.37783 7.96696 41.4719 4.12605 8.40872 28.7481 1.6651 2.39908 32.1056 3.55399 6.7026 36.1031 4.72437 9.14626 38.701 3.9802 9.97273 40.549 1.94919 9.54052 28.2971 0.913856 3.05743 31.4075 2.18284 7.80178 34.8873 3.62934 10.2058 37.1611 3.73396 11.2751 39.7128 2.84594 11.8018 27.5274 -1.01495 2.23124 27.839 -0.539222 3.69167 29.2025 -2.90487 5.63083 30.9671 -4.27817 7.30986 32.1025 -6.86378 9.03098 
27 1.11768e-06 2.39581e-06 29.2317 2.83232 1.04368 33.0757 5.41181 3.37081 36.4246 6.52105 4.68392 38.4008 6.63302 5.34178 40.926 6.4726 5.90117 28.9765 2.25748 1.72498 32.4743 4.99209 5.0205 36.2795 5.92582 7.18245 38.6038 5.47357 8.02477 41.3872 4.23905 8.47639 28.7212 1.68264 2.40627 32.0397 3.60386 6.7257 36.0156 4.81159 9.18639 38.6138 4.0953 10.0362 40.4603 2.06254 9.60584 28.2732 0.92834 3.06312 31.3487 2.22744 7.82201 34.8043 3.71787 10.2341 37.0703 3.8449 11.3174 39.629 2.98388 11.8555 27.5242 -1.00788 2.23519 27.8218 -0.524509 3.69604 29.1877 -2.88576 5.63885 30.954 -4.23288 7.33716 32.1061 -6.77929 9.105 
27 -1.53855e-06 -2.02966e-07 29.2194 2.83518 1.06192 33.0502 5.41686 3.40821 36.3886 6.52389 4.74994 38.3605 6.63466 5.42063 40.8837 6.47282 5.98831 28.9662 2.25523 1.7396 32.4502 4.98413 5.05445 36.249 5.91727 7.2279 38.5743 5.46332 8.06641 41.3597 4.22961 8.50795 28.7129 1.67528 2.4173 32.0214 3.58289 6.75043 35.9917 4.79392 9.2186 38.591 4.08549 10.0716 40.4248 2.04571 9.6206 28.2676 0.91523 3.06937 31.3369 2.19671 7.83701 34.7828 3.70108 10.2543 37.0456 3.83375 11.3438 39.6089 2.98321 11.8761 27.5271 -1.01907 2.22943 27.819 -0.54034 3.69296 29.185 -2.91445 5.61999 30.9532 -4.2616 7.31626 32.117 -6.79639 9.09313 
27 -3.30944e-06 -2.80175e-06 29.2123 2.8347 1.07791 33.0342 5.41317 3.44224 36.3641 6.51202 4.81135 38.3322 6.61801 5.49398 40.853 6.44662 6.06956 28.9599 2.25069 1.75244 32.4352 4.96986 5.08452 36.2291 5.89696 7.26903 38.5546 5.4373 8.10385 41.339 4.19852 8.53699 28.7076 1.6667 2.42698 32.0099 3.55773 6.77205 35.9754 4.76848 9.24801 38.5746 4.0623 10.1031 40.393 2.01246 9.63555 28.2636 0.902299 3.07485 31.3295 2.16383 7.85 34.7646 3.68048 10.2749 37.023 3.81679 11.3731 39.5882 2.96767 11.8986 27.528 -1.02933 2.2245 27.8144 -0.554931 3.69052 29.1744 -2.9407 5.60735 30.9398 -4.29499 7.30093 32.1066 -6.82771 9.07876 
27 5.23983e-07 -9.11034e-07 29.2027 2.83999 1.08376 33.0116 5.42766 3.45896 36.33 6.52809 4.85441 38.2947 6.63797 5.54593 40.8118 6.45267 6.13363 28.9514 2.25437 1.75729 32.4145 4.97911 5.09734 36.1986 5.9159 7.29476 38.5263 5.46149 8.12632 41.3078 4.21806 8.56513 28.7001 1.66875 2.43083 31.9945 3.56157 6.78109 35.9444 4.79669 9.27001 38.5433 4.10238 10.1356 40.3574 2.04813 9.67048 28.2578 0.902189 3.07728 31.3199 2.16431 7.85465 34.7357 3.71208 10.2873 36.9876 3.86175 11.3968 39.5532 3.00597 11.9098 27.5289 -1.03057 2.22372 27.8081 -0.554726 3.69067 29.1604 -2.94105 5.6122 30.9238 -4.29843 7.30545 32.0933 -6.83053 9.08238 
27 4.35741e-06 1.48642e-06 29.1916 2.84597 1.09036 32.987 5.44294 3.47701 36.2951 6.5434 4.89672 38.2573 6.65608 5.59507 40.7692 6.45428 6.19918 28.9417 2.25845 1.76274 32.3917 4.98942 5.11135 36.1653 5.93654 7.32225 38.4954 5.49122 8.15193 41.2725 4.24186 8.60165 28.6918 1.67092 2.43512 31.9771 3.56632 6.79115 35.9115 4.82408 9.29322 38.5109 4.14223 10.1673 40.3227 2.08489 9.70699 28.2515 0.901829 3.07994 31.3093 2.16588 7.85956 34.7036 3.74364 10.3031 36.9499 3.90379 11.4224 39.5156 3.04179 11.9241 27.5302 -1.03214 2.22268 27.802 -0.555408 3.69071 29.146 -2.94111 5.61887 30.908 -4.30166 7.31095 32.0796 -6.83648 9.08268 
27 3.20096e-06 2.07762e-06 29.1732 2.85139 1.1128 32.9508 5.45233 3.52326 36.2494 6.54917 4.96771 38.2092 6.65908 5.67328 40.7172 6.44957 6.29058 28.9268 2.25724 1.78061 32.358 4.98395 5.15182 36.1237 5.93221 7.37577 38.4556 5.49315 8.2039 41.232 4.2412 8.65037 28.6803 1.66308 2.44842 31.9522 3.54538 6.82018 35.8778 4.80772 9.33378 38.4811 4.1369 10.2047 40.2905 2.07981 9.7341 28.2446 0.886375 3.08722 31.2947 2.13383 7.87615 34.6683 3.7268 10.3382 36.9135 3.88609 11.4599 39.4824 3.02687 11.9502 27.5358 -1.04556 2.21504 27.8005 -0.577073 3.68702 29.1422 -2.97015 5.60768 30.9035 -4.33895 7.29384 32.0757 -6.885 9.0489 
