Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -2.19927e-06 -3.62788e-06 30.1324 -1.77131 -1.06887 35.074 -3.21211 -1.65944 37.1176 -3.12847 1.49899 36.2143 -2.49375 3.23808 34.0085 -1.29077 4.09702 30.1985 -0.848072 -1.01403 35.5575 -1.44197 -2.23947 37.8548 -1.81772 1.58115 36.6957 -1.0971 3.69119 34.1384 0.454394 4.4217 30.2647 0.0751675 -0.959193 35.9414 0.730017 -1.79976 40.2684 0.391662 0.317606 41.4054 0.49303 2.90204 39.714 1.01949 5.04748 30.122 1.15896 -0.880587 35.7064 2.64739 -1.50822 39.9587 3.63544 -0.547095 41.7313 3.99439 1.20127 41.8073 3.83141 3.94937 28.4618 2.00633 0.352739 29.7874 2.64417 -0.187772 31.3918 5.55733 -0.582554 33.6068 7.26325 -0.604336 35.3782 9.99726 -1.15843 
27 -2.91059e-07 -2.37601e-06 30.141 -1.78875 -1.01302 35.0848 -3.24715 -1.53771 37.0321 -3.11784 1.67776 36.0753 -2.46281 3.33024 33.7898 -1.16676 4.13641 30.2082 -0.865053 -0.96811 35.5788 -1.48237 -2.12944 37.7984 -1.81027 1.73994 36.5961 -1.0747 3.81944 34.0455 0.548545 4.40771 30.2754 0.0586433 -0.923205 35.9622 0.693946 -1.70816 40.2587 0.361266 0.471107 41.3345 0.495802 3.07949 39.5465 1.06874 5.13614 30.1338 1.14351 -0.858732 35.7274 2.6163 -1.44168 39.9662 3.61991 -0.437435 41.7101 3.99568 1.33692 41.7049 3.8486 4.0882 28.4613 2.00785 0.345962 29.7933 2.63885 -0.18708 31.3963 5.55096 -0.595217 33.6052 7.26421 -0.611217 35.3144 10.0554 -1.05418 
27 -4.98572e-07 -1.48134e-06 30.1498 -1.80238 -0.960334 35.0968 -3.27219 -1.41939 36.9848 -3.1047 1.8316 36.0101 -2.43846 3.43027 33.6816 -1.09322 4.21419 30.2174 -0.878322 -0.924493 35.5992 -1.51318 -2.02299 37.7641 -1.79944 1.88207 36.5377 -1.04461 3.93744 33.9912 0.607221 4.4469 30.2851 0.0457329 -0.888659 35.9807 0.667112 -1.61973 40.2512 0.349247 0.612566 41.2876 0.514619 3.23583 39.4542 1.11816 5.23909 30.144 1.13136 -0.8372 35.7447 2.59297 -1.37624 39.9715 3.60741 -0.333783 41.693 3.99852 1.45797 41.6374 3.87329 4.20832 28.4597 2.01001 0.340304 29.7976 2.63473 -0.185165 31.404 5.54318 -0.605387 33.6134 7.25644 -0.616343 35.2984 10.0703 -1.0105 
27 -1.19633e-06 -1.01597e-06 30.1577 -1.81307 -0.912872 35.1078 -3.29138 -1.31059 36.9527 -3.09391 1.96674 35.971 -2.4196 3.52686 33.6255 -1.04656 4.29684 30.2258 -0.888789 -0.884342 35.6179 -1.53737 -1.9234 37.7395 -1.79109 2.01012 36.4965 -1.01849 4.04665 33.95 0.640539 4.50888 30.294 0.0354878 -0.855822 35.9973 0.646017 -1.53482 40.2446 0.342771 0.743679 41.252 0.53299 3.3778 39.3935 1.15615 5.3451 30.1533 1.12162 -0.815183 35.7599 2.57438 -1.31052 39.9756 3.5955 -0.231872 41.6782 3.99846 1.57352 41.5858 3.89358 4.32139 28.4579 2.01175 0.337621 29.8015 2.63111 -0.179711 31.413 5.53542 -0.607675 33.6249 7.24681 -0.612132 35.3017 10.0681 -0.989137 
27 -2.94982e-06 -1.06649e-06 30.1641 -1.81995 -0.876189 35.1161 -3.30521 -1.22457 36.9203 -3.08918 2.07677 35.9235 -2.40901 3.61271 33.583 -1.02565 4.36231 30.2328 -0.895595 -0.851535 35.6332 -1.55349 -1.84049 37.7152 -1.78939 2.11748 36.4551 -1.00271 4.13821 33.9072 0.658684 4.5664 30.3014 0.0287573 -0.826888 36.0111 0.631422 -1.45878 40.2371 0.335271 0.860443 41.2176 0.539659 3.50458 39.3342 1.17386 5.43975 30.1612 1.11519 -0.79275 35.7727 2.56151 -1.24595 39.9783 3.58529 -0.13215 41.6636 3.99421 1.68632 41.5354 3.90023 4.43142 28.4566 2.01222 0.340728 29.805 2.62832 -0.167711 31.4208 5.53038 -0.59429 33.6346 7.24016 -0.588464 35.3169 10.0582 -0.965131 
27 -4.21305e-06 -1.11702e-06 30.1701 -1.82537 -0.842881 35.1236 -3.31635 -1.1452 36.8897 -3.08652 2.17823 35.876 -2.40195 3.69589 33.5431 -1.01192 4.42807 30.2392 -0.900984 -0.820836 35.6473 -1.56641 -1.76196 37.6916 -1.79003 2.21845 36.4152 -0.98979 4.2237 33.865 0.670924 4.62169 30.3084 0.0233984 -0.798793 36.0237 0.619503 -1.38425 40.2289 0.327903 0.97365 41.1845 0.542384 3.62707 39.2789 1.18475 5.53328 30.1688 1.11005 -0.769602 35.7844 2.55088 -1.1802 39.98 3.57581 -0.0314915 41.6488 3.98838 1.79987 41.4869 3.90224 4.54184 28.4552 2.01228 0.346191 29.8082 2.62587 -0.152847 31.4283 5.52613 -0.574609 33.6441 7.23437 -0.556888 35.3333 10.0483 -0.932581 
27 -9.42615e-07 1.42385e-06 30.1766 -1.83087 -0.805427 35.1319 -3.32655 -1.05609 36.8558 -3.08124 2.29057 35.824 -2.39233 3.78563 33.4985 -0.992833 4.49948 30.2462 -0.906452 -0.786461 35.6626 -1.57924 -1.67409 37.6647 -1.78753 2.33037 36.3696 -0.97293 4.31601 33.8148 0.682156 4.68342 30.3158 0.0179656 -0.767497 36.0369 0.607912 -1.30122 40.2187 0.322495 1.09905 41.147 0.549065 3.76219 39.216 1.19953 5.636 30.1767 1.10481 -0.74402 35.7965 2.54041 -1.10741 39.9805 3.56866 0.0786896 41.6308 3.98579 1.92489 41.4332 3.90891 4.66336 28.4533 2.0127 0.351835 29.8112 2.62367 -0.136925 31.4359 5.52195 -0.554108 33.6528 7.22931 -0.523375 35.3484 10.0395 -0.896944 
27 2.32782e-06 3.96471e-06 30.1819 -1.83726 -0.769447 35.1377 -3.33944 -0.970085 36.8202 -3.08145 2.39859 35.7706 -2.38888 3.87103 33.4541 -0.978495 4.56864 30.2523 -0.912855 -0.753096 35.6759 -1.59472 -1.58847 37.6366 -1.79044 2.43883 36.3239 -0.961825 4.40386 33.7651 0.686627 4.7468 30.3228 0.0115452 -0.736748 36.0494 0.59325 -1.21943 40.2079 0.310927 1.22167 41.1098 0.547878 3.89406 39.1543 1.20544 5.73624 30.1847 1.09862 -0.718399 35.8089 2.5267 -1.03481 39.9818 3.55612 0.187722 41.6139 3.97609 2.04877 41.382 3.90722 4.78346 28.4522 2.0123 0.358208 29.8152 2.6203 -0.12023 31.4458 5.51598 -0.531724 33.6647 7.2213 -0.487435 35.3685 10.0268 -0.85771 
27 2.95165e-07 2.90282e-06 30.1832 -1.84705 -0.740009 35.1369 -3.36212 -0.89927 36.7831 -3.09772 2.48846 35.7185 -2.40217 3.94001 33.4145 -0.977862 4.62712 30.2558 -0.922786 -0.725304 35.6842 -1.62 -1.51669 37.6088 -1.81029 2.5298 36.2824 -0.967695 4.47605 33.7215 0.675078 4.80067 30.3285 0.00147327 -0.710601 36.0602 0.567795 -1.1496 40.1983 0.280117 1.32567 41.0785 0.523276 4.00594 39.1023 1.18793 5.82011 30.193 1.08893 -0.695932 35.8226 2.50216 -0.971546 39.9874 3.52589 0.282078 41.6044 3.9445 2.15604 41.3429 3.881 4.88686 28.4544 2.00952 0.36483 29.8225 2.6132 -0.104499 31.4624 5.50442 -0.509421 33.6854 7.20493 -0.452857 35.4005 10.0037 -0.819137 
27 -2.52711e-06 9.38883e-07 30.184 -1.85687 -0.711343 35.135 -3.38547 -0.829628 36.7449 -3.11712 2.57614 35.6651 -2.41942 4.00618 33.374 -0.980795 4.68265 30.259 -0.932778 -0.697728 35.6916 -1.64571 -1.44496 37.5802 -1.83346 2.62014 36.2399 -0.978457 4.54922 33.6781 0.660767 4.85585 30.334 -0.00869034 -0.684114 36.0706 0.541626 -1.07855 40.188 0.246184 1.4304 41.0461 0.4938 4.11884 39.0497 1.16568 5.90582 30.2014 1.07915 -0.672488 35.8363 2.47678 -0.905894 39.993 3.49275 0.379216 41.5947 3.90871 2.26668 41.3046 3.8489 4.99369 28.4569 2.0063 0.372754 29.8301 2.60561 -0.0868802 31.4802 5.49216 -0.483388 33.7071 7.18775 -0.413394 35.4338 9.97976 -0.773958 
