Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 1.42298e-06 -6.1933e-06 29.96 2.30683 -0.0930249 34.4611 4.5451 1.15521 38.0214 5.55881 1.83831 40.0097 5.77008 2.43213 42.4455 6.65235 2.37109 29.7431 1.97446 0.744966 34.1574 4.56595 2.82271 38.2443 5.21899 4.52464 40.5674 4.94359 5.44286 43.4776 4.71648 6.42006 29.5262 1.6421 1.58296 33.8444 3.68259 4.8247 38.1792 4.27381 6.86958 40.8961 3.98327 7.62322 43.5965 4.07002 8.27672 29.082 1.18568 2.47488 33.1706 2.77034 6.2841 37.0875 3.04127 8.42087 39.2884 2.90175 9.62966 41.8006 2.77864 10.7103 27.7727 -0.617615 2.30395 28.3274 0.00848753 3.62932 29.2142 -0.828265 6.74846 30.7306 -1.0473 9.08763 31.4844 -1.57807 12.2636 
27 -1.95377e-06 -5.06704e-06 29.8852 2.40062 -0.0655465 34.3128 4.75829 1.2109 37.8106 6.01472 1.80834 39.7932 6.37593 2.34609 42.2645 7.14383 2.48188 29.6814 2.04909 0.76789 34.0175 4.74591 2.87152 38.0502 5.60188 4.61227 40.3862 5.43774 5.52433 43.3002 5.38219 6.51489 29.4775 1.69756 1.60133 33.7405 3.82024 4.85888 38.0193 4.59844 6.96373 40.7285 4.44793 7.76172 43.4185 4.64823 8.44214 29.0505 1.21405 2.48736 33.1079 2.86601 6.30118 36.9317 3.25103 8.5838 39.0716 3.17368 9.90269 41.5426 3.12923 11.0834 27.7985 -0.627096 2.29257 28.337 -0.00639666 3.62714 29.2525 -0.870461 6.73049 30.8022 -1.07766 9.04877 31.6539 -1.62453 12.1972 
27 -5.33051e-06 -3.99273e-06 29.8201 2.47732 -0.0415051 34.1825 4.93477 1.26207 37.6057 6.40951 1.78801 39.5694 6.91632 2.27549 42.056 7.57605 2.5867 29.628 2.10975 0.787802 33.8959 4.89268 2.91443 37.8729 5.91669 4.6923 40.2149 5.85129 5.60157 43.1215 5.95014 6.61007 29.4359 1.74217 1.6171 33.6529 3.93013 4.8886 37.8765 4.86241 7.04892 40.5691 4.83393 7.89374 43.247 5.14201 8.59693 29.0245 1.23604 2.49784 33.0579 2.9399 6.31415 36.7936 3.40986 8.72338 38.8753 3.37684 10.134 41.303 3.39588 11.4096 27.8214 -0.635154 2.28225 28.3465 -0.0187759 3.62413 29.2866 -0.900465 6.71515 30.8699 -1.09783 9.01146 31.8353 -1.6449 12.1268 
27 1.27407e-07 -4.35987e-06 29.7743 2.52876 -0.0184205 34.0969 5.0463 1.30587 37.4469 6.69603 1.78065 39.386 7.33696 2.2047 41.8686 7.90359 2.68511 29.5964 2.14204 0.805317 33.8307 4.96364 2.95064 37.7611 6.10964 4.75735 40.0959 6.15752 5.68595 43.0129 6.29316 6.65965 29.4185 1.75533 1.62905 33.6283 3.95201 4.90464 37.8044 4.99682 7.10851 40.4865 5.07559 7.98919 43.1472 5.50557 8.71026 29.0242 1.22512 2.50345 33.0727 2.92037 6.30864 36.7555 3.4519 8.78558 38.7902 3.45857 10.2636 41.1735 3.54563 11.6323 27.8532 -0.663305 2.26246 28.3771 -0.0603247 3.6109 29.3494 -0.972649 6.68304 30.9713 -1.19488 8.94993 32.0364 -1.79458 12.0233 
27 5.58533e-06 -5.00522e-06 29.7396 2.56645 -0.0015164 34.0413 5.11884 1.32929 37.3216 6.91413 1.76195 39.2329 7.66101 2.13529 41.7013 8.22549 2.68644 29.5797 2.15831 0.815558 33.8066 4.99004 2.96722 37.7043 6.22545 4.78592 40.0276 6.38062 5.73148 42.9571 6.55334 6.66084 29.4198 1.75019 1.63264 33.6544 3.92251 4.8949 37.8004 5.05099 7.11544 40.4725 5.22893 8.01767 43.1143 5.77608 8.73919 29.0463 1.19447 2.5003 33.1425 2.84734 6.2749 36.8015 3.41053 8.77997 38.8087 3.45081 10.2945 41.1534 3.59818 11.7333 27.8971 -0.70379 2.23305 28.4302 -0.12137 3.58692 29.449 -1.07759 6.6305 31.1157 -1.34279 8.85998 32.2709 -2.0226 11.8845 
27 5.07244e-06 -5.75095e-06 29.7074 2.6003 0.00083699 33.996 5.18396 1.32162 37.2065 7.10864 1.71978 39.0917 7.92731 2.07531 41.5332 8.64376 2.56645 29.5674 2.17414 0.812325 33.7973 5.01675 2.95181 37.6695 6.34029 4.76289 39.9905 6.5726 5.69821 42.9026 6.90856 6.63759 29.4273 1.74799 1.62382 33.6985 3.90313 4.85561 37.8185 5.1162 7.0683 40.4725 5.40601 7.9947 43.099 6.04516 8.68456 29.0764 1.17058 2.48674 33.2297 2.79307 6.21463 36.8777 3.36974 8.73264 38.878 3.45899 10.2543 41.1862 3.64737 11.7407 27.9459 -0.736363 2.2022 28.4931 -0.172546 3.55829 29.5686 -1.17138 6.5685 31.2748 -1.47244 8.7633 32.491 -2.21859 11.7483 
27 3.56336e-06 -6.21847e-06 29.6821 2.6264 -0.00476182 33.9695 5.22766 1.29239 37.1191 7.25656 1.65856 38.9814 8.13262 1.99721 41.3855 8.99435 2.43668 29.5623 2.18416 0.801354 33.8069 5.02797 2.91554 37.6629 6.426 4.7051 39.9851 6.72266 5.61889 42.8697 7.22101 6.571 29.4424 1.74195 1.60748 33.7607 3.87448 4.79594 37.865 5.1536 6.98899 40.5006 5.54207 7.93162 43.113 6.24712 8.59146 29.1143 1.1455 2.46638 33.3327 2.73527 6.13661 36.9861 3.31125 8.64697 38.9866 3.44028 10.1656 41.2714 3.66035 11.6747 27.9965 -0.766991 2.16917 28.5623 -0.222415 3.52551 29.6966 -1.26507 6.49906 31.4426 -1.60118 8.65716 32.7176 -2.40843 11.6025 
27 9.14534e-08 -3.60649e-06 29.6672 2.64149 -0.0119455 33.9659 5.24172 1.25387 37.0713 7.343 1.58656 38.9162 8.26656 1.89338 41.2993 9.19626 2.30774 29.5653 2.18521 0.788782 33.8355 5.01424 2.87102 37.6837 6.46594 4.63429 40.0068 6.81923 5.52571 42.8769 7.40514 6.47705 29.4634 1.72894 1.58952 33.8321 3.82883 4.7305 37.938 5.14603 6.90126 40.565 5.61139 7.83303 43.155 6.37055 8.50647 29.155 1.11639 2.44441 33.4377 2.66649 6.05676 37.1082 3.22904 8.54501 39.1098 3.36957 10.0611 41.3941 3.62194 11.5592 28.0421 -0.797276 2.13659 28.6281 -0.274899 3.49306 29.8116 -1.36582 6.42991 31.601 -1.73425 8.5414 32.9496 -2.60834 11.4384 
27 -2.38426e-06 1.2975e-07 29.6583 2.6504 -0.0198985 33.9721 5.24246 1.21223 37.0427 7.39894 1.51414 38.8719 8.36196 1.79191 41.2391 9.34192 2.18066 29.5725 2.18156 0.77544 33.8726 4.98956 2.82434 37.7207 6.47602 4.55857 40.0438 6.87933 5.42836 42.9057 7.51928 6.3752 29.4866 1.71273 1.57079 33.9063 3.77622 4.66414 38.023 5.11147 6.80705 40.6496 5.62332 7.71519 43.2273 6.4125 8.39309 29.1958 1.08611 2.42164 33.5406 2.5936 5.97745 37.2393 3.13987 8.42728 39.2485 3.28462 9.93292 41.5431 3.56213 11.4066 28.0835 -0.826377 2.10474 28.6903 -0.324764 3.45986 29.9196 -1.46016 6.36083 31.7497 -1.85854 8.42613 33.1662 -2.79021 11.2753 
27 1.29801e-06 2.0148e-06 29.6529 2.65577 -0.0230791 33.9775 5.2383 1.18392 37.0173 7.44094 1.4632 38.8316 8.43407 1.73279 41.1769 9.47512 2.09459 29.5803 2.17535 0.76665 33.904 4.961 2.79246 37.7602 6.45493 4.5022 40.0793 6.90534 5.35951 42.9346 7.56705 6.29164 29.5077 1.69493 1.55638 33.9712 3.72011 4.61189 38.1047 5.0526 6.724 40.7379 5.57063 7.60922 43.2955 6.42711 8.28152 29.2314 1.05553 2.40253 33.6294 2.51653 5.91296 37.3641 3.04171 8.31934 39.3796 3.18348 9.8167 41.6887 3.45337 11.2707 28.1177 -0.854434 2.07543 28.7431 -0.368838 3.42795 30.0119 -1.54236 6.29655 31.8746 -1.97416 8.33124 33.3393 -2.94571 11.1406 
