Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 3.75951e-06 1.66522e-06 30.5643 1.14636 -0.271289 35.7148 1.3231 0.25257 39.3417 0.368515 -0.0711859 41.1463 -0.652504 -0.298131 43.4848 -1.73233 -0.0145967 30.3704 0.628364 0.472918 35.7051 0.82038 1.90821 39.852 -0.832554 2.21968 41.8806 -2.31389 2.14057 44.4037 -4.07819 1.96171 30.1765 0.110369 1.21713 35.391 -0.570895 3.59355 39.7935 -2.44679 4.18931 42.0693 -4.07473 3.79342 44.388 -5.49448 3.237 29.7366 -0.465044 2.03964 34.6214 -1.68535 4.89625 38.6084 -3.67694 5.34193 40.6074 -5.20276 5.36604 42.9632 -6.58408 5.24465 27.8267 -1.59008 1.75353 28.8109 -1.82499 2.95042 29.9276 -4.38861 4.79335 31.9101 -6.06138 5.80529 33.8684 -8.40113 7.0688 
27 8.46699e-06 6.10351e-06 30.5529 1.19755 -0.186336 35.6986 1.39578 0.386287 39.3589 0.558923 0.118678 41.2088 -0.382226 -0.087981 43.4851 -1.6206 -0.0759167 30.3597 0.640565 0.529348 35.6803 0.814604 2.01148 39.8495 -0.78029 2.3267 41.9217 -2.19963 2.23955 44.5387 -3.83281 2.06486 30.1665 0.0835789 1.24503 35.3712 -0.664083 3.62071 39.7952 -2.48669 4.20189 42.1176 -4.04146 3.78386 44.469 -5.39003 3.21629 29.7274 -0.537389 2.03417 34.6073 -1.84991 4.85921 38.6259 -3.79282 5.23093 40.6578 -5.27438 5.20007 43.0392 -6.60005 5.0439 27.8324 -1.6674 1.67737 28.8116 -1.9496 2.86809 29.9416 -4.58672 4.59565 31.9314 -6.28742 5.54447 33.8955 -8.6687 6.71893 
27 9.86384e-07 1.68615e-06 30.5419 1.23755 -0.122712 35.6833 1.45517 0.481029 39.3635 0.694899 0.261836 41.2485 -0.179484 0.0802086 43.4933 -1.45868 -0.118313 30.3513 0.650495 0.569221 35.6651 0.811411 2.07899 39.8559 -0.722689 2.40856 41.9657 -2.08659 2.33899 44.6234 -3.648 2.1608 30.1606 0.0634413 1.26115 35.3636 -0.733099 3.62537 39.8095 -2.50263 4.20399 42.1757 -3.99031 3.7832 44.5875 -5.2495 3.23912 29.7244 -0.592809 2.02285 34.6072 -1.97313 4.81171 38.6524 -3.86837 5.13133 40.7178 -5.30208 5.07305 43.1498 -6.54705 4.92067 27.8417 -1.72543 1.61279 28.819 -2.0447 2.79573 29.964 -4.72949 4.43783 31.9619 -6.4482 5.33595 33.9318 -8.86369 6.43377 
27 -6.49422e-06 -2.73121e-06 30.5336 1.26438 -0.0806514 35.6731 1.49155 0.535571 39.3658 0.783416 0.354939 41.2766 -0.0381601 0.198869 43.53 -1.28398 -0.0933319 30.3466 0.654299 0.592072 35.6599 0.798606 2.10893 39.8693 -0.68074 2.45234 42.0102 -1.99612 2.40459 44.6971 -3.50042 2.23476 30.1595 0.0442224 1.26479 35.3681 -0.796146 3.60402 39.8351 -2.5131 4.18511 42.2378 -3.9443 3.76922 44.7083 -5.1147 3.26514 29.7273 -0.638874 2.00487 34.6202 -2.07658 4.7485 38.6896 -3.9241 5.03123 40.7856 -5.31205 4.9595 43.2649 -6.47763 4.82848 27.8524 -1.77035 1.55755 28.831 -2.11868 2.73111 29.9915 -4.83714 4.30562 31.9966 -6.5695 5.1603 33.9708 -9.01198 6.19394 
27 1.89161e-06 2.36538e-06 30.5294 1.27709 -0.062673 35.6708 1.49797 0.54406 39.3732 0.836652 0.385802 41.3017 0.0544389 0.24637 43.589 -1.13249 -0.0275921 30.3469 0.649603 0.59513 35.6674 0.767639 2.09419 39.8925 -0.66499 2.4429 42.0604 -1.93571 2.40136 44.7669 -3.40011 2.26298 30.1644 0.0221181 1.25293 35.3874 -0.866191 3.5474 39.8782 -2.5273 4.13578 42.3074 -3.91588 3.72256 44.8147 -5.01712 3.24498 29.7373 -0.680836 1.97719 34.649 -2.17513 4.65799 38.7451 -3.96619 4.91939 40.8669 -5.31378 4.83777 43.3657 -6.43734 4.72086 27.8641 -1.80651 1.50883 28.8487 -2.17647 2.67068 30.0256 -4.9244 4.18048 32.0381 -6.66875 4.99215 34.0161 -9.1204 5.98544 
27 1.02774e-05 7.46197e-06 30.5285 1.27968 -0.0599423 35.6741 1.48406 0.520824 39.3827 0.856086 0.373257 41.3234 0.102672 0.244053 43.6338 -1.04215 -0.0146325 30.3508 0.638236 0.58559 35.6826 0.723097 2.04947 39.9196 -0.675134 2.39392 42.1087 -1.90885 2.3529 44.8302 -3.34311 2.24274 30.173 -0.00320335 1.23112 35.4147 -0.942995 3.46779 39.9251 -2.56098 4.05697 42.3748 -3.91537 3.64673 44.9074 -4.96256 3.18154 29.7512 -0.721617 1.94318 34.6856 -2.27344 4.5507 38.8044 -4.01464 4.79206 40.9485 -5.32622 4.70638 43.4614 -6.41763 4.6031 27.8751 -1.83787 1.46396 28.8679 -2.22691 2.6125 30.0588 -4.99988 4.06449 32.072 -6.76065 4.83744 34.0393 -9.22795 5.80201 
27 1.67309e-06 9.31168e-07 30.5285 1.2797 -0.0627383 35.6779 1.46851 0.478368 39.3895 0.857951 0.331215 41.3397 0.12851 0.207632 43.6502 -1.00106 -0.0562541 30.3561 0.624385 0.570183 35.7007 0.674736 1.98737 39.9449 -0.706356 2.31119 42.1501 -1.91112 2.26892 44.8972 -3.30108 2.17243 30.1836 -0.0309219 1.20311 35.4467 -1.0225 3.37029 39.9691 -2.62019 3.93175 42.446 -3.92496 3.54138 44.9895 -4.93209 3.04823 29.7676 -0.764568 1.90298 34.7273 -2.37591 4.42781 38.8631 -4.08268 4.62981 41.0309 -5.35508 4.55002 43.5657 -6.39379 4.45286 27.8869 -1.86959 1.41588 28.889 -2.28027 2.54881 30.0919 -5.07731 3.94349 32.09 -6.87431 4.67828 33.9986 -9.40633 5.59978 
27 -6.93126e-06 -5.59964e-06 30.5289 1.27816 -0.0724769 35.6826 1.45059 0.420292 39.3967 0.857383 0.26564 41.3534 0.146138 0.13837 43.6596 -0.974737 -0.14232 30.3623 0.609973 0.548448 35.7215 0.626083 1.90967 39.9727 -0.739909 2.20429 42.1901 -1.92169 2.15265 44.9587 -3.27335 2.06251 30.1958 -0.0582076 1.16938 35.4823 -1.09973 3.25878 40.0144 -2.68387 3.7805 42.5176 -3.93846 3.41158 45.0711 -4.90767 2.89428 29.7863 -0.805924 1.85812 34.7737 -2.47419 4.29274 38.9245 -4.15008 4.44868 41.1107 -5.39035 4.36555 43.6627 -6.38464 4.26403 27.8997 -1.89923 1.36757 28.9123 -2.33211 2.4827 30.1274 -5.15277 3.81799 32.1168 -6.98087 4.51084 33.9824 -9.5646 5.3841 
27 -1.76654e-06 -3.25977e-06 30.5307 1.27192 -0.091753 35.6907 1.41835 0.346611 39.4082 0.848871 0.185064 41.3647 0.137182 0.0583053 43.6813 -0.968969 -0.215262 30.3701 0.592805 0.518796 35.7454 0.56972 1.81455 40.0035 -0.776877 2.08169 42.2284 -1.94342 2.01111 45.0079 -3.27059 1.91997 30.2095 -0.0863074 1.12935 35.5205 -1.18042 3.13401 40.0628 -2.7487 3.61291 42.5791 -3.97629 3.23512 45.1453 -4.91061 2.71679 29.8066 -0.845682 1.80919 34.823 -2.56993 4.14619 38.9869 -4.21377 4.25783 41.1837 -5.43479 4.14866 43.7592 -6.38517 4.05941 27.9117 -1.92587 1.32156 28.9364 -2.38092 2.41663 30.1606 -5.226 3.69043 32.1587 -7.06498 4.34113 34.0407 -9.64589 5.18698 
27 3.39817e-06 -9.19913e-07 30.5326 1.26442 -0.115997 35.6986 1.38391 0.263256 39.4186 0.834078 0.0912954 41.374 0.11957 -0.0366719 43.7045 -0.969745 -0.295243 30.3781 0.575505 0.485055 35.7695 0.513303 1.71069 40.0331 -0.81778 1.9476 42.2639 -1.97159 1.8566 45.0466 -3.28642 1.75956 30.2236 -0.11341 1.08611 35.559 -1.25802 3.00246 40.1102 -2.81419 3.43439 42.6346 -4.02102 3.03811 45.2085 -4.92803 2.50978 29.8274 -0.883138 1.75821 34.8721 -2.66037 3.99537 39.0465 -4.27739 4.05779 41.2516 -5.48194 3.92026 43.8482 -6.39243 3.84059 27.9234 -1.95018 1.27703 28.9605 -2.42654 2.35117 30.1935 -5.29495 3.56267 32.2016 -7.14357 4.16609 34.1069 -9.71904 4.97568 
