Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 2.11521e-06 1.192e-07 29.9871 2.14708 -0.747568 34.6018 4.49289 -0.529945 38.1198 3.15508 -0.463047 40.0182 2.45345 0.041203 38.0481 3.29181 1.50104 29.8686 1.93072 0.146242 34.511 4.70897 1.28795 38.8278 3.53477 1.39594 40.7285 1.89229 1.47253 41.5211 -0.560812 3.15462 29.7501 1.71437 1.04005 34.5059 3.97788 3.4106 39.1049 4.83748 4.6076 41.8921 4.79947 5.0722 44.6321 5.22931 5.25879 29.4096 1.39156 2.0305 33.9402 3.28114 5.1319 38.2864 3.83051 6.03485 40.7542 3.9738 6.56904 43.4293 4.53396 6.89675 28.0399 -0.360556 2.25284 29.0862 0.101788 3.32418 31.4013 -1.3702 5.24499 34.0701 -1.66178 6.0269 37.2823 -2.3768 6.35384 
27 9.06261e-07 -1.53235e-06 29.9257 2.29833 -0.499934 34.4552 4.77499 -0.0583049 37.8977 3.27815 -0.338776 39.7534 2.35685 -0.0979876 39.8049 3.54104 2.20643 29.8206 1.97261 0.36182 34.3813 4.74598 1.80492 38.645 3.40076 1.61326 40.3998 1.61388 1.40396 42.2074 -0.49851 2.72523 29.7156 1.64688 1.22358 34.4363 3.73585 3.81566 39.0205 4.45157 5.14932 41.8038 4.36504 5.63088 44.5377 4.78765 5.90318 29.3922 1.19809 2.16969 33.8954 2.80197 5.46528 38.2397 3.2616 6.43483 40.7046 3.33323 6.99003 43.3768 3.83395 7.43308 28.0688 -0.602952 2.1865 29.1234 -0.253935 3.29205 31.5346 -1.93488 4.89714 34.2429 -2.24188 5.52145 37.4987 -2.82206 5.5324 
27 -3.02688e-07 -3.1839e-06 29.8732 2.39844 -0.289785 34.3235 4.97483 0.3446 37.6669 3.3595 -0.27403 39.4335 2.25182 -0.326511 40.9207 2.48476 1.78276 29.782 1.9877 0.536481 34.2735 4.73675 2.22243 38.4666 3.25144 1.73503 40.0865 1.38834 1.26519 42.6052 -0.124209 2.18374 29.6907 1.57696 1.36275 34.3894 3.50896 4.11294 38.9687 4.05707 5.5311 41.7493 3.90767 6.0129 44.4796 4.30141 6.35505 29.3844 1.03084 2.26222 33.875 2.38394 5.68303 38.223 2.73922 6.68949 40.6876 2.73486 7.24468 43.3594 3.15814 7.7732 28.0988 -0.791146 2.1103 29.1596 -0.531591 3.23441 31.646 -2.33262 4.57222 34.3825 -2.62094 5.06956 37.6541 -3.05286 4.85284 
27 7.0238e-07 2.45315e-07 29.8279 2.46396 -0.153582 34.2121 5.11481 0.60374 37.4628 3.43934 -0.288192 39.0512 2.12134 -0.589077 40.8004 2.06116 1.32195 29.7542 1.99482 0.642799 34.2001 4.72439 2.47511 38.3231 3.16564 1.70289 39.8265 1.27802 1.00098 42.2842 -0.328267 1.92568 29.6805 1.52568 1.43919 34.381 3.34586 4.26041 38.9768 3.74328 5.67034 41.7619 3.53329 6.10068 44.4968 3.87834 6.46463 29.3949 0.912541 2.30154 33.9039 2.08459 5.75901 38.2641 2.33703 6.73809 40.736 2.26614 7.264 43.4126 2.63943 7.79719 28.1389 -0.9171 2.03682 29.2135 -0.716657 3.1599 31.7736 -2.54997 4.30023 34.5277 -2.82887 4.69519 37.7837 -3.20786 4.25273 
27 2.60524e-06 3.67453e-06 29.7945 2.50576 -0.0612993 34.1242 5.21288 0.779367 37.2705 3.47229 -0.334555 38.686 2.01267 -0.799973 40.5531 1.70821 0.97105 29.7368 1.99565 0.710853 34.1529 4.70786 2.63855 38.1967 3.08854 1.6134 39.5617 1.17915 0.715134 41.8221 -0.675305 1.67798 29.6791 1.48556 1.48301 34.3923 3.22114 4.33514 39.0107 3.48835 5.69571 41.8006 3.22502 6.06084 44.545 3.5188 6.41251 29.4123 0.825487 2.31623 33.9507 1.85983 5.77485 38.3254 2.03057 6.69264 40.8063 1.90619 7.17378 43.4913 2.23742 7.68241 28.1761 -1.00471 1.97334 29.2654 -0.84488 3.08876 31.8833 -2.68501 4.07679 34.6486 -2.9517 4.39426 37.883 -3.28024 3.78177 
27 5.19136e-06 2.97495e-06 29.7749 2.52823 0.00403584 34.0615 5.27687 0.903449 37.0651 3.42022 -0.401119 38.402 1.9149 -0.946194 40.2161 1.53538 0.865018 29.7301 1.98807 0.75635 34.1264 4.67458 2.75112 38.0738 2.97957 1.49773 39.2104 1.01073 0.426392 41.1554 -1.27232 1.11908 29.6854 1.44792 1.50867 34.4188 3.10653 4.37304 39.0593 3.27541 5.66549 41.8504 2.96551 5.98068 44.606 3.22625 6.29083 29.4334 0.753877 2.31857 34.0053 1.66646 5.76847 38.3908 1.79183 6.62012 40.8741 1.62797 7.05547 43.5734 1.90297 7.51995 28.2069 -1.07131 1.91897 29.3117 -0.944962 3.02333 31.9759 -2.78797 3.87271 34.749 -3.01876 4.14679 37.9788 -3.25048 3.47189 
27 6.87968e-06 1.45417e-06 29.759 2.54499 0.0504409 34.0088 5.33206 0.991843 36.8656 3.36181 -0.466432 38.1371 1.8199 -1.06352 39.8515 1.35963 0.824408 29.7256 1.98247 0.786782 34.1052 4.65083 2.82803 37.955 2.88744 1.38055 38.8529 0.863168 0.19221 40.1014 -1.8775 0.82882 29.6922 1.41994 1.52313 34.4448 3.02179 4.38792 39.1049 3.11504 5.60697 41.8958 2.76394 5.87759 44.6608 3.00525 6.13695 29.453 0.700551 2.3146 34.0561 1.52078 5.74736 38.4492 1.61449 6.53863 40.9321 1.42159 6.93017 43.6449 1.64724 7.33946 28.2337 -1.11992 1.87363 29.3525 -1.01661 2.96623 32.0547 -2.85666 3.69301 34.8341 -3.05314 3.92805 38.0595 -3.19625 3.2115 
27 2.48491e-06 -1.13109e-06 29.7312 2.57362 0.0941009 33.9374 5.41561 1.0758 36.6849 3.3824 -0.501393 37.902 1.81293 -1.13869 39.5852 1.24189 0.747004 29.71 1.99207 0.815977 34.0622 4.67234 2.8978 37.8329 2.87272 1.29492 38.5693 0.816125 0.0522707 38.8294 -1.80672 1.64235 29.6887 1.41053 1.53786 34.4469 2.99519 4.40267 39.1214 3.03876 5.55602 41.9146 2.66066 5.78199 44.682 2.91498 6.0066 29.464 0.668461 2.31243 34.0869 1.44343 5.72743 38.4864 1.52069 6.46306 40.9706 1.31559 6.81219 43.6924 1.52974 7.1638 28.2612 -1.15366 1.83444 29.3873 -1.05609 2.92004 32.1312 -2.87486 3.53577 34.9184 -3.02148 3.70615 38.1344 -3.06961 2.93703 
27 -1.90987e-06 -2.89515e-06 29.7065 2.59805 0.128862 33.8785 5.48569 1.14123 36.539 3.41632 -0.534867 37.7044 1.81664 -1.19332 39.341 1.14699 0.700919 29.6969 2.00061 0.837898 34.0286 4.69231 2.94757 37.7294 2.86838 1.21481 38.3363 0.78868 -0.0590082 38.163 -1.31226 2.18405 29.6874 1.40318 1.54694 34.4533 2.97726 4.40419 39.142 2.97786 5.4912 41.938 2.57636 5.67197 44.7067 2.84001 5.86818 29.4763 0.642084 2.30675 34.12 1.3833 5.69813 38.5256 1.44064 6.3795 41.0118 1.22274 6.68935 43.7401 1.43262 6.98967 28.2875 -1.18101 1.7984 29.4194 -1.08459 2.87817 32.1994 -2.87947 3.39322 34.9917 -2.98018 3.50266 38.2004 -2.94886 2.7027 
27 1.42053e-06 -9.44028e-07 29.6981 2.60535 0.156143 33.8621 5.50346 1.1899 36.4572 3.43306 -0.584499 37.57 1.79255 -1.23325 39.1541 1.08366 0.691212 29.6982 1.99281 0.852233 34.035 4.66477 2.97878 37.6707 2.82491 1.12892 38.1574 0.743861 -0.193342 37.8276 -1.64076 1.72503 29.6984 1.38026 1.54832 34.4885 2.91399 4.38745 39.1944 2.85312 5.4036 41.9907 2.43013 5.54515 44.7582 2.67044 5.71194 29.4983 0.602204 2.29378 34.1747 1.28417 5.64952 38.5875 1.29978 6.26759 41.0758 1.05205 6.53854 43.8096 1.2537 6.81368 28.3109 -1.21424 1.75892 29.4531 -1.12967 2.82878 32.2538 -2.9188 3.2421 35.048 -3.0026 3.30585 38.2575 -2.93366 2.51136 
