Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -3.56882e-06 -4.05542e-06 30.194 -0.340467 -1.9427 35.1231 0.30179 -3.40446 38.8007 -0.501542 -3.40093 40.8586 -0.583081 -3.07057 38.2757 -0.374292 -3.07732 30.1115 0.440698 -1.45003 35.1496 1.93681 -3.16997 39.159 1.62878 -1.21084 40.4735 0.80505 0.766394 41.249 -0.551658 3.41844 30.0289 1.22186 -0.95736 35.0763 3.84695 -1.96491 38.517 2.70943 1.2272 38.0833 1.20925 3.58247 36.3104 -0.299364 5.1017 29.7193 2.08424 -0.356038 34.7758 4.95912 -0.589305 39.0551 6.24907 -0.519877 41.463 6.82037 -0.0724434 44.0583 6.7764 0.844193 28.1397 1.87619 1.21144 29.0075 3.13319 0.860298 29.9735 5.89063 2.49704 31.7427 7.81552 3.49469 32.8619 10.6642 4.75158 
27 -2.39678e-06 -9.965e-07 30.2273 -0.373583 -1.88067 35.1896 0.228646 -3.24383 38.875 -0.537705 -3.27036 40.9403 -0.596708 -2.98493 38.3559 -0.438579 -3.09077 30.1403 0.411716 -1.39539 35.2221 1.86157 -3.02555 39.2233 1.59578 -1.04802 40.5829 0.814495 0.915943 41.532 -0.459489 3.55251 30.0533 1.19701 -0.910112 35.1353 3.78183 -1.83977 38.5329 2.67397 1.40841 38.1393 1.2 3.78715 36.4272 -0.328437 5.3554 29.7378 2.06565 -0.321005 34.8153 4.90671 -0.483491 39.1005 6.1709 -0.34285 41.5009 6.75303 0.130107 44.1218 6.80888 0.970185 28.1283 1.87855 1.21845 29.0097 3.12791 0.874099 29.9613 5.89585 2.50156 31.7233 7.81669 3.52537 32.8283 10.6635 4.80268 
27 2.56488e-07 8.67482e-07 30.2534 -0.409325 -1.82751 35.2449 0.146794 -3.10072 38.938 -0.57753 -3.17873 41.0115 -0.621851 -2.95697 38.4218 -0.710323 -2.97842 30.1655 0.378789 -1.34699 35.2873 1.77512 -2.89503 39.2906 1.54253 -0.910142 40.6891 0.796813 1.04027 41.8101 -0.415153 3.63834 30.0776 1.1669 -0.866464 35.1957 3.70277 -1.72322 38.551 2.61178 1.57424 38.176 1.14208 3.95861 36.5778 -0.389882 5.63968 29.7603 2.04076 -0.286114 34.8638 4.83539 -0.382482 39.1563 6.06426 -0.170033 41.553 6.64959 0.317435 44.1816 6.73341 1.13046 28.125 1.87412 1.22833 29.0229 3.11286 0.888309 29.9696 5.88423 2.51278 31.7218 7.80245 3.55234 32.8066 10.6566 4.82256 
27 2.69062e-06 1.77731e-06 30.2755 -0.442052 -1.77972 35.2919 0.0712231 -2.9706 38.9919 -0.608806 -3.10335 41.0712 -0.643372 -2.94225 38.5083 -1.0105 -2.83131 30.1873 0.348353 -1.30303 35.344 1.69504 -2.7756 39.3498 1.49414 -0.784714 40.787 0.780429 1.14944 42.0729 -0.37725 3.69533 30.0991 1.13876 -0.826344 35.2496 3.62882 -1.61606 38.5643 2.55181 1.72681 38.2045 1.08358 4.11443 36.7291 -0.447774 5.90469 29.7808 2.01711 -0.253383 34.9075 4.76776 -0.28909 39.2064 5.96038 -0.0100129 41.6008 6.54684 0.487287 44.2323 6.63772 1.29012 28.1228 1.86893 1.23817 29.0356 3.09781 0.901964 29.9798 5.8712 2.52445 31.7251 7.7873 3.57394 32.7961 10.6505 4.82666 
27 3.13861e-06 1.79984e-06 30.2959 -0.476357 -1.7325 35.3349 -0.00896249 -2.84433 39.0399 -0.647779 -3.03027 41.1227 -0.679623 -2.92188 38.5961 -1.2339 -2.76616 30.2072 0.317351 -1.26144 35.3964 1.61354 -2.66339 39.3982 1.44737 -0.667531 40.8897 0.765256 1.23669 42.3167 -0.336762 3.73157 30.1185 1.11106 -0.790372 35.299 3.55684 -1.52127 38.5729 2.49842 1.86742 38.2425 1.05291 4.27308 36.8568 -0.497398 6.11795 29.799 1.99497 -0.226657 34.9457 4.70678 -0.209376 39.2512 5.86023 0.126791 41.6461 6.43976 0.6301 44.2813 6.53736 1.41403 28.1199 1.86748 1.24299 29.0447 3.08884 0.912282 29.9879 5.86673 2.52765 31.7337 7.78045 3.58063 32.8112 10.6504 4.81154 
27 3.4994e-06 1.82237e-06 30.313 -0.506907 -1.69079 35.3696 -0.0783001 -2.73609 39.0774 -0.686864 -2.96456 41.1619 -0.719408 -2.8993 38.6762 -1.42617 -2.70617 30.224 0.289737 -1.22477 35.4405 1.54126 -2.56474 39.4374 1.40077 -0.563695 40.9778 0.751764 1.31303 42.5254 -0.291961 3.76068 30.135 1.08638 -0.75874 35.3416 3.49273 -1.4377 38.5771 2.45054 1.99264 38.2739 1.02912 4.41617 36.9625 -0.532544 6.30524 29.8147 1.97522 -0.203259 34.9786 4.65205 -0.139362 39.2901 5.76617 0.24829 41.6869 6.33655 0.752963 44.3263 6.44054 1.51606 28.1175 1.86628 1.24693 29.0525 3.08108 0.920799 29.9954 5.86327 2.52896 31.7446 7.77465 3.58044 32.8343 10.6517 4.78347 
27 5.43224e-06 3.95221e-06 30.3255 -0.528472 -1.65928 35.3946 -0.126958 -2.65363 39.1014 -0.738558 -2.8894 41.1864 -0.777461 -2.84329 38.7387 -1.60066 -2.62751 30.2374 0.268621 -1.19386 35.4766 1.48584 -2.48079 39.4688 1.33898 -0.469346 41.034 0.714819 1.39524 42.6828 -0.277341 3.80074 30.1492 1.06572 -0.728438 35.3802 3.43674 -1.3543 38.5842 2.39137 2.11312 38.2895 0.972618 4.53927 37.0499 -0.598387 6.46863 29.8296 1.95652 -0.175742 35.0111 4.59472 -0.0613443 39.3294 5.66007 0.382715 41.7284 6.22576 0.882247 44.3774 6.34826 1.61101 28.118 1.85847 1.25815 29.0616 3.06826 0.938386 30.0015 5.84651 2.55507 31.7584 7.75193 3.60469 32.8622 10.6344 4.77475 
27 6.8457e-06 6.04825e-06 30.3351 -0.545579 -1.63438 35.4136 -0.164923 -2.58776 39.1196 -0.782673 -2.8215 41.2045 -0.829993 -2.78617 38.8068 -1.7597 -2.46678 30.2477 0.251744 -1.1692 35.5045 1.44223 -2.4145 39.4918 1.28689 -0.392664 41.0749 0.681641 1.46297 42.8063 -0.265762 3.83248 30.1603 1.04907 -0.704023 35.4102 3.39147 -1.28702 38.586 2.33881 2.21264 38.2924 0.922154 4.64014 37.1086 -0.654187 6.59997 29.8414 1.94131 -0.153276 35.0368 4.5464 0.00311827 39.3598 5.57321 0.491129 41.7608 6.12972 0.991115 44.4143 6.25902 1.70457 28.1184 1.85178 1.26758 29.0691 3.05734 0.952644 30.0063 5.83159 2.57771 31.7686 7.73053 3.63001 32.8834 10.6137 4.77962 
27 -1.67849e-06 -4.1141e-06 30.3426 -0.560474 -1.61391 35.4278 -0.193917 -2.53692 39.1355 -0.794215 -2.78691 41.2187 -0.881231 -2.72869 38.8906 -1.90286 -2.22719 30.2551 0.238414 -1.15145 35.5216 1.40913 -2.36868 39.5057 1.26336 -0.342325 41.1097 0.674921 1.50083 42.8976 -0.232193 3.84662 30.1675 1.0373 -0.688995 35.4272 3.36167 -1.24753 38.576 2.31074 2.27284 38.2905 0.912504 4.71196 37.1361 -0.674531 6.68869 29.8482 1.93205 -0.142542 35.0504 4.51753 0.0373001 39.376 5.52993 0.547452 41.7792 6.07037 1.05444 44.4231 6.19988 1.78701 28.117 1.85182 1.26876 29.0736 3.05271 0.954142 30.011 5.82896 2.5757 31.7723 7.7257 3.63366 32.8862 10.6089 4.78109 
27 -1.02027e-05 -1.42765e-05 30.3479 -0.574654 -1.59788 35.4383 -0.223511 -2.49804 39.1475 -0.803223 -2.77246 41.2242 -0.956859 -2.65206 39.0665 -2.15526 -1.86235 30.2606 0.225829 -1.13812 35.5344 1.37751 -2.33457 39.5164 1.24321 -0.306974 41.1383 0.666371 1.52406 42.9671 -0.211834 3.8505 30.1734 1.02631 -0.678375 35.4408 3.3342 -1.22046 38.5634 2.28438 2.31765 38.2742 0.902567 4.76567 37.1308 -0.699182 6.74501 29.8543 1.92355 -0.135908 35.0625 4.49278 0.0595393 39.3906 5.49367 0.585628 41.7967 6.01799 1.09619 44.4302 6.15434 1.84873 28.1168 1.85235 1.26815 29.0786 3.04897 0.952919 30.0171 5.82851 2.56817 31.7779 7.72407 3.62896 32.8897 10.6089 4.77388 
