Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -5.12412e-06 -2.89166e-06 30.7327 -0.39174 -0.0712428 35.8418 0.438301 0.211681 35.527 1.56165 3.79066 33.5586 1.79284 4.44076 31.1454 2.58357 3.92455 30.42 0.458991 -0.266685 35.6857 2.11834 -0.630699 35.8345 3.23202 3.70094 33.6327 3.33159 4.90838 30.603 3.05423 4.43998 30.1072 1.30972 -0.462128 35.0461 4.24183 -0.879318 36.0122 5.60616 3.65134 33.6581 5.4003 5.20096 30.9818 5.17191 5.91672 29.541 2.21479 -0.709747 33.9975 5.92709 -0.852478 36.8578 8.94692 0.775865 37.8964 10.6011 2.36003 38.023 11.8763 4.78629 27.4326 2.46969 -0.0132994 28.3808 3.50442 -0.710765 28.2635 6.67799 0.352433 29.2343 9.11793 1.3133 29.6175 12.2506 2.29563 
27 -7.18814e-06 -3.00719e-06 30.7313 -0.398906 -0.101395 35.8451 0.420954 0.116971 35.5468 1.62737 3.67024 33.5628 1.82673 4.28223 31.1302 2.64479 3.92373 30.4179 0.449158 -0.307139 35.6823 2.0926 -0.752598 35.8455 3.2688 3.56196 33.6199 3.38783 4.72335 30.5995 3.06789 4.22313 30.1045 1.29723 -0.512885 35.0434 4.21342 -1.02707 36.0324 5.63569 3.48077 33.6642 5.44425 5.01074 30.9923 5.19998 5.7375 29.5372 2.19921 -0.769186 33.9948 5.90346 -1.01739 36.8421 8.96157 0.57082 37.8532 10.6343 2.153 37.9653 11.9084 4.58302 27.436 2.46847 -0.0563475 28.3827 3.49539 -0.76736 28.2768 6.65919 0.325743 29.2594 9.08933 1.2993 29.66 12.2017 2.34305 
27 -4.84959e-06 -1.94809e-06 30.7292 -0.404184 -0.145221 35.8465 0.405145 -0.0026207 35.5745 1.68151 3.52825 33.5821 1.84302 4.12382 31.1281 2.65448 3.93699 30.4141 0.44205 -0.355744 35.6734 2.07285 -0.890275 35.8668 3.2866 3.41262 33.623 3.43112 4.53551 30.6145 3.08741 3.98229 30.099 1.28829 -0.566268 35.0337 4.1919 -1.17729 36.0602 5.65105 3.31034 33.6817 5.46752 4.82525 31.0182 5.19308 5.57194 29.5293 2.18821 -0.824635 33.9839 5.88648 -1.17305 36.8228 8.97354 0.385277 37.8105 10.6547 1.97276 37.9174 11.916 4.41146 27.4378 2.46725 -0.0876723 28.381 3.49024 -0.808805 28.2931 6.63702 0.333905 29.2882 9.05094 1.33475 29.705 12.1312 2.46405 
27 -8.04964e-07 -8.88989e-07 30.7263 -0.410059 -0.196059 35.8459 0.386708 -0.134563 35.606 1.71956 3.37771 33.6093 1.84765 3.96738 31.1417 2.63849 3.94658 30.4091 0.435023 -0.408203 35.6613 2.05307 -1.03448 35.8941 3.29082 3.25962 33.6378 3.46233 4.3532 30.6427 3.10284 3.74043 30.092 1.28011 -0.620347 35.0207 4.17126 -1.32655 36.0937 5.65402 3.14245 33.7085 5.47477 4.64746 31.0548 5.16811 5.4161 29.5197 2.17885 -0.877046 33.9701 5.87058 -1.32103 36.8051 8.97889 0.212013 37.7755 10.6621 1.80758 37.8808 11.9044 4.25765 27.4394 2.46598 -0.11204 28.379 3.48656 -0.841266 28.3167 6.61265 0.358505 29.3283 9.00653 1.39047 29.7673 12.0492 2.60957 
27 3.05983e-06 -1.86685e-06 30.7222 -0.418406 -0.249033 35.844 0.362662 -0.270007 35.639 1.7369 3.2285 33.6399 1.84888 3.81315 31.1722 2.6336 3.91559 30.4035 0.425995 -0.46153 35.6482 2.02861 -1.17893 35.925 3.28624 3.10678 33.6626 3.48222 4.18352 30.6788 3.10724 3.52662 30.0847 1.2704 -0.674028 35.0077 4.14663 -1.47329 36.1312 5.64741 2.97722 33.7434 5.47039 4.47828 31.098 5.14081 5.26575 29.5104 2.16869 -0.927599 33.9576 5.85101 -1.46366 36.7934 8.97361 0.042373 37.7559 10.6558 1.6442 37.8606 11.8792 4.10538 27.4422 2.46442 -0.133457 28.3786 3.48261 -0.870183 28.3481 6.58793 0.383525 29.3835 8.96109 1.43939 29.8565 11.9681 2.73169 
27 6.46046e-06 -2.84471e-06 30.7168 -0.43003 -0.303652 35.8405 0.330844 -0.407489 35.6731 1.73312 3.08188 33.6733 1.83882 3.66486 31.2115 2.62396 3.86542 30.3972 0.414329 -0.515023 35.6345 1.99768 -1.32196 35.9585 3.26832 2.95659 33.6945 3.48634 4.0256 30.7199 3.10106 3.33368 30.0777 1.25869 -0.726397 34.9958 4.11652 -1.61521 36.1724 5.62724 2.81819 33.7844 5.4517 4.31905 31.1462 5.10568 5.12368 29.502 2.15748 -0.975194 33.948 5.82668 -1.59825 36.7899 8.9563 -0.116926 37.7518 10.6331 1.49171 37.8576 11.8354 3.96474 27.4469 2.46255 -0.151068 28.3812 3.47813 -0.894079 28.3918 6.56188 0.412083 29.4589 8.91211 1.4875 29.9778 11.8832 2.84314 
27 8.41629e-06 -1.88467e-06 30.7099 -0.445215 -0.360474 35.835 0.29055 -0.548407 35.7089 1.70792 2.93731 33.7104 1.81154 3.52543 31.2571 2.59808 3.8061 30.3903 0.399793 -0.569186 35.6201 1.95967 -1.46494 35.9951 3.23605 2.80773 33.7335 3.47381 3.8777 30.7659 3.08415 3.15894 30.0707 1.2448 -0.777899 34.9853 4.08041 -1.75355 36.2179 5.59252 2.66413 33.8329 5.41822 4.16775 31.2012 5.06194 4.98886 29.4947 2.14513 -1.02019 33.942 5.79721 -1.72582 36.7961 8.92687 -0.266555 37.7646 10.5936 1.34982 37.8706 11.77 3.83657 27.4539 2.46039 -0.164913 28.3873 3.47296 -0.913071 28.4496 6.53408 0.443918 29.557 8.85872 1.53419 30.1343 11.794 2.94361 
27 9.13022e-06 -2.31227e-07 30.7019 -0.467574 -0.411428 35.8287 0.233749 -0.67512 35.7422 1.65599 2.81164 33.7449 1.76112 3.40379 31.3047 2.55985 3.75363 30.3843 0.378869 -0.617402 35.6097 1.90552 -1.59237 36.0291 3.18241 2.67602 33.7707 3.43364 3.74954 30.8054 3.0511 3.01761 30.0667 1.22531 -0.823373 34.9834 4.02949 -1.8761 36.264 5.53559 2.52998 33.8807 5.36631 4.0345 31.2533 5.01028 4.86934 29.4925 2.12849 -1.05944 33.9483 5.75472 -1.83759 36.8197 8.87604 -0.393474 37.7983 10.5284 1.23234 37.904 11.6764 3.73331 27.4659 2.45736 -0.176354 28.4022 3.46469 -0.927881 28.5299 6.50393 0.472992 29.688 8.79958 1.57196 30.3399 11.6988 3.02325 
27 2.68287e-06 1.58237e-06 30.6938 -0.501947 -0.442339 35.8257 0.146886 -0.744095 35.7645 1.53664 2.75935 33.7638 1.64706 3.33839 31.3447 2.47809 3.75391 30.3832 0.348869 -0.64076 35.6158 1.82863 -1.64973 36.0519 3.06655 2.62845 33.7907 3.32001 3.69547 30.8163 3.05719 2.94755 30.0725 1.19968 -0.839187 35.0088 3.96044 -1.91557 36.3076 5.41549 2.50232 33.9159 5.24979 3.99439 31.286 4.90654 4.82704 29.5057 2.10998 -1.06541 33.9895 5.6975 -1.85801 36.8812 8.78446 -0.384515 37.8676 10.4048 1.26856 37.9695 11.5054 3.79149 27.4891 2.45362 -0.164991 28.4379 3.45653 -0.906808 28.6424 6.46403 0.552255 29.8633 8.71503 1.67532 30.6089 11.5634 3.18112 
27 -3.76448e-06 2.70255e-06 30.684 -0.545013 -0.47196 35.8219 0.0392831 -0.807197 35.7846 1.38283 2.71775 33.7799 1.50335 3.28109 31.3903 2.37691 3.7728 30.383 0.31146 -0.660605 35.6268 1.73295 -1.6962 36.0751 2.91591 2.59626 33.8089 3.1734 3.65167 30.82 3.09027 2.92025 30.082 1.16794 -0.849263 35.0455 3.87458 -1.93866 36.3556 5.25967 2.49832 33.9528 5.10079 3.97434 31.3206 4.77867 4.808 29.5253 2.08741 -1.06344 34.0472 5.62525 -1.85703 36.9659 8.66234 -0.341228 37.9633 10.2394 1.34663 38.0588 11.2781 3.89609 27.5194 2.44857 -0.146259 28.4853 3.4448 -0.874919 28.7789 6.41329 0.647439 30.074 8.60958 1.79539 30.9302 11.3985 3.35287 
