Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -1.96981e-06 -3.67444e-06 28.8192 2.85049 -1.63006 32.1958 6.52237 -3.09207 34.2854 3.40317 -3.39822 33.2692 1.75021 -2.63291 31.5865 1.35033 -0.695751 29.0652 2.67295 -0.753866 32.7625 6.77712 -1.08188 35.1328 3.17131 -2.27602 34.0903 1.0201 -1.49495 31.7543 -0.467368 -0.15205 29.3112 2.49543 0.122324 33.5976 6.28887 0.917862 36.3358 2.56182 -0.449421 34.973 0.134208 0.0396415 32.6793 -1.19538 0.899801 29.4198 2.15974 1.15994 34.0082 5.30084 2.82368 37.8159 3.37598 1.54559 37.7133 0.964346 0.838451 36.209 -1.30511 1.24626 28.7708 0.110365 1.77166 29.733 1.10117 2.51242 32.6542 -0.286857 3.38196 35.4451 -0.458886 3.33403 38.6385 -1.19445 2.95437 
27 -1.32429e-07 -3.75635e-06 28.8187 2.85633 -1.6203 32.1962 6.5312 -3.07165 34.2814 3.41173 -3.39569 33.2454 1.77082 -2.63103 31.5677 1.28432 -0.716894 29.0668 2.67404 -0.74566 32.7687 6.77475 -1.06151 35.1309 3.17101 -2.27967 34.0861 1.01896 -1.50232 31.7509 -0.475605 -0.165061 29.3148 2.49174 0.128975 33.6086 6.27529 0.933277 36.3381 2.5513 -0.459296 34.9727 0.124176 0.0244022 32.6742 -1.19615 0.884284 29.4257 2.15064 1.16459 34.0236 5.27675 2.83302 37.8263 3.35431 1.53463 37.719 0.945946 0.817507 36.2196 -1.32641 1.2236 28.7755 0.0990437 1.76759 29.7402 1.08649 2.50965 32.6627 -0.312698 3.35627 35.4545 -0.488582 3.30297 38.6487 -1.21883 2.93437 
27 1.87361e-06 -3.72023e-06 28.8189 2.85604 -1.62065 32.1979 6.52771 -3.07442 34.2826 3.41009 -3.40665 33.2187 1.792 -2.63165 31.5411 1.22574 -0.739552 29.0689 2.67204 -0.74694 32.7764 6.76723 -1.06508 35.1305 3.16256 -2.29531 34.0844 1.01228 -1.51487 31.7486 -0.479517 -0.175522 29.319 2.48803 0.126772 33.621 6.26345 0.92646 36.3414 2.53863 -0.479123 34.9753 0.112352 0.00840234 32.6718 -1.19921 0.865223 29.432 2.14518 1.16157 34.0401 5.26114 2.82357 37.8385 3.33787 1.51119 37.7277 0.930761 0.790223 36.2299 -1.34284 1.1944 28.7802 0.0936577 1.76313 29.7486 1.079 2.50316 32.6735 -0.325444 3.3328 35.467 -0.504 3.27367 38.6623 -1.2319 2.9094 
27 3.57153e-06 -3.46739e-06 28.8197 2.85412 -1.62307 32.201 6.52108 -3.08139 34.2902 3.40794 -3.41828 33.1974 1.81549 -2.63068 31.5197 1.16888 -0.764542 29.0713 2.66936 -0.749953 32.7843 6.75884 -1.07268 35.1321 3.15342 -2.31053 34.0854 1.0049 -1.52636 31.7495 -0.483584 -0.183893 29.3228 2.4846 0.123169 33.6326 6.25282 0.916557 36.3459 2.52741 -0.497352 34.9796 0.101472 -0.00450157 32.6711 -1.20206 0.846521 29.4374 2.14113 1.15758 34.0549 5.24885 2.81237 37.8506 3.32495 1.49001 37.7376 0.918312 0.766932 36.2408 -1.35638 1.16856 28.784 0.0902815 1.75956 29.756 1.07379 2.49717 32.6831 -0.334373 3.31255 35.4786 -0.515556 3.24788 38.6746 -1.24298 2.88397 
27 4.27213e-06 -1.12636e-06 28.8212 2.84895 -1.6305 32.2053 6.50788 -3.09981 34.3044 3.40135 -3.43693 33.1821 1.83753 -2.63346 31.5053 1.11071 -0.796256 29.0742 2.66492 -0.75764 32.7935 6.74718 -1.09208 35.1357 3.14006 -2.33221 34.089 0.994298 -1.54195 31.7532 -0.487851 -0.193093 29.3272 2.48089 0.115214 33.6456 6.2422 0.895679 36.3523 2.51487 -0.521236 34.9864 0.0893101 -0.0193706 32.6728 -1.20566 0.825309 29.4433 2.13859 1.14985 34.0708 5.23988 2.79202 37.8644 3.31373 1.46306 37.7498 0.906035 0.741478 36.2529 -1.36894 1.14104 28.7877 0.0896234 1.75584 29.7644 1.07165 2.4893 32.6925 -0.341135 3.29287 35.4898 -0.527633 3.22185 38.6855 -1.25978 2.85363 
27 4.40549e-06 9.97941e-07 28.8228 2.84291 -1.63926 32.21 6.49322 -3.12095 34.3138 3.38973 -3.45632 33.1749 1.84411 -2.64123 31.4997 1.07457 -0.819972 29.077 2.66016 -0.766509 32.8027 6.73524 -1.11444 35.1395 3.12605 -2.35471 34.093 0.983395 -1.55906 31.7541 -0.486217 -0.202337 29.3313 2.4774 0.106238 33.6579 6.23255 0.872374 36.3581 2.5027 -0.545396 34.9924 0.0778737 -0.0356316 32.6755 -1.21018 0.8073 29.4488 2.1369 1.14132 34.0856 5.23315 2.76982 37.8771 3.30403 1.43617 37.7619 0.894899 0.717155 36.2642 -1.37982 1.11519 28.791 0.0901528 1.75243 29.7721 1.07116 2.48132 32.701 -0.345722 3.27494 35.4989 -0.538524 3.19702 38.6935 -1.27788 2.82105 
27 6.45749e-07 -1.97616e-07 28.8247 2.83851 -1.6447 32.2159 6.48215 -3.13339 34.3128 3.37329 -3.46767 33.1843 1.81862 -2.6552 31.5047 1.10892 -0.813848 29.0798 2.65644 -0.772033 32.8111 6.72556 -1.12808 35.1421 3.11431 -2.37011 34.0951 0.974484 -1.57276 31.7488 -0.472251 -0.200028 29.3348 2.47436 0.100635 33.6681 6.22405 0.858106 36.3607 2.49148 -0.56212 34.9942 0.0675456 -0.0520043 32.6792 -1.21862 0.79893 29.453 2.13492 1.13598 34.097 5.22635 2.75582 37.8859 3.29381 1.41826 37.7705 0.884372 0.699116 36.2694 -1.38877 1.09529 28.7931 0.0897813 1.75026 29.7774 1.07018 2.47576 32.7074 -0.349286 3.26055 35.5041 -0.548561 3.17542 38.6952 -1.30063 2.7874 
27 -3.11399e-06 -1.67245e-06 28.8264 2.83411 -1.65037 32.2215 6.47099 -3.14656 34.3105 3.35563 -3.4798 33.2015 1.78421 -2.67278 31.5157 1.1644 -0.804794 29.0823 2.65274 -0.777799 32.8194 6.71594 -1.14263 35.1443 3.10207 -2.3862 34.0966 0.965223 -1.58702 31.7456 -0.45754 -0.189904 29.3382 2.47137 0.0947698 33.6781 6.21574 0.84294 36.3627 2.47978 -0.579461 34.9955 0.0565291 -0.0710641 32.6854 -1.22876 0.794269 29.4573 2.13301 1.13037 34.1082 5.21992 2.74082 37.8939 3.2833 1.39954 37.7777 0.87368 0.680363 36.272 -1.39696 1.07677 28.7954 0.0894858 1.74792 29.7824 1.06966 2.46998 32.7136 -0.351706 3.2469 35.5084 -0.557162 3.15361 38.6941 -1.32518 2.74994 
27 -2.68228e-06 -1.99827e-06 28.8275 2.82882 -1.65826 32.2257 6.45783 -3.16603 34.3076 3.33635 -3.49833 33.2177 1.75098 -2.69254 31.5288 1.19951 -0.806002 29.0848 2.64844 -0.785887 32.8276 6.70507 -1.16389 35.1465 3.0876 -2.40787 34.0979 0.95377 -1.60539 31.7481 -0.452936 -0.182451 29.342 2.46806 0.0864786 33.6892 6.20674 0.820773 36.3657 2.46626 -0.60258 34.998 0.0439191 -0.0946733 32.6935 -1.23834 0.791057 29.4625 2.13114 1.12239 34.1217 5.21344 2.71914 37.9033 3.27183 1.37355 37.7849 0.861477 0.656606 36.2748 -1.40618 1.0576 28.7988 0.0895739 1.74439 29.7889 1.06982 2.46219 32.721 -0.353474 3.23186 35.5137 -0.564094 3.12881 38.6938 -1.34613 2.70792 
27 -2.25056e-06 -2.04481e-06 28.8277 2.82278 -1.6683 32.2282 6.44292 -3.19165 34.3034 3.31553 -3.52355 33.2318 1.71898 -2.71542 31.5429 1.21456 -0.815775 29.087 2.6436 -0.796277 32.8356 6.69296 -1.19171 35.1481 3.07137 -2.4357 34.0975 0.940906 -1.62865 31.7537 -0.45513 -0.178061 29.3462 2.46442 0.0757419 33.7017 6.19708 0.791623 36.3697 2.45116 -0.632427 35.0017 0.0299291 -0.123999 32.7036 -1.24679 0.788382 29.4689 2.12923 1.11195 34.1376 5.20667 2.69064 37.914 3.25932 1.33916 37.792 0.84794 0.626039 36.2786 -1.41676 1.03483 28.8036 0.0898947 1.73949 29.7971 1.07032 2.45214 32.7299 -0.355459 3.2148 35.5195 -0.571315 3.10042 38.6938 -1.36663 2.66071 
27 -2.61825e-06 -1.13768e-06 28.8254 2.81688 -1.68078 32.2257 6.42807 -3.22487 34.295 3.295 -3.55973 33.2373 1.693 -2.74402 31.554 1.20084 -0.836227 29.0881 2.63868 -0.809583 32.842 6.68037 -1.22816 35.1474 3.05452 -2.47602 34.093 0.92793 -1.66395 31.761 -0.462915 -0.181556 29.3508 2.46047 0.0616058 33.7157 6.18642 0.752294 36.3738 2.43506 -0.676217 35.006 0.0147477 -0.167097 32.7149 -1.24972 0.782248 29.4773 2.12675 1.09783 34.1582 5.19853 2.65121 37.9268 3.24538 1.28925 37.7992 0.832684 0.581743 36.2846 -1.42982 1.00264 28.8112 0.0895985 1.73155 29.8091 1.07012 2.43804 32.7433 -0.358274 3.19023 35.5279 -0.577093 3.06032 38.696 -1.3801 2.5975 
27 -2.98594e-06 1.32432e-07 28.8245 2.80793 -1.69664 32.2263 6.4066 -3.26556 34.2898 3.26815 -3.59847 33.2392 1.66777 -2.77052 31.5636 1.18341 -0.853995 29.0903 2.63181 -0.825969 32.851 6.66375 -1.27243 35.1492 3.03166 -2.51837 34.0897 0.911004 -1.69747 31.7688 -0.475516 -0.189526 29.3562 2.4557 0.0446995 33.7315 6.1741 0.706073 36.3803 2.41557 -0.720869 35.0119 -0.00256821 -0.205787 32.7285 -1.25597 0.778286 29.4862 2.12486 1.08141 34.1796 5.19146 2.60602 37.941 3.23017 1.23861 37.8082 0.814988 0.540776 36.2926 -1.44444 0.977005 28.8183 0.0910397 1.724 29.8206 1.07233 2.42311 32.7557 -0.358336 3.1677 35.5356 -0.580026 3.02322 38.6982 -1.38956 2.53971 
27 -2.83301e-07 6.77215e-07 28.8292 2.79204 -1.71769 32.2393 6.3695 -3.31613 34.2952 3.22547 -3.63836 33.2411 1.6365 -2.79299 31.5753 1.16883 -0.863837 29.0967 2.62007 -0.846722 32.8697 6.63625 -1.32701 35.1574 2.9939 -2.56 34.091 0.882713 -1.72364 31.7773 -0.49751 -0.202389 29.3643 2.44811 0.0242412 33.7536 6.15511 0.652039 36.3929 2.3852 -0.761513 35.0201 -0.0276277 -0.231393 32.742 -1.27496 0.772152 29.496 2.12284 1.0625 34.2033 5.18257 2.55538 37.9589 3.20743 1.19183 37.8213 0.787907 0.508659 36.3016 -1.46589 0.959914 28.8232 0.0949857 1.71861 29.8309 1.07751 2.40822 32.7646 -0.356625 3.15141 35.5422 -0.585371 2.99639 38.6998 -1.40583 2.49916 
27 2.41934e-06 8.59018e-07 28.8371 2.77195 -1.74158 32.2602 6.32217 -3.37215 34.3072 3.17276 -3.6829 33.2444 1.60033 -2.81773 31.5937 1.1512 -0.871285 29.1061 2.60486 -0.870103 32.8956 6.60016 -1.38822 35.1692 2.94595 -2.60658 34.0948 0.846043 -1.7518 31.7891 -0.525811 -0.218812 29.3751 2.43777 0.001368 33.7822 6.12879 0.592038 36.4099 2.34516 -0.804568 35.0292 -0.0600446 -0.25611 32.7536 -1.30061 0.759893 29.508 2.11914 1.04154 34.232 5.16825 2.49934 37.9808 3.17514 1.14309 37.8383 0.750544 0.476607 36.3102 -1.49526 0.939474 28.8279 0.0988735 1.71339 29.8423 1.0821 2.39209 32.7739 -0.356603 3.13479 35.55 -0.594431 2.96983 38.7028 -1.42745 2.46049 
