Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -1.30741e-05 -7.22815e-06 30.6156 -0.605857 -0.807582 35.7774 -0.74928 -0.604987 36.9132 -1.53978 2.91268 35.9433 -1.79816 4.74051 34.084 -1.89915 6.53416 30.426 0.22266 -0.436951 35.8611 1.12542 -0.420875 37.6311 0.224486 3.57965 35.8784 -0.131125 5.34529 32.8801 -0.412866 6.04826 30.2364 1.05118 -0.0663207 35.5796 3.01461 0.783544 39.8465 3.33402 3.02603 42.226 3.43019 4.54565 44.7462 3.33715 5.71481 29.8019 1.9765 0.328809 34.8206 4.66004 1.54627 38.0874 6.45264 4.01514 39.833 7.74388 5.27336 41.6841 9.14239 6.72546 27.8064 1.96291 1.33538 29.0297 2.94063 1.39884 30.5245 3.47613 4.34746 32.8437 3.02654 5.85886 35.2004 1.60122 7.67493 
27 4.93908e-06 2.97861e-06 30.6178 -0.614666 -0.79091 35.7785 -0.772979 -0.564343 36.8919 -1.57362 2.95713 35.9123 -1.82866 4.77955 34.0339 -1.91824 6.55175 30.4286 0.213997 -0.420386 35.8666 1.10193 -0.376501 37.6189 0.209718 3.63558 35.8524 -0.144974 5.38758 32.852 -0.454546 6.06426 30.2395 1.04266 -0.0498631 35.584 2.99101 0.827353 39.8381 3.30121 3.10011 42.2093 3.39681 4.63297 44.7179 3.29291 5.82259 29.8056 1.96875 0.34408 34.8253 4.63864 1.58866 38.0841 6.41909 4.07691 39.8255 7.70855 5.34244 41.6707 9.09975 6.80809 27.8053 1.95951 1.34112 29.0319 2.93257 1.41139 30.5195 3.45274 4.36635 32.8301 2.99244 5.89102 35.1667 1.54807 7.72059 
27 3.82249e-06 -1.71918e-06 30.6195 -0.609725 -0.786694 35.7807 -0.763167 -0.553306 36.8939 -1.56393 2.96581 35.9064 -1.82396 4.78456 34.017 -1.91012 6.54712 30.4289 0.218437 -0.415806 35.8664 1.11237 -0.363183 37.6218 0.233638 3.65379 35.8493 -0.124377 5.39906 32.8534 -0.468602 6.05405 30.2383 1.0466 -0.044918 35.5798 3.00049 0.840691 39.8275 3.32265 3.12685 42.1962 3.42878 4.66321 44.699 3.32828 5.86144 29.8027 1.97188 0.34915 34.8174 4.64751 1.60259 38.0696 6.42907 4.09884 39.8063 7.72391 5.36452 41.6461 9.11426 6.83729 27.8012 1.95949 1.34359 29.0274 2.93287 1.41618 30.5148 3.44449 4.37277 32.8226 2.98268 5.90435 35.1486 1.52801 7.74173 
27 9.95659e-06 -1.49936e-06 30.6218 -0.613846 -0.772776 35.7824 -0.775358 -0.518954 36.8865 -1.57575 3.00029 35.8849 -1.83916 4.81082 33.9797 -1.91685 6.56 30.4308 0.214404 -0.402312 35.8697 1.10095 -0.327047 37.619 0.228219 3.69725 35.8336 -0.124496 5.43043 32.8416 -0.487373 6.05613 30.2397 1.04265 -0.0318478 35.5811 2.98906 0.875932 39.8197 3.32057 3.17748 42.1855 3.43512 4.7171 44.6842 3.34006 5.92027 29.8038 1.96832 0.360878 34.8163 4.63806 1.63526 38.0598 6.41335 4.14784 39.7921 7.70843 5.4182 41.6265 9.09371 6.9024 27.7983 1.958 1.34749 29.0261 2.92897 1.42536 30.505 3.42888 4.38822 32.8042 2.95998 5.93119 35.112 1.48865 7.77999 
27 2.86195e-06 -4.37198e-06 30.6228 -0.61195 -0.769742 35.7837 -0.772694 -0.512054 36.8911 -1.56741 3.0047 35.8817 -1.83468 4.81075 33.9666 -1.90598 6.55246 30.431 0.21632 -0.399733 35.8697 1.1053 -0.319718 37.6299 0.240372 3.70367 35.8337 -0.105049 5.42712 32.8487 -0.483801 6.04104 30.2391 1.0446 -0.0297176 35.5801 2.99346 0.882781 39.8213 3.35245 3.17165 42.1942 3.48595 4.69633 44.7002 3.41066 5.88109 29.8023 1.97014 0.362322 34.8116 4.6445 1.63989 38.0515 6.42075 4.15799 39.7814 7.71744 5.42863 41.6132 9.10234 6.91673 27.7961 1.95897 1.34738 29.0237 2.93009 1.42618 30.5002 3.42181 4.39159 32.7972 2.95152 5.93585 35.1019 1.47428 7.78464 
27 7.21163e-06 4.62812e-06 30.6241 -0.609019 -0.766112 35.7847 -0.770553 -0.503779 36.8898 -1.56775 3.01136 35.8755 -1.83895 4.81339 33.949 -1.90579 6.54334 30.4313 0.218668 -0.395256 35.8697 1.10944 -0.306911 37.64 0.24245 3.71161 35.8275 -0.0950578 5.4195 32.8483 -0.487533 6.03073 30.2386 1.04635 -0.024401 35.5795 2.99523 0.899323 39.828 3.38615 3.16198 42.2131 3.54178 4.66106 44.7334 3.49192 5.81144 29.8008 1.97115 0.368314 34.8062 4.6481 1.65594 38.0421 6.42021 4.18477 39.7697 7.71283 5.46175 41.5993 9.09541 6.95538 27.7934 1.95763 1.35091 29.0206 2.92892 1.43306 30.4911 3.40577 4.40391 32.7862 2.93176 5.94613 35.0939 1.45071 7.78769 
27 -1.06916e-05 -4.01426e-06 30.627 -0.59431 -0.763797 35.7878 -0.740846 -0.499396 36.8944 -1.53683 3.01408 35.8767 -1.81563 4.81255 33.9397 -1.88454 6.53147 30.4308 0.232106 -0.39189 35.8656 1.1421 -0.297281 37.6499 0.277352 3.71366 35.819 -0.0576331 5.40231 32.8466 -0.474393 6.02339 30.2347 1.05852 -0.0199812 35.57 3.02402 0.914198 39.8292 3.46637 3.13695 42.2306 3.65651 4.60064 44.7712 3.64492 5.70256 29.7931 1.98109 0.373708 34.7858 4.67681 1.67048 38.0133 6.45436 4.20985 39.7353 7.74547 5.49591 41.5603 9.13185 6.99281 27.7848 1.95858 1.35449 29.0084 2.9342 1.43997 30.4703 3.39937 4.41691 32.7662 2.92876 5.95332 35.0881 1.45458 7.78143 
27 -5.30173e-06 -7.18247e-07 30.6277 -0.568434 -0.779864 35.79 -0.68785 -0.538606 36.9168 -1.48802 2.96638 35.905 -1.78149 4.76543 33.9656 -1.86167 6.48237 30.4278 0.255261 -0.403949 35.8567 1.19809 -0.326606 37.6741 0.331297 3.66603 35.8317 -0.0115425 5.34312 32.8702 -0.465334 5.99429 30.2278 1.07894 -0.0280417 35.5568 3.07213 0.896751 39.8368 3.57359 3.05614 42.2613 3.80314 4.47075 44.8288 3.83461 5.50645 29.782 1.99716 0.37097 34.7609 4.72117 1.66058 37.9875 6.50601 4.19989 39.7072 7.79557 5.49194 41.5322 9.18702 6.9856 27.7777 1.95815 1.35925 28.9953 2.94114 1.44486 30.4605 3.3911 4.42252 32.766 2.92529 5.93987 35.1161 1.45968 7.73666 
27 1.67459e-05 3.47548e-06 30.6263 -0.548868 -0.800337 35.79 -0.648027 -0.589566 36.9445 -1.44728 2.9043 35.9388 -1.75178 4.70608 34.0009 -1.83767 6.42441 30.4243 0.272969 -0.421447 35.8485 1.2412 -0.371216 37.7008 0.378054 3.60324 35.8534 0.0297081 5.27346 32.9026 -0.458502 5.9586 30.2223 1.09479 -0.0425638 35.5487 3.10972 0.861454 39.8505 3.66545 2.95465 42.2974 3.93195 4.32037 44.8905 4.00188 5.28881 29.7741 2.00989 0.360937 34.7447 4.75696 1.63195 37.9767 6.54884 4.16311 39.698 7.83712 5.45623 41.5272 9.23363 6.94166 27.7753 1.9588 1.3597 28.9884 2.94764 1.44198 30.4625 3.3865 4.41692 32.7789 2.92345 5.91322 35.1553 1.46283 7.67717 
27 6.4671e-06 8.94547e-07 30.6263 -0.540817 -0.805959 35.7902 -0.634905 -0.604764 36.9567 -1.43502 2.88253 35.949 -1.74676 4.68198 34.0068 -1.83148 6.39268 30.4233 0.279952 -0.425296 35.8455 1.25715 -0.381045 37.7106 0.395102 3.58576 35.8573 0.0437992 5.24645 32.9116 -0.469183 5.9473 30.2203 1.10071 -0.0446409 35.5459 3.12179 0.85838 39.8582 3.7135 2.9137 42.3176 4.00551 4.24977 44.9279 4.10103 5.17105 29.7709 2.01424 0.361114 34.7363 4.7693 1.63228 37.969 6.55957 4.16688 39.6908 7.84399 5.46535 41.5211 9.24054 6.95074 27.7735 1.95768 1.36232 28.9848 2.94864 1.44539 30.4586 3.37532 4.42225 32.7803 2.90888 5.90923 35.1691 1.44644 7.65309 
