Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -6.36032e-06 -1.39808e-05 30.012 1.94984 -1.10359 34.8305 3.73122 -1.77747 36.7767 0.678892 -2.80967 36.3673 -1.36178 -2.70674 35.1161 -3.62246 -2.46403 30.037 1.64398 -0.228619 35.1022 3.83661 0.173358 37.0161 0.0263626 -1.16366 35.6112 -2.06034 -1.07693 33.023 -3.6489 -0.596343 30.062 1.33811 0.646349 35.3611 2.99778 2.23001 37.4704 -1.15197 1.00017 35.2947 -2.94352 0.793793 32.6942 -3.207 -0.152206 29.8763 0.935217 1.64853 35.1877 1.79613 3.83103 39.5345 0.80752 3.58672 41.8709 0.133782 2.94488 44.43 -0.687571 2.43637 28.3908 -0.704754 1.96355 29.719 -0.202461 2.62689 32.1125 -2.3934 3.45562 34.7644 -3.26861 3.31298 37.5181 -4.80882 2.33506 
27 -7.99959e-06 -9.95475e-06 30.0016 1.96661 -1.10215 34.8115 3.76841 -1.78285 36.7465 0.717531 -2.84034 36.3368 -1.32343 -2.74935 35.089 -3.58672 -2.52403 30.0315 1.65378 -0.229804 35.0929 3.85813 0.167265 36.9908 0.0491462 -1.20408 35.5876 -2.03831 -1.12543 33.004 -3.64144 -0.645917 30.0615 1.34095 0.642543 35.3648 3.00303 2.21533 37.4595 -1.14371 0.943179 35.2735 -2.9268 0.740752 32.6872 -3.19734 -0.241676 29.8817 0.929502 1.6423 35.2016 1.7859 3.80675 39.5482 0.793865 3.52696 41.8806 0.133734 2.86523 44.4469 -0.657651 2.34725 28.4021 -0.716866 1.95117 29.7312 -0.215779 2.61344 32.1328 -2.40671 3.41825 34.7836 -3.28142 3.25309 37.5092 -4.83009 2.21172 
27 1.27432e-05 6.7244e-06 29.9905 1.98238 -1.10391 34.793 3.80167 -1.79739 36.7216 0.757622 -2.88652 36.314 -1.28434 -2.81153 35.0707 -3.55024 -2.60447 30.0267 1.66199 -0.234551 35.086 3.8738 0.151474 36.9724 0.0716366 -1.26127 35.5746 -2.01897 -1.19177 32.9916 -3.61997 -0.701586 30.0629 1.34159 0.634811 35.3724 3.00076 2.18927 37.4541 -1.13984 0.868682 35.2639 -2.91902 0.668962 32.6817 -3.17659 -0.327455 29.8903 0.921047 1.63205 35.2227 1.76832 3.77077 39.5685 0.772931 3.44797 41.8962 0.126175 2.76008 44.4712 -0.634266 2.23079 28.4159 -0.731007 1.93587 29.7474 -0.232171 2.59499 32.1593 -2.42229 3.3709 34.8182 -3.27054 3.1984 37.5966 -4.7607 2.21423 
27 -1.67395e-07 3.14295e-07 29.9829 1.99067 -1.10968 34.7807 3.81574 -1.82031 36.7035 0.778638 -2.93923 36.2958 -1.26367 -2.87981 35.053 -3.52958 -2.68964 30.025 1.6638 -0.243004 35.0866 3.87258 0.126642 36.9601 0.0771988 -1.32569 35.5668 -2.01595 -1.26273 32.9739 -3.59534 -0.755833 30.0672 1.33692 0.623671 35.3883 2.98434 2.15523 37.4539 -1.15174 0.790209 35.2618 -2.92757 0.593639 32.6747 -3.15851 -0.396562 29.9015 0.908938 1.61891 35.2496 1.73933 3.7279 39.5919 0.737298 3.36138 41.914 0.100236 2.64636 44.497 -0.633534 2.10554 28.4292 -0.745396 1.92054 29.7648 -0.250876 2.5746 32.1834 -2.44328 3.32276 34.8531 -3.25757 3.15424 37.7187 -4.65474 2.29383 
27 -4.41975e-06 -1.29437e-05 29.9695 2.00976 -1.11126 34.7561 3.85956 -1.82891 36.6949 0.839801 -2.96603 36.2973 -1.20429 -2.91965 35.0651 -3.47629 -2.74652 30.0165 1.67871 -0.246422 35.0687 3.90771 0.116526 36.9556 0.128563 -1.36291 35.5776 -1.97444 -1.30577 32.9742 -3.53514 -0.794144 30.0635 1.34765 0.618414 35.3838 3.01075 2.13884 37.4618 -1.11054 0.744104 35.2807 -2.89688 0.546454 32.6854 -3.11208 -0.426741 29.9037 0.913891 1.61211 35.2574 1.75705 3.70506 39.6015 0.774363 3.31025 41.9237 0.157807 2.57676 44.5195 -0.53652 2.03192 28.4401 -0.748605 1.91111 29.7762 -0.251407 2.56229 32.208 -2.43441 3.29453 34.8914 -3.20548 3.13995 37.8403 -4.49569 2.40565 
27 1.20646e-05 4.48836e-06 29.9627 2.01595 -1.11822 34.7443 3.86901 -1.85214 36.6856 0.861061 -3.01401 36.2888 -1.18252 -2.98045 35.0594 -3.45728 -2.82289 30.0149 1.68032 -0.255449 35.0679 3.90692 0.090845 36.9505 0.138636 -1.42196 35.5783 -1.96793 -1.36859 32.9565 -3.50016 -0.861102 30.0671 1.34468 0.60732 35.3966 2.99941 2.10598 37.4699 -1.11261 0.674097 35.2938 -2.90194 0.478425 32.6801 -3.09076 -0.458261 29.9132 0.905648 1.59964 35.2803 1.7376 3.66548 39.6213 0.76137 3.23317 41.9395 0.156935 2.47634 44.5432 -0.507408 1.91915 28.4515 -0.758567 1.89853 29.792 -0.265618 2.54376 32.2276 -2.45174 3.25411 34.9172 -3.20052 3.09864 37.9124 -4.41839 2.43107 
27 1.09098e-05 4.24246e-06 29.9542 2.02792 -1.11906 34.7281 3.89549 -1.8576 36.6816 0.903017 -3.03631 36.2891 -1.14048 -3.01341 35.0708 -3.42327 -2.8713 30.0098 1.68901 -0.257789 35.0567 3.92639 0.0835203 36.9487 0.172122 -1.45282 35.585 -1.9399 -1.40481 32.9528 -3.45749 -0.917178 30.0654 1.35011 0.603489 35.3953 3.01152 2.09356 37.4795 -1.08636 0.634063 35.314 -2.88488 0.436408 32.6828 -3.05785 -0.463037 29.9156 0.906753 1.59451 35.2875 1.74334 3.64739 39.6299 0.787208 3.19155 41.9475 0.200915 2.41866 44.5606 -0.427999 1.85466 28.4591 -0.762359 1.89116 29.8013 -0.270247 2.5336 32.2426 -2.45386 3.2318 34.9373 -3.18316 3.07221 37.9578 -4.3492 2.4231 
27 -1.24888e-06 -5.1147e-06 29.9479 2.03821 -1.11678 34.7164 3.91746 -1.85642 36.6755 0.937861 -3.05607 36.2834 -1.10506 -3.04509 35.0758 -3.39579 -2.92012 30.0064 1.69503 -0.257389 35.0494 3.93829 0.0826164 36.9446 0.196547 -1.48104 35.5845 -1.91774 -1.44123 32.9475 -3.42949 -0.976531 30.065 1.35185 0.602003 35.3962 3.01303 2.0865 37.4853 -1.07178 0.594514 35.3273 -2.87587 0.393249 32.682 -3.03217 -0.471449 29.9185 0.90324 1.59117 35.2952 1.73633 3.63276 39.6384 0.796475 3.15386 41.9545 0.227351 2.36471 44.5744 -0.370851 1.79157 28.4654 -0.769651 1.88329 29.8096 -0.280837 2.52409 32.2539 -2.46549 3.20837 34.9502 -3.18572 3.03427 37.976 -4.32562 2.3581 
27 3.18041e-06 -8.54915e-07 29.9343 2.05624 -1.11953 34.6912 3.96301 -1.86531 36.6603 0.996223 -3.07972 36.2755 -1.04802 -3.07466 35.0841 -3.34798 -2.95943 29.9971 1.71088 -0.261309 35.0288 3.97867 0.0712512 36.9351 0.249776 -1.51117 35.5834 -1.86986 -1.47401 32.9522 -3.39114 -1.0207 30.0599 1.36553 0.596912 35.3871 3.04845 2.07086 37.4892 -1.02233 0.556133 35.3423 -2.8375 0.357717 32.6918 -2.98872 -0.48528 29.9187 0.913342 1.5852 35.2974 1.76571 3.61199 39.6445 0.853199 3.11204 41.9604 0.306432 2.30843 44.5861 -0.258122 1.72509 28.4749 -0.767677 1.87675 29.8191 -0.276079 2.51522 32.2747 -2.45092 3.19044 34.9725 -3.16019 2.99645 37.9935 -4.28485 2.26897 
27 -6.46912e-06 -4.81368e-06 29.9215 2.06776 -1.13181 34.6692 3.9917 -1.89948 36.632 1.02795 -3.13296 36.2528 -1.01808 -3.13046 35.0649 -3.31869 -3.01832 29.9906 1.72016 -0.27498 35.0174 4.00176 0.0334671 36.9158 0.277729 -1.57156 35.567 -1.84341 -1.53104 32.9409 -3.36997 -1.06982 30.0596 1.37256 0.581849 35.3912 3.06644 2.02787 37.4856 -0.999545 0.487265 35.3419 -2.81829 0.301211 32.6942 -2.95771 -0.534482 29.9258 0.917165 1.5697 35.3147 1.77777 3.56418 39.6612 0.879399 3.03039 41.972 0.346696 2.20675 44.5983 -0.195017 1.60411 28.4886 -0.768789 1.86538 29.8354 -0.276794 2.49815 32.3007 -2.44537 3.15778 34.9955 -3.15504 2.93308 37.9973 -4.28684 2.13666 
