Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 7.89946e-07 -9.78429e-07 30.2404 1.55494 -1.0833 35.2488 1.85189 -2.38115 38.7519 2.86441 -3.30548 40.6264 3.33552 -4.09214 42.806 4.36792 -5.04154 30.3165 0.880447 -0.451614 35.8155 1.10019 -0.976704 40.0417 0.386173 -2.24051 42.1638 -0.531847 -3.22541 44.89 -1.17453 -4.50076 30.3925 0.205956 0.180074 36.1077 -0.57654 0.343074 40.2732 -2.60487 -1.06258 42.1449 -4.07649 -2.59728 43.9011 -5.1325 -4.50119 30.2632 -0.566669 0.946541 35.8808 -1.99335 1.48509 39.6171 -4.16298 0.314276 41.4425 -5.45292 -0.822374 43.403 -6.94505 -2.03066 28.4076 -1.81075 1.01317 29.7469 -1.93962 1.81687 31.7546 -4.20946 3.24266 34.0992 -5.66017 3.70449 36.5419 -7.59092 4.81771 
27 1.06687e-06 1.68672e-06 30.2465 1.56052 -1.05667 35.2624 1.86296 -2.3241 38.7685 2.88165 -3.23139 40.643 3.35937 -4.01133 42.8288 4.38809 -4.95003 30.319 0.882703 -0.428127 35.8207 1.10548 -0.920546 40.0505 0.381614 -2.1768 42.1647 -0.549231 -3.16458 44.8896 -1.19315 -4.44062 30.3914 0.20489 0.200422 36.1045 -0.576817 0.394235 40.2509 -2.63858 -1.02551 42.0941 -4.13135 -2.57255 43.8073 -5.20153 -4.49646 30.2578 -0.571756 0.962061 35.8714 -2.00001 1.52559 39.5986 -4.18507 0.354821 41.4121 -5.48679 -0.786548 43.3509 -6.99709 -2.00589 28.4018 -1.81611 1.0116 29.7368 -1.95016 1.82164 31.7362 -4.22892 3.24476 34.0766 -5.68743 3.70773 36.5074 -7.63964 4.81169 
27 1.94858e-08 -1.11111e-06 30.2521 1.56534 -1.03215 35.2729 1.8709 -2.27911 38.7807 2.8943 -3.17476 40.6537 3.37806 -3.95179 42.8416 4.40583 -4.88407 30.3215 0.882375 -0.408856 35.8248 1.10352 -0.87935 40.0543 0.367922 -2.14242 42.1585 -0.572552 -3.1393 44.8788 -1.22262 -4.42097 30.3909 0.199408 0.214435 36.1013 -0.588126 0.425195 40.2245 -2.68218 -1.02189 42.0354 -4.19004 -2.58851 43.6922 -5.27206 -4.54076 30.2536 -0.583225 0.969268 35.8627 -2.02018 1.54281 39.5749 -4.22454 0.359436 41.374 -5.53581 -0.793568 43.2887 -7.06177 -2.03133 28.3961 -1.82582 1.00196 29.7281 -1.96929 1.81533 31.7195 -4.2628 3.22596 34.0519 -5.73609 3.68209 36.4655 -7.72259 4.76636 
27 -2.21499e-06 -3.47815e-06 30.2516 1.58125 -1.00916 35.2769 1.90868 -2.23136 38.7825 2.94953 -3.11575 40.6533 3.44356 -3.88971 42.8376 4.47935 -4.81855 30.3204 0.895578 -0.388773 35.8244 1.13845 -0.83164 40.0565 0.404098 -2.09815 42.1579 -0.53717 -3.0971 44.8785 -1.19139 -4.37681 30.3891 0.2099 0.231605 36.1001 -0.556878 0.468538 40.2097 -2.66958 -0.995468 41.9985 -4.18656 -2.57459 43.6053 -5.28037 -4.54851 30.2509 -0.576776 0.982054 35.8612 -1.99521 1.57749 39.567 -4.20874 0.390128 41.3585 -5.5253 -0.769734 43.2608 -7.05908 -2.01894 28.3976 -1.82582 0.999976 29.7261 -1.97026 1.8187 31.7172 -4.26587 3.22639 34.0496 -5.74627 3.68406 36.4509 -7.75624 4.75653 
27 2.53935e-07 7.38448e-07 30.2525 1.59206 -0.989044 35.2829 1.93537 -2.18381 38.7876 2.98828 -3.05801 40.658 3.4875 -3.82871 42.8401 4.52837 -4.75595 30.3198 0.905762 -0.369187 35.8247 1.16611 -0.780557 40.0574 0.424426 -2.04678 42.1582 -0.520412 -3.04172 44.8794 -1.18791 -4.31499 30.3872 0.219471 0.25067 36.0979 -0.528788 0.52096 40.1919 -2.66709 -0.951707 41.9607 -4.19784 -2.53731 43.5278 -5.31064 -4.52414 30.2471 -0.568596 0.999314 35.8573 -1.97005 1.6264 39.5546 -4.19917 0.441309 41.3372 -5.52634 -0.721708 43.2301 -7.07005 -1.97615 28.3973 -1.82305 1.00533 29.7217 -1.96655 1.83098 31.7088 -4.26228 3.24401 34.0399 -5.74832 3.70936 36.4291 -7.77647 4.77817 
27 1.25193e-06 1.20176e-06 30.2543 1.60243 -0.966243 35.2891 1.96102 -2.13421 38.7941 3.02382 -2.99627 40.665 3.52808 -3.76245 42.8475 4.57519 -4.68391 30.3198 0.913997 -0.348575 35.8253 1.18805 -0.729218 40.0556 0.437494 -1.99797 42.1559 -0.509773 -2.9916 44.8756 -1.18932 -4.26317 30.3854 0.225562 0.269092 36.0951 -0.510116 0.569039 40.1706 -2.67167 -0.920296 41.9189 -4.21327 -2.51718 43.4607 -5.33956 -4.51509 30.243 -0.565552 1.01409 35.852 -1.95737 1.66769 39.5388 -4.20002 0.475905 41.3104 -5.53635 -0.695169 43.1925 -7.08757 -1.95937 28.3959 -1.82385 1.00587 29.7162 -1.9696 1.83769 31.6968 -4.27206 3.24889 34.0264 -5.76228 3.71629 36.4096 -7.80335 4.77547 
27 -2.0679e-06 -4.76867e-06 30.2579 1.606 -0.947819 35.2967 1.97029 -2.09271 38.8041 3.03429 -2.94523 40.6758 3.54024 -3.70842 42.862 4.58935 -4.62314 30.321 0.916087 -0.331539 35.8272 1.19382 -0.685531 40.0522 0.426454 -1.95685 42.1496 -0.528589 -2.95039 44.8647 -1.22333 -4.22437 30.384 0.226182 0.284746 36.0916 -0.506809 0.610967 40.1452 -2.69601 -0.895317 41.8706 -4.2531 -2.50296 43.4 -5.39505 -4.5068 30.2387 -0.566786 1.02719 35.8445 -1.95861 1.70459 39.5185 -4.21829 0.506882 41.2768 -5.56703 -0.671216 43.1429 -7.13158 -1.94418 28.3921 -1.82577 1.00766 29.7085 -1.975 1.84491 31.6792 -4.28659 3.25516 34.0069 -5.77873 3.7236 36.3912 -7.82283 4.77391 
27 -5.98793e-06 -5.60692e-06 30.2641 1.60492 -0.928103 35.308 1.9679 -2.0468 38.8203 3.02702 -2.8866 40.6935 3.53291 -3.64605 42.8866 4.58133 -4.54978 30.3234 0.913757 -0.312855 35.8309 1.18786 -0.636981 40.0508 0.39973 -1.90586 42.1438 -0.567289 -2.89913 44.8541 -1.27799 -4.1751 30.3827 0.222596 0.302391 36.087 -0.515114 0.658538 40.1194 -2.73316 -0.859847 41.8222 -4.3079 -2.47596 43.3501 -5.46561 -4.48065 30.2329 -0.571695 1.04253 35.8334 -1.97057 1.74734 39.4958 -4.24834 0.549959 41.2419 -5.61037 -0.6315 43.0888 -7.19255 -1.91016 28.3853 -1.82898 1.01115 29.6972 -1.98288 1.8547 31.6539 -4.30547 3.26633 33.9791 -5.79815 3.7373 36.3685 -7.83858 4.78104 
27 5.25508e-06 2.33093e-06 30.2666 1.61083 -0.909007 35.315 1.98319 -2.00073 38.8299 3.04474 -2.82682 40.7033 3.55447 -3.58339 42.9007 4.60668 -4.47552 30.3237 0.919158 -0.294118 35.8318 1.20264 -0.587448 40.0497 0.404603 -1.85148 42.1397 -0.571204 -2.84475 44.8485 -1.29102 -4.12064 30.3807 0.227493 0.320775 36.0833 -0.500636 0.708987 40.1024 -2.73639 -0.816577 41.7887 -4.32469 -2.43821 43.3216 -5.49441 -4.44047 30.2282 -0.567739 1.05933 35.8264 -1.95893 1.79421 39.4858 -4.24439 0.603649 41.2258 -5.61491 -0.57733 43.0579 -7.21147 -1.8578 28.3827 -1.82782 1.01683 29.6902 -1.98216 1.86704 31.6384 -4.30896 3.2834 33.9649 -5.79531 3.75918 36.3647 -7.8241 4.79925 
27 -3.73974e-09 -3.37787e-06 30.271 1.60952 -0.895407 35.3232 1.97989 -1.96766 38.8417 3.03639 -2.78569 40.715 3.54462 -3.54356 42.9167 4.59463 -4.42989 30.3252 0.917711 -0.280426 35.8342 1.19947 -0.550838 40.048 0.38265 -1.81663 42.1306 -0.607202 -2.81375 44.8365 -1.34337 -4.09041 30.3795 0.225892 0.334552 36.0795 -0.503318 0.74782 40.0791 -2.76555 -0.787601 41.7455 -4.37022 -2.41484 43.2756 -5.5551 -4.4157 30.2236 -0.569418 1.07233 35.8179 -1.96278 1.83104 39.4692 -4.26314 0.646076 41.2005 -5.64558 -0.534712 43.0158 -7.25904 -1.81621 28.3777 -1.82865 1.02207 29.6818 -1.98496 1.87717 31.6194 -4.31776 3.29822 33.9435 -5.80441 3.77762 36.3455 -7.83218 4.81294 
