Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 3.4784e-06 1.95903e-06 28.7985 1.34429 -3.00831 31.9324 4.27336 -5.91392 34.3606 6.59568 -7.60493 35.9075 7.78752 -8.32633 37.6693 8.9337 -9.85271 28.4635 1.98519 -2.42802 31.0359 5.79727 -5.49797 34.2704 8.72373 -6.48785 36.2979 10.2051 -6.33369 38.8087 11.9849 -6.49003 28.1284 2.62611 -1.84773 30.3904 7.4304 -4.11949 34.011 10.61 -4.39898 36.4938 11.8103 -3.77445 39.157 12.3246 -3.1725 27.6214 3.21349 -1.07373 29.4744 8.46137 -2.75883 33.4243 10.3422 -1.84164 35.0587 9.3695 -0.184989 35.15 7.7791 2.06559 27.1745 2.32314 0.926993 27.5321 3.71397 0.299316 29.2497 5.73877 2.34027 31.5289 7.32891 2.64985 34.5038 8.56747 3.38674 
27 -5.57984e-06 5.11107e-06 28.7686 1.32451 -3.03473 31.8506 4.24785 -6.00084 34.254 6.57234 -7.72355 35.7836 7.77876 -8.45589 37.5363 8.91614 -9.99778 28.4276 1.96922 -2.46218 30.9343 5.76897 -5.60033 34.1353 8.71834 -6.63369 36.1503 10.2177 -6.49428 38.6477 12.0147 -6.65656 28.0865 2.61392 -1.88963 30.2733 7.41474 -4.24083 33.8631 10.6229 -4.56717 36.3366 11.8438 -3.94714 38.9904 12.3664 -3.31778 27.5751 3.20565 -1.1219 29.3481 8.45414 -2.88865 33.2837 10.3748 -2.00302 34.9208 9.43589 -0.330448 34.9979 7.87285 1.93626 27.1479 2.33818 0.893155 27.4871 3.72259 0.241466 29.206 5.78117 2.24727 31.4739 7.39565 2.50797 34.4444 8.67581 3.18256 
27 8.70205e-06 -3.02065e-07 28.7356 1.30575 -3.06178 31.7609 4.22604 -6.08913 34.1381 6.55459 -7.84435 35.6479 7.77706 -8.58859 37.3911 8.90898 -10.1421 28.389 1.95374 -2.49636 30.8258 5.74179 -5.70281 33.9916 8.71488 -6.77995 35.9931 10.2328 -6.65664 38.475 12.0492 -6.8252 28.0423 2.60172 -1.93095 30.1507 7.39873 -4.36038 33.7065 10.6377 -4.73468 36.1696 11.8821 -4.12606 38.8141 12.4116 -3.47067 27.5269 3.19719 -1.16877 29.2183 8.44421 -3.0159 33.1394 10.4077 -2.16451 34.7821 9.50104 -0.480611 34.8567 7.9616 1.80021 27.1214 2.35203 0.860182 27.4409 3.72993 0.185195 29.1592 5.82393 2.15456 31.4163 7.46087 2.36588 34.3838 8.77547 2.97676 
27 -1.02169e-05 6.19875e-07 28.7029 1.2737 -3.09348 31.6755 4.17417 -6.19124 34.029 6.49709 -7.9886 35.5225 7.72787 -8.75008 37.2576 8.85039 -10.3159 28.3534 1.92719 -2.53621 30.7279 5.68702 -5.82186 33.8647 8.67082 -6.95446 35.857 10.2016 -6.85511 38.3283 12.0296 -7.0365 28.0039 2.58068 -1.97894 30.0461 7.35972 -4.49908 33.5753 10.6184 -4.93395 36.0319 11.8827 -4.34791 38.6705 12.4137 -3.67457 27.4874 3.18312 -1.22299 29.1125 8.41616 -3.16397 33.0264 10.4142 -2.3576 34.6759 9.53875 -0.665789 34.7589 8.02516 1.63198 27.1033 2.36657 0.821793 27.4065 3.73496 0.120463 29.1304 5.86527 2.0455 31.3828 7.51479 2.20272 34.3543 8.84639 2.74603 
27 3.72419e-06 2.2698e-06 28.6834 1.24134 -3.11724 31.6151 4.12272 -6.27162 33.9483 6.44269 -8.10277 35.4296 7.68012 -8.87616 37.1613 8.80019 -10.4452 28.3279 1.90003 -2.56993 30.6524 5.63094 -5.92416 33.7613 8.62671 -7.1011 35.7418 10.1725 -7.01984 38.2021 12.0133 -7.2044 27.9725 2.55874 -2.02261 29.9562 7.31844 -4.62474 33.4564 10.5999 -5.10693 35.9027 11.888 -4.53565 38.5347 12.429 -3.84191 27.4511 3.16784 -1.27547 29.0153 8.38604 -3.30447 32.9171 10.4235 -2.52861 34.5687 9.5836 -0.824067 34.6615 8.09676 1.49013 27.0796 2.38059 0.783072 27.3684 3.73909 0.0568832 29.0842 5.90949 1.94394 31.3287 7.57045 2.05991 34.3013 8.91475 2.55463 
27 6.86231e-07 -7.08214e-06 28.654 1.20103 -3.1486 31.5403 4.05056 -6.37337 33.8508 6.35867 -8.25053 35.3227 7.59472 -9.04403 37.0459 8.71028 -10.6256 28.2971 1.8662 -2.61017 30.5683 5.55687 -6.04446 33.653 8.55253 -7.28344 35.6267 10.1075 -7.23251 38.0812 11.9515 -7.43621 27.9402 2.53138 -2.07174 29.8682 7.26155 -4.76714 33.3468 10.5533 -5.31655 35.7896 11.8588 -4.7717 38.4234 12.4107 -4.08297 27.4189 3.14912 -1.33159 28.9285 8.34338 -3.45845 32.8286 10.4078 -2.73428 34.4892 9.60348 -1.02537 34.6022 8.14693 1.30613 27.0665 2.39401 0.742299 27.3414 3.74098 -0.0103083 29.0601 5.94949 1.82927 31.3016 7.616 1.89697 34.2795 8.96438 2.33674 
27 8.60874e-07 -8.93299e-06 28.6293 1.15423 -3.17883 31.4767 3.96256 -6.47353 33.7694 6.25246 -8.39524 35.2361 7.48251 -9.20894 36.9536 8.59119 -10.8044 28.2705 1.82673 -2.65085 30.495 5.46861 -6.1666 33.5597 8.45771 -7.46848 35.5278 10.0201 -7.44898 37.9784 11.8638 -7.67707 27.9117 2.49923 -2.12286 29.7898 7.19263 -4.91604 33.2501 10.4893 -5.53489 35.6899 11.8111 -5.01342 38.3278 12.3809 -4.33948 27.3899 3.12687 -1.39148 28.8492 8.29193 -3.62203 32.7483 10.3799 -2.94973 34.4185 9.61657 -1.23151 34.549 8.19835 1.12088 27.0535 2.40768 0.697781 27.3154 3.74169 -0.08204 29.031 5.99232 1.70886 31.2671 7.66703 1.73247 34.2449 9.02685 2.12693 
27 -2.47686e-07 4.37807e-06 28.5929 1.10699 -3.21387 31.3909 3.87002 -6.58764 33.6628 6.13889 -8.55784 35.1235 7.36048 -9.39624 36.8315 8.45953 -11.0118 28.2345 1.78662 -2.69481 30.4006 5.37755 -6.29813 33.4443 8.35561 -7.67198 35.408 9.92313 -7.69044 37.8549 11.7645 -7.95634 27.8761 2.46624 -2.17575 29.6954 7.12054 -5.07185 33.1387 10.4169 -5.77229 35.5784 11.7528 -5.28108 38.2238 12.3419 -4.63833 27.3569 3.10366 -1.45102 28.7584 8.23827 -3.7884 32.6599 10.3449 -3.18264 34.3447 9.6245 -1.46378 34.4967 8.2471 0.909513 27.0442 2.42018 0.653841 27.29 3.74141 -0.152506 29.0056 6.03425 1.58397 31.2323 7.72196 1.55858 34.2043 9.10613 1.90333 
27 -5.09786e-06 2.22498e-06 28.5639 1.0579 -3.24453 31.3207 3.7706 -6.69139 33.579 6.01701 -8.70117 35.037 7.22871 -9.56018 36.7416 8.31462 -11.1908 28.2045 1.74464 -2.73558 30.3201 5.28098 -6.42175 33.3487 8.24468 -7.85891 35.308 9.81603 -7.90951 37.7509 11.6561 -8.2086 27.8452 2.43137 -2.22665 29.6113 7.04298 -5.22261 33.0411 10.3359 -5.99608 35.4794 11.6853 -5.52916 38.1287 12.2931 -4.91081 27.3267 3.07866 -1.51019 28.6739 8.18042 -3.95199 32.5754 10.3045 -3.40355 34.2707 9.62772 -1.68003 34.4374 8.29304 0.715365 27.0326 2.43204 0.608954 27.2636 3.74033 -0.222492 28.9711 6.07697 1.46274 31.1832 7.78387 1.39475 34.141 9.20783 1.69972 
27 -3.39301e-06 -5.76854e-06 28.5311 1.01347 -3.27419 31.2434 3.67844 -6.79242 33.4871 5.9064 -8.83791 34.9417 7.10927 -9.71616 36.6432 8.18236 -11.3601 28.1714 1.70632 -2.77387 30.2325 5.19183 -6.53848 33.2469 8.14111 -8.03513 35.2013 9.71497 -8.11533 37.6389 11.5568 -8.44309 27.8117 2.39917 -2.27356 29.5213 6.97046 -5.36275 32.9388 10.2587 -6.20524 35.376 11.6201 -5.76386 38.0269 12.2413 -5.16694 27.2947 3.05502 -1.56383 28.5848 8.12577 -4.10156 32.4855 10.2668 -3.61074 34.193 9.62726 -1.88632 34.3796 8.32949 0.528191 27.0217 2.44203 0.568088 27.2368 3.7388 -0.285366 28.9373 6.11555 1.35024 31.1311 7.84503 1.24043 34.0707 9.31689 1.50524 
