Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -2.02525e-06 -2.1439e-06 29.2196 1.74218 -2.47587 33.1202 4.3128 -4.70347 36.4801 2.64108 -4.4326 37.0669 1.15279 -3.08946 36.8215 -0.474723 -1.0896 29.2458 2.08129 -1.61328 33.1934 5.5453 -3.33763 37.5125 4.45686 -2.96617 37.7208 2.34969 -1.61247 36.0525 0.333574 0.00839256 29.272 2.42041 -0.750692 33.4762 6.31791 -1.24468 38.0889 5.0678 -0.550548 38.1848 2.55191 0.732821 36.8294 0.326657 1.70147 29.1227 2.69627 0.299427 33.5132 6.48501 0.65241 37.5095 8.46442 0.348484 40.0101 8.55122 0.143075 42.2674 7.04801 0.618507 28.3001 1.22055 1.7626 28.8243 2.67182 2.03706 30.1096 4.44752 4.56893 32.1098 5.90204 5.87386 34.0104 7.68786 7.90119 
27 -4.18e-07 2.19741e-06 29.204 1.72034 -2.50492 33.0871 4.27595 -4.78622 36.4007 2.52331 -4.45809 36.9212 1.05724 -3.06873 36.5409 -0.484913 -1.02166 29.2386 2.06449 -1.64462 33.1759 5.51409 -3.42556 37.4612 4.31629 -3.04257 37.5666 2.22894 -1.64691 35.8547 0.289842 0.0217797 29.2731 2.40864 -0.784321 33.4816 6.29546 -1.33886 38.071 4.96496 -0.639172 38.0615 2.46902 0.686017 36.6313 0.284893 1.64045 29.1337 2.69122 0.265359 33.5435 6.46742 0.559565 37.5287 8.45323 0.164982 40.0246 8.52609 -0.0924088 42.2741 7.00774 0.367958 28.3188 1.22685 1.74422 28.8452 2.67929 2.00812 30.1482 4.45785 4.52894 32.1508 5.9139 5.82975 34.0392 7.7079 7.86316 
27 2.04937e-06 -4.80858e-06 29.196 1.69325 -2.53029 33.0745 4.21567 -4.86268 36.3293 2.36281 -4.48471 36.777 0.910146 -3.05644 36.2826 -0.55044 -0.973769 29.2422 2.03903 -1.6712 33.1874 5.45376 -3.50114 37.4288 4.11803 -3.11068 37.4057 2.04795 -1.6858 35.8165 0.0380443 0.0201214 29.2885 2.38482 -0.812098 33.5241 6.23587 -1.41928 38.0755 4.78483 -0.71145 37.9385 2.30816 0.642512 36.4395 0.166461 1.58751 29.1619 2.67114 0.238207 33.612 6.40345 0.482334 37.6067 8.35503 0.0193428 40.0985 8.39375 -0.280862 42.3264 6.8413 0.162874 28.3474 1.2181 1.7284 28.8861 2.66699 1.98681 30.2217 4.43077 4.50101 32.2394 5.86938 5.80057 34.1347 7.64748 7.84492 
27 2.05465e-07 -5.22128e-06 29.1698 1.68589 -2.55764 33.0144 4.21529 -4.94476 36.2268 2.30288 -4.50482 36.6151 0.870223 -3.03946 36.0714 -0.523734 -0.923688 29.2225 2.03615 -1.70074 33.136 5.45912 -3.58519 37.3471 4.03864 -3.175 37.2259 1.99409 -1.71857 35.788 -0.0997174 0.0203774 29.2753 2.38641 -0.843827 33.4903 6.25184 -1.51016 38.0139 4.72937 -0.774544 37.7693 2.2776 0.6068 36.2369 0.158891 1.55015 29.157 2.67774 0.206063 33.6012 6.42183 0.395186 37.5886 8.37511 -0.119929 40.0767 8.40247 -0.450716 42.2966 6.83994 -0.0109837 28.3591 1.23025 1.71055 28.8925 2.68268 1.95995 30.2365 4.4537 4.46452 32.2518 5.90069 5.75982 34.1349 7.6876 7.81077 
27 3.00096e-06 3.78938e-06 29.1513 1.65694 -2.59199 32.9698 4.1698 -5.04414 36.1306 2.19418 -4.51757 36.4518 0.786637 -3.01216 35.9223 -0.557854 -0.861051 29.2091 2.01767 -1.73977 33.0992 5.4291 -3.6948 37.2757 3.92078 -3.24264 37.0582 1.9155 -1.74345 35.7714 -0.243796 0.0333286 29.267 2.37841 -0.887553 33.4673 6.24724 -1.63201 37.9556 4.6491 -0.84316 37.598 2.23199 0.575109 36.031 0.145906 1.53417 29.1552 2.6824 0.159452 33.597 6.43328 0.276469 37.5799 8.37012 -0.286397 40.0655 8.3736 -0.635825 42.2717 6.79779 -0.18295 28.3687 1.25249 1.6866 28.8985 2.70934 1.91732 30.249 4.50147 4.40327 32.262 5.96161 5.68575 34.134 7.76858 7.73037 
27 -5.28197e-07 -1.49329e-06 29.1525 1.61684 -2.61619 32.9692 4.09055 -5.11686 36.0582 2.03259 -4.48991 36.2978 0.647422 -2.94898 35.8211 -0.747222 -0.817561 29.2143 1.98695 -1.76829 33.1089 5.364 -3.7761 37.2339 3.7315 -3.25956 36.9808 1.75686 -1.72569 35.7069 -0.380195 0.0869206 29.2762 2.35706 -0.920384 33.4876 6.2038 -1.72396 37.9266 4.50644 -0.867591 37.4545 2.12628 0.580786 35.8268 0.0918273 1.54968 29.1686 2.67348 0.123382 33.6289 6.40463 0.188546 37.6241 8.29787 -0.40293 40.1083 8.26341 -0.757411 42.2907 6.66193 -0.284945 28.3792 1.26488 1.66872 28.9133 2.72256 1.88362 30.2729 4.52364 4.35813 32.2878 5.98363 5.634 34.1527 7.80013 7.67568 
27 -7.44089e-07 -1.25038e-06 29.1536 1.57449 -2.64101 32.9694 4.00379 -5.19228 35.9806 1.86504 -4.46554 36.144 0.508216 -2.88982 35.7316 -0.947861 -0.786251 29.22 1.95401 -1.79762 33.1204 5.29247 -3.86041 37.1892 3.53511 -3.27804 36.9013 1.59353 -1.70851 35.6404 -0.520184 0.140175 29.2865 2.33352 -0.954227 33.5118 6.15369 -1.81947 37.9022 4.36274 -0.903762 37.3483 2.02195 0.579391 35.6353 0.0608548 1.55245 29.1838 2.66253 0.0861221 33.6643 6.37125 0.0971339 37.6748 8.21397 -0.526607 40.1565 8.14672 -0.885411 42.3178 6.52144 -0.397519 28.3912 1.27629 1.64993 28.931 2.7342 1.8484 30.303 4.54316 4.31031 32.323 6.00342 5.5777 34.1838 7.83049 7.61141 
27 -1.39793e-06 -7.99452e-07 29.163 1.53692 -2.65535 32.9875 3.92303 -5.24043 35.9155 1.70599 -4.41498 36.0013 0.379004 -2.80802 35.6551 -1.15189 -0.746037 29.2322 1.92351 -1.81539 33.1468 5.22438 -3.91388 37.1523 3.34048 -3.25628 36.8251 1.42965 -1.65699 35.5709 -0.66478 0.218029 29.3013 2.3101 -0.975443 33.5469 6.10075 -1.88084 37.8872 4.22057 -0.90654 37.2837 1.91613 0.61375 35.4521 0.0540192 1.56496 29.201 2.64905 0.0619529 33.7037 6.33163 0.0408757 37.7346 8.11767 -0.60097 40.2137 8.0266 -0.957847 42.3567 6.37872 -0.456476 28.3998 1.28197 1.63822 28.9462 2.7389 1.82538 30.3257 4.54954 4.28191 32.3483 6.00454 5.54945 34.202 7.83409 7.58472 
27 2.38955e-06 2.28666e-06 29.1816 1.49786 -2.66251 33.0273 3.83134 -5.26984 35.8643 1.53214 -4.35587 35.8699 0.23399 -2.72327 35.5791 -1.36943 -0.708388 29.2537 1.88902 -1.82492 33.1975 5.14222 -3.94532 37.1227 3.12246 -3.21137 36.7472 1.24067 -1.58845 35.4889 -0.834715 0.304879 29.3259 2.28018 -0.987347 33.6078 6.02609 -1.91717 37.892 4.04821 -0.889836 37.2578 1.77823 0.669268 35.2785 0.0469681 1.57043 29.228 2.62669 0.0477722 33.7663 6.26591 0.0103783 37.8254 7.97906 -0.639286 40.3019 7.86395 -0.992798 42.426 6.18915 -0.482347 28.4111 1.27787 1.63171 28.9696 2.73113 1.81186 30.3598 4.53383 4.26816 32.3898 5.97202 5.54311 34.2429 7.78816 7.5884 
27 7.92327e-07 1.05593e-06 29.2054 1.46502 -2.66113 33.0795 3.74804 -5.2764 35.8219 1.36286 -4.28759 35.786 0.0777007 -2.64514 35.4744 -1.54278 -0.647084 29.2803 1.8574 -1.82436 33.2606 5.06388 -3.94917 37.0968 2.90581 -3.14239 36.6687 1.04849 -1.50436 35.4007 -1.01371 0.396923 29.3552 2.24978 -0.987595 33.681 5.94606 -1.92183 37.907 3.87066 -0.847447 37.2463 1.62843 0.740535 35.1111 0.0518371 1.56652 29.259 2.60004 0.0464262 33.8384 6.18797 0.0123969 37.9283 7.82401 -0.631501 40.4028 7.68479 -0.980639 42.5103 5.98331 -0.466358 28.4225 1.26506 1.63181 28.9954 2.71283 1.81098 30.3962 4.49654 4.27504 32.4351 5.90893 5.56561 34.2901 7.69847 7.62995 
