Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -6.57586e-08 -8.60071e-07 29.9222 -2.10042 -1.06805 34.6469 -4.10686 -1.80284 35.0959 -3.67835 1.90996 34.4237 -2.85005 3.70233 33.5909 -2.06625 6.0277 30.0761 -1.18618 -1.05288 35.3034 -2.30836 -2.44721 36.809 -2.77325 1.7412 35.9889 -2.11461 4.02367 34.7481 -1.41822 6.74547 30.23 -0.271946 -1.03771 35.8434 -0.141751 -2.31086 38.3966 -0.759914 1.7414 37.9198 -0.751132 4.5268 36.628 -0.945802 6.98043 30.1918 0.822719 -1.00051 35.8169 1.87399 -2.0422 39.5691 1.37531 0.335427 40.5618 0.962105 2.60885 40.8699 0.571118 5.31621 28.6526 1.8709 0.235411 30.1378 2.115 -0.20144 32.4168 2.67762 2.1871 34.892 2.32987 3.44652 37.4375 1.85616 5.51505 
27 -4.26976e-06 -6.56308e-06 29.8859 -2.16977 -1.02748 34.5715 -4.29922 -1.67319 34.9857 -3.93245 2.05224 34.2627 -3.1172 3.83078 33.4548 -2.33471 6.16538 30.0658 -1.26076 -0.994764 35.2963 -2.50747 -2.28354 36.6182 -3.08269 1.95289 35.7084 -2.40305 4.19486 34.3563 -1.67128 6.85025 30.2457 -0.351747 -0.962048 35.8926 -0.360704 -2.10899 38.1635 -1.09583 2.07973 37.4552 -1.06309 4.81525 35.951 -1.20241 7.14869 30.2383 0.742922 -0.909331 35.9128 1.65529 -1.81066 39.4377 0.959415 0.84814 40.1488 0.495746 3.22156 40.153 0.0887902 5.94404 28.6997 1.81801 0.304058 30.203 2.01091 -0.0950536 32.4498 2.40971 2.35614 34.8854 1.91813 3.64723 37.37 1.24063 5.73321 
27 7.59975e-07 -4.44298e-06 29.8437 -2.24566 -0.980977 34.4812 -4.51383 -1.51987 34.87 -4.2074 2.21431 34.0547 -3.44297 3.97538 33.322 -2.63839 6.3272 30.0521 -1.34388 -0.925481 35.2786 -2.73326 -2.07773 36.4353 -3.46722 2.18241 35.4867 -2.78959 4.40884 34.1104 -2.03119 7.04018 30.2606 -0.442101 -0.869978 35.941 -0.612821 -1.84987 37.974 -1.5072 2.4231 37.0956 -1.47153 5.10882 35.4352 -1.56992 7.33598 30.2874 0.651078 -0.796601 36.0118 1.39765 -1.51649 39.3001 0.479994 1.36894 39.7599 -0.0382532 3.7943 39.4961 -0.471154 6.50311 28.7481 1.75464 0.390008 30.2687 1.89366 0.0368223 32.4574 2.12019 2.56151 34.8326 1.47728 3.89748 37.2218 0.589322 6.01452 
27 -5.61692e-07 -1.54502e-06 29.8198 -2.2945 -0.935828 34.421 -4.6694 -1.35636 34.7768 -4.43299 2.38364 33.8169 -3.7758 4.11489 33.194 -2.94288 6.48838 30.0493 -1.40045 -0.847729 35.2843 -2.89532 -1.83694 36.277 -3.82878 2.41831 35.311 -3.19006 4.64877 33.9525 -2.42736 7.28581 30.2788 -0.506396 -0.759626 35.9907 -0.800956 -1.52702 37.8257 -1.89405 2.78559 36.8278 -1.90066 5.42946 35.0552 -1.99978 7.56848 30.3311 0.583323 -0.655163 36.0944 1.19849 -1.1435 39.1454 0.0583207 1.92001 39.3798 -0.527036 4.35967 38.8754 -1.01096 7.02251 28.7769 1.69595 0.503205 30.3127 1.79467 0.20705 32.4093 1.84835 2.81798 34.7073 1.06296 4.20985 36.9724 -0.0296015 6.365 
27 -1.89952e-06 -7.0014e-06 29.8149 -2.31071 -0.910439 34.3963 -4.74592 -1.24282 34.7314 -4.57117 2.49992 33.6389 -4.04057 4.19565 33.119 -3.18811 6.58693 30.0546 -1.42332 -0.788628 35.3015 -2.97029 -1.64309 36.1722 -4.09682 2.58783 35.2091 -3.51843 4.83592 33.8972 -2.76696 7.50313 30.2942 -0.535935 -0.666817 36.0272 -0.897949 -1.24652 37.7393 -2.1845 3.06135 36.6824 -2.26472 5.68097 34.8529 -2.39842 7.76391 30.3592 0.549346 -0.528685 36.1419 1.09 -0.811483 38.9939 -0.235795 2.36627 39.0422 -0.886331 4.79509 38.3402 -1.42779 7.39509 28.7842 1.65242 0.6106 30.3301 1.72827 0.363996 32.3349 1.63008 3.0448 34.5629 0.728048 4.47778 36.7132 -0.540309 6.65119 
27 -5.42601e-07 -1.07678e-06 29.8202 -2.29904 -0.923451 34.397 -4.74872 -1.24197 34.6952 -4.63399 2.50876 33.5615 -4.18797 4.2018 32.9933 -3.39112 6.60127 30.0615 -1.41623 -0.774481 35.318 -2.96459 -1.57582 36.1416 -4.24265 2.61985 35.2039 -3.7254 4.89347 33.9545 -2.99497 7.60347 30.3027 -0.533429 -0.625517 36.0454 -0.907564 -1.10954 37.73 -2.35 3.1599 36.6803 -2.51361 5.77384 34.8367 -2.69467 7.83871 30.3699 0.547571 -0.457979 36.1566 1.07227 -0.631989 38.8837 -0.382138 2.59728 38.7963 -1.08397 5.00621 37.9515 -1.67219 7.54684 28.7805 1.62775 0.68332 30.3305 1.69684 0.461557 32.2824 1.47959 3.17422 34.4712 0.494543 4.61342 36.5531 -0.906602 6.76896 
27 -3.83216e-06 -6.01368e-06 29.8174 -2.2966 -0.938023 34.3858 -4.7595 -1.26608 34.6792 -4.65219 2.48525 33.5401 -4.25744 4.18733 32.9556 -3.47708 6.58831 30.0604 -1.4161 -0.778741 35.3158 -2.9703 -1.57538 36.1323 -4.30956 2.60243 35.2261 -3.81077 4.8918 34.0313 -3.0782 7.63246 30.3035 -0.535594 -0.619455 36.048 -0.921221 -1.08164 37.7485 -2.43824 3.15673 36.7341 -2.64362 5.77981 34.8962 -2.83491 7.84829 30.3729 0.543362 -0.440095 36.16 1.05888 -0.592769 38.8133 -0.450867 2.67139 38.6191 -1.16075 5.07044 37.6668 -1.74629 7.57021 28.7824 1.61552 0.707061 30.3332 1.67749 0.489517 32.2686 1.39169 3.20767 34.4414 0.357847 4.63949 36.4918 -1.1201 6.77196 
27 5.04379e-06 2.26488e-07 29.81 -2.29801 -0.95656 34.37 -4.7671 -1.31384 34.6793 -4.63898 2.43569 33.5647 -4.26788 4.1592 32.9884 -3.47759 6.5589 30.0546 -1.41772 -0.798458 35.3024 -2.97459 -1.62893 36.1372 -4.31117 2.54667 35.2573 -3.79911 4.84441 34.0986 -3.0619 7.6026 30.2992 -0.537432 -0.640356 36.0405 -0.926754 -1.1381 37.7742 -2.45923 3.08245 36.8006 -2.67302 5.71932 34.9748 -2.84841 7.79782 30.3704 0.541406 -0.461013 36.156 1.05844 -0.657318 38.7779 -0.451594 2.63138 38.5023 -1.14088 5.03044 37.4753 -1.6936 7.5089 28.7878 1.61412 0.696512 30.3373 1.67065 0.468254 32.2862 1.35664 3.17358 34.4634 0.304181 4.58876 36.5157 -1.20162 6.69928 
27 -4.23807e-07 -2.16196e-06 29.799 -2.31519 -0.94716 34.3461 -4.80061 -1.30172 34.6592 -4.62289 2.44556 33.5766 -4.24372 4.18766 33.009 -3.41451 6.57627 30.0467 -1.43392 -0.799589 35.2841 -3.01182 -1.64303 36.1203 -4.2922 2.55044 35.2477 -3.73504 4.84045 34.0953 -2.98597 7.59797 30.2944 -0.552663 -0.652017 36.0316 -0.961206 -1.17878 37.7685 -2.45919 3.05342 36.8126 -2.64123 5.69766 34.9876 -2.77597 7.77612 30.3693 0.527808 -0.484381 36.1551 1.03208 -0.725001 38.7511 -0.438917 2.60094 38.4025 -1.08088 5.0074 37.317 -1.57436 7.47683 28.7955 1.61669 0.67013 30.344 1.66298 0.432909 32.306 1.35503 3.12946 34.488 0.30592 4.5432 36.5455 -1.18785 6.6577 
27 -2.05576e-06 -5.90274e-08 29.7836 -2.33943 -0.932852 34.3142 -4.84818 -1.27878 34.63 -4.6225 2.46548 33.5821 -4.2235 4.22423 33.0247 -3.34944 6.59923 30.0361 -1.45756 -0.797425 35.2601 -3.06794 -1.64989 36.095 -4.2857 2.56306 35.225 -3.67898 4.84145 34.0688 -2.92594 7.59476 30.2885 -0.575696 -0.662006 36.0208 -1.01539 -1.21718 37.7482 -2.47244 3.03337 36.7974 -2.61147 5.68037 34.9752 -2.70414 7.75909 30.3691 0.506408 -0.508082 36.1565 0.98402 -0.791795 38.7379 -0.446021 2.56181 38.3375 -1.03955 4.97585 37.2194 -1.47614 7.44483 28.8062 1.61659 0.640952 30.3538 1.64961 0.395439 32.3294 1.35503 3.08351 34.5159 0.315562 4.49905 36.5808 -1.1518 6.62637 
