Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000409033 1.73674e-06 -27.9033 -3.03577 -2.01418 -29.5798 -6.68432 -5.28883 -32.8928 -5.1116 -4.43981 -33.3085 -3.1807 -3.76923 -31.9605 -0.967546 -3.75547 -27.893 -2.23695 -2.48484 -29.1082 -5.23814 -6.967 -33.3587 -4.30663 -5.92258 -33.3949 -2.17814 -4.59627 -31.9371 0.256739 -3.41587 -27.8827 -1.43812 -2.9555 -29.5689 -3.44091 -8.10394 -33.6837 -4.97442 -10.1136 -36.4596 -4.69864 -9.6617 -38.1581 -3.13801 -8.12843 -27.7677 -0.415347 -3.3321 -29.2564 -1.28337 -8.88399 -33.2809 -1.50587 -10.8166 -35.4229 -0.697386 -9.7759 -36.5634 -0.325698 -7.29831 -27.8627 1.33164 -1.94166 -27.8191 1.61832 -3.48185 -31.0609 1.7935 -4.30386 -33.7765 2.38556 -3.9974 -34.8332 -0.690487 -3.39912 
-27 0.000407201 9.39968e-07 -27.7959 -3.03244 -2.06391 -29.2848 -6.70636 -5.4003 -32.6036 -5.09732 -4.64767 -32.9919 -3.16461 -3.96605 -31.5798 -0.991852 -3.96127 -27.7719 -2.23129 -2.53009 -28.7546 -5.21827 -7.07823 -33.0026 -4.21785 -6.08834 -32.9907 -2.08549 -4.78059 -31.4326 0.287635 -3.62226 -27.7479 -1.43013 -2.99627 -29.1717 -3.41869 -8.22882 -33.4176 -4.73058 -10.119 -36.1072 -4.21678 -9.42014 -37.3014 -2.46192 -7.64363 -27.6249 -0.40473 -3.36309 -28.8382 -1.21875 -8.9897 -32.9604 -1.41003 -10.7077 -34.9549 -0.540433 -9.44648 -35.6076 -0.22506 -6.79093 -27.7909 1.33475 -1.96989 -27.6929 1.62071 -3.50771 -30.897 1.73019 -4.47626 -33.645 2.21982 -4.31001 -34.7685 -0.827102 -3.68503 
-27 0.00040717 4.06192e-06 -27.69 -3.02854 -2.10728 -29.0075 -6.73489 -5.47969 -32.3178 -5.06762 -4.82235 -32.6639 -3.1364 -4.11426 -31.237 -0.975787 -4.01069 -27.6579 -2.22451 -2.56798 -28.4278 -5.19732 -7.16615 -32.663 -4.1114 -6.20683 -32.5917 -1.98219 -4.89415 -30.9164 0.308707 -3.74264 -27.6258 -1.42047 -3.02867 -28.7999 -3.39864 -8.32672 -33.2079 -4.40472 -10.0238 -35.742 -3.66072 -9.01838 -36.4188 -1.8147 -7.06043 -27.5007 -0.39175 -3.38534 -28.4587 -1.14842 -9.06891 -32.6759 -1.27458 -10.5454 -34.489 -0.34956 -9.06823 -34.6466 -0.0628213 -6.33504 -27.7344 1.33785 -1.98957 -27.5862 1.63021 -3.52216 -30.7512 1.67387 -4.61623 -33.5218 2.04476 -4.54601 -34.7124 -0.979322 -3.93443 
-27 0.00040315 -4.40492e-06 -27.612 -3.05648 -2.09097 -28.8179 -6.76005 -5.5079 -32.1341 -5.07509 -4.93027 -32.4521 -3.15216 -4.18719 -30.9383 -1.05955 -3.97597 -27.5764 -2.25698 -2.55922 -28.1993 -5.28402 -7.14424 -32.4115 -4.06124 -6.25661 -32.3071 -1.94783 -4.91683 -30.5214 0.221801 -3.69033 -27.5409 -1.45745 -3.02747 -28.5141 -3.50559 -8.33963 -33.0765 -4.11061 -9.80261 -35.4311 -3.1718 -8.55347 -35.5854 -1.36362 -6.44795 -27.4168 -0.431336 -3.3919 -28.1802 -1.30376 -9.08833 -32.4789 -1.2282 -10.3115 -34.0778 -0.218495 -8.65348 -33.8741 -0.0335549 -5.91457 -27.6994 1.31027 -2.0203 -27.5221 1.58327 -3.55336 -30.6757 1.56194 -4.68046 -33.4631 1.77824 -4.63453 -34.7016 -1.24391 -4.11555 
-27 0.000405417 1.14237e-06 -27.5611 -3.0618 -2.09746 -28.691 -6.77376 -5.53121 -32.0113 -5.06933 -4.9976 -32.2886 -3.14649 -4.23822 -30.7512 -1.08629 -3.90124 -27.5209 -2.2627 -2.56605 -28.0434 -5.29374 -7.16096 -32.2389 -3.99749 -6.29842 -32.1069 -1.90688 -4.91362 -30.2579 0.189001 -3.65838 -27.4807 -1.46361 -3.03464 -28.3039 -3.52345 -8.3676 -32.9787 -3.80043 -9.54703 -35.1211 -2.74342 -8.04707 -34.8668 -1.02622 -5.87573 -27.3549 -0.437373 -3.39816 -27.9719 -1.31276 -9.11185 -32.3354 -1.14469 -10.0727 -33.7612 -0.078206 -8.29649 -32.9703 -0.0230735 -5.66043 -27.6695 1.3046 -2.03403 -27.4698 1.56794 -3.56603 -30.5998 1.46787 -4.75289 -33.3929 1.59977 -4.7691 -34.7339 -1.37235 -4.21694 
-27 0.000406785 -2.06058e-06 -27.5433 -3.06423 -2.09859 -28.6454 -6.7615 -5.55714 -31.9571 -5.0687 -5.01376 -32.2018 -3.14684 -4.24085 -30.6704 -1.10316 -3.79901 -27.5017 -2.2654 -2.5675 -27.9899 -5.29101 -7.16975 -32.1627 -3.9599 -6.29357 -32.0252 -1.89542 -4.88442 -30.1027 0.150852 -3.64865 -27.4601 -1.46656 -3.03641 -28.2175 -3.52461 -8.37979 -32.9494 -3.61019 -9.31097 -34.9263 -2.50125 -7.63164 -34.4622 -0.866061 -5.43819 -27.3339 -0.440365 -3.3999 -27.9006 -1.32191 -9.11785 -32.2929 -1.10873 -9.91966 -33.5876 0.00723311 -8.07481 -32.8884 0.0549732 -5.41281 -27.6596 1.30201 -2.03892 -27.4497 1.56124 -3.57024 -30.5894 1.45375 -4.73059 -33.3849 1.51247 -4.71172 -34.7671 -1.46619 -4.31966 
-27 0.000410717 -1.95574e-06 -27.5319 -3.06231 -2.10432 -28.6191 -6.75805 -5.56921 -31.9394 -5.07971 -5.02015 -32.1766 -3.15873 -4.23513 -30.6671 -1.10368 -3.76667 -27.4944 -2.26233 -2.57162 -27.9742 -5.28204 -7.17864 -32.1474 -3.95805 -6.29 -32.0094 -1.88788 -4.88002 -30.0517 0.116984 -3.64613 -27.4568 -1.46235 -3.03893 -28.2045 -3.51556 -8.38555 -32.9569 -3.55807 -9.24232 -34.9057 -2.44881 -7.5225 -34.3849 -0.819091 -5.33329 -27.3356 -0.434863 -3.40044 -27.9091 -1.30875 -9.1189 -32.3027 -1.11341 -9.9079 -33.5916 -9.7309e-05 -8.05934 -32.7288 0.00446434 -5.44537 -27.6677 1.30324 -2.03551 -27.4558 1.56723 -3.56577 -30.6014 1.45532 -4.7096 -33.3969 1.49187 -4.65412 -34.795 -1.49027 -4.3561 
-27 0.000402523 -2.41107e-06 -27.534 -3.06343 -2.10217 -28.6244 -6.76168 -5.56335 -31.9505 -5.09295 -4.97307 -32.1929 -3.18045 -4.17577 -30.7418 -1.08664 -3.70655 -27.4989 -2.26348 -2.56973 -27.991 -5.28583 -7.17372 -32.165 -3.98331 -6.25778 -32.0553 -1.9133 -4.83685 -30.1527 0.137247 -3.57051 -27.4638 -1.46355 -3.0373 -28.2308 -3.52134 -8.37942 -32.981 -3.58274 -9.24738 -34.9502 -2.48623 -7.5427 -34.4421 -0.853984 -5.3465 -27.3451 -0.435959 -3.39935 -27.9401 -1.31401 -9.11496 -32.3364 -1.1384 -9.90407 -33.6222 -0.0329661 -8.04675 -32.8268 3.83618e-05 -5.41169 -27.6755 1.30195 -2.03376 -27.4655 1.5597 -3.56534 -30.6117 1.39934 -4.70176 -33.4071 1.44288 -4.64518 -34.858 -1.513 -4.33854 
-27 0.000403861 -5.3521e-06 -27.5328 -3.08793 -2.0663 -28.6403 -6.8411 -5.46236 -31.9698 -5.18044 -4.89124 -32.2437 -3.2658 -4.11021 -30.8447 -1.13461 -3.64547 -27.5053 -2.29274 -2.5424 -28.0167 -5.37317 -7.10561 -32.2016 -4.07907 -6.19067 -32.1298 -2.01288 -4.76179 -30.2996 0.107077 -3.4846 -27.4779 -1.49754 -3.01848 -28.2704 -3.62311 -8.33025 -33.0176 -3.72635 -9.19698 -35.0417 -2.64948 -7.54484 -34.6591 -0.957188 -5.36655 -27.3672 -0.473167 -3.39204 -27.9871 -1.41323 -9.09514 -32.3861 -1.28001 -9.87717 -33.7069 -0.165343 -8.0501 -32.9792 -0.0448206 -5.39805 -27.697 1.27712 -2.04221 -27.4933 1.52304 -3.57657 -30.6443 1.31475 -4.69168 -33.4394 1.32373 -4.61054 -34.9299 -1.60969 -4.27899 
-27 0.00040913 -2.06454e-06 -27.5749 -3.10843 -2.02385 -28.7521 -6.89837 -5.35497 -32.0909 -5.26411 -4.7618 -32.3904 -3.34919 -3.99091 -31.0324 -1.18064 -3.58075 -27.5544 -2.31835 -2.50872 -28.1567 -5.45236 -7.02411 -32.3445 -4.18962 -6.07897 -32.3003 -2.11287 -4.66436 -30.5253 0.0391805 -3.36309 -27.5339 -1.52827 -2.99359 -28.4436 -3.71389 -8.26202 -33.1787 -3.94288 -9.18323 -35.3539 -2.93656 -7.68587 -35.4562 -1.18157 -5.53273 -27.428 -0.508118 -3.37985 -28.1665 -1.51616 -9.05713 -32.5598 -1.43248 -9.87758 -33.9836 -0.337474 -8.11728 -33.5627 0.032254 -5.42218 -27.7306 1.25696 -2.04297 -27.5586 1.4793 -3.58479 -30.7282 1.25662 -4.64297 -33.5227 1.20841 -4.55696 -35.0889 -1.66558 -4.08383 
