Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408094 3.14787e-06 -29.3213 -2.62535 1.34474 -33.0365 -6.14842 2.13905 -35.6309 -3.61547 1.07974 -35.4183 -1.73974 0.192428 -33.7642 -1.47539 -1.7847 -29.2367 -2.60672 0.421572 -32.6845 -6.92613 0.250868 -36.0354 -3.99776 -0.345543 -35.46 -1.62639 -0.924808 -32.9642 -0.0676776 -1.83522 -29.1521 -2.58808 -0.501607 -32.6906 -6.94372 -1.86862 -36.8973 -4.67095 -2.53115 -36.7028 -1.85839 -2.72552 -34.2714 -0.546218 -3.02779 -28.8794 -2.43372 -1.5518 -32.4019 -6.41053 -3.91191 -36.4505 -7.96059 -4.93614 -38.8436 -7.23256 -5.20131 -40.2576 -4.89333 -5.37533 -28.0253 -0.485185 -2.23593 -28.1523 -1.56002 -3.36945 -30.0395 -2.02206 -6.09729 -31.4979 -2.48505 -8.43771 -33.2184 -3.25906 -11.1538 
-27 0.000408676 5.06626e-06 -29.3167 -2.63454 1.33476 -33.0201 -6.17314 2.11497 -35.6029 -3.63636 1.04213 -35.3937 -1.76796 0.138718 -33.6663 -1.16333 -1.69577 -29.2278 -2.61588 0.411996 -32.6534 -6.95225 0.226294 -35.9892 -4.00805 -0.377508 -35.3955 -1.64435 -0.967408 -32.8715 -0.129854 -1.86798 -29.1389 -2.59721 -0.510779 -32.6492 -6.97081 -1.89312 -36.8489 -4.6877 -2.56746 -36.6166 -1.87656 -2.72795 -34.1756 -0.593407 -3.07543 -28.8619 -2.44207 -1.55973 -32.3541 -6.43538 -3.93705 -36.3926 -7.99983 -4.97226 -38.7908 -7.29092 -5.24782 -40.2082 -4.95827 -5.43572 -28.0127 -0.490221 -2.24055 -28.1297 -1.56607 -3.37419 -30.004 -2.02756 -6.11096 -31.4372 -2.48253 -8.46849 -33.1694 -3.20586 -11.1911 
-27 0.000404628 -1.03396e-06 -29.3042 -2.64566 1.33429 -32.9908 -6.20172 2.11513 -35.5692 -3.67089 1.0236 -35.3586 -1.80848 0.108258 -33.5792 -0.986802 -1.5869 -29.2141 -2.62757 0.411637 -32.6151 -6.98323 0.226555 -35.9464 -4.03746 -0.394102 -35.3193 -1.68345 -0.986145 -32.764 -0.203294 -1.85481 -29.1239 -2.60947 -0.511018 -32.6056 -7.00625 -1.89202 -36.7985 -4.71306 -2.57819 -36.5413 -1.90464 -2.74509 -34.0823 -0.655528 -3.09002 -28.8461 -2.45403 -1.55974 -32.3117 -6.47019 -3.93738 -36.3368 -8.06131 -4.98261 -38.7385 -7.36288 -5.2592 -40.1381 -5.0191 -5.46535 -28.0066 -0.498346 -2.24153 -28.1134 -1.57677 -3.37371 -29.9785 -2.03857 -6.11673 -31.388 -2.50627 -8.48604 -33.1013 -3.18753 -11.2314 
-27 0.00040991 7.06289e-06 -29.2948 -2.65906 1.3239 -32.9609 -6.23952 2.08911 -35.546 -3.71909 0.995094 -35.2423 -1.86252 0.0664041 -33.642 -0.554138 -1.49628 -29.2006 -2.64041 0.401658 -32.5717 -7.01857 0.200744 -35.9017 -4.0729 -0.427476 -35.243 -1.73155 -1.03322 -32.6972 -0.233768 -1.89997 -29.1064 -2.62175 -0.520583 -32.5526 -7.04118 -1.91828 -36.7437 -4.74427 -2.6061 -36.4622 -1.9386 -2.79333 -33.9916 -0.710284 -3.13036 -28.8248 -2.46464 -1.56804 -32.2567 -6.49952 -3.96282 -36.2612 -8.12711 -5.02885 -38.6694 -7.45098 -5.30876 -40.0638 -5.10412 -5.52336 -27.9936 -0.504079 -2.24602 -28.0893 -1.58261 -3.3791 -29.9319 -2.05719 -6.13514 -31.3228 -2.52361 -8.51564 -32.9748 -3.27252 -11.2808 
-27 0.000404639 -2.13075e-06 -29.2706 -2.68009 1.32322 -32.9009 -6.29582 2.09331 -35.481 -3.77637 0.990986 -35.238 -1.91739 0.0664104 -33.5372 -0.748272 -1.50062 -29.1766 -2.66033 0.400985 -32.5036 -7.0722 0.201197 -35.8177 -4.10834 -0.425307 -35.1801 -1.76233 -1.0339 -32.6186 -0.307924 -1.92902 -29.0826 -2.64056 -0.521251 -32.4857 -7.09371 -1.91745 -36.6768 -4.79668 -2.60812 -36.3577 -2.00941 -2.81677 -33.8958 -0.754114 -3.11572 -28.8025 -2.48063 -1.56867 -32.1971 -6.54606 -3.965 -36.1906 -8.19497 -5.03765 -38.6025 -7.5292 -5.31321 -40.0139 -5.19364 -5.54745 -27.9891 -0.512439 -2.24613 -28.07 -1.59214 -3.37926 -29.8994 -2.06747 -6.14389 -31.2745 -2.54943 -8.53048 -32.9141 -3.20966 -11.3255 
-27 0.000408031 3.08503e-06 -29.2458 -2.70189 1.3212 -32.845 -6.3468 2.09977 -35.4371 -3.84055 1.00114 -35.163 -1.99172 0.0678944 -33.5276 -0.673624 -1.44977 -29.1521 -2.68047 0.398967 -32.4373 -7.12362 0.200542 -35.7566 -4.16346 -0.416102 -35.1114 -1.82127 -1.0297 -32.553 -0.371083 -1.94267 -29.0584 -2.65905 -0.523268 -32.4167 -7.1466 -1.9178 -36.6101 -4.85085 -2.60144 -36.2897 -2.06266 -2.81203 -33.8259 -0.813531 -3.12086 -28.7799 -2.49565 -1.57058 -32.131 -6.59458 -3.97105 -36.1168 -8.2635 -5.04038 -38.5385 -7.63391 -5.31534 -39.9309 -5.28648 -5.55247 -27.9847 -0.51951 -2.24645 -28.0527 -1.59931 -3.38032 -29.8693 -2.08242 -6.15209 -31.229 -2.55911 -8.5485 -32.8193 -3.34649 -11.3392 
-27 0.000405135 1.74517e-07 -29.2335 -2.71436 1.31647 -32.8089 -6.3849 2.08404 -35.4167 -3.89482 0.990857 -35.1261 -2.05961 0.0390069 -33.5069 -0.60785 -1.37011 -29.1375 -2.6928 0.394476 -32.3924 -7.15775 0.186531 -35.7272 -4.21602 -0.435047 -35.0432 -1.8857 -1.0504 -32.5232 -0.359504 -1.94747 -29.0415 -2.67123 -0.527516 -32.368 -7.17897 -1.93299 -36.5744 -4.90507 -2.61296 -36.2472 -2.11665 -2.8271 -33.7841 -0.865012 -3.13248 -28.7612 -2.50666 -1.57417 -32.0842 -6.62274 -3.9843 -36.0524 -8.33261 -5.05314 -38.4773 -7.72129 -5.33949 -39.8885 -5.38348 -5.56712 -27.9757 -0.526217 -2.24881 -28.0356 -1.60736 -3.38185 -29.8409 -2.09613 -6.15997 -31.185 -2.5471 -8.57014 -32.7564 -3.39066 -11.3551 
-27 0.000406721 3.27564e-06 -29.2125 -2.73124 1.31696 -32.7589 -6.42946 2.08643 -35.3881 -3.96135 0.999405 -35.0918 -2.13196 0.0407214 -33.4873 -0.668395 -1.37308 -29.116 -2.70961 0.395029 -32.3333 -7.20176 0.188231 -35.6779 -4.27178 -0.436506 -35.0176 -1.93467 -1.05067 -32.4859 -0.433973 -1.95561 -29.0195 -2.68796 -0.526915 -32.3078 -7.22413 -1.9311 -36.5284 -4.97619 -2.61068 -36.2064 -2.1865 -2.83233 -33.7314 -0.958212 -3.13575 -28.7398 -2.52195 -1.57349 -32.0263 -6.66688 -3.98427 -35.9835 -8.40377 -5.04938 -38.4123 -7.81648 -5.34818 -39.8206 -5.47405 -5.55238 -27.9698 -0.535761 -2.2491 -28.019 -1.61756 -3.38203 -29.8166 -2.11845 -6.16296 -31.1545 -2.60282 -8.57012 -32.708 -3.42166 -11.3724 
-27 0.000406702 1.67716e-06 -29.1904 -2.74574 1.3237 -32.7075 -6.46964 2.10393 -35.3462 -4.01547 1.01194 -35.0547 -2.18839 0.0487762 -33.4358 -0.777032 -1.40115 -29.0958 -2.72429 0.401559 -32.2796 -7.24078 0.206313 -35.6313 -4.32047 -0.425384 -34.9702 -1.98362 -1.03854 -32.4436 -0.480641 -1.95091 -29.0013 -2.70283 -0.520581 -32.2568 -7.26609 -1.91319 -36.4804 -5.02138 -2.58653 -36.1562 -2.23143 -2.81713 -33.6758 -1.01613 -3.12841 -28.7247 -2.5358 -1.56784 -31.9863 -6.70715 -3.96686 -35.9302 -8.47107 -5.03586 -38.3612 -7.9008 -5.33533 -39.7752 -5.56381 -5.5686 -27.9702 -0.544803 -2.24675 -28.0116 -1.62776 -3.37889 -29.7999 -2.12342 -6.16679 -31.1098 -2.60798 -8.58924 -32.7216 -3.45014 -11.3514 
-27 0.000407611 2.35686e-06 -29.1656 -2.76297 1.3287 -32.65 -6.51476 2.12166 -35.3053 -4.08043 1.02808 -35.0071 -2.25789 0.0584308 -33.3962 -0.839083 -1.39312 -29.0714 -2.74214 0.406502 -32.2132 -7.28841 0.221891 -35.5694 -4.37383 -0.412644 -34.9213 -2.03679 -1.03792 -32.3755 -0.565514 -1.94898 -28.9773 -2.72131 -0.515707 -32.1903 -7.31783 -1.89778 -36.4269 -5.09487 -2.56251 -36.0628 -2.31139 -2.82446 -33.595 -1.06812 -3.12526 -28.7026 -2.5535 -1.56331 -31.9247 -6.75943 -3.95523 -35.8576 -8.54904 -5.02118 -38.2897 -7.99329 -5.31883 -39.6562 -5.62542 -5.53006 -27.966 -0.556964 -2.2456 -27.9963 -1.64419 -3.374 -29.7842 -2.14114 -6.16191 -31.0959 -2.61038 -8.5864 -32.6664 -3.53724 -11.3452 
