Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408435 2.482e-06 -28.3216 -2.54573 -2.42116 -30.5015 -4.94968 -6.4603 -33.9674 -4.00838 -7.58883 -35.9572 -3.41539 -7.78776 -38.3151 -2.6029 -8.44321 -27.9973 -1.76601 -2.80408 -29.1335 -3.89531 -7.77887 -33.2154 -2.08655 -7.40023 -33.7137 -0.405004 -5.59993 -33.1567 1.52466 -3.2612 -27.673 -0.986273 -3.18699 -28.4431 -2.16029 -8.78964 -32.8239 -0.181152 -8.29817 -32.9103 1.09457 -5.77801 -31.1203 1.65771 -3.72504 -27.2051 -0.027617 -3.43834 -27.529 -0.211536 -9.2396 -31.6426 1.55323 -9.14424 -32.4276 2.36746 -6.89796 -31.9168 2.84646 -4.23681 -27.0669 1.60859 -1.92241 -26.537 1.92458 -3.36308 -27.4335 3.79938 -5.98937 -28.9266 5.21553 -7.88251 -27.7412 6.24385 -10.7935 
-27 0.000410846 3.00362e-06 -28.2951 -2.5299 -2.45185 -30.4382 -4.91118 -6.52399 -33.9058 -3.97062 -7.64834 -35.8991 -3.38822 -7.84215 -38.2515 -2.56984 -8.50352 -27.9742 -1.74438 -2.82565 -29.0711 -3.83288 -7.82649 -33.1612 -2.04265 -7.44577 -33.6227 -0.40431 -5.5968 -33.0977 1.51129 -3.23864 -27.6533 -0.958847 -3.19945 -28.3878 -2.08173 -8.81733 -32.7838 -0.139996 -8.30486 -32.8388 1.10562 -5.76883 -31.1314 1.61178 -3.63211 -27.1905 0.00520598 -3.43929 -27.4855 -0.120926 -9.24364 -31.611 1.61281 -9.13005 -32.3934 2.39627 -6.87199 -31.7998 2.77539 -4.21294 -27.0691 1.62713 -1.90667 -26.5393 1.96247 -3.34301 -27.4616 3.86327 -5.94153 -28.9717 5.26248 -7.8338 -27.7441 6.32977 -10.7131 
-27 0.000402729 -3.32689e-06 -28.28 -2.5154 -2.47463 -30.4096 -4.88203 -6.56239 -33.876 -3.94372 -7.69221 -35.8654 -3.35744 -7.91239 -38.2385 -2.5647 -8.52901 -27.9603 -1.72616 -2.84158 -29.0335 -3.78557 -7.85959 -33.1288 -2.02059 -7.44707 -33.5807 -0.388819 -5.59033 -33.0514 1.51444 -3.22563 -27.6406 -0.936913 -3.20851 -28.3522 -2.02498 -8.83619 -32.7584 -0.108173 -8.31068 -32.7892 1.11357 -5.76264 -31.0541 1.59516 -3.64275 -27.1799 0.0302659 -3.43974 -27.4502 -0.0526179 -9.24606 -31.5859 1.65254 -9.12229 -32.3705 2.41463 -6.85749 -31.7361 2.7364 -4.20122 -27.0681 1.64108 -1.89472 -26.539 1.9909 -3.32788 -27.4842 3.9126 -5.90269 -29.0002 5.28904 -7.80691 -27.7353 6.3949 -10.6554 
-27 0.000405482 1.29002e-06 -28.2586 -2.51328 -2.48772 -30.3542 -4.87623 -6.59513 -33.8282 -3.94933 -7.711 -35.816 -3.35998 -7.93695 -38.202 -2.58285 -8.52592 -27.9421 -1.72096 -2.85079 -28.9839 -3.76813 -7.88042 -33.0827 -2.02097 -7.46498 -33.5192 -0.406002 -5.59025 -32.983 1.4737 -3.2123 -27.6256 -0.928625 -3.21386 -28.3111 -1.99871 -8.84823 -32.7275 -0.105467 -8.31617 -32.7381 1.09971 -5.76009 -30.992 1.57594 -3.64863 -27.1696 0.0419108 -3.44014 -27.4227 -0.0216782 -9.24748 -31.5636 1.6661 -9.11624 -32.3394 2.41262 -6.84304 -31.6725 2.71625 -4.19339 -27.0714 1.64763 -1.8889 -26.5435 2.00709 -3.32014 -27.5192 3.93321 -5.88024 -29.0305 5.30964 -7.78815 -27.7483 6.41884 -10.6275 
-27 0.000410969 3.94162e-06 -28.2263 -2.52057 -2.49645 -30.2868 -4.89229 -6.61655 -33.7611 -3.96327 -7.72916 -35.7505 -3.38055 -7.9588 -38.1349 -2.60648 -8.56288 -27.9137 -1.72566 -2.85719 -28.9113 -3.77666 -7.89422 -33.0122 -2.03927 -7.4692 -33.4467 -0.422681 -5.59551 -32.8883 1.4409 -3.213 -27.6011 -0.930724 -3.21793 -28.2427 -2.00441 -8.85677 -32.6636 -0.119056 -8.32809 -32.67 1.07988 -5.76906 -30.89 1.54334 -3.68399 -27.151 0.0433239 -3.44099 -27.3623 -0.0230481 -9.24997 -31.5053 1.65543 -9.124 -32.2755 2.38814 -6.84382 -31.5935 2.68684 -4.19812 -27.0731 1.64852 -1.88805 -26.5426 2.01802 -3.31573 -27.5517 3.92792 -5.87502 -28.9872 5.29616 -7.84636 -27.7274 6.4408 -10.6817 
-27 0.000408964 1.68018e-06 -28.2204 -2.52284 -2.49704 -30.2774 -4.8978 -6.61704 -33.7481 -3.96869 -7.73983 -35.7413 -3.39425 -7.95701 -38.1106 -2.5929 -8.59159 -27.9099 -1.72701 -2.85758 -28.9024 -3.78089 -7.89444 -33.0055 -2.04953 -7.46478 -33.4251 -0.431429 -5.58816 -32.8552 1.42914 -3.20931 -27.5994 -0.931174 -3.21812 -28.2375 -2.00609 -8.85713 -32.6641 -0.132379 -8.32967 -32.6414 1.06258 -5.76889 -30.8725 1.51608 -3.67277 -27.1518 0.0440926 -3.44094 -27.3608 -0.0242341 -9.24998 -31.5043 1.64726 -9.1143 -32.2614 2.37717 -6.82977 -31.5819 2.67609 -4.18404 -27.0777 1.64896 -1.88749 -26.553 2.02257 -3.31624 -27.5968 3.92351 -5.86824 -28.9832 5.30374 -7.86618 -27.7479 6.45057 -10.7114 
-27 0.000407858 2.37247e-06 -28.2197 -2.52042 -2.49981 -30.2736 -4.8997 -6.61884 -33.7377 -3.97007 -7.76135 -35.7311 -3.39442 -7.97407 -38.1047 -2.60908 -8.63508 -27.9107 -1.72356 -2.85939 -28.9027 -3.77176 -7.89869 -33.0093 -2.04742 -7.46835 -33.4173 -0.439819 -5.5802 -32.8301 1.41933 -3.20777 -27.6018 -0.926703 -3.21897 -28.2452 -1.99197 -8.8592 -32.6744 -0.125626 -8.32324 -32.6508 1.05341 -5.7551 -30.8378 1.49706 -3.69475 -27.1558 0.0495478 -3.44069 -27.3745 -0.00205163 -9.24955 -31.5196 1.66006 -9.10819 -32.2602 2.37405 -6.81494 -31.5792 2.66735 -4.16965 -27.0821 1.65195 -1.88468 -26.5623 2.03024 -3.31397 -27.6411 3.92654 -5.85487 -28.984 5.32765 -7.8679 -27.7748 6.47146 -10.7256 
-27 0.000409199 2.71532e-06 -28.2277 -2.51051 -2.50587 -30.2855 -4.87425 -6.63191 -33.7446 -3.967 -7.80703 -35.7389 -3.39546 -8.02317 -38.1118 -2.61987 -8.70865 -27.9178 -1.71309 -2.86342 -28.9202 -3.73804 -7.91003 -33.035 -2.03018 -7.48873 -33.4284 -0.437708 -5.58469 -32.8624 1.4259 -3.21363 -27.608 -0.915656 -3.22097 -28.2701 -1.95424 -8.86402 -32.7066 -0.116489 -8.35204 -32.6563 1.05207 -5.7795 -30.8679 1.48686 -3.69598 -27.1606 0.0605019 -3.4403 -27.4012 0.0400125 -9.24848 -31.5524 1.68356 -9.11964 -32.2864 2.38246 -6.82138 -31.6086 2.67165 -4.17554 -27.082 1.65794 -1.87943 -26.5627 2.04294 -3.30715 -27.6723 3.94393 -5.83124 -28.9809 5.3433 -7.86795 -27.7806 6.50733 -10.7212 
-27 0.000403921 -1.05911e-06 -28.2212 -2.49025 -2.52917 -30.2512 -4.8318 -6.6815 -33.7164 -3.93651 -7.848 -35.7138 -3.37883 -8.07152 -38.0869 -2.60144 -8.76372 -27.9056 -1.692 -2.87981 -28.8727 -3.68592 -7.94564 -32.9996 -2.01048 -7.513 -33.401 -0.418226 -5.61036 -32.8142 1.40035 -3.21192 -27.59 -0.893754 -3.23046 -28.2129 -1.89458 -8.88478 -32.664 -0.0924443 -8.37317 -32.6147 1.05815 -5.79251 -30.8267 1.50516 -3.71147 -27.1371 0.0818124 -3.44088 -27.3371 0.105099 -9.25059 -31.504 1.70645 -9.13769 -32.2492 2.38963 -6.83982 -31.5335 2.67299 -4.20398 -27.0623 1.66951 -1.86991 -26.5369 2.06149 -3.29347 -27.6451 3.98797 -5.79874 -28.9422 5.36529 -7.85772 -27.6846 6.56256 -10.6722 
-27 0.000408213 7.60825e-07 -28.2188 -2.48831 -2.5322 -30.2539 -4.82438 -6.68519 -33.7187 -3.93325 -7.86223 -35.718 -3.385 -8.09152 -38.0705 -2.56523 -8.81097 -27.9063 -1.68836 -2.88171 -28.8799 -3.67001 -7.95111 -33.0102 -2.007 -7.51446 -33.4118 -0.398503 -5.62572 -32.7869 1.35157 -3.18764 -27.5938 -0.888412 -3.23123 -28.2271 -1.87639 -8.88665 -32.675 -0.0738028 -8.36161 -32.6377 1.05541 -5.77133 -30.8236 1.48552 -3.70966 -27.1442 0.0889517 -3.44041 -27.3564 0.12866 -9.2496 -31.5265 1.71852 -9.12553 -32.2671 2.39399 -6.82476 -31.5301 2.65748 -4.19328 -27.071 1.67342 -1.86611 -26.5521 2.07332 -3.28985 -27.6989 3.99395 -5.78223 -28.9605 5.39351 -7.84824 -27.7319 6.58466 -10.6781 
