Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408292 -4.47511e-07 -29.8594 0.513535 2.37745 -34.5652 1.16291 4.44601 -36.5893 3.70853 2.55052 -36.6935 5.22339 1.12042 -36.6087 6.5773 -1.08747 -30.0579 0.0158774 1.6207 -35.2677 -0.413481 3.42281 -37.6567 2.97499 1.73863 -37.8441 4.98367 0.239923 -38.2067 7.39755 -1.63546 -30.2565 -0.481766 0.863953 -35.8727 -1.5009 1.74757 -38.7674 1.98386 0.0381776 -38.7939 4.27801 -1.61205 -38.9195 6.65818 -3.04226 -30.2714 -1.07676 -0.0563161 -35.8934 -2.55504 -0.0891933 -39.5104 -0.0736955 -0.97727 -40.7566 1.99074 -1.70996 -42.0362 4.27692 -2.52388 -28.7315 -0.762391 -1.64514 -29.8048 -1.85514 -1.97707 -32.6016 -2.58368 -3.66913 -34.9081 -3.39313 -5.027 -37.4476 -5.02438 -6.3785 
-27 0.000409475 -2.12382e-06 -29.8411 0.751521 2.33568 -34.5408 1.64277 4.32674 -36.6911 4.01474 2.34685 -36.9327 5.47498 0.877103 -37.0366 6.69435 -1.40706 -30.049 0.191796 1.62629 -35.2577 -0.0085576 3.47089 -37.7238 3.19884 1.55864 -38.0114 5.08463 -0.0775424 -38.6178 7.37473 -2.0429 -30.2569 -0.367919 0.916886 -35.8818 -1.23407 1.90212 -38.863 2.07042 0.00535013 -39.0183 4.22751 -1.81369 -39.4299 6.53143 -3.31437 -30.283 -1.04096 0.0523297 -35.9206 -2.45283 0.185558 -39.5216 -0.0272698 -0.901081 -40.7479 1.9802 -1.80586 -42.0009 4.19137 -2.83928 -28.7483 -0.884061 -1.56455 -29.8345 -1.99082 -1.79124 -32.653 -2.8491 -3.38348 -34.9773 -3.78088 -4.62792 -37.51 -5.54799 -5.81071 
-27 0.000411195 5.9956e-06 -29.8216 0.934424 2.29291 -34.5147 2.00005 4.21274 -36.741 4.23159 2.15513 -37.1213 5.62012 0.645774 -37.3545 6.76384 -1.66779 -30.0369 0.325534 1.62759 -35.2373 0.300445 3.50618 -37.7869 3.33686 1.43126 -38.1863 5.12437 -0.289584 -38.9951 7.27813 -2.33464 -30.2523 -0.283346 0.962265 -35.8748 -1.04356 2.04386 -38.9026 2.11195 -0.0150468 -39.2287 4.18408 -1.90872 -39.8189 6.38386 -3.50346 -30.2874 -1.0175 0.1493 -35.9293 -2.38748 0.441721 -39.5273 -0.0315592 -0.796071 -40.7429 1.91292 -1.84211 -41.9906 4.06163 -3.00607 -28.7629 -0.986804 -1.48456 -29.8557 -2.10185 -1.62159 -32.6907 -3.08326 -3.11002 -35.0233 -4.12438 -4.24768 -37.5473 -6.00866 -5.25529 
-27 0.000405176 -3.61743e-06 -29.7999 1.08281 2.25399 -34.4765 2.29467 4.12667 -36.7605 4.40278 2.00322 -37.2362 5.73828 0.473202 -37.6684 6.82716 -1.83821 -30.0231 0.436905 1.62731 -35.2118 0.56077 3.53391 -37.8356 3.47039 1.37159 -38.345 5.16392 -0.414048 -39.3702 7.22338 -2.45928 -30.2463 -0.208991 1.00062 -35.8651 -0.869627 2.16406 -38.9426 2.1662 0.0112756 -39.3998 4.14937 -1.95163 -40.1556 6.27118 -3.5818 -30.2911 -0.989593 0.23264 -35.936 -2.31252 0.654225 -39.5361 -0.0127823 -0.677452 -40.7451 1.87772 -1.82549 -42.0223 3.95884 -3.0774 -28.7787 -1.06329 -1.41107 -29.8771 -2.17972 -1.47032 -32.7334 -3.24486 -2.85703 -35.0687 -4.37365 -3.90159 -37.5778 -6.35973 -4.73607 
-27 0.000408976 -7.37124e-07 -29.7817 1.19913 2.21739 -34.4504 2.51762 4.03697 -36.793 4.53774 1.89196 -37.3368 5.79504 0.318953 -37.8977 6.93366 -1.94024 -30.0113 0.525625 1.62291 -35.1903 0.770399 3.54441 -37.885 3.57083 1.32593 -38.4905 5.17956 -0.507496 -39.6383 7.22305 -2.50299 -30.241 -0.147868 1.02843 -35.8566 -0.723354 2.25104 -39.0127 2.20115 0.0583008 -39.5629 4.12839 -1.94296 -40.472 6.17334 -3.59289 -30.2936 -0.963299 0.298061 -35.9408 -2.23641 0.829047 -39.5434 0.0110638 -0.570748 -40.7765 1.84418 -1.78464 -42.0694 3.86831 -3.11215 -28.7916 -1.12031 -1.34929 -29.8933 -2.23497 -1.3475 -32.756 -3.37308 -2.66113 -35.0926 -4.57324 -3.6198 -37.5775 -6.64591 -4.30249 
-27 0.000409462 -3.05858e-06 -29.7717 1.29105 2.17797 -34.437 2.69465 3.94152 -36.8318 4.63453 1.78011 -37.4092 5.85528 0.190365 -38.2278 6.97911 -1.9964 -30.0053 0.596763 1.60952 -35.1811 0.940738 3.52417 -37.9476 3.64852 1.27917 -38.6664 5.21597 -0.549082 -39.9314 7.14537 -2.58687 -30.2389 -0.0975155 1.04104 -35.8546 -0.601986 2.29388 -39.0597 2.24429 0.0694935 -39.7397 4.11825 -1.94244 -40.8056 6.10271 -3.57232 -30.2963 -0.939336 0.341642 -35.947 -2.16541 0.940703 -39.5664 0.029857 -0.495237 -40.8203 1.79582 -1.78533 -42.0592 3.81583 -3.16987 -28.7991 -1.16305 -1.30235 -29.9033 -2.27417 -1.2537 -32.7711 -3.47368 -2.49982 -35.1034 -4.72759 -3.39813 -37.5492 -6.87908 -3.96897 
-27 0.000407706 1.58893e-07 -29.7681 1.35478 2.14357 -34.4333 2.81843 3.85805 -36.8736 4.68975 1.68711 -37.4911 5.8723 0.0836378 -38.5162 7.02081 -2.00085 -30.003 0.645072 1.59505 -35.1787 1.05732 3.49666 -38.0162 3.68576 1.246 -38.7684 5.23065 -0.587995 -40.298 7.07119 -2.52395 -30.2379 -0.0646254 1.04652 -35.8541 -0.52178 2.31544 -39.1251 2.24592 0.0877913 -39.9073 4.07879 -1.92025 -41.1014 6.02175 -3.51068 -30.297 -0.925686 0.371075 -35.9475 -2.12807 1.01806 -39.5742 0.0229029 -0.463351 -40.8367 1.75579 -1.7897 -42.0953 3.74125 -3.20674 -28.8017 -1.19714 -1.26744 -29.9051 -2.30691 -1.18375 -32.7707 -3.55443 -2.38707 -35.0988 -4.85649 -3.226 -37.4974 -7.08251 -3.70345 
-27 0.00040689 1.09888e-06 -29.7805 1.39129 2.10367 -34.458 2.88659 3.75631 -36.9413 4.70118 1.58597 -37.6319 5.87045 0.0027074 -38.6415 6.93979 -2.13092 -30.0117 0.670845 1.56772 -35.1984 1.1178 3.4312 -38.0843 3.68238 1.16517 -38.9616 5.21151 -0.625947 -40.6046 6.97062 -2.54468 -30.2429 -0.0495989 1.03174 -35.8654 -0.487508 2.27948 -39.1842 2.22414 0.0535199 -40.0568 4.01687 -1.94914 -41.3653 5.92407 -3.49216 -30.2974 -0.923528 0.372648 -35.9484 -2.12331 1.02072 -39.5804 -0.00923265 -0.498284 -40.8229 1.71137 -1.85955 -42.0863 3.64237 -3.34631 -28.7937 -1.224 -1.25304 -29.8959 -2.33368 -1.15307 -32.7545 -3.62347 -2.32804 -35.0644 -4.9769 -3.1353 -37.4267 -7.25569 -3.53905 
-27 0.000405067 -3.81982e-06 -29.7778 1.41426 2.09198 -34.4562 2.92516 3.72758 -36.9885 4.69032 1.57312 -37.7426 5.84363 0.00720423 -38.8462 6.91781 -2.07682 -30.0086 0.685336 1.56745 -35.1917 1.15054 3.4363 -38.131 3.66502 1.186 -39.0955 5.16583 -0.58408 -40.8193 6.89134 -2.46206 -30.2395 -0.0435802 1.0429 -35.8571 -0.476241 2.3141 -39.2217 2.19076 0.103127 -40.1768 3.95827 -1.88357 -41.5951 5.83707 -3.36299 -30.2935 -0.92728 0.396925 -35.9376 -2.13538 1.08827 -39.5693 -0.042355 -0.459142 -40.8081 1.66572 -1.83971 -42.075 3.56936 -3.35908 -28.7941 -1.24741 -1.22903 -29.8915 -2.35959 -1.1057 -32.7481 -3.68604 -2.2442 -35.0444 -5.08165 -3.01751 -37.3504 -7.4299 -3.34108 
-27 0.00040253 -1.03914e-06 -29.7765 1.42675 2.08521 -34.4562 2.94372 3.71156 -37.0318 4.66688 1.57453 -37.8259 5.79956 0.0133568 -39.029 6.885 -2.00891 -30.0065 0.691848 1.56871 -35.1869 1.16455 3.44312 -38.1804 3.62944 1.20954 -39.1986 5.09962 -0.556203 -41.005 6.82037 -2.35934 -30.2365 -0.0430458 1.05219 -35.8495 -0.477811 2.34288 -39.2526 2.14835 0.142036 -40.2681 3.90669 -1.82343 -41.7563 5.76043 -3.26533 -30.2895 -0.933399 0.415333 -35.927 -2.15321 1.13932 -39.5647 -0.0815256 -0.421646 -40.8022 1.61695 -1.81557 -42.1135 3.48884 -3.3373 -28.7936 -1.26533 -1.21142 -29.8848 -2.38156 -1.07187 -32.7332 -3.74098 -2.19203 -35.0209 -5.17157 -2.92599 -37.2816 -7.57119 -3.18589 
