Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000403152 -3.20401e-06 -27.2573 -2.47343 -2.81161 -27.9046 -4.87825 -7.35515 -31.0419 -4.02611 -9.25289 -32.9617 -3.33434 -9.68504 -35.1911 -2.0543 -10.0106 -27.0144 -1.6141 -3.06117 -26.729 -3.39233 -8.28897 -30.5901 -2.65495 -10.4238 -31.8255 -1.98856 -8.3391 -33.926 -1.50729 -10.5371 -26.7715 -0.754753 -3.31072 -26.2398 -1.43398 -9.02185 -30.6081 -0.607018 -10.9223 -33.201 0.408498 -10.4411 -35.889 1.09105 -10.2539 -26.4536 0.291199 -3.3885 -25.635 0.696705 -9.12946 -29.6645 1.52922 -10.8762 -32.0764 2.11462 -10.4702 -34.7758 2.46568 -10.0611 -26.9606 1.76178 -1.78393 -26.2544 2.25004 -3.09508 -26.461 3.98948 -5.94949 -26.6941 5.47774 -8.30526 -26.2936 6.63378 -11.3777 
-27 0.000407068 2.99228e-06 -27.2541 -2.52082 -2.76949 -27.8992 -5.01231 -7.26641 -31.0452 -4.22636 -9.17808 -32.9659 -3.54209 -9.61802 -35.2397 -2.3742 -10.0436 -27.0188 -1.66396 -3.03433 -26.7471 -3.52367 -8.23443 -30.5934 -2.86469 -10.4197 -31.6931 -2.21861 -8.25419 -33.8504 -1.77474 -10.4046 -26.7835 -0.807079 -3.29916 -26.2838 -1.57273 -9.00224 -30.6486 -0.831028 -10.9311 -33.2597 0.147898 -10.4733 -35.9527 0.818973 -10.3182 -26.4736 0.239725 -3.39568 -25.7006 0.567811 -9.14791 -29.7346 1.30927 -10.9249 -32.1548 1.87611 -10.5423 -34.8553 2.19583 -10.1153 -26.9829 1.73263 -1.81259 -26.2812 2.20242 -3.13288 -26.474 3.87115 -6.03014 -26.7092 5.32633 -8.40627 -26.4395 6.42083 -11.5153 
-27 0.00040304 -1.36112e-06 -27.2485 -2.58446 -2.71071 -27.8904 -5.19337 -7.14101 -31.0341 -4.47854 -9.08422 -32.9623 -3.82063 -9.53141 -35.233 -2.66125 -9.99493 -27.0209 -1.73208 -2.99594 -26.7598 -3.70717 -8.15388 -30.5941 -3.13772 -10.3835 -31.5787 -2.50038 -8.16083 -33.7912 -2.09416 -10.262 -26.7932 -0.879679 -3.28117 -26.3191 -1.77025 -8.96827 -30.6959 -1.10917 -10.8992 -33.3129 -0.127676 -10.4822 -36.0154 0.497356 -10.302 -26.4917 0.166942 -3.40277 -25.7589 0.380613 -9.16565 -29.8017 1.01966 -10.9625 -32.2198 1.59223 -10.5756 -34.9093 1.87733 -10.0631 -27.0045 1.69139 -1.8512 -26.3132 2.15036 -3.18077 -26.5805 3.83969 -6.06012 -26.7219 5.13527 -8.53406 -26.5756 6.1194 -11.6879 
-27 0.000409311 3.17218e-06 -27.2457 -2.65238 -2.64454 -27.8963 -5.36943 -7.00806 -31.0461 -4.752 -8.97465 -32.9845 -4.13889 -9.43153 -35.2792 -3.04732 -9.93918 -27.0275 -1.80536 -2.95229 -26.7892 -3.90208 -8.0631 -30.6213 -3.44311 -10.3205 -31.5096 -2.80538 -8.05774 -33.7752 -2.43925 -10.1093 -26.8093 -0.958341 -3.26004 -26.3709 -1.9825 -8.92748 -30.7669 -1.427 -10.8464 -33.3946 -0.467881 -10.4451 -36.1002 0.136631 -10.2427 -26.5178 0.0875007 -3.40952 -25.8357 0.165649 -9.18204 -29.8905 0.698759 -10.9861 -32.3202 1.23264 -10.6164 -34.9848 1.54744 -10.0016 -27.0326 1.64523 -1.89205 -26.3509 2.07579 -3.23598 -26.6549 3.67329 -6.16369 -26.7617 4.89075 -8.6787 -26.742 5.8036 -11.8572 
-27 0.000407619 8.76392e-07 -27.2331 -2.72208 -2.57391 -27.8905 -5.56109 -6.85804 -31.0491 -5.00753 -8.82948 -33.0173 -4.45859 -9.29152 -35.3071 -3.39265 -9.8711 -27.0276 -1.88067 -2.90489 -26.8046 -4.10682 -7.96137 -30.6459 -3.75787 -10.2215 -31.4546 -3.10944 -7.93206 -33.774 -2.79156 -9.93069 -26.8221 -1.03926 -3.23587 -26.4112 -2.20579 -8.8778 -30.833 -1.76134 -10.7661 -33.4685 -0.824646 -10.3623 -36.1717 -0.222685 -10.1243 -26.5445 0.00582613 -3.4143 -25.9018 -0.0567242 -9.19153 -29.9742 0.363582 -10.986 -32.402 0.886395 -10.5895 -35.0489 1.2367 -9.91962 -27.0668 1.59568 -1.93314 -26.4003 2.00332 -3.29173 -26.719 3.50594 -6.26772 -26.8252 4.65085 -8.81661 -26.9322 5.46429 -12.0203 
-27 0.000406113 1.85435e-06 -27.2335 -2.80801 -2.47982 -27.919 -5.79466 -6.65785 -31.1089 -5.30367 -8.59518 -33.0954 -4.81243 -9.0112 -35.3614 -3.72748 -9.64628 -27.0489 -1.97449 -2.84164 -26.8791 -4.35833 -7.82783 -30.7626 -4.10367 -10.0263 -31.4973 -3.43887 -7.71667 -33.868 -3.17015 -9.66166 -26.8643 -1.14097 -3.20347 -26.5378 -2.48268 -8.81188 -30.9933 -2.12275 -10.6391 -33.6362 -1.21947 -10.2087 -36.3185 -0.564025 -9.88932 -26.6083 -0.0977338 -3.42081 -26.0726 -0.336834 -9.20433 -30.1769 -0.00491097 -10.9435 -32.5986 0.504794 -10.4955 -35.2572 0.925518 -9.919 -27.1306 1.5305 -1.98195 -26.4842 1.9046 -3.35978 -26.8225 3.31665 -6.37766 -26.9399 4.3981 -8.95362 -27.3489 5.02465 -12.1749 
-27 0.000407398 3.3989e-06 -27.256 -2.89501 -2.37536 -28.0028 -6.03091 -6.43175 -31.2319 -5.5905 -8.31558 -33.2254 -5.11099 -8.69873 -35.5276 -4.09835 -9.32297 -27.0928 -2.07207 -2.77016 -27.0152 -4.62304 -7.67527 -30.947 -4.42446 -9.79093 -31.6203 -3.73985 -7.46841 -34.0397 -3.51397 -9.35802 -26.9296 -1.24912 -3.16498 -26.7274 -2.77905 -8.7309 -31.2263 -2.48219 -10.4611 -33.8662 -1.60016 -9.97227 -36.5273 -0.877331 -9.62229 -26.6944 -0.210644 -3.42448 -26.3072 -0.643799 -9.20858 -30.4393 -0.351386 -10.8883 -32.8519 0.133271 -10.3695 -35.4979 0.493877 -9.70139 -27.2033 1.45912 -2.02909 -26.5883 1.7968 -3.43052 -26.9676 3.11466 -6.4859 -27.1295 4.12381 -9.08864 -27.517 4.65554 -12.3296 
-27 0.00040345 2.41292e-06 -27.3051 -2.95911 -2.28898 -28.1472 -6.20103 -6.24204 -31.4191 -5.81186 -8.06218 -33.4244 -5.35816 -8.41425 -35.7481 -4.35321 -8.96717 -27.1569 -2.1464 -2.71002 -27.1995 -4.82396 -7.54762 -31.2014 -4.7119 -9.5331 -31.8265 -4.00332 -7.20433 -34.2834 -3.81448 -9.04909 -27.0087 -1.33368 -3.13106 -26.9535 -3.01006 -8.65806 -31.4943 -2.78247 -10.2861 -34.1077 -1.88203 -9.69822 -36.7758 -1.20312 -9.31486 -26.786 -0.301526 -3.42462 -26.563 -0.887627 -9.2039 -30.7263 -0.691873 -10.8191 -33.1214 -0.20351 -10.2275 -35.7351 0.047881 -9.40126 -27.2657 1.40296 -2.06122 -26.6904 1.70988 -3.48636 -27.1456 2.92529 -6.57367 -27.3604 3.84781 -9.20458 -27.9296 4.44099 -12.4078 
-27 0.000404979 2.54038e-06 -27.3733 -3.01872 -2.19927 -28.3381 -6.3605 -6.03954 -31.6815 -6.02956 -7.73726 -33.6989 -5.59662 -8.04175 -36.0328 -4.60833 -8.58124 -27.24 -2.21727 -2.64611 -27.4361 -5.01826 -7.40946 -31.5075 -4.96592 -9.24977 -32.0946 -4.23302 -6.91863 -34.5864 -4.08147 -8.71944 -27.1068 -1.41582 -3.09294 -27.2289 -3.23661 -8.57298 -31.8168 -3.05548 -10.0698 -34.4067 -2.16206 -9.37662 -37.0672 -1.50435 -8.91211 -26.8953 -0.391588 -3.42058 -26.8602 -1.13038 -9.18654 -31.0651 -0.990128 -10.6965 -33.4384 -0.532103 -10.002 -35.9996 -0.0549132 -9.11313 -27.3339 1.34788 -2.08787 -26.8072 1.62251 -3.5382 -27.3543 2.73336 -6.64989 -27.6504 3.57965 -9.29848 -28.0982 3.99879 -12.5482 
-27 0.000411526 4.52174e-06 -27.4555 -3.08641 -2.08695 -28.5694 -6.5435 -5.78203 -31.9862 -6.27065 -7.33798 -34.0111 -5.81977 -7.55203 -36.3893 -4.93574 -8.07913 -27.3422 -2.29921 -2.56364 -27.7276 -5.24651 -7.22608 -31.8745 -5.21723 -8.8886 -32.4297 -4.46438 -6.55601 -34.9559 -4.37231 -8.31249 -27.229 -1.51201 -3.04033 -27.5727 -3.50349 -8.45114 -32.2158 -3.36307 -9.77159 -34.7806 -2.47419 -8.98516 -37.4181 -1.78447 -8.44298 -27.0332 -0.498322 -3.4081 -27.2346 -1.41851 -9.14449 -31.4944 -1.34112 -10.4967 -33.8342 -0.836192 -9.72506 -36.337 -0.358606 -8.68323 -27.4213 1.28158 -2.11364 -26.9496 1.51279 -3.59021 -27.6009 2.51937 -6.71728 -28.0021 3.29683 -9.37311 -28.5028 3.67811 -12.6197 
