Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000405242 -9.76723e-09 -29.4693 1.80357 2.17774 -33.5515 4.12678 4.36498 -33.8587 5.79269 1.0034 -32.8324 5.19199 -0.71029 -32.1041 3.17802 -2.16922 -29.839 1.2225 1.55695 -34.7999 2.53149 3.61859 -34.8988 5.15941 -0.00218485 -33.2318 4.1162 -1.567 -31.3282 1.69978 -1.45407 -30.2088 0.641433 0.936137 -35.8043 1.52155 2.0663 -37.9604 5.17481 -0.241676 -38.0455 7.29025 -2.11351 -38.8578 9.59265 -3.44228 -30.4379 -0.118064 0.179956 -36.2422 0.0211067 0.468061 -38.8563 3.26816 -1.14568 -39.2191 5.41126 -2.41078 -39.4247 7.72536 -3.88727 -28.9676 -0.606705 -1.43058 -30.272 -1.47413 -1.47823 -33.3085 -2.24534 -2.66193 -35.8051 -3.26699 -3.3982 -38.2822 -5.45684 -3.46855 
-27 0.000405302 -2.94088e-08 -29.4621 1.79789 2.1906 -33.5368 4.11379 4.3994 -33.8736 5.78665 1.04412 -32.8458 5.19172 -0.670652 -32.1177 3.20319 -2.16419 -29.8338 1.21686 1.57093 -34.7871 2.51535 3.65702 -34.8992 5.15126 0.0424309 -33.2464 4.10863 -1.53788 -31.325 1.70575 -1.43933 -30.2055 0.635844 0.951247 -35.7971 1.50702 2.10683 -37.9771 5.1571 -0.183686 -38.1018 7.27954 -2.04535 -38.9625 9.5873 -3.33379 -30.4368 -0.123278 0.195385 -36.2402 0.00440904 0.509232 -38.8556 3.243 -1.11921 -39.247 5.39194 -2.36574 -39.424 7.71769 -3.82755 -28.9731 -0.608241 -1.42225 -30.2764 -1.47766 -1.46436 -33.3165 -2.25306 -2.63606 -35.8128 -3.28161 -3.36371 -38.2841 -5.47833 -3.42255 
-27 0.000409251 2.82331e-06 -29.4577 1.79425 2.19843 -33.5268 4.10713 4.42087 -33.8714 5.78565 1.0692 -32.844 5.19113 -0.646016 -32.1222 3.20662 -2.1479 -29.8306 1.21412 1.57865 -34.7797 2.50789 3.67775 -34.8915 5.15038 0.0679704 -33.2504 4.10488 -1.52252 -31.3096 1.71698 -1.43937 -30.2036 0.634009 0.958852 -35.7929 1.50322 2.12692 -37.9847 5.15239 -0.153805 -38.1192 7.27413 -2.01558 -39.0175 9.59312 -3.25724 -30.4364 -0.123989 0.202311 -36.2392 0.000398532 0.527267 -38.85 3.23745 -1.11153 -39.2512 5.38379 -2.35945 -39.4218 7.73275 -3.78446 -28.976 -0.606306 -1.41909 -30.279 -1.47621 -1.45969 -33.3208 -2.25229 -2.62646 -35.8173 -3.28376 -3.34921 -38.2863 -5.48331 -3.40317 
-27 0.000413109 5.67602e-06 -29.456 1.79306 2.20129 -33.5216 4.10601 4.43003 -33.8676 5.78831 1.0804 -32.841 5.19415 -0.635434 -32.128 3.20884 -2.1405 -29.8295 1.2137 1.58109 -34.777 2.50657 3.68432 -34.881 5.15256 0.0768759 -33.2491 4.1018 -1.51967 -31.2892 1.72922 -1.44983 -30.2029 0.634346 0.960885 -35.7914 1.50521 2.13195 -37.989 5.15178 -0.14729 -38.1299 7.26794 -2.01493 -39.0708 9.59569 -3.20779 -30.4364 -0.12281 0.203694 -36.2391 0.00171818 0.53 -38.8418 3.2387 -1.12169 -39.2425 5.37923 -2.37972 -39.3938 7.75273 -3.7657 -28.9769 -0.604106 -1.41882 -30.2799 -1.47396 -1.45975 -33.3219 -2.25073 -2.62553 -35.8184 -3.28509 -3.34418 -38.2854 -5.48687 -3.393 
-27 0.000411817 4.81334e-06 -29.4533 1.81683 2.18476 -33.5108 4.16529 4.39094 -33.8273 5.83932 1.03426 -32.7971 5.22894 -0.673634 -32.1048 3.22704 -2.16637 -29.828 1.23824 1.56459 -34.7757 2.57141 3.64208 -34.8361 5.20598 0.0252884 -33.2124 4.13229 -1.56422 -31.2479 1.76361 -1.49059 -30.2027 0.659658 0.944416 -35.7901 1.5739 2.08732 -37.9575 5.22191 -0.218326 -38.0773 7.32042 -2.10723 -39.0408 9.65662 -3.26495 -30.438 -0.0981092 0.188425 -36.2413 0.0663866 0.486491 -38.8071 3.31463 -1.20054 -39.1894 5.44223 -2.48589 -39.321 7.83802 -3.83506 -28.9746 -0.594489 -1.426 -30.2831 -1.45598 -1.47058 -33.3247 -2.219 -2.64636 -35.8248 -3.24386 -3.36594 -38.3037 -5.4324 -3.41071 
-27 0.000409666 2.98575e-06 -29.4513 1.84065 2.16699 -33.5009 4.22651 4.34747 -33.7809 5.89758 0.986072 -32.745 5.2726 -0.71312 -32.0732 3.25625 -2.19574 -29.827 1.26429 1.54538 -34.776 2.64162 3.591 -34.7863 5.27049 -0.0304196 -33.1665 4.17774 -1.61098 -31.2094 1.80316 -1.53075 -30.2027 0.687937 0.923754 -35.789 1.65195 2.03058 -37.9213 5.30729 -0.296227 -38.0151 7.3945 -2.19908 -38.9971 9.73622 -3.32978 -30.4398 -0.068966 0.16744 -36.2433 0.143788 0.42876 -38.7679 3.41009 -1.28533 -39.1287 5.52771 -2.59319 -39.2708 7.94391 -3.90435 -28.9708 -0.580049 -1.43723 -30.2857 -1.43129 -1.48898 -33.3261 -2.17466 -2.68037 -35.8302 -3.18535 -3.40604 -38.3241 -5.35668 -3.45663 
-27 0.000407523 -1.12026e-08 -29.4522 1.84017 2.1664 -33.4997 4.23234 4.34396 -33.7601 5.92319 0.990891 -32.7199 5.30375 -0.707687 -32.0555 3.29165 -2.19935 -29.8279 1.26883 1.54013 -34.7791 2.65749 3.57238 -34.7609 5.30729 -0.0337181 -33.1397 4.21762 -1.61487 -31.1974 1.83056 -1.54498 -30.2035 0.697508 0.91385 -35.7899 1.68319 2.00098 -37.916 5.35424 -0.306651 -38.0055 7.45322 -2.19672 -39.0189 9.79298 -3.30351 -30.4408 -0.0542755 0.152507 -36.2442 0.185454 0.388847 -38.7599 3.46945 -1.30448 -39.1073 5.58986 -2.61145 -39.3138 8.02479 -3.87867 -28.9672 -0.563459 -1.44864 -30.2853 -1.40909 -1.51075 -33.3239 -2.13531 -2.71709 -35.8293 -3.13506 -3.45354 -38.3304 -5.2974 -3.52781 
-27 0.00040624 -2.04324e-06 -29.4542 1.83743 2.16644 -33.501 4.23308 4.34143 -33.7417 5.94613 0.998166 -32.6965 5.3348 -0.700212 -32.034 3.33063 -2.20341 -29.8295 1.27155 1.53497 -34.784 2.66885 3.55333 -34.7367 5.34269 -0.0347085 -33.1121 4.25864 -1.61632 -31.1927 1.85267 -1.56487 -30.2047 0.705683 0.903491 -35.7915 1.71124 1.96969 -37.9142 5.39987 -0.312944 -38.0012 7.5136 -2.18662 -39.0329 9.8495 -3.28459 -30.4417 -0.0404048 0.136478 -36.245 0.226341 0.344983 -38.7605 3.52678 -1.31628 -39.0928 5.65508 -2.61432 -39.3611 8.1059 -3.83863 -28.963 -0.546127 -1.46103 -30.284 -1.38618 -1.5345 -33.3202 -2.09444 -2.75749 -35.8261 -3.08228 -3.50811 -38.334 -5.23557 -3.61127 
-27 0.000407787 -1.1632e-06 -29.4625 1.83307 2.16074 -33.5158 4.22721 4.3252 -33.7366 5.95574 0.988544 -32.6825 5.35143 -0.706892 -32.0142 3.35575 -2.21874 -29.8354 1.2708 1.52466 -34.7982 2.66929 3.5217 -34.7236 5.36116 -0.0523715 -33.0899 4.28567 -1.63051 -31.1958 1.85945 -1.59835 -30.2082 0.708541 0.888578 -35.7987 1.72343 1.92632 -37.9205 5.42187 -0.34115 -38.0059 7.54747 -2.20143 -39.0451 9.87655 -3.30683 -30.4424 -0.033637 0.116937 -36.2462 0.247685 0.291043 -38.764 3.55693 -1.34913 -39.0874 5.69342 -2.63592 -39.3802 8.15382 -3.83512 -28.9559 -0.535446 -1.47446 -30.2781 -1.37259 -1.55918 -33.3087 -2.07127 -2.80135 -35.8118 -3.05323 -3.56887 -38.3215 -5.20291 -3.69887 
-27 0.000409918 6.05485e-07 -29.4731 1.82442 2.15601 -33.5357 4.21054 4.31178 -33.7395 5.95464 0.982146 -32.6754 5.35866 -0.709979 -31.9972 3.37792 -2.23701 -29.8428 1.26549 1.5152 -34.8155 2.65717 3.49232 -34.7161 5.36823 -0.066612 -33.068 4.30806 -1.64007 -31.2044 1.85811 -1.62938 -30.2125 0.706567 0.874378 -35.8079 1.72218 1.88491 -37.9313 5.4292 -0.367056 -38.0174 7.57178 -2.20772 -39.0566 9.89596 -3.32337 -30.4431 -0.0317173 0.0978922 -36.2474 0.255792 0.238716 -38.7692 3.57178 -1.38168 -39.09 5.71682 -2.65482 -39.3923 8.18094 -3.84398 -28.9481 -0.526924 -1.48773 -30.2704 -1.36277 -1.58375 -33.2945 -2.05518 -2.84522 -35.7933 -3.03402 -3.63063 -38.3017 -5.18346 -3.78662 
