Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000411282 2.11678e-06 -29.2351 -0.589689 2.95765 -33.1035 -1.44491 6.29676 -35.2292 1.38097 5.00619 -35.1374 2.58162 3.30301 -33.814 1.93813 1.17001 -29.5669 -0.887732 2.14476 -34.0151 -2.74931 4.85052 -36.4037 0.936381 3.99244 -35.5491 2.44149 2.17029 -33.1567 1.74006 0.364752 -29.8987 -1.18576 1.33186 -34.97 -3.33161 3.07495 -37.7637 0.558306 2.45361 -36.4607 2.53429 0.909627 -34.2056 2.18665 -0.677906 -30.0841 -1.50416 0.299674 -35.3967 -3.78121 0.919647 -38.7829 -0.879315 0.613682 -38.3344 1.48396 -0.120329 -35.7355 1.86274 -0.944844 -29.0053 -0.541265 -1.40424 -30.0201 -1.66412 -1.81112 -33.0583 -2.65841 -2.8097 -35.4693 -3.81036 -3.63352 -37.7153 -6.05132 -4.56639 
-27 0.000410272 1.54306e-06 -29.2227 -0.464325 2.98916 -33.0774 -1.17008 6.37877 -35.181 1.62492 4.98865 -35.0798 2.74837 3.2341 -33.734 1.97615 1.15864 -29.5612 -0.789621 2.18955 -34.0056 -2.52196 4.98585 -36.3446 1.15554 3.97042 -35.4503 2.5401 2.07322 -33.0574 1.64651 0.35541 -29.8996 -1.11491 1.38993 -34.9737 -3.1636 3.23872 -37.6991 0.744105 2.44905 -36.3257 2.59444 0.813152 -34.0799 1.99552 -0.711388 -30.093 -1.46967 0.37116 -35.4163 -3.68771 1.10309 -38.7527 -0.743801 0.676433 -38.2329 1.56904 -0.163548 -35.609 1.74074 -0.977622 -29.0169 -0.577913 -1.37272 -30.0399 -1.70937 -1.73239 -33.0866 -2.73506 -2.67126 -35.5069 -3.91497 -3.42561 -37.7657 -6.18644 -4.247 
-27 0.000408904 5.2138e-07 -29.2093 -0.35184 3.01435 -33.0476 -0.923323 6.44759 -35.1307 1.84109 4.96829 -35.0068 2.88257 3.16529 -33.6327 1.99267 1.15659 -29.5542 -0.700896 2.2276 -33.9922 -2.31624 5.10296 -36.2811 1.34989 3.94273 -35.3521 2.61788 1.98183 -32.966 1.54543 0.359541 -29.899 -1.04994 1.44083 -34.9738 -3.00817 3.38331 -37.6408 0.906788 2.44399 -36.2155 2.64477 0.731037 -33.9888 1.83599 -0.722892 -30.1002 -1.43655 0.43525 -35.4318 -3.59891 1.26627 -38.721 -0.620124 0.728957 -38.1329 1.63919 -0.206238 -35.4962 1.63611 -0.997071 -29.0279 -0.609332 -1.34248 -30.0582 -1.74704 -1.65937 -33.1124 -2.80023 -2.54164 -35.5399 -4.00456 -3.23131 -37.808 -6.30115 -3.95116 
-27 0.000408485 -6.96772e-07 -29.1963 -0.252548 3.03377 -33.0168 -0.705076 6.50437 -35.0804 2.03008 4.94541 -34.9161 2.98181 3.09661 -33.5038 1.98173 1.16775 -29.547 -0.622033 2.25902 -33.9775 -2.13356 5.20173 -36.2155 1.5194 3.90837 -35.2549 2.67565 1.89434 -32.8817 1.43764 0.37432 -29.8977 -0.991508 1.48426 -34.9722 -2.86716 3.50735 -37.5903 1.04712 2.43698 -36.1293 2.68821 0.659788 -33.9237 1.70982 -0.720314 -30.106 -1.40563 0.491163 -35.4442 -3.51715 1.40664 -38.6886 -0.509343 0.768047 -38.0354 1.69426 -0.253015 -35.3932 1.55058 -1.01154 -29.0379 -0.635906 -1.3147 -30.0742 -1.77805 -1.5937 -33.1346 -2.85544 -2.42402 -35.5672 -4.08144 -3.05503 -37.8408 -6.39908 -3.68438 
-27 0.000408423 -1.46696e-06 -29.1836 -0.16202 3.04906 -32.9855 -0.505533 6.55245 -35.0277 2.20168 4.91834 -34.8153 3.05927 3.02883 -33.3669 1.95595 1.1849 -29.5399 -0.54944 2.28569 -33.9624 -1.9653 5.28739 -36.1468 1.67342 3.86823 -35.1544 2.72142 1.81083 -32.8026 1.33129 0.392488 -29.8962 -0.936846 1.52231 -34.9696 -2.73511 3.61691 -37.535 1.17875 2.42423 -36.0405 2.72556 0.591217 -33.8599 1.59674 -0.711587 -30.1112 -1.37532 0.54118 -35.4552 -3.43817 1.53106 -38.6529 -0.40236 0.796568 -37.9339 1.74299 -0.301407 -35.2905 1.48878 -1.02621 -29.0474 -0.658366 -1.28871 -30.0892 -1.80336 -1.53322 -33.1549 -2.90164 -2.31525 -35.5917 -4.14502 -2.89397 -37.8684 -6.48003 -3.44244 
-27 0.000410955 3.17782e-07 -29.1705 -0.0731823 3.06183 -32.9521 -0.308604 6.59595 -34.967 2.37075 4.88385 -34.707 3.13216 2.9594 -33.2377 1.92704 1.19754 -29.5327 -0.477098 2.30985 -33.9471 -1.79678 5.36673 -36.0709 1.82666 3.82213 -35.042 2.76624 1.73062 -32.7247 1.23567 0.402894 -29.8948 -0.880999 1.55787 -34.9666 -2.60132 3.72074 -37.4553 1.32084 2.39974 -35.913 2.75534 0.515735 -33.7686 1.47035 -0.699574 -30.117 -1.34219 0.588837 -35.4673 -3.35301 1.64937 -38.6095 -0.284455 0.818044 -37.8175 1.7975 -0.349535 -35.1763 1.44561 -1.04037 -29.0573 -0.677232 -1.26292 -30.1054 -1.82323 -1.47375 -33.1767 -2.93835 -2.20827 -35.6186 -4.19334 -2.7385 -37.8965 -6.54415 -3.20864 
-27 0.000413488 2.75716e-06 -29.1584 0.00556544 3.07127 -32.9205 -0.133903 6.63116 -34.9067 2.51939 4.8465 -34.5996 3.18723 2.89444 -33.1117 1.88919 1.21631 -29.5259 -0.412455 2.32967 -33.9324 -1.64626 5.43342 -35.9956 1.96083 3.77275 -34.9294 2.798 1.65658 -32.6511 1.1417 0.414983 -29.8933 -0.830461 1.58805 -34.9628 -2.48098 3.80999 -37.3692 1.44976 2.36759 -35.7775 2.77189 0.442881 -33.675 1.34249 -0.680894 -30.1221 -1.31125 0.630134 -35.4776 -3.27455 1.75163 -38.5627 -0.174343 0.828757 -37.6987 1.84408 -0.397823 -35.0615 1.40109 -1.05102 -29.0662 -0.692618 -1.23979 -30.1198 -1.83867 -1.42061 -33.1956 -2.9684 -2.11271 -35.6415 -4.23312 -2.59972 -37.9172 -6.59935 -2.99778 
-27 0.000410883 3.59096e-06 -29.1505 0.0673711 3.07605 -32.8987 0.00223467 6.6528 -34.8571 2.63345 4.80586 -34.5044 3.21665 2.83448 -32.9909 1.84258 1.24186 -29.5216 -0.361768 2.34264 -33.9229 -1.52926 5.47939 -35.9301 2.06159 3.71801 -34.8267 2.80787 1.58692 -32.5842 1.04376 0.43171 -29.8927 -0.790896 1.60923 -34.9605 -2.38794 3.87378 -37.2908 1.54822 2.3251 -35.6531 2.77096 0.373396 -33.5925 1.21715 -0.659111 -30.126 -1.28709 0.660273 -35.485 -3.21473 1.82568 -38.5162 -0.087286 0.81989 -37.5862 1.87281 -0.452142 -34.954 1.34852 -1.06392 -29.0722 -0.705103 -1.2226 -30.1294 -1.85136 -1.38006 -33.2068 -2.99561 -2.04047 -35.6537 -4.27057 -2.49432 -37.9232 -6.65184 -2.83427 
-27 0.000407105 3.77013e-06 -29.1423 0.115074 3.08038 -32.8768 0.106354 6.67199 -34.8097 2.72048 4.77461 -34.4165 3.22877 2.79021 -32.8732 1.79234 1.28354 -29.5167 -0.322567 2.35369 -33.9112 -1.43966 5.51812 -35.8683 2.13674 3.67289 -34.7304 2.80269 1.53331 -32.5221 0.946192 0.460026 -29.891 -0.7602 1.62699 -34.9552 -2.31685 3.92744 -37.2157 1.62378 2.28931 -35.5367 2.75871 0.319783 -33.5197 1.09639 -0.626125 -30.1283 -1.2682 0.685311 -35.4887 -3.16918 1.8879 -38.4692 -0.0167104 0.811392 -37.4799 1.89057 -0.495765 -34.8545 1.29325 -1.0682 -29.0776 -0.714625 -1.20781 -30.1372 -1.8611 -1.34619 -33.2149 -3.01919 -1.98046 -35.661 -4.30488 -2.40762 -37.9216 -6.70095 -2.69917 
-27 0.000405359 -2.3226e-07 -29.1288 0.147729 3.08835 -32.8451 0.176415 6.69859 -34.758 2.78081 4.76777 -34.3349 3.22921 2.77507 -32.7568 1.74361 1.35471 -29.5073 -0.295495 2.36722 -33.8891 -1.37858 5.56104 -35.8065 2.18767 3.65556 -34.6401 2.78546 1.51123 -32.4626 0.855087 0.507637 -29.8858 -0.738712 1.64608 -34.9413 -2.26815 3.98353 -37.1445 1.67723 2.28008 -35.4326 2.74082 0.2991 -33.4598 0.987254 -0.572333 -30.1283 -1.25454 0.709999 -35.486 -3.13755 1.95193 -38.4213 0.0391448 0.823512 -37.3836 1.90182 -0.510106 -34.767 1.24005 -1.0514 -29.0844 -0.720431 -1.19247 -30.1458 -1.86703 -1.31487 -33.2238 -3.03754 -1.92509 -35.6666 -4.33697 -2.32848 -37.9148 -6.74929 -2.5796 
