Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000410239 2.26872e-06 -29.9695 -2.03654 1.0604 -34.6481 -3.94842 2.20113 -35.4756 -1.02898 4.42868 -34.6175 0.84043 4.77472 -33.0248 2.6613 3.84578 -30.1538 -1.34453 0.471427 -35.4471 -2.94217 0.522028 -36.2539 0.151902 3.65276 -34.7195 2.05647 4.23076 -32.0836 3.12748 3.05588 -30.3382 -0.652515 -0.117539 -36.0528 -1.30197 -0.649486 -37.5244 1.55675 2.95385 -35.564 3.30404 3.99791 -33.129 4.64022 3.88858 -30.3363 0.171841 -0.839732 -36.0657 0.617008 -1.71681 -40.1407 1.33743 -0.0269226 -42.0549 1.86961 1.51509 -44.1644 2.25915 3.23998 -28.6668 1.65712 -0.873801 -29.9539 1.95602 -1.71662 -32.9199 3.38004 -1.0913 -35.2067 4.44471 0.115333 -37.5005 4.23096 2.48791 
-27 0.000411147 4.12247e-06 -29.9402 -2.08461 1.04857 -34.5905 -4.06966 2.17979 -35.415 -1.17005 4.43419 -34.5529 0.700339 4.76457 -32.9962 2.5195 3.77337 -30.1351 -1.38907 0.467218 -35.4072 -3.05529 0.5131 -36.2013 0.0158731 3.66953 -34.6564 1.92162 4.2149 -32.0549 2.97763 2.95313 -30.33 -0.69351 -0.114124 -36.037 -1.41138 -0.639449 -37.4883 1.41044 3.00101 -35.5111 3.15813 4.01203 -33.0752 4.48271 3.81549 -30.3408 0.138077 -0.827899 -36.0779 0.521407 -1.68353 -40.1544 1.17879 0.0283897 -42.075 1.67438 1.57451 -44.1866 2.003 3.30958 -28.6903 1.64465 -0.851888 -29.9837 1.93461 -1.68822 -32.9681 3.31168 -1.04575 -35.2628 4.33737 0.179452 -37.5165 4.03368 2.58061 
-27 0.000406894 1.49384e-06 -29.9076 -2.13421 1.0396 -34.5268 -4.19483 2.16339 -35.3533 -1.31415 4.44119 -34.4887 0.558321 4.75289 -32.9758 2.37865 3.69817 -30.114 -1.43655 0.464779 -35.362 -3.17732 0.508081 -36.1485 -0.125347 3.68495 -34.596 1.7848 4.19199 -32.033 2.83029 2.84541 -30.3204 -0.738879 -0.110035 -36.0179 -1.53306 -0.628196 -37.4537 1.25615 3.04344 -35.4637 3.01002 4.01814 -33.0326 4.32723 3.73338 -30.3449 0.0984938 -0.816668 -36.0894 0.410198 -1.65167 -40.1671 1.004 0.0805366 -42.0933 1.46515 1.63041 -44.2057 1.73645 3.37437 -28.7157 1.62808 -0.832785 -30.0155 1.90591 -1.66319 -33.02 3.23285 -1.00892 -35.3234 4.21842 0.232943 -37.5376 3.82613 2.65777 
-27 0.000402641 -1.13479e-06 -29.8738 -2.18545 1.02713 -34.4605 -4.32371 2.13853 -35.2946 -1.46689 4.44348 -34.4336 0.409612 4.74062 -32.9648 2.23121 3.62737 -30.0917 -1.48571 0.459137 -35.3136 -3.30346 0.495222 -36.0998 -0.27457 3.69419 -34.5441 1.64237 4.16459 -32.0214 2.67968 2.73788 -30.3096 -0.785958 -0.108853 -35.9958 -1.65911 -0.624192 -37.4223 1.09429 3.07796 -35.4243 2.85672 4.02044 -33.0017 4.16783 3.64839 -30.3481 0.057303 -0.807821 -36.0985 0.294011 -1.62581 -40.1773 0.822132 0.125069 -42.1072 1.2487 1.68023 -44.2195 1.46886 3.43147 -28.7412 1.61045 -0.813961 -30.047 1.87569 -1.63903 -33.0712 3.15136 -0.973593 -35.3827 4.09443 0.286034 -37.5531 3.60679 2.73306 
-27 0.000403944 5.17406e-07 -29.8389 -2.24151 1.00298 -34.392 -4.46399 2.08739 -35.243 -1.642 4.42875 -34.3991 0.242849 4.72198 -32.9657 2.06067 3.55757 -30.0681 -1.53841 0.443622 -35.2612 -3.43713 0.458453 -36.0606 -0.445213 3.68879 -34.51 1.48222 4.13238 -32.0238 2.50882 2.63559 -30.2972 -0.83531 -0.115729 -35.9695 -1.79038 -0.63996 -37.3981 0.913848 3.09744 -35.3995 2.68592 4.02026 -32.9883 3.9907 3.56152 -30.3493 0.0156074 -0.804464 -36.1037 0.174921 -1.614 -40.1844 0.630199 0.152605 -42.1169 1.01727 1.71485 -44.2293 1.19029 3.47134 -28.7665 1.5932 -0.793155 -30.0773 1.84698 -1.61386 -33.1211 3.06847 -0.936231 -35.4415 3.96273 0.342392 -37.5568 3.35871 2.81171 
-27 0.000405571 2.1696e-06 -29.8062 -2.29559 0.972253 -34.3272 -4.59852 2.02258 -35.1973 -1.81738 4.40545 -34.3757 0.0765836 4.70325 -32.9723 1.89131 3.49812 -30.0457 -1.58793 0.423066 -35.2111 -3.56074 0.410157 -36.0264 -0.615083 3.6788 -34.4834 1.32243 4.10435 -32.0282 2.33833 2.55023 -30.2851 -0.880262 -0.126115 -35.9432 -1.90889 -0.663731 -37.3763 0.737797 3.11293 -35.3792 2.51658 4.02594 -32.9816 3.81569 3.48707 -30.3497 -0.0204584 -0.802648 -36.1064 0.0698807 -1.60604 -40.1878 0.451995 0.176289 -42.1215 0.796156 1.74716 -44.2326 0.920644 3.50926 -28.7894 1.5791 -0.769602 -30.1047 1.82451 -1.5857 -33.1666 2.99191 -0.894288 -35.4952 3.83523 0.403763 -37.5525 3.1118 2.88995 
-27 0.000405787 5.90618e-07 -29.7805 -2.34292 0.932379 -34.2757 -4.71438 1.93984 -35.1622 -1.98239 4.373 -34.3609 -0.0824697 4.68774 -32.9811 1.73566 3.46068 -30.028 -1.62825 0.395963 -35.1714 -3.65703 0.347285 -35.9984 -0.769647 3.66466 -34.4603 1.17279 4.08572 -32.0299 2.18391 2.49009 -30.2754 -0.91357 -0.140443 -35.922 -1.99439 -0.69611 -37.3567 0.583277 3.1274 -35.3589 2.35923 4.04426 -32.9741 3.65363 3.44115 -30.3498 -0.0426233 -0.801546 -36.1077 0.000510941 -1.59988 -40.1882 0.313409 0.19814 -42.1214 0.6121 1.7788 -44.2304 0.685578 3.54621 -28.8069 1.57298 -0.740679 -30.1258 1.81703 -1.55128 -33.2028 2.93244 -0.841057 -35.5381 3.72362 0.477727 -37.5434 2.88523 2.97021 
-27 0.000406002 -9.88365e-07 -29.7579 -2.38196 0.899861 -34.2299 -4.80967 1.87617 -35.1263 -2.12571 4.35867 -34.3422 -0.221751 4.69197 -32.9829 1.60161 3.44998 -30.0129 -1.6604 0.376361 -35.1391 -3.73195 0.304645 -35.9694 -0.901909 3.67025 -34.4347 1.04362 4.08939 -32.0264 2.05232 2.45903 -30.268 -0.938832 -0.147126 -35.9066 -2.05804 -0.707621 -37.334 0.453864 3.1621 -35.3331 2.22395 4.08363 -32.9627 3.51571 3.42099 -30.3515 -0.057434 -0.793102 -36.112 -0.0481796 -1.57435 -40.1868 0.204957 0.245776 -42.1157 0.462829 1.83879 -44.2197 0.491633 3.61361 -28.8222 1.56994 -0.708911 -30.1462 1.81488 -1.51105 -33.2327 2.88369 -0.771435 -35.5687 3.6266 0.573858 -37.5214 2.68791 3.07239 
-27 0.000407826 -8.73338e-07 -29.7402 -2.40657 0.888443 -34.1934 -4.86971 1.86197 -35.0857 -2.22209 4.38461 -34.3124 -0.315891 4.73004 -32.9719 1.51322 3.47611 -30.0022 -1.67992 0.375538 -35.1185 -3.77586 0.30975 -35.9382 -0.989004 3.71378 -34.4033 0.957931 4.12566 -32.0152 1.96336 2.46393 -30.2642 -0.953265 -0.137353 -35.9009 -2.09298 -0.676135 -37.3068 0.372102 3.23138 -35.2988 2.13499 4.15121 -32.9439 3.42409 3.43069 -30.3564 -0.0644315 -0.771872 -36.1218 -0.0719964 -1.51532 -40.1832 0.136724 0.340144 -42.1004 0.360549 1.9523 -44.1943 0.358227 3.73915 -28.8345 1.56941 -0.67763 -30.1657 1.81558 -1.46729 -33.252 2.85256 -0.682691 -35.578 3.56102 0.698097 -37.4751 2.55489 3.21311 
-27 0.000409502 -6.81459e-08 -29.7269 -2.42488 0.879511 -34.1654 -4.914 1.85385 -35.0483 -2.29944 4.41403 -34.281 -0.393638 4.77471 -32.9546 1.44171 3.51493 -29.9946 -1.69318 0.376824 -35.1049 -3.8039 0.320357 -35.9086 -1.05657 3.76013 -34.3707 0.888435 4.16991 -31.9977 1.89076 2.48484 -30.2623 -0.961467 -0.125848 -35.8991 -2.1116 -0.640143 -37.2802 0.311078 3.3026 -35.2628 2.06315 4.22267 -32.9225 3.35086 3.45371 -30.3614 -0.0656808 -0.749439 -36.1318 -0.0797946 -1.45387 -40.1777 0.089232 0.438916 -42.082 0.280557 2.07049 -44.1646 0.247571 3.87021 -28.8438 1.57156 -0.646863 -30.1819 1.82085 -1.42375 -33.2638 2.83225 -0.590248 -35.5764 3.51028 0.82785 -37.4289 2.453 3.35514 
