Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00041651 8.09436e-06 -29.5703 2.05856 1.80257 -33.9032 4.604 3.0643 -35.999 7.72733 2.91473 -36.1643 9.6442 2.10904 -34.747 10.6137 0.175635 -29.8077 1.78812 0.948035 -34.8351 3.96487 1.69675 -37.6802 7.41213 1.47946 -37.3618 9.59686 0.271292 -35.0504 10.0227 -1.71646 -30.0451 1.51768 0.0934927 -35.4757 3.47394 -0.114751 -38.7108 7.06857 -0.174529 -38.3373 9.55501 -1.45739 -36.0439 9.84639 -2.99227 -30.151 1.06327 -0.898181 -35.6421 2.68113 -1.91015 -38.97 5.65078 -2.20431 -39.2351 8.0743 -2.82822 -37.0631 9.29872 -3.99459 -28.3515 0.437245 -2.06617 -29.7554 0.325791 -2.75394 -31.4482 2.07539 -5.05379 -32.5356 3.65735 -7.08692 -33.797 5.95512 -9.10333 
-27 0.000409335 1.32842e-06 -29.5768 2.04768 1.80563 -33.9056 4.60516 3.05732 -36.0226 7.71641 2.96747 -36.2033 9.6454 2.19469 -34.8864 10.8459 0.313352 -29.8066 1.79163 0.944601 -34.8271 3.99133 1.6722 -37.6849 7.43 1.48642 -37.353 9.65357 0.345173 -35.0919 10.3126 -1.63684 -30.0364 1.5356 0.083563 -35.4519 3.53001 -0.153007 -38.6767 7.13075 -0.1767 -38.2923 9.63878 -1.41273 -35.9852 9.99853 -2.92022 -30.1344 1.09683 -0.915937 -35.605 2.76222 -1.9609 -38.9009 5.76802 -2.24876 -39.1243 8.2033 -2.84913 -36.9148 9.40162 -3.97142 -28.3262 0.476899 -2.07379 -29.7242 0.3858 -2.77637 -31.3634 2.20061 -5.06445 -32.4127 3.82276 -7.08597 -33.6216 6.17779 -9.06816 
-27 0.00040978 2.72726e-06 -29.5749 2.04872 1.80714 -33.8863 4.6413 3.04661 -36.0089 7.74979 3.00592 -36.2039 9.70005 2.29228 -34.8892 10.9357 0.432286 -29.7968 1.80973 0.939165 -34.7986 4.06041 1.63942 -37.6509 7.50534 1.4894 -37.3282 9.75404 0.401415 -35.0134 10.4333 -1.51063 -30.0187 1.57075 0.0711748 -35.4062 3.63516 -0.200072 -38.614 7.24819 -0.196671 -38.2087 9.78358 -1.37218 -35.8827 10.1523 -2.85145 -30.1092 1.14976 -0.93664 -35.5463 2.89611 -2.02341 -38.8055 5.94612 -2.29496 -38.9512 8.39555 -2.85611 -36.7223 9.58004 -3.96251 -28.294 0.527129 -2.08197 -29.6852 0.463901 -2.8009 -31.2669 2.34997 -5.07178 -32.2494 4.02647 -7.08248 -33.4334 6.41825 -9.03548 
-27 0.000410225 4.12611e-06 -29.573 2.04975 1.80865 -33.865 4.67976 3.03655 -35.9838 7.79115 3.04104 -36.1841 9.76163 2.38689 -34.8619 11.0282 0.553121 -29.7856 1.83001 0.933282 -34.7657 4.13688 1.6041 -37.5993 7.59867 1.49326 -37.2841 9.87101 0.461653 -34.9212 10.5626 -1.38595 -29.9981 1.61027 0.0578938 -35.3528 3.75339 -0.251047 -38.5278 7.39211 -0.22256 -38.092 9.95471 -1.33125 -35.7448 10.3218 -2.77808 -30.0796 1.20939 -0.958837 -35.4769 3.04729 -2.09254 -38.6933 6.14705 -2.34258 -38.7683 8.60905 -2.85403 -36.5232 9.79022 -3.93892 -28.2566 0.583412 -2.08983 -29.6393 0.551799 -2.82712 -31.1583 2.51286 -5.07716 -32.064 4.25228 -7.07043 -33.2471 6.66879 -8.99323 
-27 0.000408008 2.72557e-06 -29.5802 2.03829 1.81138 -33.8621 4.68893 3.03012 -35.9722 7.80572 3.08255 -36.1492 9.79388 2.47352 -34.822 11.1834 0.734888 -29.7803 1.8407 0.927843 -34.7456 4.18788 1.56834 -37.5483 7.67582 1.50572 -37.21 9.97019 0.535987 -34.8279 10.6895 -1.27612 -29.9805 1.64312 0.0442873 -35.3054 3.85299 -0.305005 -38.4331 7.52874 -0.234501 -37.971 10.1159 -1.27544 -35.6034 10.5002 -2.68197 -30.0493 1.2661 -0.982474 -35.4058 3.18884 -2.16714 -38.5696 6.34134 -2.39312 -38.614 8.81451 -2.84846 -36.3258 9.99054 -3.8364 -28.2145 0.644621 -2.09677 -29.5854 0.646111 -2.85632 -31.0358 2.68453 -5.08279 -31.8702 4.50086 -7.03816 -33.061 6.9307 -8.93938 
-27 0.000405792 1.32503e-06 -29.5873 2.02679 1.81409 -33.8584 4.69922 3.02335 -35.9501 7.82717 3.12506 -36.0954 9.83228 2.56151 -34.7621 11.3555 0.943772 -29.7742 1.85244 0.922791 -34.7224 4.24325 1.53327 -37.4869 7.76202 1.52059 -37.1119 10.0761 0.61489 -34.7064 10.817 -1.15711 -29.9611 1.6781 0.0314768 -35.2531 3.95927 -0.357591 -38.3311 7.67361 -0.236115 -37.8357 10.2818 -1.2078 -35.445 10.6807 -2.56861 -30.0163 1.32612 -1.00496 -35.328 3.3404 -2.2383 -38.436 6.54691 -2.43618 -38.4584 9.03026 -2.83307 -36.1324 10.2031 -3.72261 -28.1696 0.708449 -2.10168 -29.5276 0.745691 -2.88317 -30.9044 2.86799 -5.07777 -31.6702 4.76306 -6.98595 -32.8303 7.21983 -8.87146 
-27 0.000408776 2.98943e-06 -29.5749 2.04068 1.81625 -33.813 4.77036 3.0135 -35.8557 7.92864 3.16288 -35.9797 9.94649 2.64525 -34.6138 11.5187 1.10336 -29.7516 1.88768 0.918979 -34.6614 4.36275 1.50367 -37.3683 7.92601 1.5267 -36.9424 10.2534 0.679403 -34.512 11.0232 -1.04563 -29.9284 1.73471 0.0217015 -35.1682 4.12788 -0.40044 -38.1873 7.89123 -0.239561 -37.6347 10.507 -1.15688 -35.2127 10.9232 -2.45572 -29.9747 1.40445 -1.02229 -35.2261 3.54961 -2.29272 -38.2731 6.81585 -2.46164 -38.2681 9.30713 -2.80585 -35.9242 10.4713 -3.65907 -28.124 0.77263 -2.10398 -29.4709 0.854822 -2.90109 -30.7522 3.08057 -5.05057 -31.4697 5.02062 -6.93215 -32.5559 7.5176 -8.8088 
-27 0.00041176 4.65383e-06 -29.5542 2.06241 1.82095 -33.7478 4.86285 3.0111 -35.7292 8.05702 3.21467 -35.8251 10.0863 2.74191 -34.4288 11.6863 1.2568 -29.7214 1.93121 0.918425 -34.5818 4.50655 1.48283 -37.2237 8.11785 1.54905 -36.74 10.455 0.761872 -34.2836 11.2545 -0.912156 -29.8887 1.80002 0.0159007 -35.0653 4.32263 -0.432267 -38.0204 8.13688 -0.230146 -37.4078 10.7582 -1.09003 -34.9618 11.208 -2.33146 -29.9275 1.49156 -1.03504 -35.1083 3.78552 -2.33542 -38.0878 7.11485 -2.4707 -38.0509 9.61274 -2.76089 -35.6885 10.7645 -3.57932 -28.0762 0.83933 -2.10344 -29.4105 0.970673 -2.91498 -30.6015 3.29695 -5.00926 -31.2722 5.27399 -6.86943 -32.2845 7.81391 -8.72977 
-27 0.000411073 4.47987e-06 -29.5349 2.07834 1.8297 -33.6828 4.94474 3.02324 -35.6054 8.16951 3.29618 -35.6353 10.2094 2.86165 -34.3184 11.9098 1.41613 -29.6918 1.97056 0.922221 -34.5011 4.64279 1.47261 -37.0819 8.29566 1.62098 -36.5229 10.6281 0.870394 -33.9976 11.4335 -0.69485 -29.8487 1.8628 0.0147346 -34.96 4.51185 -0.451806 -37.8426 8.37854 -0.204326 -37.1744 11.0153 -0.970484 -34.7328 11.4965 -2.20897 -29.8788 1.57824 -1.04321 -34.9862 4.01756 -2.36903 -37.8958 7.40667 -2.45953 -37.8195 9.91005 -2.68807 -35.4631 11.1175 -3.44101 -28.0267 0.908578 -2.09943 -29.3455 1.08865 -2.92684 -30.4607 3.49404 -4.97287 -31.06 5.52659 -6.79731 -31.9849 8.13142 -8.61275 
-27 0.000409131 3.26217e-06 -29.5217 2.08997 1.83468 -33.6265 5.0181 3.02762 -35.5035 8.26319 3.36833 -35.4738 10.3115 2.97528 -34.233 12.101 1.57066 -29.6647 2.00696 0.922326 -34.4235 4.77229 1.45208 -36.9591 8.45283 1.67545 -36.3356 10.7816 0.965555 -33.747 11.5973 -0.486623 -29.8078 1.92396 0.00995577 -34.8505 4.69692 -0.482035 -37.6679 8.6081 -0.187093 -36.9465 11.2611 -0.840905 -34.5151 11.7887 -2.08036 -29.8252 1.665 -1.05483 -34.8519 4.24887 -2.41476 -37.6961 7.68993 -2.46677 -37.5878 10.1973 -2.62943 -35.2397 11.4655 -3.30416 -27.9695 0.979819 -2.0946 -29.269 1.20895 -2.94009 -30.2985 3.68757 -4.94322 -30.8185 5.77209 -6.73302 -31.6433 8.44487 -8.49721 
