Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000396112 -1.6521e-06 -29.4958 -1.54757 2.33796 -33.7948 -3.29866 4.63977 -33.6402 -0.245492 6.83375 -32.4259 1.37938 6.34787 -30.8223 2.87159 4.96334 -29.8279 -0.87488 1.793 -34.9515 -2.20394 3.39166 -34.4211 1.0066 6.47174 -32.5761 2.68706 6.17476 -30.3677 4.1926 4.64159 -30.1599 -0.202175 1.24805 -35.7937 -0.624128 2.44942 -36.7639 1.76023 6.53542 -35.6335 3.66398 8.29154 -34.996 5.19136 10.5248 -30.3613 0.568015 0.494803 -36.1014 1.10789 1.23859 -39.8019 1.90293 3.61656 -41.4461 2.41512 5.44936 -43.3984 2.73213 7.36395 -28.702 1.80946 -0.341857 -30.1985 2.15397 -0.655129 -32.5032 4.1433 0.740204 -33.9181 5.95952 2.3271 -35.042 6.43161 5.40127 
-27 0.000395692 -4.49773e-06 -29.4972 -1.58807 2.30911 -33.7894 -3.40735 4.57042 -33.6817 -0.362894 6.78046 -32.4715 1.27377 6.3248 -30.8999 2.82334 4.96688 -29.8316 -0.913921 1.7674 -34.9537 -2.30258 3.31957 -34.4739 0.899708 6.41245 -32.6272 2.57974 6.12428 -30.4266 4.13733 4.63559 -30.166 -0.239757 1.2257 -35.8024 -0.714042 2.39494 -36.9214 1.62367 6.46986 -35.9521 3.51297 8.33457 -35.4883 4.98587 10.6458 -30.3693 0.5347 0.477353 -36.1193 1.02675 1.1759 -39.7788 1.80679 3.62144 -41.3845 2.32948 5.48517 -43.302 2.63566 7.43624 -28.7156 1.79727 -0.338463 -30.2149 2.12624 -0.654895 -32.5617 4.05408 0.756441 -33.9831 5.88039 2.32585 -35.0253 6.22923 5.44493 
-27 0.000395632 -6.15658e-06 -29.5057 -1.64762 2.25767 -33.7952 -3.56338 4.44301 -33.7601 -0.531108 6.67324 -32.5554 1.12225 6.2659 -31.0336 2.73409 4.92389 -29.8418 -0.971288 1.71979 -34.9647 -2.44895 3.18485 -34.5669 0.744359 6.29456 -32.7202 2.42533 6.01128 -30.5262 4.01865 4.55422 -30.178 -0.294943 1.18191 -35.8211 -0.849578 2.28096 -37.1348 1.41672 6.33805 -36.3587 3.2822 8.31381 -36.094 4.6857 10.6985 -30.3817 0.485849 0.440298 -36.1475 0.901938 1.05298 -39.7504 1.67704 3.58254 -41.295 2.2235 5.4906 -43.152 2.53856 7.49802 -28.7342 1.77919 -0.339046 -30.2355 2.0873 -0.666681 -32.6226 3.9497 0.764872 -34.0726 5.75249 2.33528 -35.0649 5.97964 5.48177 
-27 0.000395769 -5.53171e-06 -29.5039 -1.72187 2.20352 -33.7767 -3.76973 4.30016 -33.8554 -0.738027 6.53005 -32.6822 0.94677 6.16153 -31.2083 2.57683 4.7884 -29.8471 -1.05103 1.66319 -34.9561 -2.67073 3.0229 -34.6861 0.536047 6.13249 -32.8656 2.24542 5.84983 -30.6697 3.85364 4.41212 -30.1903 -0.380184 1.12287 -35.8358 -1.07576 2.12538 -37.4012 1.11506 6.13434 -36.858 2.96796 8.19779 -36.8304 4.29889 10.6379 -30.4 0.39951 0.381782 -36.1872 0.66511 0.862572 -39.6507 1.50285 3.5613 -41.0305 2.12484 5.56987 -42.6978 2.55161 7.71822 -28.7715 1.73762 -0.360988 -30.2758 2.00584 -0.709269 -32.7048 3.80329 0.734709 -34.2165 5.52609 2.33648 -35.2999 5.64004 5.45896 
-27 0.000396733 -4.10851e-06 -29.5079 -1.80379 2.1323 -33.7623 -4.00433 4.10809 -34.0024 -0.96935 6.32193 -32.8742 0.754542 5.99599 -31.4533 2.37419 4.55627 -29.8572 -1.14369 1.58277 -34.9456 -2.93679 2.79384 -34.8605 0.296749 5.88621 -33.0768 2.0457 5.61079 -30.8693 3.66609 4.20488 -30.2065 -0.48358 1.03324 -35.852 -1.35953 1.88302 -37.7121 0.752033 5.80773 -37.4293 2.59917 7.9277 -37.6585 3.86556 10.3915 -30.4204 0.289836 0.286776 -36.2263 0.359734 0.570816 -39.5546 1.27805 3.40973 -40.7632 1.99286 5.49621 -42.2177 2.56353 7.7625 -28.8156 1.68032 -0.409896 -30.3198 1.89561 -0.793679 -32.7992 3.62367 0.649259 -34.3917 5.24026 2.28316 -35.5731 5.21278 5.37185 
-27 0.000402553 -1.54013e-06 -29.5345 -1.89193 2.02162 -33.7847 -4.24939 3.81708 -34.2198 -1.23111 6.024 -33.1338 0.530398 5.7624 -31.811 2.16655 4.24965 -29.8818 -1.24051 1.46057 -34.9534 -3.20764 2.45195 -35.1069 0.0350953 5.53202 -33.3483 1.81399 5.28911 -31.1301 3.43657 3.90276 -30.2291 -0.589066 0.899543 -35.8734 -1.64826 1.51625 -38.0365 0.368496 5.33408 -38.0088 2.20057 7.48555 -38.4814 3.40976 9.9434 -30.4367 0.180817 0.147677 -36.2486 0.0562296 0.159768 -39.5177 1.02963 3.04865 -40.6325 1.82704 5.15733 -41.9801 2.51565 7.45667 -28.8495 1.62439 -0.477892 -30.3462 1.78717 -0.91363 -32.873 3.4421 0.532883 -34.5375 4.93069 2.21579 -35.7291 4.66511 5.28929 
-27 0.000409575 2.2994e-07 -29.5625 -1.96445 1.9143 -33.8051 -4.45733 3.5364 -34.4297 -1.44994 5.71249 -33.3879 0.34482 5.50204 -32.1111 1.9478 3.91605 -29.9043 -1.32363 1.33788 -34.9506 -3.44698 2.11218 -35.3395 -0.186849 5.1529 -33.6126 1.62741 4.94742 -31.3763 3.23049 3.56739 -30.2461 -0.682793 0.761472 -35.8774 -1.91007 1.1392 -38.319 0.037275 4.82277 -38.5223 1.8595 6.97318 -39.2176 3.02945 9.39685 -30.4437 0.0804463 0.00018913 -36.2425 -0.226992 -0.267847 -39.4975 0.809416 2.61519 -40.5604 1.68942 4.71778 -41.8404 2.4923 7.01872 -28.8739 1.56954 -0.559167 -30.3586 1.67934 -1.04909 -32.9347 3.25295 0.401128 -34.6623 4.62199 2.12162 -35.8539 4.09642 5.16145 
-27 0.00041228 -5.08773e-07 -29.5829 -1.99704 1.85206 -33.8146 -4.56936 3.37588 -34.5816 -1.54463 5.48126 -33.6035 0.285903 5.27303 -32.2582 1.75828 3.61856 -29.9187 -1.37058 1.25664 -34.9374 -3.60318 1.89039 -35.4917 -0.294492 4.85199 -33.8163 1.56832 4.65517 -31.4859 3.06946 3.31666 -30.2545 -0.744099 0.661241 -35.8661 -2.0964 0.868196 -38.5253 -0.153875 4.4005 -38.9082 1.67428 6.52118 -39.7946 2.83299 8.88723 -30.4427 0.0057106 -0.11563 -36.2182 -0.447574 -0.596729 -39.4959 0.674424 2.22788 -40.5418 1.63076 4.30547 -41.7437 2.53854 6.60957 -28.8871 1.52186 -0.640794 -30.361 1.58033 -1.17044 -32.994 3.05882 0.277715 -34.7212 4.36719 2.04514 -35.9809 3.66332 5.02074 
-27 0.000412957 -1.24749e-06 -29.5936 -2.00495 1.82843 -33.8068 -4.63017 3.31268 -34.6963 -1.5656 5.30945 -33.7963 0.300053 5.06425 -32.3655 1.61365 3.34895 -29.925 -1.40026 1.20852 -34.9096 -3.7285 1.76205 -35.6 -0.340407 4.60279 -33.9837 1.57084 4.37797 -31.537 2.92867 3.09517 -30.2563 -0.795548 0.588613 -35.8408 -2.26775 0.674962 -38.6713 -0.277464 4.04373 -39.196 1.58672 6.1018 -40.2365 2.76858 8.39242 -30.4374 -0.0688919 -0.211577 -36.1828 -0.672099 -0.859348 -39.5032 0.545916 1.87411 -40.5546 1.58958 3.90644 -41.7133 2.59474 6.19217 -28.8984 1.46618 -0.730701 -30.3619 1.46853 -1.29153 -33.0524 2.86011 0.136987 -34.7573 4.14293 1.9444 -36.0494 3.28949 4.86648 
-27 0.000412815 1.33131e-06 -29.6163 -1.95955 1.84526 -33.8299 -4.57517 3.3452 -34.7894 -1.43598 5.18266 -33.9447 0.44427 4.86329 -32.4214 1.60285 3.11621 -29.9386 -1.38563 1.1922 -34.9056 -3.75661 1.7224 -35.6881 -0.242564 4.38657 -34.1161 1.69754 4.10209 -31.5829 2.90652 2.83858 -30.2609 -0.811703 0.539146 -35.826 -2.3578 0.548568 -38.7775 -0.241916 3.73187 -39.4007 1.71116 5.67692 -40.5486 2.97219 7.87205 -30.4297 -0.121572 -0.295318 -36.1456 -0.839817 -1.07432 -39.505 0.521029 1.54152 -40.5642 1.6924 3.49881 -41.7252 2.82186 5.72454 -28.896 1.40993 -0.839679 -30.3483 1.36318 -1.42689 -33.0872 2.72373 -0.061914 -34.8162 4.0865 1.66215 -36.0116 3.1829 4.61022 
