Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000413259 6.75961e-06 -28.4711 -3.31729 -0.959192 -29.7374 -7.79825 -3.23153 -32.9259 -8.63686 -5.03888 -34.8925 -8.83215 -5.70619 -37.2329 -9.42215 -6.65885 -28.0076 -2.87997 -1.63273 -28.3149 -7.50372 -4.64934 -32.2245 -6.7079 -6.67607 -32.5566 -4.30174 -6.03101 -31.2751 -1.97588 -4.47416 -27.5441 -2.44264 -2.30627 -27.3065 -6.6636 -6.24175 -31.6065 -5.76705 -8.24875 -32.2642 -3.35055 -6.93994 -30.8269 -1.60627 -5.32335 -26.924 -1.79634 -2.93784 -26.0845 -5.34568 -7.46451 -30.0073 -4.32978 -9.35132 -31.3743 -2.51703 -8.26948 -31.6683 -0.674872 -6.24528 -26.6766 0.372339 -2.45833 -26.2003 -0.380144 -3.74798 -27.8468 0.379577 -6.56362 -29.869 0.405763 -8.49463 -32.1056 -0.919239 -10.5388 
-27 0.000406363 -1.56381e-06 -28.4285 -3.31167 -1.0397 -29.626 -7.76091 -3.40953 -32.7928 -8.58454 -5.27051 -34.7475 -8.77485 -5.97299 -37.0572 -9.3899 -6.97923 -27.9619 -2.85692 -1.69944 -28.1869 -7.42526 -4.80639 -32.09 -6.60015 -6.8339 -32.4083 -4.21931 -6.09481 -31.2558 -1.70566 -4.74251 -27.4953 -2.40217 -2.35918 -27.1694 -6.54469 -6.37095 -31.4673 -5.62638 -8.37254 -32.1374 -3.25958 -6.9814 -30.6795 -1.55494 -5.33968 -26.8746 -1.73785 -2.97116 -25.9466 -5.19106 -7.55453 -29.867 -4.15381 -9.43477 -31.2409 -2.38463 -8.29135 -31.5588 -0.588512 -6.22974 -26.6534 0.423292 -2.44691 -26.1564 -0.304398 -3.74296 -27.8061 0.479996 -6.54997 -29.8303 0.532253 -8.47838 -32.0115 -0.804527 -10.5741 
-27 0.000404235 -2.91184e-06 -28.3579 -3.31705 -1.11446 -29.4514 -7.74381 -3.57493 -32.5894 -8.54461 -5.49365 -34.5297 -8.72889 -6.23662 -36.8225 -9.39349 -7.25303 -27.8922 -2.8424 -1.76069 -27.9987 -7.35857 -4.94916 -31.899 -6.52417 -6.97834 -32.1972 -4.16369 -6.1689 -31.1099 -1.61661 -4.82511 -27.4266 -2.36774 -2.40694 -26.9786 -6.43347 -6.48495 -31.2721 -5.51148 -8.4944 -31.9173 -3.18607 -7.02395 -30.5039 -1.51076 -5.31453 -26.8111 -1.68172 -2.99997 -25.7647 -5.03806 -7.62959 -29.6852 -3.99501 -9.50641 -31.0722 -2.2899 -8.28418 -31.4503 -0.483376 -6.2419 -26.6341 0.473206 -2.43494 -26.1058 -0.22642 -3.73404 -27.7513 0.586493 -6.53533 -29.7672 0.628737 -8.47268 -31.9199 -0.731652 -10.5826 
-27 0.000403912 -3.10442e-06 -28.2855 -3.3209 -1.18651 -29.2739 -7.72333 -3.73356 -32.3849 -8.49913 -5.70584 -34.312 -8.6791 -6.48346 -36.5883 -9.3825 -7.51359 -27.8219 -2.82664 -1.81935 -27.81 -7.28822 -5.08548 -31.7092 -6.44989 -7.11525 -32.0031 -4.10727 -6.25401 -30.9327 -1.56322 -4.89112 -27.3582 -2.33237 -2.4522 -26.7896 -6.3192 -6.5926 -31.0804 -5.39864 -8.60846 -31.6926 -3.11247 -7.06422 -30.355 -1.43855 -5.29356 -26.7492 -1.62504 -3.02656 -25.588 -4.88218 -7.69946 -29.5103 -3.8406 -9.57331 -30.9058 -2.19438 -8.28199 -31.369 -0.34589 -6.29558 -26.6174 0.522461 -2.42228 -26.0593 -0.148322 -3.72412 -27.7036 0.692561 -6.51786 -29.7122 0.724541 -8.46298 -31.8421 -0.677615 -10.5687 
-27 0.00040533 1.11348e-06 -28.2346 -3.31316 -1.25996 -29.1447 -7.68154 -3.89333 -32.2359 -8.43504 -5.91143 -34.1562 -8.62034 -6.70461 -36.4067 -9.30674 -7.80047 -27.7712 -2.80165 -1.87918 -27.6721 -7.2018 -5.22617 -31.5723 -6.35261 -7.2492 -31.8917 -4.02758 -6.35017 -30.7693 -1.50436 -4.9904 -27.3079 -2.29014 -2.49841 -26.6496 -6.19249 -6.70546 -30.9512 -5.27207 -8.70537 -31.5365 -3.01586 -7.10756 -30.2575 -1.32679 -5.30826 -26.7023 -1.56498 -3.05384 -25.4565 -4.71762 -7.77636 -29.3845 -3.68489 -9.64309 -30.7752 -2.06959 -8.30823 -31.3741 -0.192091 -6.38635 -26.6019 0.572243 -2.4085 -26.0252 -0.0715105 -3.7159 -27.6779 0.789398 -6.49862 -29.6789 0.84454 -8.45098 -31.7838 -0.587903 -10.5615 
-27 0.000406747 5.33137e-06 -28.1915 -3.30234 -1.32801 -29.0345 -7.63536 -4.04095 -32.1094 -8.37004 -6.09953 -34.0238 -8.5613 -6.90548 -36.2511 -9.22639 -8.05881 -27.728 -2.77561 -1.93426 -27.5542 -7.11604 -5.35535 -31.4559 -6.25914 -7.37234 -31.803 -3.95265 -6.43659 -30.6265 -1.44515 -5.09357 -27.2646 -2.24886 -2.54051 -26.5294 -6.07072 -6.80827 -30.8446 -5.15594 -8.7885 -31.4105 -2.92343 -7.1509 -30.1835 -1.21959 -5.32937 -26.6616 -1.50826 -3.07805 -25.3432 -4.5631 -7.84494 -29.2757 -3.5418 -9.70865 -30.6636 -1.95511 -8.3371 -31.424 -0.0541635 -6.4971 -26.5875 0.618201 -2.39469 -25.9951 -0.0013583 -3.70671 -27.6567 0.873938 -6.47959 -29.6501 0.965625 -8.43836 -31.7275 -0.49934 -10.5537 
-27 0.000397278 -4.9439e-06 -28.1482 -3.29456 -1.38425 -28.9269 -7.59726 -4.16389 -31.9856 -8.31914 -6.2547 -33.8903 -8.5074 -7.08384 -36.1008 -9.17013 -8.26609 -27.6847 -2.75502 -1.97903 -27.4382 -7.04587 -5.45773 -31.3371 -6.18781 -7.47971 -31.6888 -3.90366 -6.4923 -30.5032 -1.3729 -5.20189 -27.2212 -2.21545 -2.57382 -26.4101 -5.9708 -6.88666 -30.7255 -5.05842 -8.86631 -31.2865 -2.8435 -7.20334 -30.1147 -1.18206 -5.30783 -26.6207 -1.46171 -3.09571 -25.2303 -4.43752 -7.89203 -29.1561 -3.42077 -9.76642 -30.5504 -1.86464 -8.36662 -31.4733 0.0685512 -6.63795 -26.5729 0.655573 -2.38216 -25.9623 0.055852 -3.69509 -27.6268 0.944812 -6.46187 -29.6172 1.06455 -8.42223 -31.6696 -0.443468 -10.5318 
-27 0.000387709 -1.52192e-05 -28.1101 -3.2868 -1.43299 -28.8319 -7.56174 -4.27022 -31.8715 -8.27457 -6.39295 -33.7655 -8.4575 -7.24748 -35.9602 -9.126 -8.45233 -27.6464 -2.73628 -2.01754 -27.3366 -6.9828 -5.54523 -31.2314 -6.12893 -7.5768 -31.582 -3.8663 -6.54068 -30.3989 -1.32351 -5.27188 -27.1828 -2.18575 -2.60209 -26.3055 -5.88226 -6.95263 -30.6149 -4.97473 -8.94429 -31.1807 -2.77466 -7.26332 -30.0625 -1.15899 -5.29716 -26.5845 -1.42082 -3.11009 -25.1305 -4.3273 -7.93001 -29.0495 -3.31561 -9.8157 -30.4505 -1.78678 -8.39277 -31.5417 0.172171 -6.79617 -26.5598 0.687955 -2.37064 -25.933 0.104921 -3.68343 -27.6024 1.00361 -6.4441 -29.5854 1.15454 -8.40982 -31.6175 -0.405148 -10.5013 
-27 0.000387593 -1.48627e-05 -28.081 -3.27685 -1.47731 -28.7591 -7.52405 -4.3665 -31.7762 -8.22333 -6.52532 -33.6624 -8.39786 -7.39986 -35.8406 -9.10209 -8.61418 -27.6174 -2.71674 -2.05272 -27.2594 -6.92053 -5.62671 -31.1519 -6.07367 -7.66556 -31.5085 -3.82096 -6.61296 -30.3029 -1.3037 -5.31478 -27.1539 -2.15662 -2.62814 -26.2273 -5.79735 -7.01535 -30.5283 -4.89455 -9.02148 -31.0962 -2.71312 -7.31711 -30.0125 -1.09715 -5.33198 -26.5574 -1.38216 -3.12375 -25.0561 -4.22335 -7.968 -28.9758 -3.21662 -9.86045 -30.374 -1.70399 -8.41759 -31.6342 0.265951 -6.96548 -26.5503 0.718036 -2.35991 -25.9129 0.14949 -3.67394 -27.5966 1.05114 -6.42496 -29.5577 1.24413 -8.40878 -31.602 -0.363764 -10.4514 
-27 0.000387576 -1.2367e-05 -28.0569 -3.2679 -1.51412 -28.6991 -7.49146 -4.44587 -31.6934 -8.1734 -6.64012 -33.5756 -8.33554 -7.53057 -35.7305 -9.07359 -8.76626 -27.5936 -2.69982 -2.08187 -27.1962 -6.86698 -5.69442 -31.0881 -6.02685 -7.73723 -31.4465 -3.77592 -6.6843 -30.187 -1.29613 -5.36533 -27.1302 -2.13175 -2.64962 -26.1637 -5.72504 -7.06722 -30.4578 -4.82484 -9.0853 -31.0337 -2.66239 -7.35957 -29.9761 -1.05208 -5.35589 -26.5355 -1.34943 -3.13485 -24.9956 -4.13543 -7.99903 -28.9177 -3.13518 -9.89582 -30.3108 -1.6297 -8.44056 -31.7388 0.343898 -7.15878 -26.543 0.74325 -2.35068 -25.8971 0.186085 -3.66548 -27.5987 1.08611 -6.406 -29.5285 1.32334 -8.4156 -31.6139 -0.327864 -10.3807 
