Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000405778 -1.67554e-07 -30.0801 -1.91098 0.975332 -34.9015 -3.53439 1.95751 -36.3899 -0.48664 3.59015 -36.0341 1.29816 4.6093 -35.853 3.72636 5.49593 -30.1857 -1.32614 0.263607 -35.4761 -2.90927 -0.0173866 -37.5153 0.20443 2.46699 -36.7493 2.39692 3.42731 -34.8795 4.81652 3.865 -30.2913 -0.741295 -0.448119 -35.8932 -1.5686 -1.58604 -38.8415 1.28861 0.956786 -37.636 3.50798 2.22449 -35.2059 4.79309 1.97028 -30.1948 -0.0426671 -1.28701 -35.7397 0.0286386 -3.0313 -40.1874 -0.397805 -3.16088 -42.6854 -0.391907 -2.86944 -45.424 -0.425012 -2.52515 -28.5389 1.45711 -1.34026 -29.6769 1.47957 -2.41757 -32.1703 3.71086 -2.56035 -33.701 5.44445 -0.988519 -36.3217 6.84309 -2.44195 
-27 0.000402518 -2.81244e-06 -29.9915 -2.10567 0.840738 -34.7251 -4.039 1.67824 -36.3119 -1.0808 3.38145 -35.9922 0.69227 4.4326 -35.8665 3.11162 5.34753 -30.1161 -1.49791 0.151644 -35.3085 -3.34699 -0.287178 -37.5326 -0.440917 2.28852 -36.8715 1.74873 3.32988 -35.0809 4.21618 3.81606 -30.2406 -0.890136 -0.537444 -35.7721 -1.96302 -1.80733 -38.9072 0.621883 0.802977 -37.8259 2.84933 2.16502 -35.4584 4.25483 1.96179 -30.1673 -0.153154 -1.34529 -35.6773 -0.294674 -3.19289 -40.0918 -0.955795 -3.42877 -42.5923 -1.0957 -3.19884 -45.3348 -1.26841 -2.91037 -28.5911 1.43065 -1.3074 -29.7163 1.43638 -2.39834 -32.323 3.53893 -2.38197 -33.9648 5.10987 -0.752376 -36.6724 6.44589 -2.10175 
-27 0.000399257 -5.45732e-06 -29.8989 -2.27841 0.703359 -34.5324 -4.49368 1.38877 -36.2066 -1.62075 3.15313 -35.9132 0.145644 4.22301 -35.8203 2.56598 5.13856 -30.0418 -1.64999 0.0367171 -35.1272 -3.7355 -0.565768 -37.5134 -1.03246 2.08478 -36.9506 1.14598 3.20446 -35.2284 3.64871 3.74146 -30.1847 -1.02155 -0.629913 -35.6352 -2.31322 -2.0388 -38.9348 0.0069066 0.617592 -37.9753 2.23277 2.07048 -35.6703 3.74686 1.93589 -30.1344 -0.249918 -1.40656 -35.598 -0.578831 -3.36444 -39.9694 -1.44788 -3.70602 -42.4644 -1.71603 -3.53939 -45.2023 -2.02209 -3.31275 -28.6375 1.40457 -1.27799 -29.7492 1.39726 -2.38272 -32.4569 3.36118 -2.21767 -34.2004 4.77221 -0.547901 -36.9924 6.04188 -1.7846 
-27 0.000399934 -3.6178e-06 -29.8062 -2.4285 0.563304 -34.3307 -4.89813 1.0878 -36.0834 -2.097 2.89104 -35.8049 -0.32752 3.95977 -35.6817 2.11461 4.81464 -29.9649 -1.78286 -0.082971 -34.9354 -4.07762 -0.859045 -37.4678 -1.56423 1.83535 -37.0013 0.598456 3.02747 -35.3424 3.12786 3.6224 -30.1237 -1.13719 -0.729229 -35.4817 -2.62467 -2.29147 -38.9139 -0.541444 0.39269 -38.0678 1.67606 1.92664 -35.8206 3.28134 1.86895 -30.0939 -0.335981 -1.47643 -35.4976 -0.830302 -3.5619 -39.8166 -1.88908 -4.01528 -42.3007 -2.27034 -3.91997 -45.0227 -2.71261 -3.76097 -28.6753 1.37709 -1.25875 -29.7705 1.35801 -2.37971 -32.5662 3.17873 -2.08826 -34.4052 4.43321 -0.396098 -37.2742 5.63875 -1.51505 
-27 0.000402614 -2.74804e-07 -29.7141 -2.55832 0.421789 -34.1252 -5.25302 0.777604 -35.9559 -2.52181 2.61036 -35.6902 -0.744666 3.66958 -35.5125 1.71733 4.45826 -29.8868 -1.89747 -0.205259 -34.7375 -4.37337 -1.1613 -37.4023 -2.03813 1.55873 -37.0281 0.102815 2.82061 -35.4287 2.65083 3.48438 -30.0595 -1.23659 -0.832285 -35.3173 -2.89337 -2.5561 -38.8596 -1.02641 0.14371 -38.1174 1.17556 1.75204 -35.9255 2.85987 1.77549 -30.0483 -0.409233 -1.55095 -35.3825 -1.04481 -3.77247 -39.6429 -2.2714 -4.34272 -42.111 -2.75431 -4.32217 -44.8071 -3.32972 -4.22878 -28.706 1.35122 -1.2456 -29.7828 1.32341 -2.38398 -32.6544 2.99894 -1.98112 -34.5802 4.10106 -0.279494 -37.5222 5.23994 -1.27162 
-27 0.000409952 3.89963e-06 -29.6246 -2.6688 0.2797 -33.9234 -5.55556 0.461913 -35.8356 -2.90717 2.33252 -35.586 -1.12457 3.3865 -35.3797 1.34265 4.15156 -29.8104 -1.99272 -0.327048 -34.5429 -4.61684 -1.46309 -37.3238 -2.45353 1.28242 -37.0339 -0.342661 2.61514 -35.4948 2.21748 3.36274 -29.9962 -1.31662 -0.933773 -35.1544 -3.10805 -2.81642 -38.798 -1.45461 -0.11142 -38.156 0.723032 1.57374 -36.0245 2.48373 1.68787 -30.0027 -0.464293 -1.6227 -35.2667 -1.20993 -3.97382 -39.4668 -2.57661 -4.66045 -41.914 -3.15422 -4.71174 -44.576 -3.85933 -4.69224 -28.7322 1.33183 -1.23016 -29.792 1.30194 -2.38438 -32.7266 2.83284 -1.87414 -34.7255 3.78485 -0.166265 -37.7381 4.85305 -1.01481 
-27 0.000415287 6.57058e-06 -29.5365 -2.76339 0.136963 -33.7228 -5.81639 0.13974 -35.7206 -3.25932 2.04775 -35.4924 -1.47205 3.09864 -35.2757 0.999709 3.84602 -29.7342 -2.07319 -0.449814 -34.3472 -4.82136 -1.76916 -37.2334 -2.8222 0.99204 -37.0228 -0.745451 2.39158 -35.5443 1.82199 3.22688 -29.9318 -1.38297 -1.03657 -34.9876 -3.28521 -3.08132 -38.7236 -1.83499 -0.383763 -38.1775 0.313288 1.37549 -36.1115 2.14583 1.58721 -29.9548 -0.507846 -1.69593 -35.1444 -1.34287 -4.1786 -39.2825 -2.82876 -4.98418 -41.7053 -3.49177 -5.10804 -44.3233 -4.32761 -5.17896 -28.7538 1.31509 -1.21747 -29.7961 1.28632 -2.38757 -32.784 2.67218 -1.78128 -34.8481 3.47779 -0.0755691 -37.9267 4.46573 -0.770398 
-27 0.000414738 5.1441e-06 -29.4506 -2.84319 -0.00593728 -33.5255 -6.03817 -0.187308 -35.6117 -3.58095 1.75692 -35.4108 -1.79018 2.80744 -35.1978 0.68092 3.55803 -29.6587 -2.13987 -0.573186 -34.1517 -4.98943 -2.07846 -37.135 -3.14486 0.69009 -36.9989 -1.10528 2.15279 -35.5805 1.46342 3.08056 -29.8668 -1.43652 -1.14041 -34.8181 -3.42722 -3.35009 -38.639 -2.1687 -0.671761 -38.1844 -0.0546266 1.15775 -36.1906 1.84554 1.47458 -29.9048 -0.540631 -1.77055 -35.0166 -1.44566 -4.38658 -39.0909 -3.03088 -5.31286 -41.4869 -3.76893 -5.51086 -44.049 -4.73458 -5.6938 -28.771 1.30109 -1.20767 -29.7951 1.27635 -2.39372 -32.8277 2.51847 -1.70318 -34.9502 3.18256 -0.00830671 -38.0883 4.07975 -0.541268 
-27 0.000411889 2.19829e-06 -29.361 -2.91406 -0.151142 -33.3191 -6.23653 -0.526608 -35.5037 -3.88883 1.44461 -35.3451 -2.09775 2.50181 -35.164 0.364279 3.28966 -29.578 -2.1997 -0.701024 -33.9405 -5.14018 -2.40267 -37.0226 -3.44227 0.356083 -36.9602 -1.43936 1.87469 -35.6002 1.12862 2.88617 -29.7949 -1.48533 -1.25089 -34.6289 -3.55632 -3.63931 -38.5326 -2.47757 -0.999746 -38.1708 -0.397055 0.891629 -36.2536 1.56374 1.31245 -29.8464 -0.57148 -1.85368 -34.8674 -1.5417 -4.618 -38.8735 -3.21416 -5.6742 -41.2411 -4.01666 -5.9492 -43.7392 -5.10343 -6.25347 -28.7828 1.28479 -1.20775 -29.7849 1.26291 -2.41252 -32.8587 2.35893 -1.65969 -35.0393 2.88477 0.00984085 -38.2296 3.67142 -0.363867 
-27 0.000403234 -2.45254e-06 -29.2596 -2.98202 -0.301641 -33.0847 -6.42718 -0.889114 -35.3887 -4.19526 1.08236 -35.3005 -2.40899 2.1558 -35.19 0.0309328 3.02164 -29.4829 -2.26 -0.83882 -33.6883 -5.29362 -2.75853 -36.8823 -3.73598 -0.0407987 -36.8983 -1.76111 1.51684 -35.5933 0.813443 2.58042 -29.7062 -1.53797 -1.37599 -34.3924 -3.69641 -3.97252 -38.3828 -2.78291 -1.40255 -38.1138 -0.728159 0.534547 -36.2738 1.28602 1.04239 -29.7692 -0.609963 -1.95561 -34.67 -1.65629 -4.90192 -38.5982 -3.41252 -6.1075 -40.9359 -4.26812 -6.46512 -43.3661 -5.46631 -6.8892 -28.7863 1.26053 -1.22793 -29.757 1.23576 -2.45808 -32.8746 2.18046 -1.68061 -35.12 2.56984 -0.0603374 -38.354 3.22106 -0.292019 
