Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408197 6.66679e-06 -30.6284 -0.0304308 0.96177 -35.7998 -0.135677 0.658752 -38.7892 1.63236 -0.792983 -40.1968 3.02218 -1.44556 -41.962 4.62578 -2.44955 -30.4077 -0.557948 0.231887 -35.764 -1.84828 -0.235101 -38.4248 0.243963 -3.15578 -39.1446 1.96404 -4.83683 -40.3918 4.11512 -6.64392 -30.1869 -1.08546 -0.498014 -35.4015 -3.20442 -1.79384 -37.1657 -0.519453 -5.41106 -36.1576 1.52855 -7.07704 -34.9603 3.63384 -8.4394 -29.7176 -1.67423 -1.29439 -34.5763 -4.07121 -3.40167 -38.1897 -4.41701 -6.03124 -40.1391 -4.11744 -7.58927 -42.4268 -3.81578 -9.0921 -27.7368 -1.07807 -2.14019 -28.3029 -2.41843 -2.72262 -29.6558 -3.82461 -5.44444 -30.7804 -5.07529 -7.67823 -31.644 -7.30976 -9.95816 
-27 0.000410854 9.45285e-06 -30.6385 0.0420447 0.922353 -35.8065 0.0262906 0.550825 -38.7889 1.78503 -0.926234 -40.2016 3.17063 -1.58598 -41.987 4.75595 -2.58507 -30.4192 -0.4966 0.200227 -35.7919 -1.69632 -0.317237 -38.397 0.395731 -3.2908 -39.091 2.1032 -4.99727 -40.3224 4.23677 -6.83488 -30.1998 -1.03524 -0.521919 -35.4354 -3.0789 -1.85337 -37.092 -0.394095 -5.52153 -36.0141 1.61782 -7.18779 -34.7317 3.67726 -8.53941 -29.7322 -1.6401 -1.30721 -34.6097 -3.97398 -3.44193 -38.2236 -4.27026 -6.07739 -40.1654 -3.93934 -7.63846 -42.436 -3.58733 -9.14918 -27.7324 -1.08688 -2.13724 -28.3124 -2.42619 -2.70835 -29.653 -3.86723 -5.41795 -30.7599 -5.16752 -7.63219 -31.5942 -7.47256 -9.85197 
-27 0.000408561 4.77016e-06 -30.6483 0.102733 0.878146 -35.8102 0.161467 0.434297 -38.7825 1.91261 -1.07188 -40.1982 3.29323 -1.74008 -41.9999 4.86375 -2.73704 -30.4282 -0.445084 0.16315 -35.8113 -1.5693 -0.412783 -38.3582 0.523489 -3.43861 -39.0234 2.22069 -5.16849 -40.2345 4.33893 -7.03715 -30.2082 -0.99289 -0.551858 -35.4563 -2.97285 -1.92957 -37.011 -0.290107 -5.64356 -35.8699 1.68925 -7.30674 -34.5108 3.70617 -8.64332 -29.7402 -1.61105 -1.32648 -34.6259 -3.89121 -3.49997 -38.2332 -4.1426 -6.14957 -40.1623 -3.78402 -7.71978 -42.4148 -3.39316 -9.24441 -27.7228 -1.09398 -2.1369 -28.3128 -2.43228 -2.69994 -29.6358 -3.90543 -5.40096 -30.7222 -5.25052 -7.59857 -31.5256 -7.62022 -9.76087 
-27 0.000406268 8.74665e-08 -30.658 0.150702 0.829247 -35.8118 0.268101 0.308966 -38.7729 2.01104 -1.22867 -40.192 3.3846 -1.90592 -42.0059 4.94309 -2.90372 -30.4351 -0.404173 0.120628 -35.8227 -1.46882 -0.522221 -38.3097 0.625332 -3.59912 -38.9441 2.31459 -5.35004 -40.1316 4.42038 -7.24813 -30.2121 -0.959033 -0.587998 -35.4638 -2.88797 -2.02311 -36.9227 -0.207073 -5.77707 -35.7246 1.74518 -7.43218 -34.2962 3.7245 -8.74728 -29.7413 -1.58751 -1.35252 -34.6245 -3.82438 -3.57595 -38.2179 -4.03631 -6.24781 -40.1302 -3.65365 -7.8324 -42.3626 -3.23337 -9.37698 -27.7074 -1.09907 -2.13943 -28.3036 -2.4366 -2.69791 -29.6023 -3.93906 -5.39452 -30.6644 -5.32409 -7.57917 -31.4343 -7.7528 -9.68753 
-27 0.000409399 3.32926e-06 -30.6689 0.177012 0.774484 -35.8128 0.330548 0.172509 -38.7627 2.06734 -1.3931 -40.189 3.43128 -2.07449 -42.0142 4.98122 -3.06842 -30.4393 -0.379691 0.0694185 -35.8237 -1.40683 -0.656023 -38.2526 0.697533 -3.7748 -38.8571 2.38699 -5.53764 -40.0201 4.48818 -7.45926 -30.2097 -0.936382 -0.635658 -35.4521 -2.82982 -2.14992 -36.822 -0.136726 -5.9284 -35.5726 1.80171 -7.56139 -34.0771 3.75331 -8.83416 -29.732 -1.56846 -1.39289 -34.5967 -3.76997 -3.69103 -38.165 -3.94017 -6.3968 -40.0544 -3.53119 -8.00132 -42.2676 -3.09263 -9.57027 -27.6832 -1.09479 -2.14947 -28.2787 -2.43081 -2.71217 -29.54 -3.95285 -5.41561 -30.5695 -5.36595 -7.59784 -31.2969 -7.84352 -9.66403 
-27 0.000412531 6.57105e-06 -30.6789 0.194595 0.720584 -35.8124 0.37297 0.0411363 -38.7513 2.10073 -1.5549 -40.1852 3.4531 -2.24277 -42.0222 4.99233 -3.23545 -30.4417 -0.363074 0.0188198 -35.8195 -1.36473 -0.78705 -38.1933 0.746572 -3.94475 -38.7694 2.4354 -5.71857 -39.9085 4.53086 -7.66582 -30.2045 -0.920733 -0.682958 -35.4325 -2.78958 -2.2755 -36.7198 -0.0841818 -6.07397 -35.4231 1.84416 -7.68154 -33.8735 3.77496 -8.91499 -29.7188 -1.55497 -1.43326 -34.5585 -3.73169 -3.80642 -38.0976 -3.86854 -6.5484 -39.9625 -3.43892 -8.17557 -42.1561 -2.98933 -9.77234 -27.6568 -1.09106 -2.15955 -28.2493 -2.42637 -2.72712 -29.4717 -3.96706 -5.43787 -30.4673 -5.40548 -7.6193 -31.1523 -7.92599 -9.64766 
-27 0.000407355 1.30623e-06 -30.6865 0.214192 0.674656 -35.8106 0.408529 -0.0685641 -38.7415 2.11243 -1.70458 -40.182 3.44846 -2.40972 -42.0381 4.9628 -3.41129 -30.4431 -0.349626 -0.020026 -35.8147 -1.33657 -0.883163 -38.1421 0.753853 -4.08894 -38.694 2.42657 -5.88557 -39.8154 4.49965 -7.87144 -30.1996 -0.913434 -0.714722 -35.4153 -2.77512 -2.35561 -36.6287 -0.0846306 -6.18892 -35.2879 1.82414 -7.78393 -33.6992 3.73235 -9.00433 -29.7074 -1.55514 -1.45437 -34.5255 -3.73222 -3.87095 -38.0386 -3.86211 -6.64417 -39.8812 -3.42985 -8.2958 -42.0534 -2.97801 -9.92435 -27.6351 -1.10465 -2.15915 -28.2256 -2.44364 -2.72011 -29.4187 -4.01981 -5.42343 -30.3851 -5.49686 -7.59215 -31.0353 -8.06442 -9.57242 
-27 0.00040218 -3.95858e-06 -30.6926 0.233 0.633872 -35.8086 0.427019 -0.163042 -38.7346 2.08984 -1.8493 -40.1822 3.4025 -2.58298 -42.0621 4.87805 -3.60409 -30.4435 -0.34296 -0.0487176 -35.8084 -1.33379 -0.948387 -38.098 0.700381 -4.21665 -38.6305 2.33815 -6.05096 -39.7392 4.36739 -8.09289 -30.1943 -0.918911 -0.731322 -35.3972 -2.79944 -2.39115 -36.547 -0.161811 -6.28055 -35.1669 1.7148 -7.8804 -33.545 3.59263 -9.10838 -29.6962 -1.57401 -1.45506 -34.493 -3.78374 -3.88421 -37.9803 -3.93674 -6.68674 -39.8008 -3.52133 -8.36706 -41.9515 -3.0857 -10.0314 -27.6159 -1.13967 -2.14648 -28.2038 -2.48804 -2.6873 -29.3737 -4.12301 -5.36574 -30.3138 -5.6561 -7.50693 -30.9329 -8.2811 -9.42078 
-27 0.000405121 -2.28782e-06 -30.6974 0.250177 0.598577 -35.8076 0.421663 -0.239641 -38.733 2.01864 -1.98943 -40.1885 3.29722 -2.76579 -42.0951 4.71817 -3.82042 -30.4429 -0.345638 -0.0647426 -35.8009 -1.36507 -0.973757 -38.064 0.563887 -4.32209 -38.5831 2.14014 -6.2132 -39.6858 4.09486 -8.33374 -30.1885 -0.941447 -0.72808 -35.3781 -2.87502 -2.36835 -36.4781 -0.343387 -6.34199 -35.0654 1.48431 -7.96982 -33.422 3.32228 -9.23491 -29.6847 -1.61748 -1.42829 -34.4608 -3.90315 -3.82795 -37.9232 -4.12018 -6.6554 -39.7224 -3.74778 -8.36873 -41.8516 -3.35285 -10.0735 -27.5993 -1.20297 -2.11641 -28.1836 -2.56773 -2.61861 -29.336 -4.29336 -5.24732 -30.2526 -5.90667 -7.33924 -30.8431 -8.60506 -9.15762 
-27 0.000408062 -6.17051e-07 -30.7011 0.270521 0.566256 -35.8066 0.415416 -0.304794 -38.7291 1.94054 -2.12206 -40.1898 3.18154 -2.94761 -42.1144 4.5494 -4.04229 -30.4425 -0.348435 -0.0738716 -35.7952 -1.40056 -0.976591 -38.0346 0.400761 -4.4092 -38.541 1.90171 -6.36363 -39.6365 3.76681 -8.5691 -30.1839 -0.967386 -0.71402 -35.3632 -2.96185 -2.31325 -36.4177 -0.561371 -6.37975 -34.9727 1.20659 -8.04485 -33.3114 2.99905 -9.35928 -29.6758 -1.66777 -1.38661 -34.435 -4.04218 -3.73297 -37.8741 -4.34152 -6.57972 -39.6523 -4.02446 -8.32613 -41.7592 -3.68153 -10.0712 -27.5861 -1.27753 -2.076 -28.1685 -2.65965 -2.53072 -29.3109 -4.48583 -5.0951 -30.2104 -6.18541 -7.1252 -30.7807 -8.95903 -8.83348 
