Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000402317 -1.78605e-06 -29.4218 -2.85091 0.310699 -33.6503 -5.75601 1.03589 -36.121 -7.52733 3.25575 -37.2195 -8.68004 4.6158 -38.6378 -10.2815 6.07953 -29.7835 -2.05627 -0.00146776 -34.7691 -4.44574 -0.0867119 -38.7146 -6.13597 1.17167 -40.8457 -7.03695 2.14713 -43.3941 -8.64827 2.75615 -30.1452 -1.26163 -0.313615 -35.7241 -2.71465 -0.668012 -40.2075 -4.09051 0.439358 -42.6888 -4.78446 1.58572 -45.2497 -5.80979 1.9275 -30.3612 -0.26148 -0.706275 -36.1216 -0.672421 -1.37122 -40.4731 -1.41485 -0.657781 -42.7906 -1.73939 0.239362 -45.3511 -2.28413 1.09051 -29.0217 1.46445 -0.235953 -30.251 1.84602 -1.13008 -33.2683 3.29899 -1.16176 -35.7237 4.57331 -1.56934 -38.4744 6.0355 -2.67941 
-27 0.000386987 -9.77774e-06 -29.4135 -2.85628 0.325208 -33.6297 -5.77221 1.07819 -36.077 -7.54973 3.31898 -37.1577 -8.70459 4.6873 -38.5349 -10.3258 6.17418 -29.7791 -2.06221 0.0160664 -34.7604 -4.46158 -0.0358787 -38.6855 -6.17449 1.24554 -40.7993 -7.08806 2.24304 -43.3389 -8.71299 2.86473 -30.1446 -1.26812 -0.293052 -35.7227 -2.73278 -0.609834 -40.1956 -4.11897 0.526398 -42.6653 -4.82234 1.6896 -45.2214 -5.85301 2.05131 -30.3654 -0.268165 -0.68353 -36.1293 -0.690759 -1.30938 -40.4786 -1.4227 -0.577843 -42.7935 -1.74291 0.325885 -45.3482 -2.29308 1.19093 -29.0264 1.46029 -0.221149 -30.2607 1.8391 -1.1095 -33.2805 3.28707 -1.13356 -35.7379 4.55885 -1.53651 -38.4936 6.00486 -2.65539 
-27 0.000395845 -3.82295e-06 -29.4126 -2.85377 0.352592 -33.6213 -5.76799 1.15303 -36.0371 -7.54053 3.42917 -37.0998 -8.69192 4.80929 -38.4337 -10.3159 6.32878 -29.7807 -2.05954 0.0468428 -34.7646 -4.4541 0.0495802 -38.6698 -6.17377 1.37889 -40.7677 -7.08855 2.40816 -43.2952 -8.71922 3.06915 -30.1487 -1.2653 -0.258891 -35.7313 -2.72501 -0.51502 -40.1925 -4.10633 0.670284 -42.6516 -4.81331 1.85858 -45.2065 -5.83278 2.25827 -30.3727 -0.26538 -0.647642 -36.1434 -0.682027 -1.2124 -40.4883 -1.39268 -0.440106 -42.7982 -1.69607 0.482249 -45.3444 -2.25138 1.36877 -29.0272 1.4621 -0.200573 -30.2693 1.84036 -1.0783 -33.2884 3.28982 -1.0847 -35.7464 4.56466 -1.47437 -38.5 6.0078 -2.60219 
-27 0.000404703 2.13185e-06 -29.4158 -2.84649 0.387783 -33.6202 -5.75038 1.24629 -36.0026 -7.50809 3.56631 -37.0487 -8.65216 4.96186 -38.3411 -10.2704 6.51948 -29.7854 -2.05188 0.0849292 -34.7754 -4.43294 0.153473 -38.662 -6.14826 1.54082 -40.7441 -7.05847 2.60525 -43.2582 -8.69252 3.3117 -30.1551 -1.25727 -0.217916 -35.7441 -2.70265 -0.402513 -40.1933 -4.06948 0.840954 -42.6432 -4.77526 2.05643 -45.198 -5.77587 2.50177 -30.3811 -0.257521 -0.605945 -36.1593 -0.658685 -1.09985 -40.4991 -1.33966 -0.278739 -42.8032 -1.61825 0.666113 -45.3423 -2.17137 1.57407 -29.0256 1.46719 -0.17882 -30.2762 1.84595 -1.04413 -33.2924 3.30146 -1.03037 -35.7494 4.5826 -1.4053 -38.4965 6.03088 -2.54218 
-27 0.000399389 -1.35486e-06 -29.4172 -2.83994 0.425758 -33.6159 -5.73328 1.34487 -35.9644 -7.47264 3.7129 -36.9941 -8.60811 5.12755 -38.2467 -10.218 6.72576 -29.7887 -2.04539 0.125118 -34.7826 -4.41513 0.262296 -38.6499 -6.12357 1.71015 -40.7164 -7.02823 2.80854 -43.2139 -8.66799 3.56063 -30.1603 -1.25083 -0.17551 -35.7542 -2.68474 -0.286954 -40.1897 -4.0376 1.01582 -42.6299 -4.74007 2.25835 -45.1823 -5.72581 2.74807 -30.3888 -0.251719 -0.563681 -36.1736 -0.641175 -0.985693 -40.5077 -1.29073 -0.115813 -42.8048 -1.54625 0.852261 -45.3395 -2.08689 1.77987 -29.0244 1.47119 -0.158294 -30.2836 1.84951 -1.01135 -33.297 3.31044 -0.979626 -35.7529 4.59691 -1.34306 -38.4985 6.04788 -2.48033 
-27 0.000394074 -4.84156e-06 -29.4163 -2.83422 0.466682 -33.6078 -5.7173 1.44928 -35.9195 -7.43489 3.86893 -36.931 -8.55966 5.30507 -38.1444 -10.1573 6.94523 -29.7903 -2.04024 0.16748 -34.7858 -4.40124 0.376118 -38.6329 -6.10048 1.88703 -40.684 -6.99756 3.01882 -43.1621 -8.64388 3.81951 -30.1642 -1.24626 -0.131705 -35.7612 -2.67199 -0.168428 -40.1816 -4.01083 1.19446 -42.6114 -4.70796 2.46394 -45.1597 -5.68266 2.9958 -30.3959 -0.248306 -0.520997 -36.186 -0.629989 -0.870939 -40.5139 -1.2457 0.0472109 -42.8033 -1.47886 1.03875 -45.3346 -2.00116 1.98573 -29.0238 1.47392 -0.139244 -30.2915 1.85052 -0.980326 -33.3026 3.31573 -0.933418 -35.7575 4.60666 -1.28848 -38.5048 6.05771 -2.42124 
-27 0.00039426 -4.63597e-06 -29.4097 -2.83226 0.510718 -33.5888 -5.70964 1.56016 -35.8618 -7.40097 4.03676 -36.8526 -8.51193 5.49825 -38.026 -10.0913 7.18468 -29.7874 -2.04003 0.211628 -34.7792 -4.40131 0.493555 -38.6041 -6.0927 2.06864 -40.6413 -6.97991 3.23001 -43.0956 -8.63277 4.0857 -30.1651 -1.24779 -0.0874486 -35.7615 -2.67628 -0.0500628 -40.1655 -4.00189 1.37001 -42.5845 -4.69221 2.66452 -45.1269 -5.66221 3.22952 -30.4017 -0.25205 -0.479423 -36.1951 -0.64036 -0.760227 -40.5166 -1.22261 0.202076 -42.7977 -1.43593 1.21512 -45.3324 -1.91589 2.17542 -29.0258 1.4726 -0.123341 -30.302 1.84429 -0.95366 -33.3132 3.30917 -0.898105 -35.7681 4.5994 -1.25481 -38.5244 6.04226 -2.37634 
-27 0.000394961 -4.43038e-06 -29.4014 -2.8314 0.552871 -33.5667 -5.70467 1.66662 -35.8005 -7.36847 4.19902 -36.7695 -8.46413 5.68685 -37.9086 -10.0249 7.4141 -29.7831 -2.0411 0.253743 -34.7693 -4.40498 0.605506 -38.5716 -6.08824 2.24275 -40.5951 -6.96697 3.43116 -43.0238 -8.62656 4.341 -30.1648 -1.2508 -0.04538 -35.7589 -2.68477 0.0620639 -40.1475 -3.99697 1.53603 -42.5552 -4.67822 2.85637 -45.0906 -5.64687 3.4518 -30.4066 -0.257389 -0.440066 -36.2021 -0.656503 -0.655827 -40.5168 -1.20733 0.347914 -42.7899 -1.40317 1.38098 -45.3308 -1.83089 2.34969 -29.0283 1.47028 -0.108679 -30.3125 1.83662 -0.929019 -33.3242 3.30018 -0.866361 -35.7805 4.5859 -1.23002 -38.5453 6.02047 -2.34106 
-27 0.000395621 -4.95151e-06 -29.3948 -2.83018 0.586524 -33.548 -5.70008 1.75309 -35.7441 -7.34171 4.3325 -36.6912 -8.42398 5.84398 -37.8063 -9.97231 7.6001 -29.7798 -2.04105 0.28843 -34.7613 -4.40529 0.698831 -38.5427 -6.08041 2.39129 -40.5516 -6.95447 3.60568 -42.9572 -8.62129 4.55967 -30.1647 -1.25192 -0.00966802 -35.7567 -2.68813 0.158013 -40.1316 -3.98903 1.68217 -42.5269 -4.65945 3.02882 -45.0527 -5.63474 3.65576 -30.4107 -0.259969 -0.405409 -36.2077 -0.664489 -0.563804 -40.5158 -1.18764 0.478443 -42.7816 -1.37031 1.53005 -45.324 -1.76485 2.50875 -29.0298 1.46926 -0.0937387 -30.3207 1.8322 -0.90494 -33.3319 3.29638 -0.832628 -35.7905 4.57595 -1.20269 -38.5591 6.00517 -2.3112 
-27 0.000398187 -5.47264e-06 -29.3891 -2.82861 0.61684 -33.531 -5.69483 1.83139 -35.6909 -7.31572 4.45406 -36.6164 -8.38486 5.98799 -37.7112 -9.92185 7.76989 -29.7768 -2.04038 0.32 -34.7539 -4.40387 0.784054 -38.5152 -6.06993 2.52867 -40.5101 -6.93894 3.76815 -42.8961 -8.60978 4.76128 -30.1645 -1.25216 0.0231509 -35.7544 -2.68908 0.246311 -40.1155 -3.97847 1.82021 -42.4984 -4.63598 3.19201 -45.0115 -5.62484 3.84995 -30.4143 -0.261381 -0.373202 -36.2122 -0.669005 -0.478415 -40.5135 -1.16651 0.601547 -42.7719 -1.33783 1.67135 -45.3138 -1.70678 2.66123 -29.0307 1.46885 -0.0793341 -30.3278 1.82912 -0.881962 -33.3378 3.29489 -0.799297 -35.7993 4.56712 -1.1758 -38.57 5.99143 -2.28523 
