Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408096 2.87423e-06 -29.9597 1.11311 2.02323 -34.5135 1.65622 4.43447 -36.0804 0.61958 1.17258 -34.8073 -0.0989256 -0.314489 -32.4961 -1.19934 0.076698 -29.8548 0.195019 1.9468 -34.3074 -0.330676 5.18278 -36.0339 -0.862344 1.08861 -34.2382 -1.32556 -0.607497 -31.2139 -1.7267 -0.234314 -29.7499 -0.723078 1.87035 -34.2347 -2.42763 5.08624 -36.8583 -2.76983 1.04912 -35.1598 -2.59248 -1.20244 -32.4199 -3.01436 -1.31254 -29.4251 -1.75625 1.70237 -33.7363 -4.46126 4.5113 -37.6611 -6.2172 3.28931 -38.9196 -6.43251 1.12253 -38.3468 -5.60463 -1.43955 -28.0724 -2.26594 -0.00194925 -28.5688 -3.47325 0.865413 -31.1881 -5.55896 0.796998 -33.6332 -6.89105 0.539976 -36.6878 -8.15737 0.588531 
-27 0.00039964 4.48925e-06 -29.9526 1.11556 2.03226 -34.5039 1.65672 4.44861 -36.0831 0.678583 1.17458 -34.8136 -0.0280911 -0.319733 -32.5243 -1.16249 0.0912212 -29.8548 0.197505 1.94649 -34.3139 -0.330088 5.1732 -36.0402 -0.80642 1.07214 -34.2346 -1.25787 -0.616667 -31.2183 -1.67648 -0.204563 -29.7571 -0.720557 1.86071 -34.2576 -2.42572 5.05425 -36.8659 -2.71233 1.00251 -35.1569 -2.51931 -1.23979 -32.4127 -2.93851 -1.27082 -29.4403 -1.75447 1.68239 -33.775 -4.45409 4.46013 -37.7156 -6.11453 3.1582 -38.9123 -6.24073 0.949757 -38.1329 -5.34935 -1.53569 -28.0902 -2.2573 -0.0260307 -28.6068 -3.467 0.826073 -31.2859 -5.47447 0.737128 -33.7861 -6.69399 0.452786 -36.9285 -7.72365 0.497862 
-27 0.000408796 3.08967e-06 -29.9494 1.1165 2.03641 -34.5094 1.65948 4.43576 -36.0908 0.780964 1.13464 -34.8176 0.100768 -0.366829 -32.5583 -1.09428 0.0494032 -29.8645 0.199075 1.93215 -34.3525 -0.335548 5.11728 -36.0585 -0.70354 0.997219 -34.2414 -1.13137 -0.685333 -31.2344 -1.58961 -0.247848 -29.7795 -0.718348 1.82788 -34.3259 -2.42689 4.95401 -36.899 -2.60505 0.872255 -35.1707 -2.38089 -1.35314 -32.4271 -2.81459 -1.30676 -29.4767 -1.75289 1.63005 -33.8685 -4.44561 4.32348 -37.8292 -5.96097 2.9081 -38.9527 -5.97299 0.65804 -37.9625 -5.02999 -1.73374 -28.1228 -2.23998 -0.0799324 -28.6724 -3.45648 0.741236 -31.418 -5.36909 0.601738 -33.9704 -6.46253 0.272316 -37.1778 -7.26822 0.296348 
-27 0.000417951 1.04044e-06 -29.9489 1.11664 2.037 -34.5237 1.67182 4.4054 -36.0932 0.91573 1.06852 -34.8128 0.268521 -0.440125 -32.5907 -1 -0.0300185 -29.88 0.200923 1.9087 -34.4104 -0.341155 5.03206 -36.0803 -0.566907 0.888898 -34.25 -0.966815 -0.786286 -31.2547 -1.48087 -0.329339 -29.8111 -0.714793 1.78038 -34.4212 -2.42525 4.81067 -36.945 -2.4538 0.693458 -35.1914 -2.19631 -1.50921 -32.4543 -2.66748 -1.39829 -29.5255 -1.74916 1.55751 -33.9938 -4.43103 4.13338 -37.9751 -5.75901 2.58999 -39.0162 -5.64148 0.303654 -37.8227 -4.65656 -1.97882 -28.1634 -2.21541 -0.151741 -28.756 -3.43893 0.628033 -31.5738 -5.23696 0.419176 -34.1744 -6.19086 0.0376842 -37.424 -6.80471 0.028954 
-27 0.000412447 -1.24183e-08 -29.9916 1.04839 2.01078 -34.6172 1.5293 4.29518 -36.1112 0.903524 0.897206 -34.7964 0.320193 -0.608926 -32.5977 -0.98732 -0.194995 -29.9221 0.137977 1.84937 -34.5233 -0.513361 4.84572 -36.0967 -0.574381 0.663168 -34.2275 -0.901704 -0.984617 -31.2415 -1.43876 -0.489915 -29.8526 -0.772439 1.68795 -34.5353 -2.58582 4.54188 -36.9566 -2.44742 0.365766 -35.155 -2.11387 -1.78659 -32.4217 -2.59691 -1.61604 -29.5646 -1.79855 1.43245 -34.0932 -4.5693 3.80045 -38.0548 -5.72709 2.07802 -38.9825 -5.48382 -0.246883 -37.5992 -4.42535 -2.38671 -28.1651 -2.20418 -0.262061 -28.7963 -3.44777 0.452996 -31.6669 -5.13929 0.114667 -34.2966 -5.96726 -0.352588 -37.5643 -6.47225 -0.413712 
-27 0.000404986 -7.07955e-07 -30.0625 0.92637 1.96346 -34.7593 1.26148 4.12532 -36.1376 0.773046 0.656655 -34.7679 0.27915 -0.834339 -32.5758 -1.03634 -0.410888 -29.978 0.0250022 1.76308 -34.66 -0.812279 4.58295 -36.0996 -0.692834 0.357682 -34.1753 -0.917946 -1.24303 -31.1967 -1.45102 -0.69519 -29.8936 -0.876365 1.56269 -34.6405 -2.86779 4.18216 -36.926 -2.55826 -0.0607961 -35.0648 -2.11132 -2.13975 -32.3328 -2.57677 -1.90128 -29.5867 -1.88689 1.26982 -34.1473 -4.82048 3.36467 -38.0539 -5.83371 1.43693 -38.8497 -5.46692 -0.920406 -37.2921 -4.31453 -2.88575 -28.1322 -2.20106 -0.397576 -28.7905 -3.47461 0.235633 -31.6879 -5.07791 -0.265113 -34.3265 -5.80513 -0.837589 -37.6006 -6.25283 -0.965436 
-27 0.000403393 -1.14925e-06 -30.1253 0.806201 1.91692 -34.8816 1.00441 3.9625 -36.1493 0.653344 0.435519 -34.7277 0.242012 -1.03365 -32.5384 -1.07535 -0.601788 -30.0252 -0.0843399 1.67887 -34.7725 -1.09758 4.32654 -36.088 -0.794875 0.0722724 -34.113 -0.92787 -1.47616 -31.1432 -1.4592 -0.874702 -29.9251 -0.974879 1.44081 -34.7187 -3.13335 3.83317 -36.878 -2.65003 -0.459356 -34.9621 -2.09472 -2.46111 -32.2353 -2.54846 -2.15178 -29.5989 -1.96806 1.1117 -34.1737 -5.05362 2.94048 -38.0211 -5.92242 0.831364 -38.6906 -5.42969 -1.54223 -36.9768 -4.19706 -3.31902 -28.096 -2.19221 -0.526958 -28.775 -3.49236 0.0251915 -31.6918 -5.00535 -0.622154 -34.3335 -5.63633 -1.28718 -37.6119 -6.02231 -1.48636 
-27 0.000402291 -1.29822e-06 -30.18 0.690007 1.87179 -34.9845 0.761951 3.8102 -36.1481 0.542469 0.237004 -34.678 0.206738 -1.20451 -32.4912 -1.11169 -0.763174 -30.0638 -0.188392 1.59856 -34.861 -1.36576 4.08336 -36.0638 -0.883459 -0.186795 -34.0422 -0.929572 -1.67905 -31.0822 -1.45955 -1.02437 -29.9476 -1.06679 1.32531 -34.7714 -3.37933 3.50328 -36.8149 -2.72471 -0.823102 -34.8496 -2.07399 -2.74664 -32.1319 -2.52565 -2.3637 -29.6019 -2.04142 0.962335 -34.1734 -5.26706 2.54037 -37.96 -5.99835 0.274784 -38.5097 -5.38191 -2.10068 -36.657 -4.08543 -3.67963 -28.0573 -2.17912 -0.646793 -28.7506 -3.50211 -0.172219 -31.6809 -4.9262 -0.947714 -34.3224 -5.46389 -1.6909 -37.6031 -5.78488 -1.95643 
-27 0.000397039 -1.02005e-06 -30.2186 0.609255 1.83344 -35.0559 0.607795 3.68981 -36.1297 0.48887 0.0855674 -34.6166 0.195031 -1.31998 -32.4362 -1.12668 -0.857046 -30.0916 -0.258986 1.53382 -34.9241 -1.5468 3.89217 -36.0354 -0.911313 -0.389292 -33.97 -0.923185 -1.82151 -31.0272 -1.47055 -1.09985 -29.9646 -1.12722 1.23418 -34.8111 -3.54024 3.24663 -36.7505 -2.73692 -1.10254 -34.7349 -2.037 -2.95552 -32.0379 -2.52088 -2.4829 -29.6059 -2.08733 0.846019 -34.1727 -5.4068 2.23125 -37.9033 -6.01391 -0.157711 -38.3374 -5.28847 -2.52631 -36.3542 -3.9654 -3.90876 -28.0308 -2.16292 -0.73752 -28.738 -3.49896 -0.323813 -31.6842 -4.83387 -1.19201 -34.3248 -5.27939 -1.99668 -37.6073 -5.4941 -2.33708 
-27 0.000393254 -7.41888e-07 -30.2411 0.534987 1.8168 -35.0949 0.469766 3.6285 -36.1082 0.45329 0.00653913 -34.566 0.187466 -1.37264 -32.3858 -1.13077 -0.899031 -30.1063 -0.322714 1.49134 -34.9539 -1.71001 3.76075 -36.007 -0.928064 -0.517715 -33.9139 -0.918271 -1.90961 -30.9858 -1.49155 -1.14509 -29.9715 -1.18041 1.16587 -34.8241 -3.68143 3.05223 -36.7017 -2.73238 -1.29472 -34.6499 -1.9929 -3.09175 -31.9742 -2.52101 -2.55505 -29.6036 -2.12599 0.751546 -34.1559 -5.52558 1.98176 -37.8473 -6.01603 -0.490634 -38.1902 -5.18394 -2.83905 -36.0949 -3.85649 -4.03556 -28.0113 -2.14367 -0.816456 -28.7267 -3.49072 -0.455848 -31.6884 -4.7466 -1.38684 -34.3287 -5.11575 -2.23053 -37.6111 -5.21818 -2.61973 
