Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00041486 -5.04663e-06 -29.8555 1.28965 2.06772 -33.8582 4.09489 3.78676 -34.5872 7.77596 3.48975 -34.2848 9.84231 3.46527 -34.6926 12.402 3.56915 -29.971 1.35262 1.14989 -34.8244 3.85513 2.01937 -35.9709 8.16817 2.37821 -35.8489 10.6714 2.46753 -36.2794 13.6823 2.9194 -30.0866 1.41561 0.232045 -35.2087 4.07407 -0.00697503 -36.5148 8.67917 0.63258 -36.078 11.4632 0.843386 -36.3626 14.1922 1.23345 -30.0473 1.35578 -0.861572 -35.0992 3.9265 -2.15124 -36.6585 8.07234 -1.55024 -36.4195 10.5477 -1.17795 -36.2016 13.2181 -0.569183 -28.0906 1.1775 -1.92651 -29.3618 1.51503 -2.77881 -31.1053 4.31585 -3.35482 -32.1009 6.82458 -4.08543 -30.6235 9.33485 -2.51942 
-27 0.000417868 -1.55982e-06 -29.8256 1.34925 2.07077 -33.7541 4.25251 3.7981 -34.3978 7.95363 3.55901 -34.059 10.0145 3.56709 -34.4306 12.5773 3.73132 -29.9356 1.42526 1.15324 -34.7169 4.06067 2.02883 -35.7708 8.39331 2.44174 -35.5974 10.8931 2.57253 -35.9672 13.9062 3.06601 -30.0456 1.50128 0.235699 -35.086 4.31215 0.00435971 -36.2946 8.93535 0.702423 -35.8035 11.7069 0.953869 -36.0567 14.4322 1.38832 -30.0036 1.45196 -0.858341 -34.9722 4.18503 -2.13741 -36.4422 8.35575 -1.48558 -36.1608 10.8201 -1.07736 -35.8869 13.4767 -0.43156 -28.0486 1.22877 -1.91783 -29.3067 1.60959 -2.77127 -31.0041 4.43921 -3.34409 -31.9963 6.9465 -4.0843 -30.4851 9.41712 -2.48783 
-27 0.000413667 7.81217e-07 -29.8064 1.38084 2.07601 -33.6819 4.34497 3.81979 -34.2555 8.06062 3.6459 -33.8879 10.1148 3.68806 -34.2324 12.6772 3.91767 -29.9102 1.4717 1.15911 -34.6378 4.19862 2.04668 -35.6195 8.54256 2.52251 -35.4048 11.0383 2.69997 -35.727 14.0501 3.23802 -30.0141 1.56257 0.242204 -34.9909 4.48579 0.0247753 -36.125 9.11656 0.790792 -35.5908 11.8755 1.08902 -35.8263 14.5968 1.57558 -29.9677 1.52731 -0.852205 -34.8691 4.38647 -2.11521 -36.2733 8.56989 -1.40245 -35.9603 11.022 -0.952263 -35.6305 13.6605 -0.263543 -28.0128 1.27694 -1.90559 -29.2587 1.69487 -2.75955 -30.917 4.55136 -3.31292 -31.9366 7.04636 -4.05744 -30.4382 9.49461 -2.41508 
-27 0.000407513 1.95668e-06 -29.7957 1.38882 2.08508 -33.6333 4.3854 3.85703 -34.1464 8.11214 3.76269 -33.754 10.159 3.84879 -34.0733 12.7184 4.14429 -29.8925 1.49823 1.16944 -34.5795 4.28737 2.07844 -35.5016 8.63558 2.63506 -35.252 11.1253 2.86966 -35.5346 14.1318 3.46233 -29.9893 1.60765 0.253785 -34.9147 4.6183 0.0606407 -35.9899 9.24724 0.914448 -35.4212 11.9922 1.27209 -35.6453 14.7074 1.82325 -29.937 1.59175 -0.840807 -34.7813 4.55761 -2.07773 -36.1383 8.74218 -1.28506 -35.8027 11.1792 -0.78141 -35.4186 13.7934 -0.0416247 -27.9801 1.32838 -1.88743 -29.2141 1.78179 -2.74051 -30.8397 4.66394 -3.25698 -31.8972 7.14475 -3.99604 -30.4469 9.58304 -2.29659 
-27 0.000403902 -2.73912e-07 -29.7924 1.3715 2.10098 -33.604 4.37287 3.92002 -34.0671 8.10762 3.93172 -33.6535 10.1465 4.08296 -33.9382 12.6991 4.44413 -29.8808 1.50622 1.18787 -34.5369 4.33433 2.13485 -35.4085 8.67766 2.8052 -35.1292 11.1572 3.11629 -35.3785 14.1519 3.78357 -29.9693 1.64095 0.274756 -34.8513 4.72383 0.124467 -35.8803 9.33876 1.10336 -35.2857 12.0664 1.54198 -35.5007 14.7687 2.17758 -29.909 1.65308 -0.819477 -34.7017 4.71952 -2.01138 -36.0318 8.88972 -1.10455 -35.6834 11.3052 -0.526612 -35.2447 13.888 0.26839 -27.948 1.39068 -1.85871 -29.1702 1.88242 -2.70773 -30.7725 4.78743 -3.16525 -31.8647 7.25983 -3.88174 -30.4816 9.68738 -2.11233 
-27 0.000402244 -2.50451e-06 -29.7955 1.33281 2.1216 -33.5932 4.31403 4.00198 -34.0194 8.05119 4.13862 -33.5907 10.0798 4.36625 -33.8419 12.6216 4.80356 -29.8751 1.49743 1.21259 -34.5101 4.34233 2.21101 -35.3447 8.67042 3.01852 -35.0435 11.1355 3.41904 -35.268 14.1109 4.17747 -29.9547 1.66205 0.303572 -34.8032 4.79969 0.211878 -35.8002 9.38803 1.34106 -35.1895 12.0948 1.87588 -35.3973 14.7771 2.60707 -29.8854 1.70836 -0.789211 -34.6349 4.86393 -1.91953 -35.9542 9.00581 -0.876541 -35.6019 11.395 -0.210703 -35.1222 13.9425 0.64998 -27.9187 1.45886 -1.82082 -29.1295 1.98948 -2.66261 -30.717 4.91339 -3.04524 -31.8377 7.38405 -3.72254 -30.5227 9.78064 -1.86143 
-27 0.000402475 -4.5029e-08 -29.8022 1.28046 2.14484 -33.5925 4.22529 4.09615 -33.9901 7.95852 4.37021 -33.5499 9.97474 4.67899 -33.7741 12.502 5.20598 -29.8728 1.47786 1.24163 -34.4928 4.32506 2.30146 -35.3003 8.628 3.26171 -34.9832 11.0738 3.7594 -35.1887 14.0213 4.62338 -29.9435 1.67526 0.338412 -34.7646 4.85607 0.317685 -35.7391 9.40675 1.61263 -35.12 12.0881 2.25475 -35.3215 14.7425 3.08652 -29.8645 1.75967 -0.751439 -34.5767 4.99618 -1.80665 -35.8928 9.09882 -0.615361 -35.5418 11.4578 0.146465 -35.0475 13.9687 1.09327 -27.8914 1.53021 -1.77528 -29.0912 2.1001 -2.60701 -30.6683 5.03955 -2.90418 -31.8009 7.52054 -3.52139 -30.546 9.85593 -1.54457 
-27 0.000402705 2.71196e-06 -29.8118 1.21445 2.17052 -33.6004 4.10633 4.20259 -33.9769 7.82819 4.62721 -33.5285 9.8282 5.023 -33.7324 12.3342 5.65049 -29.8735 1.44759 1.27521 -34.4838 4.28267 2.40722 -35.2728 8.549 3.53637 -34.9461 10.9698 4.13905 -35.1376 13.8805 5.1221 -29.9353 1.68073 0.379895 -34.7348 4.89336 0.443787 -35.6961 9.39317 1.92028 -35.0765 12.0437 2.67929 -35.2794 14.6618 3.61905 -29.8466 1.80729 -0.705116 -34.5273 5.11686 -1.66999 -35.8472 9.16803 -0.31806 -35.5028 11.4908 0.548878 -35.0122 13.9593 1.60113 -27.8664 1.60469 -1.72104 -29.0559 2.21447 -2.53932 -30.6273 5.16511 -2.74033 -31.7595 7.66449 -3.27886 -30.5708 9.91881 -1.17137 
-27 0.000398921 2.9103e-06 -29.8224 1.13826 2.19793 -33.611 3.96494 4.31972 -33.9698 7.66682 4.90891 -33.5144 9.64505 5.39305 -33.7053 12.1195 6.14163 -29.8753 1.4098 1.31294 -34.478 4.22289 2.52757 -35.2525 8.44046 3.84124 -34.9232 10.8299 4.55559 -35.1034 13.694 5.66915 -29.9283 1.68136 0.427949 -34.7089 4.91875 0.590201 -35.6612 9.35421 2.26224 -35.0486 11.9653 3.15311 -35.2427 14.5378 4.2016 -29.8299 1.85358 -0.649916 -34.4821 5.23188 -1.50881 -35.807 9.22023 0.0140102 -35.4721 11.5012 0.996544 -35.0235 13.9265 2.17476 -27.8427 1.68214 -1.65773 -29.0219 2.33326 -2.45876 -30.5898 5.29105 -2.55411 -31.7172 7.81268 -2.98932 -30.6411 9.9955 -0.750117 
-27 0.000395137 3.10865e-06 -29.8344 1.04919 2.22654 -33.6284 3.79308 4.44536 -33.9777 7.4653 5.20507 -33.5193 9.41735 5.77975 -33.7067 11.8507 6.65909 -29.8796 1.36099 1.35448 -34.4803 4.13578 2.6613 -35.2502 8.28992 4.16949 -34.926 10.6417 5.00009 -35.1072 13.4492 6.24932 -29.9247 1.67281 0.482422 -34.6932 4.92054 0.756113 -35.6486 9.2744 2.6328 -35.0502 11.8385 3.66045 -35.2424 14.3567 4.82253 -29.8175 1.89353 -0.585713 -34.4489 5.32854 -1.32347 -35.7863 9.23998 0.377316 -35.4666 11.4725 1.4803 -35.0811 13.8498 2.79033 -27.8233 1.75955 -1.58554 -28.994 2.45111 -2.36491 -30.5649 5.40883 -2.34577 -31.694 7.94726 -2.66231 -30.7609 10.0596 -0.295068 
