Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000401109 -1.94558e-06 -30.0112 -2.14491 0.649344 -34.6267 -4.49578 0.77687 -36.1958 -1.08584 0.550844 -35.7506 0.922125 0.219627 -34.1147 2.88952 -0.16066 -29.928 -1.83174 -0.219415 -34.5376 -4.63766 -1.42408 -36.574 -0.701543 -0.761084 -35.6335 1.61811 -0.488639 -33.203 3.5064 -0.579294 -29.8447 -1.51855 -1.08816 -34.6258 -3.81568 -3.37396 -38.4776 -0.905278 -3.31878 -39.7522 1.59368 -3.01796 -41.4646 3.76195 -2.7418 -29.5411 -1.09405 -2.05188 -34.1131 -2.74808 -5.23845 -38.2845 -3.04845 -6.81633 -40.7236 -2.93411 -7.43081 -43.4005 -3.07051 -8.08591 -28.1321 0.638111 -2.14435 -28.9837 0.167272 -3.3729 -32.2198 0.940602 -3.75418 -34.9656 1.3914 -3.47789 -38.2565 1.28912 -3.16854 
-27 0.00041273 3.42407e-06 -30.0049 -2.15255 0.653404 -34.6121 -4.51965 0.781576 -36.183 -1.11433 0.540786 -35.7343 0.893252 0.204078 -34.0954 2.85413 -0.187926 -29.9219 -1.84173 -0.216224 -34.5206 -4.66682 -1.41792 -36.5571 -0.729021 -0.770773 -35.61 1.58773 -0.512269 -33.1694 3.46063 -0.617476 -29.8389 -1.5309 -1.08585 -34.611 -3.84904 -3.36952 -38.4684 -0.947823 -3.32965 -39.7498 1.54826 -3.0402 -41.4688 3.71311 -2.77877 -29.5359 -1.10834 -2.0506 -34.1011 -2.78423 -5.23559 -38.2698 -3.10557 -6.82052 -40.7088 -2.99935 -7.44089 -43.3864 -3.15203 -8.09539 -28.1324 0.628021 -2.14717 -28.9815 0.151632 -3.37531 -32.2178 0.917593 -3.76908 -34.9659 1.35958 -3.50091 -38.2559 1.25443 -3.18294 
-27 0.000402262 -6.17231e-07 -29.9997 -2.16002 0.652692 -34.5979 -4.54487 0.77301 -36.1706 -1.14428 0.500054 -35.7171 0.861224 0.151827 -34.0721 2.8136 -0.251547 -29.914 -1.85392 -0.218349 -34.496 -4.70407 -1.42501 -36.5358 -0.763036 -0.814003 -35.5819 1.55134 -0.573149 -33.1296 3.40793 -0.692727 -29.8284 -1.5478 -1.08939 -34.5815 -3.89664 -3.38113 -38.4449 -1.00509 -3.37962 -39.7334 1.4893 -3.11273 -41.4587 3.6523 -2.87607 -29.5227 -1.12968 -2.05524 -34.0679 -2.83988 -5.25049 -38.2274 -3.18987 -6.85617 -40.664 -3.09541 -7.49012 -43.3393 -3.26541 -8.15577 -28.1252 0.611355 -2.15571 -28.9668 0.125529 -3.38534 -32.2025 0.880098 -3.80582 -34.9543 1.31057 -3.55847 -38.2445 1.2055 -3.24216 
-27 0.000401166 -7.06564e-07 -29.9951 -2.16433 0.659584 -34.586 -4.56292 0.783748 -36.1562 -1.16391 0.475663 -35.6961 0.837427 0.109916 -34.0407 2.7773 -0.308854 -29.9078 -1.86426 -0.213391 -34.4767 -4.73815 -1.4132 -36.514 -0.790119 -0.841776 -35.5496 1.52109 -0.623054 -33.0839 3.35749 -0.765117 -29.8206 -1.56417 -1.08636 -34.5593 -3.94468 -3.37514 -38.4242 -1.05682 -3.4103 -39.7156 1.43845 -3.16653 -41.4434 3.60259 -2.95333 -29.5133 -1.15209 -2.05431 -34.0436 -2.89945 -5.25063 -38.1964 -3.27568 -6.86873 -40.6316 -3.19214 -7.51116 -43.3051 -3.37573 -8.18528 -28.1208 0.592396 -2.1633 -28.9568 0.0959749 -3.39251 -32.1918 0.840759 -3.83506 -34.9467 1.26094 -3.60545 -38.2368 1.16126 -3.28621 
-27 0.000406946 1.26909e-06 -29.971 -2.20222 0.642581 -34.5327 -4.65707 0.744349 -36.1288 -1.26824 0.436046 -35.6793 0.735685 0.0713582 -34.0276 2.6802 -0.34042 -29.8843 -1.89852 -0.229195 -34.4128 -4.82545 -1.45357 -36.4816 -0.893182 -0.882237 -35.5269 1.42128 -0.66066 -33.0638 3.26092 -0.805161 -29.7976 -1.59481 -1.10098 -34.4981 -4.02752 -3.41361 -38.3878 -1.1738 -3.45721 -39.7027 1.30947 -3.21041 -41.4511 3.45812 -2.99772 -29.492 -1.17618 -2.06661 -33.9884 -2.97036 -5.28474 -38.1306 -3.38983 -6.91927 -40.5647 -3.33187 -7.56966 -43.2338 -3.54334 -8.25553 -28.1202 0.585281 -2.16553 -28.9453 0.0832844 -3.39982 -32.1857 0.794997 -3.85706 -34.9471 1.1783 -3.64141 -38.2364 1.04912 -3.32396 
-27 0.000407068 3.82245e-06 -29.9888 -2.17014 0.668638 -34.5656 -4.59585 0.792616 -36.1234 -1.19495 0.40029 -35.6464 0.79313 -0.0106617 -33.9599 2.70036 -0.454889 -29.8945 -1.88541 -0.208729 -34.4315 -4.81227 -1.40144 -36.4599 -0.844648 -0.92954 -35.4735 1.46035 -0.75625 -32.9793 3.25463 -0.937392 -29.8001 -1.60066 -1.08609 -34.4987 -4.05592 -3.37872 -38.358 -1.1637 -3.50972 -39.6503 1.3378 -3.32223 -41.3789 3.50819 -3.16548 -29.4855 -1.20433 -2.05823 -33.9699 -3.04112 -5.26897 -38.1049 -3.46279 -6.92035 -40.5349 -3.40028 -7.5873 -43.201 -3.60487 -8.28669 -28.1022 0.54631 -2.18487 -28.9218 0.0242411 -3.41448 -32.1525 0.753141 -3.9116 -34.9131 1.15696 -3.72528 -38.2045 1.05905 -3.41871 
-27 0.00040531 5.2682e-08 -29.9729 -2.19141 0.670314 -34.5275 -4.65851 0.791821 -36.0987 -1.26411 0.368459 -35.6245 0.720088 -0.0616842 -33.932 2.6205 -0.51378 -29.8769 -1.91217 -0.20863 -34.3807 -4.88995 -1.40097 -36.4262 -0.92501 -0.96763 -35.4424 1.38232 -0.811217 -32.9443 3.17042 -1.00637 -29.7808 -1.63291 -1.08758 -34.4452 -4.14881 -3.38437 -38.3154 -1.27222 -3.55303 -39.6206 1.2256 -3.3867 -41.3593 3.39006 -3.25081 -29.4651 -1.24083 -2.06107 -33.9166 -3.14203 -5.28022 -38.0423 -3.59998 -6.94389 -40.4702 -3.55806 -7.62188 -43.1318 -3.78362 -8.33026 -28.0965 0.520916 -2.19389 -28.9055 -0.0163107 -3.42399 -32.1377 0.691028 -3.94255 -34.9022 1.07411 -3.7711 -38.193 0.945384 -3.47013 
-27 0.000405246 -1.18689e-06 -29.9328 -2.25206 0.645444 -34.4357 -4.81379 0.731734 -36.0595 -1.44123 0.307451 -35.6097 0.548544 -0.121634 -33.9325 2.46622 -0.560411 -29.8364 -1.96903 -0.232249 -34.2693 -5.03699 -1.46141 -36.3782 -1.10335 -1.03267 -35.4239 1.21628 -0.869008 -32.9419 3.02837 -1.05457 -29.74 -1.686 -1.10995 -34.3354 -4.29279 -3.44403 -38.2477 -1.47346 -3.62997 -39.5936 1.00434 -3.46401 -41.3649 3.14268 -3.33101 -29.4255 -1.28555 -2.08045 -33.8148 -3.26968 -5.33483 -37.9229 -3.79118 -7.02279 -40.3471 -3.78892 -7.7171 -43.0002 -4.05685 -8.4408 -28.0918 0.503579 -2.2003 -28.8814 -0.0462977 -3.43736 -32.121 0.609784 -3.9765 -34.8931 0.941176 -3.81907 -38.1809 0.735315 -3.52874 
-27 0.000404476 -3.62932e-06 -29.9098 -2.28268 0.642083 -34.3805 -4.9004 0.719463 -36.0309 -1.54097 0.273843 -35.5893 0.447691 -0.168267 -33.9132 2.3663 -0.611236 -29.8122 -2.00288 -0.236521 -34.2008 -5.13114 -1.47261 -36.34 -1.20961 -1.07215 -35.395 1.11486 -0.919658 -32.9141 2.92813 -1.11229 -29.7147 -1.72306 -1.11512 -34.2663 -4.39671 -3.45946 -38.1966 -1.60326 -3.67428 -39.5606 0.867151 -3.52389 -41.3437 2.99647 -3.40439 -29.4 -1.32377 -2.08603 -33.749 -3.37448 -5.35323 -37.8469 -3.93347 -7.0544 -40.2682 -3.95303 -7.7609 -42.9164 -4.24361 -8.49288 -28.0865 0.480086 -2.20816 -28.8635 -0.084296 -3.44665 -32.1052 0.544642 -4.00517 -34.8808 0.849615 -3.85718 -38.1651 0.596879 -3.5638 
-27 0.000404919 3.72562e-08 -29.8892 -2.31286 0.626562 -34.3287 -4.98382 0.678588 -36.0036 -1.63647 0.215622 -35.5674 0.352021 -0.233013 -33.8908 2.27206 -0.672613 -29.7884 -2.03403 -0.251981 -34.1312 -5.21604 -1.51252 -36.2992 -1.30715 -1.13591 -35.3612 1.02055 -0.987516 -32.8794 2.83349 -1.17702 -29.6876 -1.75519 -1.13052 -34.1911 -4.48593 -3.50176 -38.1369 -1.71565 -3.74666 -39.5163 0.748443 -3.60895 -41.3075 2.8714 -3.50058 -29.3703 -1.35472 -2.10009 -33.6724 -3.45981 -5.39466 -37.7567 -4.04676 -7.12056 -40.1733 -4.08262 -7.84441 -42.8156 -4.3896 -8.59202 -28.0757 0.463094 -2.21706 -28.8375 -0.112135 -3.46004 -32.0793 0.491812 -4.04488 -34.8582 0.771654 -3.91159 -38.1391 0.480699 -3.61529 
