Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000402791 -3.12264e-07 -29.9986 -2.13633 -0.731009 -34.8082 -3.53585 -2.05576 -38.4591 -4.44911 -1.97545 -40.487 -4.89686 -1.86716 -42.9769 -5.59971 -1.80821 -29.9243 -1.36871 -1.24577 -34.7722 -2.51679 -3.64428 -39.1694 -2.31083 -4.43789 -41.6565 -1.99989 -4.45543 -44.7115 -1.99665 -4.72159 -29.85 -0.601081 -1.76053 -34.723 -0.846391 -4.85155 -39.3476 0.507844 -4.9336 -41.7424 1.87106 -4.30077 -44.4269 2.57147 -4.3721 -29.5566 0.314219 -2.28708 -33.9761 0.822468 -6.0291 -36.9629 3.45141 -3.99232 -36.6524 4.83834 -1.92739 -35.9426 5.89087 0.512076 -28.1537 1.77555 -1.34324 -28.9306 2.08998 -2.66757 -31.8597 3.28434 -1.56776 -34.3143 4.41935 -0.856517 -35.0985 7.44763 -1.92942 
-27 0.00041147 2.97776e-06 -29.9927 -2.15855 -0.6883 -34.8075 -3.59196 -1.95687 -38.4507 -4.53297 -1.86031 -40.4765 -4.9939 -1.74473 -42.9598 -5.72211 -1.67525 -29.9301 -1.39174 -1.20581 -34.7985 -2.57676 -3.54426 -39.2037 -2.38782 -4.29372 -41.6927 -2.10143 -4.30081 -44.7471 -2.14994 -4.56485 -29.8675 -0.624914 -1.72332 -34.7758 -0.908477 -4.7548 -39.3977 0.450383 -4.76302 -41.7969 1.80198 -4.11781 -44.488 2.47261 -4.18306 -29.587 0.291046 -2.25571 -34.0538 0.760001 -5.94632 -36.9727 3.40098 -3.8283 -36.5983 4.77873 -1.76776 -35.8631 5.82697 0.669036 -28.1825 1.76426 -1.33302 -28.9766 2.06632 -2.64998 -31.8996 3.23123 -1.50331 -34.3537 4.34562 -0.758564 -35.1995 7.36167 -1.81907 
-27 0.000410266 4.07677e-06 -29.9859 -2.17944 -0.651055 -34.8054 -3.64375 -1.8654 -38.441 -4.61327 -1.75493 -40.4648 -5.08832 -1.63165 -42.941 -5.84313 -1.55221 -29.9357 -1.41166 -1.16849 -34.825 -2.62735 -3.44677 -39.2391 -2.45903 -4.15111 -41.7307 -2.20193 -4.1438 -44.7847 -2.30144 -4.40269 -29.8855 -0.643871 -1.68591 -34.8307 -0.956904 -4.65384 -39.4537 0.392705 -4.58841 -41.856 1.72614 -3.92744 -44.5552 2.36286 -3.97876 -29.6187 0.27464 -2.22094 -34.137 0.715668 -5.85187 -37.0023 3.3517 -3.66107 -36.5815 4.71836 -1.601 -35.8531 5.7667 0.837826 -28.2128 1.75703 -1.31526 -29.0248 2.05182 -2.62292 -31.9389 3.18546 -1.42344 -34.389 4.27636 -0.632346 -35.3045 7.2783 -1.67484 
-27 0.000398566 -2.17316e-06 -29.981 -2.20149 -0.597238 -34.8102 -3.69789 -1.73091 -38.4368 -4.69747 -1.58603 -40.4575 -5.18758 -1.44175 -42.9255 -5.96995 -1.33802 -29.9464 -1.43284 -1.11466 -34.8677 -2.681 -3.30469 -39.294 -2.54123 -3.94214 -41.788 -2.31861 -3.90474 -44.8428 -2.46782 -4.14108 -29.9118 -0.664178 -1.63206 -34.9092 -1.00868 -4.5074 -39.5344 0.321079 -4.34987 -41.9355 1.63267 -3.66116 -44.6434 2.23313 -3.68053 -29.662 0.256874 -2.17097 -34.2522 0.667722 -5.71427 -37.0625 3.29446 -3.44682 -36.5945 4.65297 -1.38948 -35.8774 5.7099 1.04831 -28.2506 1.74904 -1.29023 -29.0875 2.0367 -2.5837 -31.984 3.14094 -1.31599 -34.4231 4.20741 -0.460116 -35.4196 7.19047 -1.48231 
-27 0.000407574 -3.23341e-07 -29.9736 -2.22581 -0.541496 -34.811 -3.75731 -1.59031 -38.4282 -4.79197 -1.40574 -40.4443 -5.29949 -1.23618 -42.9027 -6.11171 -1.10443 -29.9558 -1.4561 -1.05819 -34.9088 -2.73964 -3.15437 -39.3465 -2.63837 -3.72178 -41.8424 -2.45498 -3.64938 -44.8975 -2.65335 -3.85807 -29.938 -0.686379 -1.57487 -34.9889 -1.06521 -4.35075 -39.6166 0.235208 -4.10048 -42.0177 1.5197 -3.37794 -44.7331 2.08416 -3.35976 -29.7068 0.237586 -2.11708 -34.3718 0.615626 -5.56499 -37.1306 3.2281 -3.22331 -36.6183 4.57869 -1.16878 -35.9136 5.64685 1.26715 -28.2908 1.74034 -1.26208 -29.1539 2.02103 -2.53986 -32.0299 3.09507 -1.20158 -34.4554 4.13469 -0.276926 -35.5386 7.096 -1.27385 
-27 0.000407339 1.02048e-06 -29.9664 -2.24567 -0.497222 -34.8113 -3.80402 -1.46906 -38.4196 -4.87397 -1.24692 -40.4302 -5.39882 -1.05277 -42.8785 -6.23946 -0.89429 -29.9648 -1.47248 -1.00899 -34.9484 -2.77799 -3.01725 -39.3954 -2.7145 -3.51355 -41.8919 -2.569 -3.40291 -44.9468 -2.80949 -3.58039 -29.9633 -0.699267 -1.52075 -35.0659 -1.09581 -4.19796 -39.6936 0.174347 -3.85068 -42.0954 1.42534 -3.08024 -44.8148 1.96184 -3.02053 -29.7502 0.230027 -2.06123 -34.4879 0.594762 -5.41014 -37.1934 3.18215 -2.98463 -36.6372 4.51487 -0.927451 -35.9368 5.58087 1.51192 -28.3292 1.7383 -1.22447 -29.2176 2.01888 -2.48473 -32.0705 3.05936 -1.07249 -34.4804 4.06922 -0.0767279 -35.6482 7.01344 -1.02779 
-27 0.000409639 1.91657e-06 -29.9695 -2.25053 -0.454836 -34.8293 -3.81114 -1.3453 -38.4328 -4.9007 -1.07844 -40.4388 -5.43432 -0.856365 -42.8795 -6.29063 -0.665723 -29.9815 -1.47235 -0.958859 -35.0035 -2.77127 -2.87359 -39.4593 -2.7252 -3.28639 -41.9542 -2.60369 -3.1294 -45.0097 -2.86706 -3.26324 -29.9935 -0.69416 -1.46287 -35.1523 -1.07733 -4.03223 -39.7715 0.181976 -3.57348 -42.1674 1.40367 -2.73538 -44.8845 1.93215 -2.62575 -29.7951 0.24109 -1.99866 -34.6074 0.624239 -5.23719 -37.2423 3.18972 -2.7162 -36.6334 4.49665 -0.655585 -35.9154 5.5442 1.78854 -28.3609 1.7458 -1.17811 -29.2754 2.03419 -2.4178 -32.0959 3.05015 -0.924912 -34.4829 4.03795 0.145281 -35.7211 6.97338 -0.741637 
-27 0.00040883 2.55801e-06 -29.977 -2.24967 -0.407494 -34.8554 -3.80368 -1.20244 -38.4547 -4.9063 -0.877413 -40.4549 -5.44576 -0.620911 -42.888 -6.31032 -0.388912 -30.0027 -1.46547 -0.901575 -35.0693 -2.74628 -2.70776 -39.535 -2.70805 -3.01504 -42.0261 -2.60211 -2.79919 -45.082 -2.87858 -2.87033 -30.0284 -0.681261 -1.39565 -35.2497 -1.03796 -3.83936 -39.854 0.216772 -3.24473 -42.2369 1.4089 -2.31732 -44.9478 1.93882 -2.1432 -29.8447 0.260728 -1.92484 -34.7388 0.676765 -5.03421 -37.2895 3.21651 -2.40428 -36.6204 4.49382 -0.342567 -35.8616 5.50798 2.10359 -28.3924 1.75772 -1.12232 -29.3362 2.05816 -2.33689 -32.1153 3.05037 -0.753256 -34.4733 4.01687 0.397699 -35.7764 6.94749 -0.408489 
-27 0.000409778 1.58124e-06 -29.986 -2.24572 -0.361059 -34.883 -3.78879 -1.05687 -38.4773 -4.90025 -0.669728 -40.4708 -5.44438 -0.376943 -42.8971 -6.31071 -0.102268 -30.0247 -1.45482 -0.843459 -35.136 -2.71139 -2.53735 -39.6106 -2.67443 -2.72776 -42.0958 -2.57715 -2.44659 -45.1508 -2.86077 -2.44421 -30.0634 -0.663888 -1.32584 -35.3462 -0.987132 -3.63849 -39.9306 0.26449 -2.89376 -42.2922 1.42941 -1.86728 -44.9952 1.96145 -1.61764 -29.8938 0.285414 -1.84659 -34.8681 0.742635 -4.8199 -37.3307 3.25142 -2.07665 -36.6004 4.49707 -0.0156363 -35.7868 5.46686 2.43057 -28.4215 1.77213 -1.06148 -29.3952 2.08745 -2.24846 -32.1284 3.05455 -0.572073 -34.4538 3.99882 0.660625 -35.8152 6.92648 -0.0548507 
-27 0.000405981 2.1902e-06 -29.9997 -2.23357 -0.320742 -34.9169 -3.7527 -0.919976 -38.5069 -4.86488 -0.473277 -40.4938 -5.41038 -0.144698 -42.9164 -6.26995 0.168199 -30.0489 -1.43471 -0.788876 -35.2051 -2.65093 -2.3727 -39.6863 -2.60326 -2.44181 -42.1632 -2.50562 -2.0924 -45.2162 -2.78783 -2.01192 -30.0982 -0.635851 -1.25701 -35.4394 -0.907881 -3.43837 -39.9976 0.345547 -2.53369 -42.3262 1.49078 -1.4064 -45.0204 2.02406 -1.07129 -29.9398 0.321598 -1.76626 -34.9888 0.839237 -4.60057 -37.3601 3.31179 -1.74131 -36.5667 4.51952 0.319576 -35.6903 5.43544 2.76521 -28.4442 1.79223 -0.995071 -29.4463 2.12823 -2.15227 -32.1299 3.07056 -0.384057 -34.4185 3.99373 0.930808 -35.825 6.92316 0.317143 
