Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000406322 -4.62414e-06 -29.9655 0.237906 2.28928 -34.5672 -0.234641 4.62307 -36.7515 0.144714 1.58088 -36.0684 0.0325089 -0.386754 -33.6396 -0.773453 -0.794939 -29.8554 -0.580395 1.86738 -34.3225 -2.37875 4.58487 -36.3828 -1.56578 0.696418 -34.6282 -1.20253 -1.06806 -31.9031 -1.89908 0.182571 -29.7453 -1.3987 1.44546 -34.1928 -4.2906 3.72968 -36.4509 -3.11203 -0.373232 -34.4533 -2.18461 -2.14002 -32.1701 -3.01417 -0.789027 -29.4147 -2.28708 0.895359 -33.4468 -6.09357 2.64066 -35.5114 -5.37175 -1.25782 -33.4744 -4.42914 -2.39232 -31.87 -4.37888 -0.156028 -28.0596 -2.0982 -0.871595 -28.5013 -3.55487 -0.498437 -30.692 -4.43464 -2.87389 -32.4352 -4.34735 -5.05848 -35.4551 -3.03014 -4.77321 
-27 0.000406359 -2.97183e-06 -29.9843 0.213611 2.26713 -34.5906 -0.293328 4.58464 -36.6688 0.0769749 1.46794 -35.8759 -0.0449972 -0.45749 -33.4227 -0.828861 -0.744416 -29.864 -0.603951 1.84656 -34.3273 -2.44476 4.54181 -36.2627 -1.61142 0.586796 -34.4302 -1.26906 -1.09861 -31.7962 -2.01915 0.30668 -29.7438 -1.42151 1.42598 -34.1761 -4.35428 3.68751 -36.3015 -3.15293 -0.483215 -34.2409 -2.21446 -2.17449 -32.0505 -3.11114 -0.716984 -29.4015 -2.30732 0.878899 -33.4052 -6.1557 2.59744 -35.3616 -5.40967 -1.3518 -33.289 -4.45904 -2.41264 -31.702 -4.51622 -0.164173 -28.0349 -2.10775 -0.878094 -28.465 -3.5682 -0.506111 -30.6205 -4.4702 -2.90528 -32.3391 -4.38004 -5.10923 -35.3359 -3.03637 -4.7215 
-27 0.000411072 2.78089e-06 -30.0126 0.20271 2.23037 -34.6382 -0.322583 4.50511 -36.6174 0.0406204 1.32381 -35.7213 -0.0955474 -0.554818 -33.2506 -0.855815 -0.73659 -29.8827 -0.615235 1.81343 -34.3622 -2.47874 4.46587 -36.1729 -1.63615 0.451042 -34.2632 -1.31988 -1.15174 -31.7261 -2.11381 0.400156 -29.7529 -1.43317 1.39647 -34.191 -4.38794 3.61755 -36.1864 -3.17281 -0.614171 -34.0681 -2.22508 -2.22982 -31.9753 -3.18838 -0.674601 -29.3991 -2.31845 0.855873 -33.3963 -6.19038 2.53619 -35.2465 -5.43181 -1.46155 -33.1376 -4.48386 -2.45103 -31.5848 -4.59527 -0.1809 -28.0125 -2.11572 -0.885013 -28.4368 -3.57812 -0.514004 -30.5443 -4.50902 -2.94462 -32.256 -4.39781 -5.15293 -35.283 -3.11595 -4.79147 
-27 0.000406902 1.20542e-06 -30.0399 0.197457 2.19349 -34.687 -0.338375 4.42151 -36.581 0.0212573 1.1884 -35.5974 -0.128641 -0.64452 -33.1175 -0.873868 -0.737612 -29.9021 -0.621053 1.78021 -34.4025 -2.49788 4.38752 -36.1014 -1.65004 0.324466 -34.1208 -1.3648 -1.19582 -31.6678 -2.17704 0.476922 -29.7644 -1.43956 1.36691 -34.215 -4.40695 3.54568 -36.0965 -3.17962 -0.734213 -33.9269 -2.22825 -2.27822 -31.9279 -3.25266 -0.640833 -29.4009 -2.3249 0.832852 -33.4005 -6.21096 2.47465 -35.159 -5.44558 -1.56319 -33.0142 -4.50918 -2.48422 -31.5039 -4.62952 -0.186049 -27.9943 -2.12154 -0.891756 -28.415 -3.58528 -0.522041 -30.474 -4.54727 -2.98193 -32.1794 -4.40834 -5.19355 -35.2307 -3.1759 -4.86622 
-27 0.000403001 -2.82574e-06 -30.0697 0.195041 2.15193 -34.7428 -0.345564 4.32341 -36.5526 0.0151185 1.04249 -35.493 -0.145988 -0.746508 -33.0061 -0.893671 -0.74952 -29.9248 -0.623795 1.74172 -34.4536 -2.50827 4.29367 -36.0405 -1.6527 0.18754 -33.993 -1.40293 -1.24814 -31.6103 -2.20368 0.528674 -29.78 -1.44263 1.33149 -34.252 -4.41661 3.45707 -36.0219 -3.17328 -0.865232 -33.7973 -2.23017 -2.33256 -31.8891 -3.30638 -0.621736 -29.4078 -2.32806 0.803639 -33.4192 -6.22224 2.39656 -35.0872 -5.45093 -1.67832 -32.9044 -4.53054 -2.52298 -31.4423 -4.6425 -0.193373 -27.9784 -2.12457 -0.902086 -28.3984 -3.58939 -0.535835 -30.409 -4.57827 -3.02492 -32.0989 -4.42261 -5.24727 -35.1589 -3.20172 -4.96044 
-27 0.000408165 -1.43498e-06 -30.0953 0.182852 2.116 -34.7893 -0.374797 4.23749 -36.5241 -0.0134719 0.916363 -35.4016 -0.178131 -0.833802 -32.9129 -0.933283 -0.74854 -29.9426 -0.635298 1.70726 -34.4913 -2.54002 4.20819 -35.9796 -1.67505 0.0679243 -33.8771 -1.45343 -1.29098 -31.5472 -2.20911 0.573386 -29.7899 -1.45344 1.29851 -34.2732 -4.4459 3.37371 -35.9484 -3.18571 -0.981165 -33.6699 -2.25685 -2.37057 -31.8385 -3.36763 -0.59896 -29.4083 -2.3373 0.774779 -33.4207 -6.24978 2.31965 -35.0116 -5.47451 -1.78504 -32.7974 -4.55881 -2.54898 -31.3738 -4.67322 -0.195741 -27.9598 -2.1279 -0.914081 -28.3758 -3.59511 -0.552849 -30.3462 -4.60878 -3.06398 -32.0149 -4.46662 -5.30324 -35.0641 -3.21244 -5.04612 
-27 0.000411638 -2.21227e-06 -30.123 0.167863 2.07612 -34.8394 -0.41097 4.14174 -36.4988 -0.0545304 0.781829 -35.3177 -0.219158 -0.92951 -32.836 -0.982688 -0.751883 -29.9611 -0.649574 1.66953 -34.53 -2.57821 4.11466 -35.9206 -1.70854 -0.0577558 -33.7724 -1.50633 -1.34633 -31.4934 -2.19648 0.604352 -29.7992 -1.46701 1.26292 -34.2921 -4.48196 3.28396 -35.8744 -3.21185 -1.10223 -33.5391 -2.30471 -2.40822 -31.7762 -3.43274 -0.578941 -29.4065 -2.34904 0.744292 -33.4165 -6.28353 2.23868 -34.9308 -5.51041 -1.89532 -32.6959 -4.58634 -2.56897 -31.3045 -4.73297 -0.198332 -27.9375 -2.13272 -0.925906 -28.3487 -3.60242 -0.569339 -30.2803 -4.64133 -3.10028 -31.9146 -4.54288 -5.36701 -34.9365 -3.21909 -5.13793 
-27 0.000406329 1.23716e-06 -30.1541 0.169082 2.02843 -34.8992 -0.408164 4.02769 -36.4794 -0.0583346 0.62911 -35.2416 -0.227716 -1.04123 -32.7795 -1.01163 -0.769913 -29.9852 -0.649071 1.62612 -34.587 -2.57845 4.00825 -35.8742 -1.70849 -0.196734 -33.6885 -1.52532 -1.42042 -31.4732 -2.16044 0.620292 -29.8164 -1.46722 1.22379 -34.3348 -4.4829 3.18609 -35.8154 -3.20895 -1.23308 -33.4199 -2.33752 -2.45266 -31.7268 -3.47633 -0.565113 -29.415 -2.34996 0.713093 -33.4409 -6.28754 2.15572 -34.8719 -5.51857 -2.00813 -32.6182 -4.58143 -2.58548 -31.253 -4.79583 -0.204784 -27.9213 -2.13572 -0.935236 -28.3349 -3.6054 -0.581371 -30.228 -4.66476 -3.13279 -31.8171 -4.61498 -5.43304 -34.8028 -3.20636 -5.23792 
-27 0.000408811 -9.08693e-07 -30.1853 0.168495 1.97919 -34.9584 -0.410436 3.91005 -36.4648 -0.0727683 0.47691 -35.1763 -0.244089 -1.15353 -32.7394 -1.0524 -0.79566 -30.0085 -0.650519 1.58205 -34.6413 -2.58334 3.90044 -35.8333 -1.7204 -0.334061 -33.6176 -1.54292 -1.50187 -31.4732 -2.14186 0.623726 -29.8318 -1.46953 1.1849 -34.3726 -4.48907 3.08872 -35.758 -3.21987 -1.36005 -33.3132 -2.37772 -2.50018 -31.6845 -3.51969 -0.558657 -29.4208 -2.35296 0.683162 -33.4584 -6.29664 2.07552 -34.8135 -5.53506 -2.11495 -32.5481 -4.57275 -2.59763 -31.1988 -4.87167 -0.216975 -27.9023 -2.14056 -0.942681 -28.3175 -3.61019 -0.59058 -30.169 -4.69296 -3.16263 -31.7142 -4.6806 -5.49315 -34.6769 -3.2201 -5.33267 
-27 0.000403887 -3.34244e-06 -30.2172 0.163399 1.92732 -35.0184 -0.422979 3.78495 -36.4537 -0.0966596 0.320373 -35.1217 -0.265691 -1.27329 -32.7135 -1.10754 -0.831256 -30.0316 -0.656012 1.53508 -34.6945 -2.5982 3.78414 -35.7962 -1.74297 -0.47712 -33.553 -1.56054 -1.59174 -31.4802 -2.13726 0.609729 -29.846 -1.47542 1.14283 -34.4072 -4.50441 2.98175 -35.7022 -3.23877 -1.49519 -33.2217 -2.4133 -2.56847 -31.6549 -3.55755 -0.577877 -29.4243 -2.35879 0.649912 -33.4704 -6.31328 1.9855 -34.7542 -5.55613 -2.22839 -32.4837 -4.5622 -2.62267 -31.1491 -4.95106 -0.246741 -27.8805 -2.14558 -0.951814 -28.2967 -3.61575 -0.603066 -30.1008 -4.7212 -3.19903 -31.6068 -4.72279 -5.55509 -34.5659 -3.25156 -5.43013 
