Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000410994 1.07312e-06 -29.6716 -2.62118 -0.285252 -34.138 -5.01843 -1.35758 -37.8401 -4.87985 -0.690046 -39.644 -4.01358 -0.101696 -40.6132 -1.70468 0.565179 -29.6611 -1.99075 -0.965102 -34.135 -4.42023 -3.12285 -38.6011 -4.1798 -2.97558 -40.1184 -2.43244 -1.99546 -39.8111 0.16759 -0.37408 -29.6507 -1.36031 -1.64494 -34.2583 -3.05136 -4.68987 -39.0876 -2.70331 -4.72671 -40.8331 -1.19274 -3.09655 -39.7199 0.743503 -1.44305 -29.4403 -0.561566 -2.36526 -33.857 -1.54905 -6.01364 -38.2949 -1.0265 -6.12657 -39.5396 0.698801 -4.78533 -39.1248 2.51101 -2.75527 -28.2807 1.24937 -1.75681 -28.8424 1.36832 -3.21509 -31.613 2.9049 -4.30069 -33.9487 4.39644 -4.67322 -36.8187 3.8464 -3.12496 
-27 0.000405311 -1.85536e-06 -29.6673 -2.61609 -0.362007 -34.1347 -4.97337 -1.51575 -37.8488 -4.99931 -0.903789 -39.6975 -4.21935 -0.333822 -40.7321 -1.96217 0.401514 -29.656 -1.96769 -1.02472 -34.1269 -4.33803 -3.25321 -38.6 -4.21789 -3.20214 -40.1691 -2.52966 -2.20026 -39.835 0.0295934 -0.522752 -29.6447 -1.31927 -1.68742 -34.2443 -2.93129 -4.7869 -39.0807 -2.67977 -4.87045 -40.9216 -1.29685 -3.23196 -39.738 0.601465 -1.58212 -29.4336 -0.501257 -2.38558 -33.8489 -1.39861 -6.05892 -38.2971 -1.00668 -6.26046 -39.5937 0.669987 -4.90669 -39.0805 2.37128 -2.8044 -28.2781 1.29426 -1.72597 -28.8424 1.45218 -3.17954 -31.6152 3.01085 -4.22748 -33.9537 4.5063 -4.56466 -36.7938 3.84295 -3.00558 
-27 0.000406709 -1.73625e-07 -29.6783 -2.59667 -0.416498 -34.1607 -4.89865 -1.62263 -37.8771 -5.05853 -1.04573 -39.7583 -4.35286 -0.488299 -40.843 -2.14252 0.303979 -29.665 -1.93398 -1.06488 -34.1517 -4.23076 -3.33803 -38.6266 -4.20077 -3.35535 -40.2332 -2.55913 -2.33562 -39.8624 -0.0373632 -0.618545 -29.6516 -1.27126 -1.71325 -34.2627 -2.79173 -4.84171 -39.103 -2.61266 -4.95489 -41.0222 -1.34776 -3.3109 -39.7642 0.522226 -1.68389 -29.4378 -0.439036 -2.39355 -33.869 -1.23366 -6.07145 -38.3215 -0.955717 -6.35053 -39.6588 0.681135 -4.98767 -39.0331 2.29048 -2.84387 -28.2743 1.33691 -1.69598 -28.8466 1.52858 -3.14235 -31.6154 3.11524 -4.15842 -33.95 4.62308 -4.46677 -36.7553 3.8693 -2.8862 
-27 0.000407544 -5.85776e-07 -29.6785 -2.58781 -0.467135 -34.164 -4.85959 -1.71833 -37.8761 -5.1583 -1.16996 -39.7887 -4.53451 -0.624111 -40.9291 -2.37281 0.214543 -29.666 -1.91185 -1.10169 -34.1582 -4.15567 -3.41648 -38.6319 -4.23566 -3.49056 -40.2796 -2.64328 -2.45829 -39.888 -0.15314 -0.706789 -29.6534 -1.23588 -1.73624 -34.2703 -2.68614 -4.88935 -39.1133 -2.59994 -5.02938 -41.107 -1.45978 -3.38272 -39.7934 0.396395 -1.78404 -29.4404 -0.38975 -2.39944 -33.8833 -1.09852 -6.08069 -38.3366 -0.949229 -6.43602 -39.7205 0.63702 -5.05991 -39.0008 2.18433 -2.9 -28.2763 1.37152 -1.6666 -28.8575 1.5921 -3.10528 -31.6284 3.19069 -4.09649 -33.9664 4.69796 -4.38094 -36.7338 3.8482 -2.78211 
-27 0.000405162 -8.86585e-07 -29.6798 -2.57866 -0.508269 -34.1695 -4.82632 -1.7877 -37.8718 -5.25269 -1.25787 -39.8113 -4.7091 -0.720619 -41.0036 -2.59189 0.156938 -29.6694 -1.89059 -1.12971 -34.1717 -4.08428 -3.47295 -38.6412 -4.27287 -3.58832 -40.3224 -2.72256 -2.54616 -39.9059 -0.258997 -0.76699 -29.659 -1.2025 -1.75115 -34.2886 -2.58655 -4.91524 -39.1325 -2.58903 -5.07086 -41.1831 -1.56114 -3.42013 -39.8189 0.286585 -1.85443 -29.4482 -0.34371 -2.39859 -33.9091 -0.968475 -6.07322 -38.3594 -0.933603 -6.49116 -39.7825 0.600029 -5.09554 -38.973 2.10734 -2.93913 -28.2818 1.40325 -1.6357 -28.8734 1.6506 -3.06577 -31.6484 3.2586 -4.02995 -33.9914 4.76297 -4.28676 -36.7182 3.82481 -2.66779 
-27 0.00040926 -1.91089e-07 -29.7198 -2.51874 -0.5901 -34.2437 -4.65567 -1.93671 -37.9431 -5.14868 -1.44555 -39.9005 -4.65822 -0.917489 -41.1135 -2.57671 0.0194102 -29.6985 -1.81121 -1.189 -34.2366 -3.8528 -3.59966 -38.7032 -4.06651 -3.77139 -40.3901 -2.5379 -2.70657 -39.9092 -0.130691 -0.86869 -29.6773 -1.10365 -1.78789 -34.3303 -2.3077 -4.99125 -39.173 -2.31078 -5.17773 -41.2545 -1.36304 -3.51775 -39.8188 0.431001 -1.95354 -29.4531 -0.227794 -2.40735 -33.9276 -0.651275 -6.09426 -38.3709 -0.633879 -6.58146 -39.8065 0.854662 -5.15026 -38.8894 2.28131 -2.98209 -28.2596 1.47519 -1.58896 -28.8502 1.7775 -3.00885 -31.6002 3.45221 -3.93036 -33.9238 4.99307 -4.14289 -36.6304 3.99123 -2.52816 
-27 0.000408356 -5.32103e-07 -29.6786 -2.55878 -0.606004 -34.1745 -4.75819 -1.94597 -37.8473 -5.42569 -1.46188 -39.8293 -5.0407 -0.938121 -41.1227 -3.02056 0.0320954 -29.6751 -1.84217 -1.1944 -34.1973 -3.92666 -3.59807 -38.6528 -4.29827 -3.78865 -40.3809 -2.82389 -2.71348 -39.8917 -0.426626 -0.863633 -29.6716 -1.12556 -1.78278 -34.3303 -2.36334 -4.96481 -39.1694 -2.52118 -5.14595 -41.2847 -1.66926 -3.4769 -39.8252 0.139729 -1.95247 -29.4684 -0.23668 -2.39083 -33.9687 -0.678752 -6.04395 -38.4067 -0.815424 -6.55942 -39.8846 0.613253 -5.11035 -38.8815 2.01442 -2.96372 -28.2992 1.47542 -1.55659 -28.9073 1.7883 -2.96675 -31.6939 3.42339 -3.84819 -34.0505 4.91857 -4.02088 -36.6872 3.79104 -2.37368 
-27 0.000406807 -3.0058e-06 -29.6666 -2.5602 -0.65108 -34.1544 -4.75379 -2.02743 -37.8085 -5.54262 -1.58619 -39.8085 -5.2339 -1.08059 -41.1571 -3.264 -0.0765545 -29.6672 -1.8328 -1.22609 -34.1833 -3.8923 -3.66251 -38.6291 -4.34019 -3.90766 -40.3806 -2.8985 -2.82601 -39.8529 -0.525937 -0.951617 -29.6677 -1.10539 -1.80109 -34.3249 -2.30487 -4.99996 -39.1564 -2.54235 -5.2149 -41.2931 -1.74291 -3.5472 -39.7916 0.0505947 -2.04079 -29.4694 -0.204416 -2.39273 -33.9748 -0.598017 -6.04508 -38.4028 -0.81171 -6.61798 -39.9059 0.580716 -5.15957 -38.8017 1.92027 -3.02354 -28.3078 1.49764 -1.52789 -28.9178 1.83438 -2.93171 -31.7116 3.4723 -3.78493 -34.0788 4.95378 -3.92907 -36.6672 3.73017 -2.27404 
-27 0.000405132 -2.49753e-06 -29.6482 -2.56847 -0.69229 -34.1223 -4.76624 -2.10591 -37.7532 -5.68001 -1.71645 -39.7687 -5.44662 -1.23284 -41.1721 -3.52844 -0.200313 -29.6539 -1.83207 -1.2557 -34.1568 -3.8832 -3.72355 -38.5911 -4.40281 -4.02871 -40.368 -2.99576 -2.94296 -39.8001 -0.643404 -1.049 -29.6595 -1.09566 -1.81909 -34.3091 -2.27592 -5.03615 -39.1291 -2.59885 -5.29313 -41.2836 -1.84059 -3.62906 -39.7431 -0.0630474 -2.14501 -29.4676 -0.184026 -2.39633 -33.9738 -0.552524 -6.05021 -38.3889 -0.845737 -6.68408 -39.9164 0.516549 -5.22254 -38.7085 1.79372 -3.10426 -28.3182 1.51232 -1.50431 -28.9296 1.86765 -2.90295 -31.7327 3.49972 -3.73654 -34.1135 4.96085 -3.86245 -36.6502 3.64059 -2.20155 
-27 0.000408782 5.0116e-07 -29.6465 -2.56362 -0.71634 -34.1243 -4.74315 -2.14627 -37.7323 -5.76021 -1.80207 -39.7578 -5.58698 -1.33526 -41.1974 -3.70902 -0.276666 -29.6549 -1.82029 -1.27054 -34.1641 -3.84576 -3.74816 -38.5896 -4.40905 -4.09946 -40.3813 -3.02627 -3.00701 -39.7501 -0.691865 -1.10241 -29.6633 -1.07695 -1.82474 -34.3223 -2.22251 -5.04067 -39.132 -2.60341 -5.32621 -41.2959 -1.88608 -3.65618 -39.6992 -0.119368 -2.21221 -29.4743 -0.157951 -2.39118 -33.9956 -0.489539 -6.03003 -38.3997 -0.838141 -6.71104 -39.9362 0.508443 -5.24448 -38.6111 1.72465 -3.15967 -28.3248 1.52891 -1.48155 -28.9411 1.90083 -2.87373 -31.7471 3.53708 -3.68902 -34.1344 4.98875 -3.80062 -36.6212 3.59404 -2.12517 
