Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000403025 -2.40414e-06 -30.5744 -0.355882 1.08993 -35.7222 -0.0949925 1.61787 -35.5287 3.65267 1.39076 -33.8045 4.65296 0.776345 -31.7125 4.16846 -0.67409 -30.4523 -0.147385 0.194749 -35.9411 -0.278018 -0.459979 -35.6032 4.15351 0.0626008 -33.3022 5.11377 -0.252596 -30.5372 4.05147 -1.06529 -30.3301 0.0611243 -0.700428 -35.8285 0.332 -2.44836 -36.467 5.05853 -1.69065 -34.4895 6.93918 -0.95671 -31.7983 7.56324 -0.649397 -29.9743 0.254822 -1.71877 -35.0766 0.891903 -4.43061 -37.0189 4.91736 -4.36984 -36.7721 7.38951 -3.97974 -36.3566 10.0469 -3.40978 -27.9205 1.05952 -2.07782 -28.7758 0.950432 -3.3866 -30.7336 3.29586 -4.75837 -32.0961 5.67444 -5.31053 -33.9314 7.14394 -2.98479 
-27 0.000404145 -3.31128e-06 -30.5887 -0.0340427 1.10069 -35.706 0.622597 1.57784 -35.2577 4.32132 1.06298 -33.4588 5.1298 0.383949 -31.3744 4.40904 -0.976513 -30.4542 0.0968283 0.19266 -35.9407 0.286408 -0.467497 -35.2809 4.70913 -0.294491 -32.9166 5.48142 -0.6544 -30.1813 4.25451 -1.32634 -30.3197 0.227713 -0.715374 -35.7912 0.734906 -2.49459 -36.176 5.53254 -2.09885 -34.1626 7.42324 -1.50088 -31.5192 8.20999 -1.15435 -29.9532 0.318978 -1.74421 -35.0132 1.09229 -4.49948 -36.831 5.16432 -4.80755 -36.6022 7.66328 -4.65073 -36.239 10.3681 -4.34563 -27.8511 0.95612 -2.15607 -28.7204 0.813439 -3.4523 -30.5776 3.16633 -4.94584 -31.8169 5.56894 -5.6604 -33.6299 7.35335 -3.54725 
-27 0.000407211 3.03212e-06 -30.5874 0.330793 1.05485 -35.6384 1.42967 1.41035 -34.8939 5.02982 0.601297 -33.0276 5.62397 -0.115961 -30.9673 4.6361 -1.33854 -30.4375 0.376948 0.140995 -35.8882 0.939395 -0.598073 -34.8656 5.29223 -0.784123 -32.4422 5.84187 -1.15941 -29.7487 4.44252 -1.65406 -30.2875 0.42312 -0.772858 -35.6921 1.21242 -2.6511 -35.7862 6.04078 -2.64693 -33.7341 7.92799 -2.18496 -31.1456 8.86888 -1.82373 -29.9086 0.402338 -1.80103 -34.8799 1.34548 -4.66286 -36.5266 5.44468 -5.36518 -36.2699 7.94482 -5.45667 -35.9153 10.6671 -5.44347 -27.7609 0.840787 -2.23633 -28.6373 0.672025 -3.52466 -30.358 3.03544 -5.15847 -31.4381 5.44845 -6.06926 -33.1729 7.54669 -4.19187 
-27 0.000405264 -5.0342e-07 -30.5665 0.597912 1.0072 -35.5503 1.99451 1.24748 -34.6113 5.4716 0.152942 -32.7131 5.8994 -0.598614 -30.688 4.69853 -1.68116 -30.4136 0.562654 0.0933467 -35.8274 1.34856 -0.711375 -34.5592 5.60548 -1.25707 -32.106 5.98585 -1.6484 -29.4291 4.50095 -1.98134 -30.2608 0.527409 -0.820515 -35.6164 1.4478 -2.77783 -35.5453 6.2604 -3.16891 -33.5059 8.19334 -2.86847 -30.9999 9.35168 -2.55553 -29.8826 0.404588 -1.84181 -34.8006 1.37359 -4.786 -36.3703 5.42253 -5.86635 -36.1187 7.90163 -6.2066 -35.8239 10.619 -6.48975 -27.7149 0.696009 -2.30033 -28.6038 0.479135 -3.57273 -30.2575 2.79852 -5.33388 -31.2401 5.1696 -6.44361 -32.8138 7.52763 -4.74074 
-27 0.000406608 -7.2759e-07 -30.5309 0.872576 0.929365 -35.427 2.56562 1.01495 -34.2863 5.87666 -0.36569 -32.3625 6.13087 -1.13518 -30.4023 4.71324 -2.06403 -30.3784 0.751233 0.0228449 -35.7398 1.76137 -0.876243 -34.2178 5.86833 -1.79402 -31.7418 6.0633 -2.18337 -29.0965 4.49004 -2.34809 -30.2259 0.629911 -0.88367 -35.5207 1.67385 -2.94186 -35.2664 6.4274 -3.75491 -33.2331 8.38646 -3.63758 -30.8109 9.73368 -3.41925 -29.853 0.40017 -1.88831 -34.7117 1.37942 -4.92594 -36.1686 5.34475 -6.40473 -35.8866 7.77172 -7.00078 -35.6277 10.45 -7.58129 -27.6718 0.534424 -2.35583 -28.574 0.262715 -3.60824 -30.1455 2.52326 -5.51515 -31.0318 4.83221 -6.81978 -32.4236 7.44054 -5.33784 
-27 0.000405402 -3.49273e-07 -30.4763 1.13747 0.844794 -35.2698 3.10285 0.770042 -33.945 6.209 -0.893257 -32.0118 6.29142 -1.67222 -30.1502 4.66633 -2.45227 -30.3337 0.92901 -0.0473548 -35.6366 2.14557 -1.03354 -33.8775 6.05127 -2.32853 -31.3917 6.05879 -2.71055 -28.7968 4.39422 -2.72282 -30.191 0.720557 -0.939512 -35.4306 1.86646 -3.08306 -34.9983 6.51229 -4.32861 -32.9661 8.47376 -4.42279 -30.6264 9.97734 -4.35323 -29.8343 0.383915 -1.91961 -34.6522 1.35095 -5.02546 -35.9864 5.1882 -6.90316 -35.6644 7.532 -7.75637 -35.4268 10.1367 -8.6229 -27.6507 0.360335 -2.39448 -28.5751 0.0272067 -3.61542 -30.0669 2.20772 -5.67352 -30.8744 4.44013 -7.15112 -32.0702 7.26857 -5.92377 
-27 0.000405779 2.63965e-06 -30.4201 1.3644 0.730638 -35.1169 3.5353 0.45938 -33.6462 6.40435 -1.48372 -31.7097 6.33292 -2.25538 -29.9545 4.52883 -2.87148 -30.2893 1.06762 -0.138019 -35.5353 2.42617 -1.23676 -33.5873 6.09125 -2.90759 -31.1024 5.9344 -3.26462 -28.5651 4.19201 -3.11718 -30.1586 0.770851 -1.00669 -35.3482 1.95033 -3.25124 -34.7833 6.4407 -4.94459 -32.7654 8.39226 -5.26962 -30.5201 10.0319 -5.38946 -29.82 0.328892 -1.95068 -34.6061 1.21838 -5.12788 -35.8421 4.85821 -7.41648 -35.5018 7.08651 -8.5318 -35.2777 9.57818 -9.68016 -27.6409 0.164277 -2.41844 -28.5871 -0.242399 -3.59976 -30.0124 1.81424 -5.8257 -30.7481 3.95569 -7.46636 -31.8079 6.94492 -6.52936 
-27 0.0004065 -7.82616e-08 -30.3391 1.60091 0.616697 -34.9149 3.98818 0.159185 -33.3024 6.58158 -2.04116 -31.3738 6.34768 -2.80058 -29.7542 4.37612 -3.25325 -30.2308 1.22129 -0.222289 -35.4072 2.75256 -1.4194 -33.2704 6.12524 -3.43487 -30.7999 5.79224 -3.76717 -28.3524 3.94872 -3.47308 -30.1224 0.841681 -1.06128 -35.2604 2.09283 -3.3844 -34.5517 6.38161 -5.49665 -32.5348 8.27909 -6.06032 -30.3703 9.99357 -6.40203 -29.8146 0.300071 -1.96298 -34.5787 1.15676 -5.18214 -35.7073 4.56512 -7.84487 -35.3491 6.64884 -9.20681 -35.0876 8.99436 -10.6237 -27.6508 -0.0192103 -2.42127 -28.6296 -0.476622 -3.55653 -29.9897 1.45369 -5.93142 -30.6573 3.49479 -7.72226 -31.5212 6.61868 -7.06528 
-27 0.000407273 1.92043e-06 -30.2575 1.80512 0.472477 -34.7171 4.35494 -0.20299 -32.9952 6.64219 -2.64707 -31.0811 6.25145 -3.37799 -29.5818 4.15415 -3.6396 -30.1723 1.34452 -0.327741 -35.2792 3.00132 -1.6502 -32.9941 6.04915 -3.98893 -30.5463 5.55599 -4.28334 -28.1876 3.6367 -3.82059 -30.0872 0.883942 -1.12796 -35.1744 2.16035 -3.5471 -34.3647 6.19838 -6.07325 -32.364 8.02344 -6.881 -30.2893 9.77882 -7.46867 -29.8107 0.247119 -1.97598 -34.554 1.03076 -5.24399 -35.6138 4.14442 -8.27096 -35.2635 6.05033 -9.87401 -34.9507 8.1976 -11.5678 -27.6669 -0.213848 -2.40744 -28.6745 -0.712348 -3.49946 -29.9978 1.05656 -6.01654 -30.6226 2.95448 -7.97267 -31.2456 6.18203 -7.61009 
-27 0.000408879 8.63251e-07 -30.1527 2.01442 0.309669 -34.469 4.73323 -0.597785 -32.6424 6.67763 -3.25541 -30.7571 6.10796 -3.9424 -29.3691 3.92051 -3.99986 -30.0975 1.47867 -0.445097 -35.1146 3.28561 -1.90704 -32.682 5.96204 -4.52928 -30.272 5.29099 -4.77533 -28.0148 3.302 -4.13411 -30.0423 0.942931 -1.19988 -35.0649 2.27554 -3.72143 -34.1448 6.01717 -6.63062 -32.1537 7.72931 -7.6759 -30.156 9.46611 -8.51767 -29.8058 0.217224 -1.98636 -34.5217 0.96544 -5.30199 -35.516 3.75037 -8.65403 -35.1695 5.4481 -10.4768 -34.7947 7.34502 -12.4361 -27.6927 -0.396607 -2.37675 -28.7302 -0.906469 -3.43499 -30.0279 0.70423 -6.06894 -30.6108 2.42867 -8.19153 -30.8999 5.72249 -8.12996 
