Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000404938 -3.13583e-06 -27.371 -3.02479 -2.1913 -28.1161 -6.59541 -5.87116 -31.4583 -4.86376 -5.83835 -31.7548 -2.96226 -5.03383 -29.905 -1.26589 -4.4082 -27.2344 -2.225 -2.64011 -27.1793 -5.13465 -7.34164 -31.3091 -3.46776 -6.89515 -31.4129 -1.53146 -5.30783 -29.2331 -0.109898 -3.67189 -27.0979 -1.4252 -3.08893 -27.0234 -3.36384 -8.52925 -31.7388 -2.35317 -8.78492 -32.747 -0.94045 -6.53797 -30.885 0.156121 -4.77678 -26.8832 -0.402412 -3.41894 -26.8064 -1.14092 -9.18453 -30.7773 -0.774129 -11.2155 -33.1641 0.0183594 -11.2162 -35.8291 0.675747 -11.4234 -27.3234 1.34205 -2.09328 -26.8622 1.7218 -3.5422 -29.814 1.86361 -5.11801 -32.3386 1.83875 -6.31997 -35.2919 1.83056 -7.8081 
-27 0.00040483 -1.14292e-06 -27.3176 -2.97018 -2.2729 -27.9799 -6.45684 -6.04788 -31.3071 -4.6964 -6.03618 -31.5942 -2.81758 -5.17458 -29.7321 -1.15406 -4.49481 -27.1721 -2.15944 -2.6987 -27.0074 -4.9511 -7.46871 -31.131 -3.26307 -7.03864 -31.2359 -1.37264 -5.39581 -29.064 -0.0257202 -3.69012 -27.0268 -1.3487 -3.12452 -26.8237 -3.15355 -8.60742 -31.5263 -2.09118 -8.88812 -32.5405 -0.726291 -6.6171 -30.6802 0.294169 -4.81065 -26.8062 -0.317889 -3.42434 -26.5524 -0.906496 -9.2021 -30.6286 -0.34636 -10.9644 -32.9612 0.537994 -10.6455 -35.5984 1.32052 -10.5433 -27.2784 1.39296 -2.06631 -26.7834 1.80796 -3.49422 -29.6987 1.97033 -5.13447 -32.2019 1.94212 -6.38035 -35.1554 1.83416 -7.86416 
-27 0.000405635 -6.78848e-07 -27.2955 -2.92801 -2.32987 -27.9182 -6.34888 -6.1712 -31.2368 -4.55882 -6.17076 -31.5182 -2.69841 -5.26844 -29.6472 -1.05628 -4.55769 -27.1423 -2.11021 -2.7391 -26.9222 -4.81207 -7.55833 -31.0364 -3.10304 -7.13567 -31.1376 -1.24796 -5.45189 -28.9707 0.0377071 -3.69437 -26.9891 -1.29239 -3.14832 -26.7195 -2.99621 -8.66061 -31.4101 -1.88566 -8.95409 -32.4213 -0.560263 -6.66477 -30.5649 0.402052 -4.82682 -26.7618 -0.257031 -3.42666 -26.396 -0.733086 -9.20877 -30.5612 -0.0301908 -10.6821 -32.8029 0.917202 -10.0479 -35.3675 1.81259 -9.59644 -27.2474 1.43058 -2.04446 -26.73 1.86757 -3.45785 -29.6201 2.05414 -5.13971 -32.1111 2.03539 -6.40996 -35.0721 1.8223 -7.86712 
-27 0.000407369 3.08674e-06 -27.2759 -2.9388 -2.31868 -27.8682 -6.37844 -6.14802 -31.1903 -4.59311 -6.17597 -31.4801 -2.73318 -5.27616 -29.6144 -1.08336 -4.56584 -27.1229 -2.12233 -2.73066 -26.8718 -4.8385 -7.54032 -30.9906 -3.13505 -7.14108 -31.0977 -1.27847 -5.45902 -28.9417 0.00534134 -3.68632 -26.9699 -1.30586 -3.14264 -26.6717 -3.0274 -8.64794 -31.3612 -1.91609 -8.95771 -32.3718 -0.592637 -6.67447 -30.5237 0.372762 -4.83397 -26.7441 -0.271066 -3.4243 -26.3214 -0.762538 -9.20124 -30.5575 -0.0140554 -10.416 -32.6951 0.972575 -9.53158 -35.1541 1.94278 -8.75492 -27.2412 1.42111 -2.05179 -26.7156 1.85035 -3.46453 -29.596 2.00763 -5.16591 -32.0868 1.96931 -6.43606 -35.054 1.59976 -7.84892 
-27 0.000404472 -1.37462e-06 -27.2686 -2.94886 -2.30673 -27.8471 -6.40273 -6.12537 -31.1689 -4.62322 -6.17583 -31.4657 -2.76265 -5.27974 -29.6069 -1.11138 -4.55289 -27.1146 -2.13414 -2.7218 -26.8496 -4.86624 -7.52168 -30.9692 -3.16538 -7.14343 -31.0808 -1.30646 -5.46411 -28.9351 -0.023583 -3.67603 -26.9606 -1.31943 -3.13686 -26.6493 -3.06014 -8.63541 -31.3366 -1.94423 -8.96106 -32.3484 -0.621732 -6.68348 -30.5087 0.346969 -4.83858 -26.7342 -0.285814 -3.42235 -26.2768 -0.798069 -9.19484 -30.5542 -0.0199783 -10.2181 -32.601 0.999074 -9.17063 -34.9412 2.00016 -8.12243 -27.2356 1.41217 -2.0586 -26.7035 1.83208 -3.47168 -29.5787 1.96623 -5.18371 -32.0752 1.92834 -6.44268 -35.0387 1.42033 -7.81967 
-27 0.000406105 2.21581e-06 -27.2647 -2.96683 -2.28402 -27.8352 -6.44706 -6.07986 -31.1545 -4.67343 -6.158 -31.4589 -2.80795 -5.27396 -29.608 -1.1572 -4.52412 -27.1089 -2.15555 -2.7051 -26.8334 -4.92364 -7.48374 -30.9536 -3.22025 -7.13344 -31.072 -1.35249 -5.46409 -28.9383 -0.0614597 -3.66431 -26.9532 -1.34428 -3.12619 -26.6294 -3.12668 -8.61064 -31.3139 -2.00624 -8.95918 -32.3325 -0.672849 -6.69344 -30.5028 0.304995 -4.84308 -26.7251 -0.313139 -3.41924 -26.241 -0.872091 -9.18521 -30.537 -0.0819863 -10.1028 -32.5322 0.965864 -8.98646 -34.7789 1.95029 -7.73714 -27.2288 1.39599 -2.07036 -26.6899 1.80141 -3.4851 -29.5605 1.90828 -5.20692 -32.0652 1.87941 -6.44956 -35.0171 1.25478 -7.80347 
-27 0.000404235 -4.32761e-06 -27.2589 -2.98328 -2.26315 -27.8221 -6.48843 -6.03709 -31.1443 -4.72154 -6.14129 -31.4616 -2.85165 -5.26988 -29.6229 -1.19987 -4.49141 -27.1023 -2.17503 -2.68972 -26.8159 -4.97797 -7.44734 -30.9391 -3.27457 -7.12257 -31.071 -1.3996 -5.46149 -28.9534 -0.0955329 -3.64904 -26.9457 -1.36678 -3.11629 -26.6085 -3.18919 -8.58676 -31.2936 -2.07087 -8.95822 -32.3269 -0.725463 -6.70556 -30.512 0.261934 -4.84437 -26.7172 -0.337736 -3.41624 -26.213 -0.941873 -9.17594 -30.5145 -0.153383 -10.0577 -32.4987 0.90862 -8.93515 -34.6914 1.83741 -7.55426 -27.2243 1.38098 -2.08089 -26.6801 1.77431 -3.49701 -29.5462 1.85272 -5.22774 -32.0605 1.83534 -6.45122 -34.9982 1.12352 -7.79279 
-27 0.000406044 -1.70738e-06 -27.2538 -3.00511 -2.23466 -27.8122 -6.5456 -5.9762 -31.1368 -4.78562 -6.11622 -31.4729 -2.90961 -5.26513 -29.6525 -1.25005 -4.46105 -27.0961 -2.20107 -2.66869 -26.7994 -5.05184 -7.39716 -30.9275 -3.34775 -7.10659 -31.0837 -1.46212 -5.45831 -28.99 -0.135656 -3.63292 -26.9384 -1.39702 -3.10271 -26.5873 -3.27409 -8.5538 -31.2752 -2.16265 -8.95822 -32.333 -0.796503 -6.72637 -30.5432 0.206217 -4.84928 -26.709 -0.370965 -3.41209 -26.1874 -1.03494 -9.16365 -30.4869 -0.254399 -10.0593 -32.4821 0.813278 -8.96184 -34.6545 1.68942 -7.51608 -27.2191 1.36071 -2.09475 -26.6702 1.73913 -3.51315 -29.5313 1.788 -5.2532 -32.0539 1.77566 -6.45947 -34.979 1.0045 -7.79592 
-27 0.000402061 -4.45789e-06 -27.2411 -3.02731 -2.20592 -27.7889 -6.60517 -5.91332 -31.1261 -4.87279 -6.09001 -31.5002 -2.99457 -5.26342 -29.7215 -1.30422 -4.43488 -27.0869 -2.22676 -2.64761 -26.7802 -5.12214 -7.34826 -30.9254 -3.44572 -7.09247 -31.1306 -1.55068 -5.45821 -29.0778 -0.182723 -3.61782 -26.9327 -1.42619 -3.08929 -26.5755 -3.35398 -8.52225 -31.2725 -2.282 -8.96053 -32.3672 -0.899049 -6.75257 -30.6202 0.132258 -4.85511 -26.7078 -0.402145 -3.40846 -26.1836 -1.1203 -9.15326 -30.4853 -0.369464 -10.0717 -32.4942 0.688412 -8.98987 -34.6697 1.52896 -7.52774 -27.2253 1.33975 -2.10756 -26.6787 1.70655 -3.52986 -29.5399 1.71727 -5.27025 -32.0712 1.68748 -6.45804 -34.9848 0.866136 -7.78942 
-27 0.000409492 5.86969e-07 -27.2318 -3.02865 -2.20507 -27.7729 -6.60782 -5.91217 -31.1264 -4.91093 -6.12273 -31.5571 -3.03888 -5.30983 -29.855 -1.2989 -4.43402 -27.0807 -2.22766 -2.64703 -26.7703 -5.12202 -7.34808 -30.9398 -3.49296 -7.13288 -31.2223 -1.60237 -5.50136 -29.2348 -0.194751 -3.62093 -26.9297 -1.42667 -3.089 -26.574 -3.35222 -8.52285 -31.2775 -2.32875 -9.00416 -32.42 -0.950295 -6.81772 -30.7383 0.100602 -4.88061 -26.7086 -0.401907 -3.40855 -26.188 -1.11837 -9.15389 -30.494 -0.388933 -10.0872 -32.5045 0.656406 -8.99617 -34.6882 1.48612 -7.53999 -27.2313 1.33847 -2.10773 -26.6888 1.7063 -3.53135 -29.5516 1.70187 -5.26923 -32.0872 1.65185 -6.44707 -34.9905 0.806267 -7.78583 
