Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000406686 3.58236e-06 -29.1574 2.00485 2.32796 -33.0488 4.33372 4.83369 -34.708 5.06186 1.53525 -34.4113 4.93067 -0.525237 -34.7503 5.32251 -3.06426 -29.5324 1.2135 2.0232 -34.0151 2.41969 5.02709 -36.0959 4.5578 1.69477 -36.2658 5.14782 -0.735177 -36.4964 6.19758 -3.61966 -29.9074 0.422156 1.71842 -35.0004 0.668766 4.43163 -37.7562 3.16384 1.36031 -37.6374 4.26483 -1.22991 -37.5749 5.46303 -3.74209 -30.1449 -0.558047 1.28958 -35.4377 -1.34342 3.56184 -38.6622 0.844407 1.3718 -39.2664 1.98533 -0.786636 -39.9361 3.26302 -3.13406 -29.0785 -1.29807 -0.529595 -30.34 -2.10084 -0.0602672 -32.7941 -0.124158 -1.19444 -34.7764 1.6738 -2.00472 -37.3809 3.44286 -3.01639 
-27 0.000405401 -7.50152e-07 -29.1474 2.01354 2.32965 -33.0269 4.34784 4.84895 -34.721 5.03693 1.56045 -34.4427 4.88294 -0.501028 -34.7414 5.25256 -3.04865 -29.5211 1.21792 2.03454 -33.9842 2.42605 5.06689 -36.1009 4.52543 1.7335 -36.2767 5.06768 -0.70504 -36.5325 6.06539 -3.60582 -29.8948 0.422309 1.73943 -34.9653 0.664447 4.49489 -37.7424 3.11819 1.41698 -37.6126 4.16637 -1.19388 -37.5423 5.31196 -3.72444 -30.1312 -0.562513 1.32063 -35.3923 -1.37096 3.65748 -38.5223 0.806929 1.32524 -38.9512 1.88811 -0.90467 -39.4265 3.06782 -3.34854 -29.0765 -1.31233 -0.501383 -30.3331 -2.11024 -0.0109606 -32.786 -0.116601 -1.11772 -34.7567 1.71137 -1.88815 -37.3549 3.52806 -2.82938 
-27 0.00040361 -3.70974e-06 -29.1444 2.0077 2.33742 -33.0212 4.32526 4.87621 -34.7492 4.98335 1.60029 -34.4881 4.81431 -0.463112 -34.7465 5.17016 -3.01751 -29.5142 1.20777 2.04911 -33.9611 2.39339 5.11384 -36.1086 4.45442 1.7732 -36.2783 4.96746 -0.671906 -36.571 5.94245 -3.57693 -29.884 0.407839 1.76077 -34.9328 0.62076 4.55807 -37.7405 3.03252 1.47689 -37.615 4.04609 -1.1478 -37.5415 5.14286 -3.69308 -30.1159 -0.580802 1.34857 -35.344 -1.43126 3.74367 -38.4171 0.716433 1.30968 -38.7135 1.74008 -0.968331 -39.0014 2.84172 -3.4745 -29.07 -1.331 -0.478365 -30.3196 -2.12974 0.0284779 -32.7844 -0.132933 -1.04553 -34.7556 1.71057 -1.77682 -37.3539 3.56436 -2.642 
-27 0.000404603 -2.71933e-06 -29.1276 1.99861 2.3605 -32.9873 4.29786 4.94161 -34.7583 4.94307 1.6875 -34.5228 4.76611 -0.377462 -34.75 5.11932 -2.93455 -29.4964 1.19637 2.0774 -33.9116 2.35866 5.19639 -36.0873 4.39427 1.85393 -36.254 4.8954 -0.594853 -36.5884 5.86336 -3.49772 -29.8652 0.394138 1.79427 -34.8804 0.579876 4.65335 -37.7219 2.96715 1.5818 -37.6072 3.95908 -1.05223 -37.5256 5.01015 -3.61189 -30.0966 -0.596195 1.38583 -35.286 -1.47965 3.85205 -38.3396 0.642607 1.37167 -38.5612 1.62597 -0.93244 -38.6954 2.68717 -3.46882 -29.0683 -1.34271 -0.452538 -30.3106 -2.14164 0.0714191 -32.7914 -0.139064 -0.953996 -34.7669 1.71685 -1.64079 -37.3651 3.60828 -2.4209 
-27 0.000405753 -2.66953e-06 -29.1193 1.99574 2.37039 -32.971 4.28841 4.96923 -34.7588 4.93199 1.72473 -34.5355 4.74874 -0.337704 -34.7127 5.10365 -2.89728 -29.4882 1.19295 2.08908 -33.8887 2.34614 5.23225 -36.0566 4.36755 1.87261 -36.2079 4.86406 -0.579463 -36.5534 5.82499 -3.48336 -29.8572 0.390166 1.80776 -34.8579 0.566038 4.69283 -37.7017 2.94428 1.61185 -37.5718 3.91877 -1.02872 -37.4538 4.92836 -3.60282 -30.0891 -0.600531 1.4005 -35.2628 -1.49504 3.89584 -38.3002 0.612556 1.38192 -38.4746 1.57199 -0.93628 -38.4731 2.62402 -3.48001 -29.0685 -1.34572 -0.44266 -30.3098 -2.14145 0.0884434 -32.7936 -0.127 -0.905868 -34.7657 1.74097 -1.56951 -37.3518 3.66997 -2.29615 
-27 0.000406021 1.53122e-06 -29.11 1.99269 2.38122 -32.9519 4.28215 4.99733 -34.7494 4.93671 1.75996 -34.5354 4.75208 -0.300162 -34.6572 5.11539 -2.86133 -29.4807 1.19098 2.09913 -33.8694 2.33892 5.26062 -36.0199 4.36339 1.89083 -36.1645 4.86262 -0.562408 -36.5124 5.82225 -3.47104 -29.8515 0.389286 1.81702 -34.8429 0.561861 4.71825 -37.681 2.94774 1.63346 -37.53 3.91389 -1.00931 -37.3764 4.8999 -3.59336 -30.0857 -0.600188 1.40814 -35.2525 -1.49621 3.91709 -38.2818 0.611311 1.39471 -38.4341 1.56341 -0.928065 -38.3311 2.62997 -3.46365 -29.0713 -1.34227 -0.439729 -30.3138 -2.13421 0.0944886 -32.7943 -0.102092 -0.871661 -34.7603 1.77816 -1.51836 -37.3297 3.74205 -2.2098 
-27 0.000408257 3.18592e-06 -29.1158 1.98113 2.38573 -32.9638 4.25652 5.00505 -34.7547 4.92863 1.76598 -34.5386 4.74882 -0.291398 -34.5917 5.12715 -2.85305 -29.4859 1.18091 2.09871 -33.882 2.31088 5.25636 -36.0048 4.35037 1.87987 -36.1432 4.85813 -0.573402 -36.481 5.8243 -3.48264 -29.856 0.380688 1.81167 -34.8551 0.537874 4.70052 -37.6786 2.93804 1.61052 -37.5 3.90728 -1.02893 -37.3155 4.89305 -3.61533 -30.0894 -0.606698 1.39725 -35.2637 -1.51532 3.88613 -38.2805 0.598364 1.35923 -38.4119 1.55122 -0.957845 -38.232 2.63994 -3.47483 -29.0704 -1.33972 -0.451696 -30.315 -2.13194 0.0770476 -32.7891 -0.0845315 -0.873234 -34.7502 1.80337 -1.51247 -37.3035 3.79166 -2.19368 
-27 0.000407816 2.85663e-08 -29.1258 1.97352 2.38314 -32.9839 4.24407 4.99179 -34.7521 4.94287 1.7438 -34.5253 4.77079 -0.311082 -34.5071 5.16695 -2.87141 -29.4965 1.17631 2.08864 -33.9111 2.29909 5.22308 -35.9937 4.3678 1.84229 -36.1196 4.88658 -0.611236 -36.4345 5.86845 -3.51795 -29.8673 0.379104 1.79411 -34.8868 0.534123 4.64746 -37.6792 2.96132 1.54903 -37.4674 3.94004 -1.08347 -37.2551 4.94079 -3.6658 -30.101 -0.604938 1.37202 -35.2971 -1.51244 3.81556 -38.2853 0.623302 1.27659 -38.383 1.58058 -1.03697 -38.1457 2.68633 -3.54102 -29.0716 -1.33001 -0.474292 -30.3224 -2.12026 0.0428061 -32.7796 -0.0510218 -0.903989 -34.7294 1.84871 -1.54286 -37.2602 3.86223 -2.23354 
-27 0.000405671 -1.81479e-07 -29.1309 1.97137 2.38029 -32.9936 4.2465 4.97831 -34.7385 4.97339 1.72272 -34.4997 4.81179 -0.333582 -34.4583 5.22379 -2.89133 -29.504 1.17783 2.07883 -33.9339 2.30481 5.18999 -35.9834 4.40553 1.81081 -36.0949 4.93467 -0.643522 -36.3861 5.93683 -3.54576 -29.877 0.384288 1.77736 -34.9155 0.5494 4.59641 -37.6756 3.00706 1.49277 -37.4376 3.99605 -1.13274 -37.2069 5.01525 -3.70834 -30.1132 -0.596093 1.34816 -35.3314 -1.49068 3.7489 -38.2852 0.673237 1.19563 -38.3443 1.63284 -1.1184 -38.0774 2.74304 -3.61949 -29.0755 -1.31623 -0.495433 -30.3333 -2.1023 0.0107448 -32.7705 -0.00926531 -0.935463 -34.7072 1.90412 -1.57341 -37.2152 3.94113 -2.27841 
-27 0.000407392 1.1297e-06 -29.1384 1.96611 2.37792 -33.0083 4.24111 4.96523 -34.7314 4.99241 1.70386 -34.4814 4.84147 -0.353782 -34.4177 5.26921 -2.90867 -29.5126 1.17571 2.06964 -33.9587 2.30185 5.15782 -35.9885 4.42904 1.7835 -36.0811 4.96942 -0.67141 -36.3491 5.99481 -3.5682 -29.8867 0.385321 1.76135 -34.9432 0.55389 4.54783 -37.6765 3.03671 1.44079 -37.4196 4.03704 -1.17825 -37.1755 5.07389 -3.74591 -30.1239 -0.591716 1.32514 -35.3611 -1.48097 3.68608 -38.2823 0.706334 1.1161 -38.3035 1.66767 -1.20041 -38.0338 2.77616 -3.70558 -29.0773 -1.30544 -0.515922 -30.3409 -2.0893 -0.0207612 -32.7627 0.0213997 -0.967165 -34.6905 1.94441 -1.60305 -37.1827 3.99615 -2.32146 
