Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 6.41481e-06 -3.2195e-06 30.4824 -1.3483 -0.38268 35.3754 -2.49987 0.919794 38.8025 -4.04106 0.9374 40.663 -4.97619 1.0584 43.1987 -5.5242 1.12379 30.4191 -0.533394 0.05511 35.8256 -0.923962 1.1525 39.2762 -1.94742 3.814 40.7404 -2.61966 5.74277 41.8169 -4.29951 8.09917 30.3558 0.281522 0.492902 35.822 1.00346 2.20123 37.8548 -0.567674 6.28619 37.626 -1.83744 8.80038 37.1025 -3.18605 11.1741 30.0734 1.24443 0.933526 35.3131 2.40699 3.15735 38.4815 2.36063 6.31002 40.1654 2.21929 8.16072 42.0101 1.98729 10.1963 27.9886 1.60304 1.65516 29.251 2.52706 1.74942 30.6146 5.0879 3.42234 32.5015 6.4281 4.99146 34.2637 8.74827 6.55177 
27 4.07727e-07 1.53491e-07 30.4775 -1.37603 -0.325019 35.3746 -2.45713 1.01397 38.7999 -3.99509 1.10607 40.6621 -4.9247 1.28408 43.2025 -5.46076 1.37858 30.4184 -0.536895 0.0650113 35.8306 -0.873947 1.14778 39.275 -1.75384 3.86193 40.7213 -2.34746 5.82967 41.8323 -3.81722 8.30592 30.3594 0.302238 0.455041 35.838 1.11412 2.07781 37.832 -0.226305 6.26478 37.5369 -1.35971 8.83658 36.8894 -2.49575 11.2896 30.0815 1.28977 0.840638 35.3382 2.56833 2.95608 38.5165 2.67141 6.09966 40.2176 2.62226 7.9415 42.0652 2.46614 9.98194 28.002 1.69437 1.553 29.2674 2.61863 1.57912 30.6471 5.28275 3.06733 32.5362 6.72768 4.53783 34.2821 9.16249 5.93232 
27 -4.45803e-06 1.65709e-06 30.4668 -1.41885 -0.244646 35.3539 -2.47042 1.16321 38.7812 -4.01087 1.33884 40.6391 -4.92876 1.54636 43.1698 -5.47756 1.69739 30.4135 -0.561335 0.104029 35.8214 -0.890425 1.22242 39.2494 -1.65925 3.98443 40.6865 -2.18995 5.9767 41.7113 -3.48657 8.58833 30.3602 0.296182 0.452705 35.8396 1.1416 2.05416 37.7784 -0.0150195 6.32016 37.427 -1.02631 8.93545 36.6224 -2.00567 11.4094 30.0893 1.3035 0.788926 35.3481 2.63487 2.86276 38.5322 2.85472 5.99833 40.2423 2.87857 7.83316 42.0912 2.80792 9.87722 28.0109 1.75936 1.47289 29.2853 2.67151 1.45537 30.6895 5.39442 2.80801 32.607 6.87919 4.19998 34.4256 9.33885 5.44944 
27 -5.07748e-06 -2.33739e-06 30.4566 -1.45258 -0.184099 35.3321 -2.48041 1.2722 38.7472 -4.03831 1.51972 40.5976 -4.97377 1.76263 43.1186 -5.54224 1.95499 30.4091 -0.582022 0.131513 35.8128 -0.905145 1.27031 39.2225 -1.6196 4.07503 40.6485 -2.07788 6.09309 41.6369 -3.21967 8.78948 30.3617 0.288547 0.44713 35.8456 1.15639 2.0244 37.7567 0.153129 6.33701 37.3244 -0.743305 8.9819 36.629 -1.69807 11.4982 30.0977 1.30993 0.744188 35.3649 2.68004 2.77611 38.558 2.98946 5.89646 40.2735 3.06565 7.72727 42.1449 3.02895 9.74975 28.0217 1.8068 1.40651 29.3033 2.70717 1.35032 30.7359 5.48151 2.56127 32.6676 7.02063 3.87213 34.5097 9.5382 4.97073 
27 -6.85451e-07 -4.44246e-07 30.4452 -1.48444 -0.136847 35.311 -2.49922 1.35812 38.7109 -4.09167 1.66403 40.5508 -5.0414 1.94413 43.0617 -5.65781 2.17065 30.4045 -0.603947 0.150934 35.8065 -0.931254 1.30246 39.1993 -1.60194 4.14226 40.6047 -2.04087 6.17899 41.5851 -2.99707 8.94029 30.3638 0.27655 0.43872 35.8576 1.15455 1.98277 37.7055 0.279338 6.36541 37.2357 -0.540821 9.02859 36.4635 -1.39213 11.5499 30.1077 1.30887 0.703108 35.389 2.70203 2.68832 38.5795 3.08848 5.80614 40.3142 3.20432 7.61789 42.1866 3.19464 9.63355 28.0356 1.84261 1.34871 29.324 2.73046 1.25944 30.7886 5.53585 2.35509 32.7386 7.10431 3.60268 34.6077 9.64593 4.59445 
27 1.49562e-06 1.73715e-06 30.4431 -1.49206 -0.1027 35.3073 -2.48178 1.40853 38.6958 -4.0893 1.77185 40.5223 -5.0565 2.06546 43.0132 -5.7009 2.34077 30.4038 -0.604695 0.163337 35.8074 -0.910515 1.31602 39.1881 -1.54866 4.18496 40.5711 -1.9681 6.24102 41.5759 -2.73311 9.04821 30.3645 0.282681 0.429378 35.8622 1.19063 1.94652 37.6921 0.417932 6.34835 37.1774 -0.32375 9.02621 36.3957 -0.969058 11.5993 30.11 1.32154 0.668439 35.3959 2.75839 2.61917 38.6055 3.21392 5.70192 40.3561 3.35458 7.50225 42.254 3.39574 9.50116 28.0391 1.87385 1.30217 29.3271 2.7594 1.18712 30.7927 5.59506 2.20032 32.7626 7.18908 3.38246 34.6828 9.74118 4.24564 
27 -8.06655e-06 -3.53916e-06 30.4471 -1.48409 -0.0822045 35.3199 -2.42716 1.43648 38.7103 -4.03625 1.81563 40.5335 -5.00664 2.1391 43.0323 -5.62511 2.42086 30.4061 -0.591289 0.164728 35.8156 -0.85758 1.30453 39.1938 -1.45632 4.18832 40.5659 -1.84987 6.25679 41.6036 -2.43394 9.09425 30.365 0.30151 0.41166 35.8669 1.25807 1.88628 37.6869 0.581036 6.30793 37.1444 -0.104239 8.99531 36.4442 -0.685486 11.6117 30.1084 1.34457 0.629083 35.3983 2.83751 2.52775 38.6393 3.34145 5.57848 40.4045 3.51952 7.36525 42.3176 3.6066 9.34648 28.038 1.90452 1.25781 29.3221 2.79175 1.11637 30.7894 5.65344 2.05102 32.7519 7.28745 3.20667 34.6398 9.87162 4.04817 
27 -2.1766e-06 8.26495e-07 30.4538 -1.46847 -0.0807914 35.3428 -2.35677 1.42222 38.744 -3.94283 1.80662 40.576 -4.8928 2.1416 43.0678 -5.51733 2.4404 30.4101 -0.571638 0.150582 35.83 -0.79011 1.25601 39.2149 -1.33648 4.14132 40.5807 -1.70721 6.21814 41.6757 -2.15577 9.05865 30.3663 0.325192 0.381959 35.8752 1.33552 1.7988 37.704 0.76321 6.22667 37.1406 0.122544 8.92073 36.5463 -0.462025 11.5725 30.106 1.37068 0.582727 35.4028 2.92124 2.4164 38.664 3.48424 5.43288 40.4411 3.69992 7.20344 42.3825 3.80879 9.15904 28.0374 1.93159 1.21637 29.3166 2.82082 1.04616 30.7798 5.70866 1.90366 32.7407 7.39055 2.9921 34.6063 10.0285 3.70632 
27 -6.1719e-06 -1.95184e-06 30.4634 -1.44599 -0.075851 35.368 -2.28053 1.41668 38.7872 -3.82463 1.80782 40.6307 -4.75097 2.15335 43.1338 -5.35341 2.44551 30.4147 -0.545895 0.141432 35.8437 -0.713257 1.22115 39.2411 -1.19059 4.10346 40.612 -1.51752 6.1846 41.7187 -1.8875 9.03402 30.366 0.354196 0.358715 35.8769 1.42219 1.72746 37.7185 0.959285 6.16682 37.1461 0.381765 8.87324 36.592 -0.27288 11.5144 30.0995 1.40096 0.544184 35.3957 3.01458 2.32267 38.6741 3.64195 5.30499 40.4626 3.89494 7.0603 42.4308 4.03283 8.98598 28.0304 1.9578 1.17986 29.302 2.85238 0.982449 30.745 5.77212 1.7626 32.7092 7.47553 2.7918 34.6014 10.1134 3.40854 
27 -4.48997e-06 -3.36168e-06 30.4755 -1.41741 -0.0582555 35.3885 -2.18055 1.43687 38.82 -3.69517 1.84072 40.6705 -4.60016 2.1946 43.1706 -5.20501 2.49504 30.4195 -0.514217 0.143873 35.8512 -0.614637 1.21449 39.2596 -1.01222 4.10061 40.6459 -1.28555 6.17406 41.7111 -1.59134 9.04698 30.3635 0.388978 0.346006 35.8673 1.5293 1.68497 37.7129 1.15535 6.13322 37.1381 0.632928 8.85029 36.568 -0.00101018 11.4961 30.0883 1.43641 0.514278 35.3735 3.12546 2.25645 38.664 3.81917 5.21192 40.4621 4.10515 6.94678 42.4368 4.2974 8.86426 28.0157 1.98623 1.14455 29.2807 2.88636 0.930382 30.7104 5.82521 1.6616 32.6599 7.58228 2.63116 34.5022 10.2858 3.11457 
