Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 8.97847e-08 -1.04909e-06 30.0415 2.19838 -0.0920018 34.8452 4.032 0.39563 36.5638 0.944847 -0.898552 35.4743 -0.801628 -1.23531 33.6619 -2.63813 -1.45976 29.9534 1.6758 0.668855 34.8117 3.67442 2.35355 36.6879 0.0140321 0.593978 35.2672 -1.98166 0.0328982 32.3848 -3.04649 -0.149 29.8653 1.15323 1.42972 34.7755 2.40881 4.18842 37.1094 -1.43246 2.42888 35.0754 -3.20862 1.59578 32.4548 -3.84897 0.925234 29.5553 0.501883 2.25481 34.3677 0.886039 5.4782 38.286 -1.03808 6.43919 40.2042 -2.47272 7.20774 42.3953 -4.05809 7.71895 28.1221 -1.1777 1.90807 29.284 -0.780442 2.88186 31.2207 -3.45895 3.42083 33.7907 -4.55658 3.36432 36.3659 -6.53781 2.79594 
27 3.37465e-07 -3.70593e-06 30.0477 2.18842 -0.11752 34.8608 4.00627 0.337894 36.5771 0.916125 -0.950475 35.4676 -0.819479 -1.27098 33.6307 -2.63374 -1.47356 29.963 1.66798 0.645189 34.8398 3.65302 2.29522 36.6995 -0.0155434 0.536392 35.2649 -2.00247 -0.0203488 32.3632 -3.02342 -0.12858 29.8783 1.14754 1.40789 34.8113 2.39117 4.13104 37.1277 -1.45569 2.35983 35.073 -3.22112 1.55532 32.442 -3.82673 0.908937 29.5717 0.499196 2.23661 34.4076 0.872793 5.4249 38.3221 -1.06479 6.37441 40.233 -2.50489 7.15105 42.4302 -4.08028 7.66621 28.1309 -1.17664 1.90348 29.3009 -0.777069 2.86667 31.2435 -3.45528 3.38553 33.8117 -4.55695 3.31816 36.3831 -6.54353 2.75385 
27 4.64665e-07 -5.21113e-06 30.0511 2.18274 -0.13476 34.8697 3.99116 0.301329 36.5753 0.897002 -0.990066 35.4498 -0.830432 -1.29543 33.5909 -2.62443 -1.47553 29.9693 1.66312 0.628817 34.8587 3.64023 2.25369 36.7008 -0.033763 0.488828 35.2451 -2.01004 -0.0507641 32.3329 -2.98826 -0.123651 29.8875 1.14349 1.39239 34.8372 2.37754 4.08904 37.1412 -1.47235 2.30738 35.0642 -3.21838 1.51781 32.4235 -3.79656 0.886069 29.5839 0.496427 2.22321 34.44 0.860873 5.38055 38.3535 -1.07688 6.33374 40.2595 -2.52544 7.10634 42.4595 -4.09769 7.61934 28.1383 -1.17705 1.8988 29.3169 -0.779643 2.85236 31.2638 -3.45742 3.35707 33.8384 -4.5447 3.29508 36.4316 -6.50959 2.75654 
27 -3.89559e-06 -9.47643e-07 30.0469 2.18695 -0.158975 34.8664 4.00061 0.246833 36.5683 0.903819 -1.04178 35.4362 -0.821547 -1.3344 33.5719 -2.6104 -1.50866 29.9711 1.66841 0.605954 34.8686 3.65671 2.19512 36.7015 -0.024435 0.436607 35.2335 -1.99854 -0.0841368 32.3136 -2.93411 -0.125548 29.8952 1.14988 1.37089 34.8599 2.39755 4.03341 37.152 -1.45794 2.24774 35.0552 -3.19486 1.49105 32.4097 -3.767 0.872716 29.5982 0.503674 2.20477 34.475 0.885799 5.32695 38.3836 -1.07 6.26344 40.2921 -2.50683 7.05081 42.4735 -4.09897 7.58155 28.153 -1.17241 1.89284 29.3366 -0.768813 2.83751 31.2921 -3.44082 3.33964 33.869 -4.52213 3.26789 36.4621 -6.48788 2.73226 
27 2.8824e-06 -3.57824e-07 30.0529 2.17665 -0.184324 34.8815 3.97439 0.183527 36.5674 0.868879 -1.10392 35.4231 -0.850372 -1.38514 33.5404 -2.62118 -1.54368 29.9808 1.65962 0.581987 34.897 3.63491 2.13214 36.7078 -0.0555571 0.371225 35.2291 -2.02494 -0.12971 32.2989 -2.90993 -0.109069 29.9087 1.14259 1.3483 34.8964 2.37861 3.97281 37.1689 -1.48509 2.17922 35.0459 -3.20268 1.45228 32.3937 -3.7622 0.848841 29.6155 0.498743 2.18535 34.5161 0.870374 5.27025 38.4228 -1.0915 6.20227 40.3246 -2.53131 6.99892 42.5078 -4.12013 7.53208 28.1626 -1.17309 1.88652 29.3543 -0.772517 2.82227 31.3144 -3.44062 3.32709 33.8936 -4.51571 3.23944 36.4869 -6.47496 2.68107 
27 -2.25231e-06 -3.98263e-06 30.0647 2.15649 -0.220541 34.9059 3.92821 0.110075 36.5687 0.812601 -1.18195 35.4087 -0.900283 -1.43767 33.5104 -2.65729 -1.55984 29.9955 1.64415 0.549174 34.9359 3.59617 2.05438 36.7101 -0.112871 0.296179 35.1994 -2.06095 -0.174934 32.2438 -2.84931 -0.162346 29.9263 1.13181 1.3189 34.9437 2.34422 3.89718 37.1872 -1.53351 2.09655 35.0474 -3.24263 1.39955 32.3815 -3.7829 0.837831 29.6358 0.494426 2.16181 34.5673 0.843379 5.19913 38.4666 -1.13472 6.1277 40.3668 -2.57121 6.93416 42.5328 -4.17298 7.49827 28.1702 -1.16992 1.88376 29.3728 -0.767837 2.80487 31.3292 -3.44001 3.30238 33.904 -4.52483 3.2001 36.4904 -6.49233 2.6367 
27 -2.50334e-07 -3.1072e-06 30.0721 2.14098 -0.264895 34.924 3.8932 0.0103775 36.5676 0.762198 -1.26794 35.3995 -0.94773 -1.50803 33.4999 -2.70424 -1.61364 30.0077 1.63481 0.509312 34.971 3.57611 1.95441 36.7292 -0.145709 0.207914 35.1848 -2.07139 -0.231681 32.2358 -2.9096 -0.148338 29.9432 1.12865 1.28352 34.9892 2.3381 3.80649 37.2064 -1.55715 2.01048 35.0408 -3.24986 1.35425 32.3557 -3.74469 0.841169 29.6577 0.498998 2.13388 34.6192 0.849793 5.12096 38.5057 -1.15205 6.05234 40.4008 -2.59139 6.86811 42.5745 -4.17508 7.45352 28.1822 -1.16082 1.8819 29.398 -0.768155 2.78963 31.351 -3.43815 3.31159 33.9274 -4.51652 3.18041 36.5134 -6.45691 2.52548 
27 -5.50266e-06 -6.35937e-06 30.0796 2.12713 -0.28819 34.9424 3.8533 -0.0368927 36.5669 0.707216 -1.30136 35.3883 -0.99857 -1.52104 33.4805 -2.74733 -1.60496 30.0164 1.62502 0.488753 34.9951 3.55124 1.90368 36.7219 -0.19323 0.17523 35.1842 -2.12887 -0.231039 32.2101 -2.88952 -0.107656 29.9531 1.12291 1.2657 35.0141 2.32411 3.76221 37.2113 -1.58909 1.98011 35.0385 -3.28133 1.34674 32.3359 -3.73452 0.886118 29.6686 0.498585 2.12031 34.6447 0.849234 5.08236 38.5161 -1.17242 6.03352 40.4069 -2.60604 6.87196 42.567 -4.19863 7.48343 28.1854 -1.15642 1.88263 29.4052 -0.754832 2.78098 31.3655 -3.41857 3.30768 33.9385 -4.5068 3.1902 36.5139 -6.48397 2.60333 
27 -6.14831e-07 -3.67642e-06 30.0837 2.11754 -0.314333 34.9511 3.83538 -0.0934195 36.5652 0.674851 -1.33399 35.3763 -1.02673 -1.53357 33.453 -2.75949 -1.59083 30.0221 1.62094 0.46628 35.0107 3.54698 1.84927 36.7254 -0.213712 0.144869 35.1592 -2.12983 -0.240163 32.1828 -2.88538 -0.0753191 29.9606 1.12435 1.2469 35.0335 2.33112 3.71591 37.2184 -1.60053 1.95907 35.0528 -3.30016 1.32094 32.3291 -3.71492 0.955648 29.6777 0.506626 2.10686 34.6659 0.86641 5.04672 38.5275 -1.16248 6.02185 40.3972 -2.60887 6.88791 42.5853 -4.14579 7.54097 28.1896 -1.14634 1.88612 29.4152 -0.750292 2.77903 31.3787 -3.4019 3.35306 33.95 -4.49222 3.21789 36.5132 -6.46292 2.55491 
27 5.74008e-08 -3.79067e-06 30.0948 2.09706 -0.340884 34.9719 3.79062 -0.143051 36.5823 0.618316 -1.35703 35.3812 -1.07742 -1.53685 33.4459 -2.79716 -1.57304 30.0315 1.60936 0.445177 35.0324 3.52297 1.80333 36.7331 -0.254844 0.123719 35.1492 -2.16198 -0.233821 32.167 -2.89878 -0.0364798 29.9681 1.12167 1.23124 35.0508 2.32429 3.68173 37.2388 -1.61459 1.94453 35.0561 -3.30091 1.32964 32.3285 -3.71954 0.994907 29.6829 0.514922 2.09821 34.677 0.876931 5.02702 38.5257 -1.16058 6.03487 40.3836 -2.6025 6.93434 42.5597 -4.1332 7.64042 28.1855 -1.13217 1.8972 29.4189 -0.73404 2.7784 31.3879 -3.37478 3.38298 33.961 -4.46089 3.247 36.508 -6.43159 2.51876 
