Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -5.01474e-07 3.75204e-07 30.037 2.15655 -0.466364 34.9494 3.75763 -0.158309 38.5748 2.74944 -0.258068 40.3429 1.66779 -0.491593 42.4779 0.203063 -0.608905 29.9244 1.81016 0.386327 34.8713 3.86831 1.69673 39.0229 2.20817 1.87936 40.879 0.513822 1.89701 43.3499 -1.31161 1.69804 29.8118 1.46378 1.23902 34.7753 3.03861 3.74992 39.3406 1.49295 4.06284 41.3457 -0.494703 3.92892 43.1628 -2.5625 3.52822 29.4755 1.00336 2.17501 34.1539 2.16038 5.37941 38.3069 0.568573 5.92558 40.3582 -0.879504 6.04693 42.5175 -2.583 6.12458 28.0594 -0.725645 2.15357 29.1418 -0.177844 3.14582 30.8236 -2.17274 5.24524 33.2169 -3.17902 6.28384 35.4728 -5.24819 7.53979 
27 1.76632e-06 1.69973e-06 30.0457 2.14475 -0.464279 34.9646 3.72389 -0.143236 38.5859 2.69734 -0.198013 40.3638 1.62689 -0.40897 42.528 0.202923 -0.498521 29.93 1.80056 0.388887 34.8831 3.83983 1.70767 39.0345 2.18229 1.91731 40.9067 0.506139 1.95673 43.4143 -1.27165 1.79346 29.8143 1.45636 1.24205 34.7789 3.01547 3.76113 39.3489 1.48737 4.09337 41.3849 -0.4708 3.98334 43.2683 -2.47974 3.5909 29.4744 0.999109 2.17827 34.1495 2.14719 5.39013 38.3103 0.560295 5.89347 40.3573 -0.895852 5.98793 42.5359 -2.57574 6.04454 28.0521 -0.724889 2.15738 29.1319 -0.179898 3.15405 30.7864 -2.15706 5.2916 33.1798 -3.15401 6.33918 35.4544 -5.19844 7.60233 
27 7.65221e-07 -2.45724e-06 30.0485 2.14338 -0.452207 34.9681 3.71669 -0.110331 38.5828 2.66547 -0.120065 40.3748 1.61499 -0.309479 42.5622 0.224643 -0.369508 29.9295 1.79888 0.400386 34.8811 3.83171 1.73713 39.0347 2.18497 1.97218 40.9289 0.534084 2.03061 43.4863 -1.17427 1.90215 29.8105 1.45438 1.25297 34.7679 3.00809 3.78996 39.3409 1.49655 4.1419 41.4055 -0.432301 4.03201 43.3571 -2.37847 3.65865 29.4669 0.996917 2.18775 34.1317 2.14197 5.41512 38.299 0.56781 5.90755 40.3511 -0.883783 5.94866 42.5399 -2.55095 6.00416 28.0438 -0.726343 2.16091 29.1176 -0.182949 3.16497 30.7527 -2.13899 5.33656 33.1447 -3.12447 6.39802 35.4268 -5.15202 7.67531 
27 2.32365e-06 -2.00195e-06 30.0519 2.14308 -0.430299 34.9727 3.70735 -0.0612914 38.59 2.66609 -0.0247721 40.3914 1.63104 -0.203149 42.5787 0.239488 -0.258303 29.9294 1.79452 0.420147 34.8795 3.81336 1.78588 39.0393 2.18764 2.04661 40.9612 0.569255 2.10816 43.5506 -1.09322 2.01439 29.8069 1.44597 1.27059 34.7571 2.98054 3.83361 39.3365 1.49148 4.19931 41.4285 -0.408308 4.0844 43.4396 -2.29477 3.72199 29.4594 0.984215 2.20183 34.1127 2.10878 5.45261 38.2879 0.545968 5.91529 40.3544 -0.885617 5.93153 42.5397 -2.55859 5.96053 28.0351 -0.73773 2.16124 29.1041 -0.20297 3.17495 30.7204 -2.15524 5.36399 33.1081 -3.13747 6.43808 35.394 -5.15649 7.72227 
27 5.42715e-06 -8.35369e-07 30.0499 2.15017 -0.408513 34.9682 3.71576 -0.0097066 38.5904 2.69317 0.0571592 40.409 1.68435 -0.0991513 42.6191 0.32789 -0.120756 29.9256 1.79606 0.439377 34.8704 3.811 1.83259 39.0435 2.22179 2.09838 40.9834 0.625571 2.17357 43.6138 -0.972682 2.10047 29.8014 1.44196 1.28727 34.7422 2.96605 3.87466 39.3277 1.49778 4.24859 41.4473 -0.372122 4.12898 43.4958 -2.21874 3.77216 29.4521 0.973836 2.21463 34.0961 2.08549 5.48266 38.2783 0.54013 5.94122 40.351 -0.882323 5.91452 42.5591 -2.52597 5.92691 28.0304 -0.749874 2.15932 29.0937 -0.219833 3.18142 30.6957 -2.17434 5.37896 33.0718 -3.17275 6.46378 35.3243 -5.2346 7.73919 
27 1.06491e-06 -8.14847e-07 30.0487 2.15754 -0.377164 34.9636 3.72738 0.0495957 38.5869 2.71289 0.163671 40.4218 1.73139 0.0210248 42.6578 0.417327 0.0092813 29.9209 1.79662 0.467324 34.8574 3.8075 1.89782 39.0367 2.23398 2.18422 40.9963 0.662796 2.26848 43.6497 -0.89771 2.20893 29.7932 1.4357 1.31182 34.7206 2.94617 3.93285 39.311 1.49769 4.32211 41.4503 -0.350166 4.19941 43.5419 -2.14717 3.84 29.4402 0.959815 2.2338 34.0648 2.05145 5.53554 38.255 0.519665 5.9662 40.3423 -0.881218 5.9362 42.5537 -2.52135 5.93732 28.0212 -0.765386 2.15823 29.0771 -0.24341 3.19211 30.6652 -2.20101 5.39699 33.03 -3.21107 6.49537 35.2592 -5.30131 7.76566 
27 -4.47894e-06 -3.35486e-06 30.0453 2.16658 -0.351881 34.956 3.7399 0.111761 38.5809 2.73465 0.251222 40.4245 1.76632 0.132498 42.6677 0.464118 0.149989 29.9145 1.80096 0.49012 34.8416 3.81117 1.95624 39.0314 2.26749 2.25245 40.998 0.706557 2.34455 43.6718 -0.819437 2.31169 29.7837 1.43535 1.33213 34.6948 2.94203 3.98598 39.288 1.50291 4.37545 41.4406 -0.327085 4.2506 43.5608 -2.09064 3.89447 29.4276 0.953839 2.24999 34.0342 2.03974 5.57831 38.2318 0.523237 5.99001 40.3263 -0.866563 5.944 42.5571 -2.48084 5.94489 28.0131 -0.77425 2.1589 29.0635 -0.258007 3.20123 30.6393 -2.22707 5.40475 33.0063 -3.23465 6.50063 35.2528 -5.31846 7.75076 
27 -3.25554e-07 -2.12069e-06 30.0443 2.17221 -0.325194 34.9498 3.75246 0.171384 38.5697 2.73557 0.351793 40.4174 1.77339 0.252822 42.6677 0.483428 0.293885 29.9084 1.80398 0.514861 34.8238 3.8174 2.01778 39.0147 2.27935 2.32777 40.995 0.7361 2.43233 43.6795 -0.771191 2.41395 29.7725 1.43573 1.35491 34.6645 2.94197 4.04413 39.2613 1.51646 4.44209 41.4228 -0.299983 4.32248 43.5613 -2.04018 3.96197 29.411 0.951051 2.26898 33.9945 2.03221 5.63027 38.2016 0.547537 6.05769 40.3042 -0.828492 5.9766 42.5413 -2.43458 6.00054 27.9998 -0.778914 2.16343 29.0426 -0.266945 3.21544 30.6043 -2.23827 5.42693 32.9715 -3.24624 6.52283 35.2301 -5.3382 7.73695 
27 -4.15784e-06 -1.53535e-06 30.0411 2.17789 -0.31655 34.942 3.7645 0.207736 38.5592 2.74564 0.425814 40.4117 1.78923 0.360001 42.6755 0.525134 0.447137 29.902 1.81164 0.523842 34.8066 3.83762 2.04769 38.9982 2.30662 2.38256 40.9915 0.780298 2.49672 43.6835 -0.713662 2.50274 29.7629 1.4454 1.36424 34.6375 2.96934 4.0749 39.2379 1.55736 4.49075 41.4135 -0.240043 4.38314 43.5614 -1.96952 4.02774 29.398 0.962419 2.27788 33.9627 2.06702 5.65684 38.1741 0.593801 6.07795 40.2887 -0.765004 6.02144 42.5522 -2.3344 6.03631 27.9911 -0.770876 2.1703 29.0297 -0.253353 3.2237 30.5841 -2.21823 5.44604 32.9559 -3.21142 6.54622 35.2388 -5.27799 7.75827 
27 1.13002e-06 -2.82276e-06 30.0365 2.18498 -0.312211 34.9316 3.78609 0.223972 38.5413 2.74837 0.475879 40.3988 1.801 0.426149 42.6726 0.555938 0.529979 29.8957 1.82032 0.528597 34.791 3.86351 2.06198 38.9836 2.33866 2.41242 40.9801 0.817455 2.53787 43.6764 -0.668172 2.57621 29.7549 1.45566 1.36941 34.6169 2.99856 4.0919 39.221 1.60228 4.51629 41.4059 -0.182786 4.4156 43.5556 -1.91429 4.08225 29.3885 0.97385 2.28303 33.9409 2.09794 5.67186 38.1635 0.660119 6.09913 40.2813 -0.693761 6.0426 42.5691 -2.22768 6.06769 27.9863 -0.763302 2.17513 29.0207 -0.244515 3.23211 30.5734 -2.1912 5.47163 32.95 -3.17802 6.56695 35.244 -5.25628 7.73714 
