Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -2.61822e-07 1.11124e-06 29.36 2.82534 0.734501 33.4373 5.38272 2.65306 36.8433 6.55179 3.74973 38.8398 6.72563 4.3279 41.3858 6.70686 4.8105 29.1288 2.30249 1.46451 32.9137 5.10153 4.3652 36.7401 6.32994 6.33375 39.0926 6.0578 7.17484 41.9314 5.00469 7.72925 28.8976 1.77962 2.19452 32.5144 3.87503 6.18065 36.5362 5.3746 8.39371 39.1978 4.88703 9.20861 41.2111 2.97969 9.01921 28.468 1.0819 2.92235 31.8188 2.61604 7.41808 35.4016 4.2604 9.52522 37.7292 4.49686 10.4479 40.3442 3.81769 10.9753 27.6233 -0.87975 2.26368 28.1319 -0.301186 3.62854 29.488 -2.58401 5.66951 31.263 -3.82427 7.4387 32.2784 -6.21162 9.48962 
27 -1.6804e-06 -1.3021e-06 29.3356 2.83502 0.774174 33.3817 5.40562 2.74056 36.7696 6.57923 3.88722 38.7592 6.7587 4.4871 41.3 6.75048 4.99654 29.1036 2.30405 1.49806 32.8491 5.10423 4.44833 36.6567 6.33936 6.44895 39.0065 6.08049 7.30163 41.8466 5.0338 7.86199 28.8716 1.77308 2.22194 32.4483 3.85699 6.25007 36.4495 5.37057 8.49084 39.1085 4.89194 9.31945 41.1151 2.97973 9.10991 28.4425 1.06589 2.94086 31.7543 2.58075 7.47188 35.3165 4.23916 9.60288 37.6383 4.48914 10.5364 40.254 3.82477 11.079 27.6157 -0.89562 2.25955 28.1117 -0.32734 3.63331 29.4638 -2.62135 5.66434 31.2017 -3.87668 7.45956 32.1554 -6.2541 9.55124 
27 -3.09897e-06 -3.71545e-06 29.3126 2.8443 0.808453 33.3296 5.42833 2.81633 36.7009 6.60541 4.00767 38.6842 6.79011 4.62651 41.2199 6.78861 5.16096 29.0805 2.30607 1.52692 32.7903 5.10859 4.51983 36.5817 6.35002 6.54702 38.9295 6.1022 7.40869 41.7717 5.06276 7.97127 28.8484 1.76785 2.2454 32.3899 3.84254 6.30928 36.3724 5.36729 8.57562 39.0303 4.89873 9.41323 41.0281 2.97899 9.18855 28.4204 1.05215 2.95652 31.6991 2.55099 7.51684 35.2433 4.22444 9.66604 37.5598 4.48726 10.6091 40.1774 3.8389 11.1617 27.6102 -0.909373 2.25553 28.0953 -0.350258 3.63697 29.4446 -2.65248 5.66055 31.1463 -3.92602 7.47748 32.0387 -6.29617 9.60415 
27 -3.51919e-07 -3.33025e-06 29.2835 2.86323 0.824152 33.267 5.48078 2.85524 36.6211 6.6686 4.08393 38.5985 6.86052 4.71906 41.129 6.85295 5.2775 29.0537 2.32112 1.54042 32.7246 5.15119 4.55513 36.5009 6.41153 6.59882 38.8479 6.17446 7.4656 41.6935 5.14242 8.02517 28.8238 1.77901 2.25669 32.3304 3.87518 6.33974 36.2945 5.42325 8.62248 38.9541 4.96743 9.46181 40.9409 3.03667 9.23438 28.3997 1.05766 2.96442 31.6489 2.57389 7.54008 35.172 4.28284 9.69598 37.4829 4.5575 10.6494 40.106 3.92804 11.198 27.61 -0.909407 2.25556 28.084 -0.349892 3.64069 29.4404 -2.64363 5.66913 31.1208 -3.92928 7.49732 31.9796 -6.28984 9.64837 
27 2.39514e-06 -2.29511e-06 29.2563 2.88089 0.837338 33.2075 5.53034 2.89021 36.5456 6.72428 4.15577 38.5176 6.9191 4.80689 41.0428 6.89424 5.38837 29.0281 2.33589 1.55193 32.6616 5.19338 4.58616 36.4234 6.46866 6.64723 38.7691 6.23713 7.51891 41.6157 5.20686 8.07621 28.7999 1.79089 2.26651 32.2719 3.9099 6.36724 36.2192 5.47855 8.66494 38.8802 5.02952 9.50357 40.8522 3.08373 9.27458 28.3789 1.06505 2.97153 31.5985 2.60072 7.56163 35.0993 4.34353 9.72674 37.4048 4.62103 10.6922 40.0335 4.00413 11.228 27.6084 -0.907493 2.25676 28.0709 -0.345995 3.64495 29.4322 -2.62944 5.68178 31.0992 -3.91749 7.52047 31.9378 -6.25974 9.69933 
27 1.80829e-06 -4.85983e-07 29.2333 2.89623 0.846125 33.1562 5.57431 2.91603 36.4806 6.77121 4.21435 38.4476 6.96584 4.88036 40.9675 6.92704 5.48381 29.006 2.34971 1.55983 32.6063 5.23311 4.609 36.3557 6.5223 6.68393 38.7003 6.29403 7.55951 41.5469 5.26319 8.11585 28.7786 1.80319 2.27354 32.2193 3.94563 6.38847 36.1528 5.5323 8.69757 38.8145 5.08808 9.53644 40.7729 3.12926 9.30233 28.3598 1.07453 2.97692 31.5519 2.6314 7.57905 35.0313 4.40331 9.75493 37.3328 4.68062 10.7301 39.9671 4.07352 11.2492 27.6056 -0.903244 2.25922 28.0574 -0.338107 3.64947 29.4197 -2.61115 5.69721 31.0796 -3.88358 7.55313 31.9059 -6.18906 9.77547 
27 1.22144e-06 1.48397e-06 29.2151 2.90862 0.851421 33.1149 5.61053 2.93384 36.4286 6.80608 4.26068 38.3915 6.99701 4.93978 40.9066 6.94656 5.56195 28.9881 2.36156 1.56481 32.5612 5.26734 4.62471 36.3012 6.56781 6.70953 38.6451 6.33972 7.58709 41.4904 5.3048 8.14273 28.761 1.8145 2.2782 32.1753 3.97834 6.4039 36.099 5.57841 8.72052 38.7609 5.13604 9.55956 40.7061 3.16528 9.31594 28.3435 1.0843 2.98076 31.5121 2.66121 7.59228 34.9724 4.45675 9.77932 37.2717 4.73066 10.7606 39.9119 4.13063 11.2577 27.6023 -0.898035 2.2622 28.0445 -0.328465 3.65369 29.4049 -2.59208 5.71309 31.0605 -3.83859 7.59034 31.8782 -6.09518 9.86544 
27 2.9174e-06 3.24281e-06 29.2053 2.91543 0.853696 33.0907 5.63156 2.94455 36.3975 6.81826 4.29615 38.3571 6.99984 4.98719 40.8677 6.93952 5.62653 28.9773 2.36901 1.56726 32.5326 5.28911 4.63428 36.2671 6.5951 6.72551 38.6104 6.36225 7.60347 41.4517 5.31727 8.16051 28.7492 1.82259 2.28084 32.1445 4.00143 6.41431 36.0642 5.60665 8.73412 38.7244 5.16047 9.57659 40.6536 3.17534 9.3221 28.3312 1.09255 2.98327 31.4818 2.68424 7.60204 34.9268 4.49546 9.80033 37.2263 4.76256 10.783 39.8736 4.16875 11.2486 27.5971 -0.892779 2.26564 28.0315 -0.318679 3.65774 29.3853 -2.5756 5.72881 31.0959 -3.69426 7.6371 31.9978 -5.80787 10.0153 
27 4.61336e-06 4.19089e-06 29.1976 2.92161 0.852344 33.0739 5.6501 2.94406 36.3776 6.8277 4.31118 38.3356 6.99976 5.00919 40.8431 6.92957 5.65941 28.97 2.37564 1.56639 32.5145 5.30815 4.63406 36.2483 6.61869 6.72378 38.5927 6.38082 7.59745 41.4306 5.32528 8.15155 28.7424 1.82967 2.28043 32.1273 4.02175 6.4154 36.0488 5.6314 8.72895 38.708 5.18144 9.57274 40.6211 3.18256 9.3048 28.3252 1.09961 2.98335 31.4671 2.70444 7.60354 34.9027 4.52866 9.80572 37.2049 4.78973 10.7834 39.857 4.19734 11.2228 27.5965 -0.888348 2.26755 28.026 -0.31027 3.65952 29.3749 -2.56344 5.73788 31.1158 -3.55882 7.6865 32.0665 -5.5228 10.1716 
27 1.04533e-06 3.5545e-07 29.1843 2.93418 0.843282 33.0525 5.68514 2.92043 36.3566 6.86439 4.28521 38.316 7.03469 4.97984 40.8242 6.96137 5.62698 28.9619 2.3875 1.55844 32.4998 5.34129 4.61334 36.239 6.66624 6.68424 38.5887 6.43131 7.54411 41.4288 5.37368 8.08353 28.7396 1.84082 2.27359 32.1245 4.05449 6.39699 36.0538 5.6792 8.68676 38.7164 5.23351 9.52208 40.619 3.22785 9.23146 28.3286 1.10903 2.97835 31.4756 2.73457 7.5878 34.909 4.57812 9.77731 37.2176 4.84386 10.7386 39.8737 4.2556 11.1589 27.6085 -0.883411 2.26629 28.0378 -0.30123 3.6566 29.363 -2.60331 5.69623 30.9694 -3.69153 7.70972 31.7177 -5.70187 10.2268 
