Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 2.5084e-07 3.83054e-06 29.9423 -2.2177 -0.71859 34.6207 -4.43775 -0.891386 34.6689 -4.58473 2.86977 33.7567 -3.20508 4.14062 32.4076 -1.00589 4.38275 30.1433 -1.32117 -0.593649 35.4713 -2.731 -1.0386 37.3765 -3.70141 2.89255 36.1975 -2.86127 4.94684 33.861 -0.958273 5.57505 30.3442 -0.42465 -0.468709 36.1141 -0.679216 -0.400409 40.0938 -1.84443 2.0747 40.9593 -2.16043 4.7462 39.2054 -1.52235 6.80624 30.363 0.663559 -0.339928 36.1351 1.2692 -0.0101435 40.3442 1.30192 1.49424 41.9842 1.24286 3.3999 42.0715 0.816607 6.11804 28.6866 1.72089 0.693165 30.0364 2.33837 0.189928 32.242 4.84586 0.441459 34.7031 6.10899 0.849724 37.0386 8.44925 0.777454 
27 3.12994e-06 3.82676e-06 29.943 -2.23075 -0.673883 34.616 -4.46601 -0.783018 34.6023 -4.58669 2.97935 33.6821 -3.1783 4.21232 32.3272 -0.979132 4.41972 30.1454 -1.3342 -0.551537 35.4737 -2.76234 -0.931089 37.3096 -3.71042 3.03829 36.0927 -2.84605 5.06015 33.7561 -0.920292 5.6145 30.3479 -0.437648 -0.429192 36.1158 -0.70945 -0.295911 40.0582 -1.8788 2.23633 40.8716 -2.17914 4.92595 39.0698 -1.50455 6.93236 30.3687 0.651177 -0.306066 36.1387 1.24085 0.0836182 40.3307 1.27737 1.63498 41.946 1.22706 3.56189 41.9741 0.810628 6.28281 28.6843 1.71933 0.702619 30.0409 2.33064 0.210481 32.2454 4.83763 0.47717 34.6998 6.10797 0.902587 37.0233 8.46009 0.82745 
27 6.00905e-06 3.80032e-06 29.9423 -2.24336 -0.633898 34.609 -4.49399 -0.685062 34.5388 -4.59477 3.07726 33.6072 -3.16145 4.27237 32.2565 -0.957803 4.45908 30.1465 -1.34698 -0.513184 35.4737 -2.79366 -0.832681 37.2431 -3.72468 3.17078 35.9901 -2.83838 5.16088 33.6547 -0.893886 5.651 30.3506 -0.450602 -0.392471 36.116 -0.740583 -0.198564 40.0217 -1.91684 2.38666 40.7855 -2.20538 5.09208 38.9419 -1.49729 7.04831 30.3738 0.638655 -0.27367 36.1415 1.21099 0.172641 40.317 1.24714 1.76787 41.9071 1.20203 3.71575 41.8824 0.79032 6.43743 28.6827 1.71664 0.712961 30.0459 2.32196 0.231766 32.2499 4.8275 0.515471 34.6985 6.10287 0.95905 37.0123 8.46462 0.885572 
27 2.29395e-06 1.12632e-06 29.9413 -2.25539 -0.594544 34.6007 -4.52154 -0.586711 34.4735 -4.60928 3.17444 33.5243 -3.15466 4.3293 32.1879 -0.941947 4.51117 30.1473 -1.35941 -0.473901 35.4728 -2.82484 -0.730477 37.1722 -3.74528 3.30564 35.882 -2.8399 5.26312 33.549 -0.877904 5.69126 30.3533 -0.463432 -0.353255 36.115 -0.772649 -0.093802 39.9811 -1.95948 2.5457 40.6937 -2.24089 5.26578 38.8108 -1.50281 7.17285 30.379 0.626054 -0.237084 36.1433 1.17952 0.272133 40.3001 1.21069 1.91546 41.8617 1.16676 3.88626 41.786 0.754338 6.60687 28.6806 1.71263 0.727445 30.0509 2.31231 0.259431 32.2545 4.81539 0.566255 34.6973 6.09361 1.03329 37.0035 8.46304 0.970213 
27 -2.37701e-06 -1.72443e-06 29.9409 -2.26569 -0.556104 34.593 -4.54586 -0.489571 34.4095 -4.62361 3.26947 33.4438 -3.15551 4.3931 32.1257 -0.932224 4.58001 30.1483 -1.37016 -0.434584 35.4719 -2.85211 -0.627209 37.1022 -3.76586 3.43884 35.7757 -2.84477 5.36451 33.4457 -0.867636 5.73475 30.3557 -0.474628 -0.313057 36.113 -0.801279 0.0142432 39.9391 -1.99913 2.70654 40.6027 -2.27592 5.43945 38.6829 -1.51316 7.29936 30.3835 0.614973 -0.198453 36.1432 1.15139 0.376778 40.2802 1.17632 2.06951 41.8127 1.13208 4.06301 41.688 0.715962 6.78125 28.6774 1.70859 0.744205 30.0546 2.30349 0.290648 32.257 4.80433 0.623518 34.6935 6.08446 1.11692 36.9938 8.46008 1.0702 
27 -3.49218e-06 -1.9571e-06 29.9436 -2.27195 -0.514967 34.59 -4.56101 -0.385046 34.3475 -4.62753 3.37087 33.3665 -3.15699 4.47808 32.0902 -0.908482 4.65229 30.1511 -1.37665 -0.391936 35.474 -2.86838 -0.514208 37.0367 -3.77649 3.57956 35.6743 -2.84504 5.47491 33.3462 -0.857625 5.79974 30.3586 -0.48134 -0.268895 36.1105 -0.818369 0.133589 39.8966 -2.02289 2.87884 40.5152 -2.29529 5.62277 38.5579 -1.51731 7.43688 30.3869 0.608358 -0.155362 36.1397 1.13518 0.493612 40.2548 1.1575 2.23896 41.7589 1.11423 4.254 41.5849 0.692799 6.96871 28.6708 1.70642 0.763666 30.0546 2.29848 0.32677 32.2525 4.79934 0.68821 34.6812 6.08234 1.21185 36.976 8.46356 1.18823 
27 -3.65149e-06 -1.99034e-06 29.9454 -2.27752 -0.478722 34.5856 -4.57512 -0.292426 34.2898 -4.63103 3.45984 33.2955 -3.16002 4.55444 32.072 -0.88065 4.70538 30.153 -1.3825 -0.353881 35.4744 -2.8834 -0.41292 36.9766 -3.78931 3.70392 35.5832 -2.84944 5.57236 33.259 -0.852468 5.86456 30.3606 -0.48748 -0.229031 36.1068 -0.834429 0.241569 39.8573 -2.04667 3.03193 40.4375 -2.31631 5.7845 38.4463 -1.52689 7.5563 30.3896 0.602248 -0.115931 36.1352 1.11983 0.600283 40.2304 1.13833 2.39196 41.7096 1.09466 4.42538 41.4912 0.667696 7.13603 28.6648 1.704 0.78208 30.0543 2.29374 0.360715 32.248 4.79428 0.748999 34.6697 6.07886 1.30079 36.9607 8.46382 1.30021 
27 -1.04966e-06 -1.87008e-06 29.9423 -2.28617 -0.455903 34.5742 -4.59752 -0.233761 34.2407 -4.64369 3.51548 33.2418 -3.16975 4.60186 32.0552 -0.869989 4.73714 30.1516 -1.39174 -0.329575 35.469 -2.90783 -0.348127 36.9265 -3.81633 3.78416 35.5131 -2.86644 5.63242 33.1967 -0.857292 5.90262 30.3608 -0.497313 -0.203241 36.1022 -0.860977 0.31165 39.827 -2.08716 3.13026 40.3803 -2.35614 5.8884 38.3631 -1.55362 7.62443 30.3921 0.592341 -0.0900467 36.1336 1.09368 0.670039 40.216 1.10236 2.49066 41.6781 1.05518 4.53628 41.4268 0.625256 7.24359 28.6637 1.69925 0.794613 30.0578 2.28554 0.383504 32.2519 4.78267 0.790863 34.6704 6.06506 1.36133 36.9614 8.45001 1.37546 
27 2.68187e-06 -1.02826e-06 29.9378 -2.29504 -0.440123 34.561 -4.62107 -0.192323 34.197 -4.6589 3.55417 33.1979 -3.18086 4.63478 32.0337 -0.869026 4.75903 30.1491 -1.40135 -0.312012 35.4619 -2.93365 -0.300861 36.8821 -3.8483 3.84305 35.4545 -2.88808 5.67501 33.1476 -0.86593 5.9285 30.3604 -0.507651 -0.183901 36.0975 -0.88952 0.364611 39.8011 -2.13289 3.20352 40.3329 -2.40307 5.96577 38.292 -1.58774 7.66778 30.3944 0.581831 -0.0698435 36.1328 1.06516 0.724075 40.2058 1.0617 2.56579 41.6543 1.00873 4.62096 41.3748 0.576876 7.3252 28.6643 1.69358 0.805391 30.0621 2.2767 0.402524 32.2582 4.76932 0.826633 34.6751 6.04792 1.41201 36.9676 8.43132 1.43799 
27 4.59882e-06 3.19319e-06 29.9341 -2.30206 -0.428249 34.5497 -4.64068 -0.159819 34.1552 -4.67058 3.58365 33.1581 -3.18747 4.65916 31.9959 -0.874442 4.77995 30.147 -1.40914 -0.297533 35.4557 -2.95515 -0.26113 36.8398 -3.87959 3.89282 35.4012 -2.90851 5.71034 33.1034 -0.873808 5.94631 30.36 -0.51622 -0.166816 36.093 -0.914156 0.411908 39.7776 -2.17665 3.26702 40.2885 -2.44982 6.03292 38.2223 -1.62249 7.69827 30.3963 0.572982 -0.0507692 36.1316 1.03994 0.774435 40.1963 1.02478 2.63418 41.6314 0.962997 4.69852 41.3244 0.526998 7.39911 28.6644 1.68785 0.817061 30.0652 2.2694 0.422357 32.2629 4.75751 0.864328 34.6784 6.03214 1.46384 36.9723 8.41408 1.50114 
