Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -2.705e-06 -7.1203e-06 27.7892 3.22283 -1.75569 29.3333 8.08201 -2.67726 30.1841 11.4766 -4.06409 31.1793 13.2931 -4.31017 32.0417 15.1353 -5.91565 27.6034 3.30008 -0.850537 28.6048 8.72566 -1.21657 30.5172 12.7294 -0.634469 32.2009 14.4862 -0.00626336 32.7976 17.3721 -0.895668 27.4177 3.37734 0.0546138 28.3444 8.99638 1.0182 31.3453 12.557 2.29848 33.8644 13.3528 3.30183 36.4832 14.0987 3.86041 27.1259 3.26034 1.1045 27.9472 8.72119 2.92044 31.4704 11.2719 3.95065 33.7576 10.2815 4.28621 35.9675 8.70995 3.81287 27.3175 1.28382 2.13019 27.3588 2.70764 2.78389 29.9349 3.62348 4.71799 32.0789 5.31885 5.30783 34.9761 6.82702 5.82605 
27 1.44033e-07 -5.38085e-06 27.924 3.12887 -1.85696 29.6985 7.87663 -2.9318 30.6091 11.1704 -4.5104 31.6122 12.9532 -4.91768 32.5678 14.7751 -6.49339 27.7602 3.23969 -0.95105 29.0514 8.59045 -1.47654 30.9479 12.6299 -1.14279 32.6091 14.4542 -0.665093 33.7566 17.1723 -1.54298 27.5965 3.35052 -0.0451451 28.8648 8.9293 0.748407 31.8064 12.6057 1.82199 34.2981 13.5807 2.73116 36.8906 14.4577 3.21812 27.3194 3.27691 1.01264 28.4817 8.72868 2.66198 32.0757 11.2088 3.61759 34.3921 10.2655 3.88017 36.8093 9.04035 3.39664 27.4262 1.32064 2.08828 27.5428 2.75244 2.7149 30.1603 3.57588 4.63487 32.3964 5.15055 5.21732 35.3726 6.47845 5.77916 
27 2.80497e-06 -3.6414e-06 28.051 3.03345 -1.94558 30.0466 7.65901 -3.15685 31.0109 10.8392 -4.92512 32.0124 12.578 -5.49457 33.0596 14.4407 -6.9605 27.9107 3.17296 -1.03971 29.4817 8.43229 -1.70691 31.3397 12.5029 -1.64924 32.9481 14.4106 -1.34948 34.5967 16.9336 -1.97553 27.7704 3.31247 -0.133846 29.3719 8.8249 0.505929 32.2075 12.6472 1.32517 34.6398 13.8653 2.09064 37.1825 14.9252 2.46293 27.51 3.27722 0.930162 29.0129 8.68967 2.42681 32.6117 11.1919 3.30299 34.9989 10.4332 3.52789 37.5715 9.58056 3.04619 27.5347 1.34253 2.04898 27.7239 2.77528 2.65543 30.3622 3.50304 4.58552 32.6749 4.94813 5.20359 35.7066 6.08164 5.88261 
27 2.51935e-08 -7.82645e-06 28.1756 2.95724 -1.9911 30.3804 7.46795 -3.27094 31.3688 10.5403 -5.20898 32.3554 12.2356 -5.91837 33.5172 14.1848 -7.1699 28.0544 3.11272 -1.08507 29.8876 8.27694 -1.82249 31.6516 12.3832 -2.05111 33.175 14.3793 -1.94672 35.1234 16.7612 -1.87182 27.9331 3.26819 -0.179049 29.8432 8.69052 0.378583 32.4829 12.7021 0.889137 34.7683 14.2664 1.45108 37.1811 15.6345 1.6354 27.6854 3.25674 0.888485 29.5217 8.58922 2.2977 32.9373 11.3586 3.1007 35.3954 10.9165 3.39586 37.9477 10.0432 2.84759 27.6281 1.3346 2.02755 27.8767 2.758 2.63453 30.4855 3.40883 4.63116 32.8511 4.71187 5.35569 35.9114 5.59889 6.24135 
27 -3.12224e-06 -1.20115e-05 28.2996 2.89241 -2.00918 30.7072 7.29075 -3.3143 31.7123 10.2903 -5.35585 32.6751 11.9518 -6.17019 33.9351 13.9775 -7.18196 28.1942 3.05556 -1.10253 30.2778 8.12012 -1.86584 31.9489 12.2453 -2.33006 33.3684 14.3166 -2.43317 35.3902 16.47 -1.56671 28.0888 3.2187 -0.195869 30.2876 8.53421 0.325481 32.6903 12.7169 0.557661 34.7645 14.6036 0.909303 36.9818 16.2801 0.905335 27.8504 3.2216 0.873851 30.0045 8.44632 2.236 33.1354 11.5463 2.98976 35.6142 11.6008 3.41084 38.1371 10.6469 2.86075 27.7103 1.30699 2.0184 28.0124 2.71487 2.63718 30.5748 3.2924 4.71469 32.9696 4.45421 5.57155 36.0117 5.09417 6.69978 
27 -3.36734e-06 -2.58851e-06 28.4276 2.83121 -2.00946 31.0431 7.11031 -3.3109 32.0677 10.0917 -5.36865 32.9916 11.7301 -6.27019 34.3217 13.7748 -7.14493 28.3371 2.99616 -1.10152 30.6722 7.94945 -1.86679 32.3048 12.076 -2.44317 33.5924 14.2037 -2.80502 35.4852 16.0757 -1.25971 28.2465 3.16112 -0.19359 30.7291 8.35094 0.31934 32.9106 12.6588 0.393737 34.7877 14.7626 0.584246 36.811 16.6654 0.471629 28.0163 3.17207 0.877869 30.482 8.26443 2.21251 33.2815 11.6644 2.97645 35.585 12.4766 3.57534 38.1459 11.516 3.26447 27.7892 1.26274 2.01727 28.1466 2.64997 2.65296 30.6722 3.14828 4.79506 33.0806 4.18277 5.76906 36.0629 4.62637 7.12766 
27 -3.61244e-06 6.83447e-06 28.5344 2.78258 -1.99863 31.3193 6.95928 -3.28108 32.3649 9.93101 -5.34162 33.256 11.5567 -6.29739 34.6102 13.6011 -7.13526 28.454 2.94568 -1.08941 30.9916 7.80056 -1.84075 32.6407 11.9135 -2.46523 33.8467 14.0504 -3.00871 35.5621 15.7902 -1.13638 28.3736 3.10879 -0.180184 31.0768 8.18616 0.343188 33.0779 12.5813 0.323119 34.782 14.834 0.409205 36.6263 16.906 0.230043 28.148 3.12274 0.892221 30.8562 8.09278 2.21806 33.3362 11.7275 3.00498 35.269 13.1773 3.7026 37.9104 12.4039 3.65476 27.8475 1.2175 2.02143 28.2486 2.58532 2.67294 30.741 3.00738 4.8696 33.1484 3.93511 5.94801 36.0473 4.22664 7.51262 
27 -4.81697e-06 2.45116e-06 28.5885 2.75627 -1.99284 31.4548 6.88052 -3.26574 32.5248 9.82936 -5.34648 33.4186 11.4591 -6.29251 34.7356 13.4863 -7.22595 28.5103 2.91947 -1.08345 31.142 7.72484 -1.82904 32.837 11.8128 -2.48975 34.0581 13.9297 -3.07623 35.7666 15.6932 -1.21982 28.4321 3.08266 -0.174049 31.2308 8.10744 0.35449 33.1713 12.5287 0.257842 34.7782 14.8528 0.305843 36.5009 17.0224 0.078524 28.2057 3.09922 0.898157 31.0161 8.01361 2.21867 33.3205 11.764 2.99625 35.0294 13.4961 3.63228 37.7177 13.6186 4.2113 27.8682 1.19825 2.02413 28.2867 2.5586 2.68032 30.7552 2.93881 4.91143 33.1479 3.81568 6.06257 35.9685 4.03568 7.77416 
27 -6.22151e-06 -1.93215e-06 28.6155 2.75231 -1.97656 31.5196 6.85793 -3.2238 32.6095 9.79912 -5.30505 33.5117 11.4373 -6.22806 34.7879 13.453 -7.23966 28.5366 2.91195 -1.06659 31.21 7.69793 -1.78819 32.9297 11.7749 -2.45017 34.1614 13.8843 -3.04099 35.841 15.6874 -1.1962 28.4577 3.07158 -0.156627 31.2969 8.07076 0.398225 33.2142 12.5011 0.266293 34.7561 14.8691 0.302515 36.3874 17.106 0.0531145 28.229 3.08505 0.915141 31.0814 7.9698 2.25543 33.2684 11.7903 3.03107 34.8331 13.6693 3.61888 37.1674 14.747 4.60226 27.8735 1.18175 2.03156 28.2972 2.53714 2.69466 30.7492 2.89289 4.94776 33.1234 3.74717 6.15295 35.8775 3.93238 7.97221 
27 -7.47141e-06 6.54299e-07 28.6328 2.77155 -1.93504 31.5604 6.87774 -3.12388 32.6601 9.8445 -5.165 33.5567 11.4978 -6.06746 34.8181 13.5368 -7.05075 28.5541 2.9183 -1.02288 31.2559 7.69806 -1.67693 32.9749 11.7829 -2.29017 34.2024 13.9089 -2.82797 35.8873 15.7801 -1.05736 28.4755 3.06506 -0.110726 31.3451 8.03858 0.515253 33.1943 12.4985 0.41075 34.6408 14.9261 0.389875 36.1627 17.2372 0.125575 28.2462 3.06416 0.960981 31.1324 7.90995 2.36863 33.1981 11.7962 3.14982 34.6234 13.7742 3.76686 36.7133 15.2667 4.75801 27.8788 1.14681 2.04919 28.3066 2.49163 2.73093 30.7482 2.80794 5.0012 33.1092 3.62872 6.25471 35.8117 3.75933 8.15393 
