Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 3.31875e-06 -6.39303e-07 28.7023 3.00914 -1.46254 31.6334 7.279 -1.75145 34.0125 10.1444 -2.3046 35.7402 11.322 -2.34508 38.2357 11.9829 -2.0346 28.32 3.13719 -0.627575 30.6035 8.17557 -0.522439 33.6944 11.0965 0.835864 35.6622 12.0012 2.10823 38.2627 12.8603 3.5045 27.9376 3.26524 0.207388 29.7712 8.58641 1.51401 33.437 10.8547 3.68546 35.5929 10.5939 5.4928 37.5263 9.25614 6.98427 27.3872 3.22235 1.15417 28.748 8.47491 3.22168 32.4789 9.35569 5.515 33.9583 7.64285 6.6291 33.4773 4.94846 6.96772 27.002 1.26612 2.16418 27.0093 2.75614 2.65001 28.919 2.90801 5.3969 31.1801 3.91807 6.69548 34.1176 4.38242 8.14578 
27 5.31251e-06 -3.91917e-07 28.6601 3.02195 -1.48447 31.5326 7.32666 -1.80484 33.8815 10.2166 -2.35967 35.6004 11.4086 -2.39493 38.0904 12.0919 -2.07168 28.2784 3.14996 -0.649201 30.4937 8.21709 -0.580228 33.57 11.1592 0.769658 35.5351 12.0659 2.04318 38.132 12.9226 3.44321 27.8967 3.27798 0.186072 29.6605 8.62969 1.45658 33.3289 10.9016 3.62099 35.4877 10.6239 5.42282 37.4233 9.29601 6.9166 27.3495 3.23359 1.1346 28.6487 8.51375 3.16736 32.3878 9.44774 5.42817 33.8856 7.74936 6.53689 33.4378 5.05173 6.87941 26.9918 1.27849 2.15687 26.9843 2.77256 2.63014 28.9094 2.963 5.36393 31.1663 4.00785 6.64208 34.1092 4.51505 8.06817 
27 6.26706e-06 -1.44531e-07 28.6199 3.03301 -1.50613 31.4393 7.36771 -1.85717 33.762 10.278 -2.4158 35.4737 11.4817 -2.44792 37.9593 12.1827 -2.1162 28.2399 3.16096 -0.670089 30.3937 8.25281 -0.636012 33.4606 11.2118 0.702124 35.4252 12.1198 1.97347 38.0215 12.9711 3.37444 27.8599 3.28891 0.165956 29.5611 8.66756 1.40171 33.2368 10.9386 3.55652 35.4009 10.6421 5.34953 37.3408 9.3312 6.84863 27.3168 3.24316 1.11676 28.5627 8.54792 3.11684 32.3118 9.5328 5.3428 33.8291 7.85106 6.44576 33.4249 5.15 6.78993 26.9852 1.28939 2.15034 26.9645 2.78684 2.61242 28.8998 3.01221 5.33631 31.1523 4.08605 6.59797 34.099 4.62699 8.00459 
27 6.91089e-06 -2.26939e-06 28.589 3.03703 -1.53077 31.3688 7.39198 -1.91647 33.6749 10.3129 -2.48712 35.3822 11.5242 -2.52142 37.8655 12.2379 -2.18711 28.2109 3.167 -0.694183 30.3196 8.27608 -0.699857 33.3843 11.2459 0.624368 35.3498 12.156 1.89191 37.9477 13.0053 3.29073 27.8328 3.29698 0.142406 29.487 8.69833 1.33733 33.1762 10.9581 3.4824 35.3451 10.6448 5.26671 37.2931 9.35982 6.77714 27.2934 3.25262 1.09542 28.501 8.58049 3.05699 32.2618 9.60213 5.25047 33.7895 7.93149 6.35186 33.4178 5.22894 6.69672 26.982 1.30265 2.14231 26.9513 2.80337 2.59309 28.8943 3.05976 5.30876 31.1452 4.15578 6.55554 34.0951 4.72009 7.94596 
27 7.08405e-06 -4.39425e-06 28.5657 3.03559 -1.55745 31.317 7.40384 -1.98069 33.6139 10.3281 -2.56974 35.3186 11.5438 -2.61059 37.801 12.2673 -2.27897 28.1895 3.16922 -0.720549 30.2666 8.29017 -0.7694 33.3339 11.2667 0.539759 35.3007 12.1801 1.80245 37.9004 13.0309 3.19702 27.8134 3.30285 0.116352 29.4329 8.72398 1.26588 33.1402 10.9631 3.40225 35.3135 10.6344 5.17842 37.272 9.38472 6.7046 27.2774 3.262 1.07144 28.4572 8.61185 2.98956 32.2304 9.65695 5.15331 33.7597 7.99152 6.25737 33.4091 5.28779 6.60089 26.9811 1.31765 2.1331 26.943 2.82157 2.57251 28.893 3.10654 5.28024 31.1444 4.21999 6.51206 34.0978 4.80007 7.88756 
27 1.48587e-06 -2.48742e-08 28.5435 3.02967 -1.59075 31.2703 7.40863 -2.05972 33.561 10.3315 -2.67458 35.2639 11.5511 -2.72652 37.7458 12.2857 -2.40277 28.169 3.16906 -0.754065 30.2162 8.3013 -0.857618 33.2852 11.2875 0.434129 35.2532 12.2093 1.69211 37.8569 13.0698 3.07929 27.7944 3.30846 0.082624 29.378 8.75252 1.17263 33.1107 10.9551 3.30261 35.2867 10.6077 5.07195 37.2555 9.40023 6.61876 27.2615 3.27359 1.03962 28.4097 8.65154 2.89948 32.1941 9.70587 5.03534 33.7115 8.03485 6.14661 33.3604 5.32614 6.4764 26.9796 1.33774 2.12055 26.9323 2.84569 2.545 28.8861 3.16656 5.24599 31.1348 4.29966 6.46141 34.0889 4.89578 7.825 
27 -4.11231e-06 4.34451e-06 28.5319 3.025 -1.61072 31.2479 7.40775 -2.10602 33.5372 10.3279 -2.73592 35.2376 11.5515 -2.79591 37.7173 12.3001 -2.47969 28.1582 3.16814 -0.774298 30.1902 8.30602 -0.910745 33.2584 11.2983 0.375504 35.2258 12.227 1.63315 37.8327 13.0995 3.01496 27.7845 3.31129 0.0621245 29.3484 8.76843 1.11574 33.0933 10.9464 3.24976 35.2723 10.5995 5.01537 37.2645 9.45875 6.58288 27.253 3.28038 1.02011 28.3829 8.67582 2.84394 32.1737 9.72893 4.96548 33.6771 8.05189 6.08636 33.3248 5.33954 6.41239 26.9786 1.35003 2.11274 26.9251 2.86044 2.52758 28.8766 3.20397 5.22743 31.1223 4.34738 6.43556 34.0749 4.95036 7.79678 
27 -8.21981e-07 1.45607e-06 28.5337 3.02392 -1.611 31.2549 7.40443 -2.10572 33.5476 10.3219 -2.73775 35.243 11.5519 -2.8032 37.7177 12.3212 -2.49848 28.1602 3.16734 -0.774533 30.1972 8.30477 -0.910943 33.2617 11.2975 0.384292 35.2247 12.2331 1.64403 37.8281 13.1262 3.02191 27.7867 3.31076 0.0619295 29.355 8.76792 1.11545 33.0901 10.944 3.26841 35.2733 10.6271 5.03452 37.3063 9.58702 6.6195 27.2553 3.28025 1.01997 28.3885 8.67622 2.84341 32.1802 9.72435 4.96608 33.6776 8.05059 6.09854 33.3442 5.34003 6.45085 26.9798 1.35012 2.1127 26.9258 2.86065 2.52701 28.8715 3.2051 5.23097 31.117 4.34632 6.44331 34.0679 4.94522 7.81053 
27 4.10592e-06 -2.74821e-06 28.5413 3.02068 -1.60988 31.2763 7.39356 -2.10284 33.5784 10.301 -2.749 35.2667 11.5387 -2.83236 37.7362 12.3338 -2.56149 28.1689 3.16453 -0.772997 30.2238 8.29613 -0.905836 33.2802 11.2963 0.391468 35.236 12.2569 1.64368 37.8304 13.2033 3.00339 27.7965 3.3084 0.0638814 29.3834 8.7605 1.12084 33.1121 10.9279 3.29366 35.3022 10.6583 5.05899 37.3816 9.73933 6.65865 27.2658 3.27868 1.02233 28.4165 8.67116 2.84944 32.2079 9.70661 4.97863 33.7134 8.05537 6.13255 33.4389 5.34967 6.55844 26.9855 1.34851 2.11377 26.9346 2.85875 2.52954 28.8731 3.20033 5.23899 31.1197 4.33495 6.45737 34.0687 4.92461 7.83301 
27 7.3659e-06 -5.12313e-06 28.5637 3.01607 -1.59684 31.337 7.36668 -2.07261 33.6604 10.2516 -2.74284 35.341 11.4945 -2.85924 37.8063 12.3131 -2.65236 28.195 3.15838 -0.758058 30.3001 8.27023 -0.864901 33.344 11.284 0.430128 35.2894 12.2908 1.6622 37.8677 13.3296 2.98469 27.8263 3.3007 0.0807192 29.4721 8.72977 1.16583 33.185 10.9133 3.34941 35.3898 10.7337 5.10796 37.5282 9.98115 6.71671 27.2981 3.27017 1.04052 28.5039 8.64342 2.89697 32.2956 9.64022 5.04412 33.8308 8.03896 6.22888 33.6688 5.34854 6.78829 27.0036 1.33627 2.12157 26.9651 2.84386 2.54814 28.9003 3.16601 5.26236 31.1532 4.28032 6.48768 34.1039 4.84385 7.87071 
