Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 3.11047e-06 -1.50141e-06 28.7447 2.84368 1.72084 31.5749 5.72966 4.95713 35.0323 4.37514 5.56261 36.612 3.08856 5.10573 38.051 1.13917 4.17494 28.4072 2.18786 2.28277 30.6586 4.85198 6.56361 34.9256 3.54541 6.84897 36.5902 1.79864 6.15334 38.8266 -0.139821 5.30323 28.0698 1.53204 2.8447 30.0832 3.24555 7.97269 34.6866 1.88188 8.44995 36.4354 -0.00967417 7.2945 37.9871 -1.79215 5.85046 27.5634 0.688633 3.32776 29.2906 1.47133 8.81798 33.5412 0.653118 9.93298 35.504 -0.653853 9.05897 37.1887 -2.5628 8.02499 27.152 -1.1958 2.19856 27.5772 -0.732201 3.63401 30.6224 -1.76518 4.56962 33.0891 -1.66165 5.88249 36.2641 -1.44032 6.78175 
27 -1.74642e-06 -3.32808e-06 28.7187 2.8578 1.72362 31.5142 5.77031 4.96537 34.9716 4.42611 5.58679 36.558 3.14386 5.13924 38.01 1.20383 4.2148 28.3826 2.20097 2.2852 30.595 4.88859 6.57086 34.8661 3.59951 6.87031 36.543 1.86143 6.18694 38.7899 -0.0713074 5.35812 28.0465 1.54415 2.8468 30.0238 3.28103 7.98065 34.6309 1.94284 8.47647 36.3937 0.056544 7.33064 37.9748 -1.73671 5.93261 27.5431 0.698541 3.32907 29.2363 1.50281 8.82644 33.4855 0.698909 9.94894 35.4424 -0.608333 9.05632 37.1173 -2.5161 7.99899 27.1489 -1.19059 2.2016 27.5626 -0.721136 3.6385 30.6098 -1.73277 4.59104 33.0691 -1.61519 5.91645 36.2386 -1.3874 6.83271 
27 -5.24908e-06 -4.66049e-06 28.6973 2.86868 1.72673 31.4646 5.80112 4.97407 34.922 4.46706 5.61063 36.5147 3.18931 5.17151 37.979 1.25815 4.25272 28.3624 2.21081 2.28782 30.5432 4.91622 6.57771 34.8176 3.64178 6.89005 36.5062 1.91218 6.21833 38.762 -0.0155016 5.4106 28.0276 1.55294 2.84892 29.9753 3.30722 7.98759 34.5857 1.99056 8.49861 36.3606 0.109715 7.36036 37.9637 -1.68919 5.9951 27.5266 0.705327 3.33028 29.192 1.52567 8.83287 33.4397 0.732904 9.96151 35.3921 -0.575512 9.0555 37.0594 -2.48436 7.98255 27.1465 -1.18716 2.20361 27.5505 -0.71314 3.6418 30.5993 -1.70833 4.60613 33.0517 -1.58197 5.94356 36.2139 -1.3565 6.88516 
27 -2.7933e-06 -4.40969e-06 28.6815 2.87427 1.7329 31.4254 5.81692 4.99062 34.8796 4.48247 5.63445 36.473 3.20377 5.19667 37.94 1.27484 4.27861 28.3464 2.21551 2.29279 30.4999 4.93084 6.5894 34.7737 3.65718 6.90785 36.4671 1.93168 6.24047 38.7176 0.000854337 5.43418 28.0112 1.55675 2.85268 29.9305 3.32032 7.99765 34.5413 2.00911 8.51483 36.3213 0.130668 7.38054 37.9306 -1.65994 6.01262 27.5109 0.707725 3.33221 29.1486 1.53769 8.83902 33.3942 0.743926 9.97224 35.3408 -0.567391 9.0582 36.9951 -2.48172 7.97126 27.1412 -1.18619 2.20448 27.5353 -0.70839 3.64416 30.5847 -1.69526 4.61508 33.0302 -1.56659 5.96487 36.1828 -1.35275 6.94078 
27 -3.37518e-07 -4.15888e-06 28.6675 2.87883 1.73887 31.3906 5.82983 5.00635 34.8413 4.49329 5.65583 36.4345 3.21295 5.21746 37.902 1.28427 4.29984 28.3321 2.21917 2.29756 30.4614 4.94275 6.60026 34.7342 3.66712 6.92262 36.431 1.94464 6.25735 38.6719 0.00821933 5.44487 27.9968 1.5595 2.85627 29.8906 3.33058 8.0068 34.5016 2.02155 8.52696 36.2856 0.144803 7.39634 37.8998 -1.63505 6.02148 27.4971 0.709113 3.33401 29.1108 1.54724 8.84396 33.3545 0.752741 9.98214 35.2977 -0.560123 9.06329 36.9411 -2.48 7.96705 27.1365 -1.1858 2.20498 27.5216 -0.704758 3.64601 30.5714 -1.68562 4.62191 33.0104 -1.55549 5.98325 36.153 -1.35443 6.99361 
27 -8.62998e-07 -8.77468e-06 28.6518 2.88568 1.74241 31.3541 5.84882 5.0161 34.8025 4.51383 5.67399 36.3972 3.23411 5.23654 37.8672 1.30635 4.32116 28.3174 2.22497 2.30042 30.4233 4.96015 6.60657 34.6966 3.68718 6.93355 36.3987 1.96871 6.27121 38.637 0.030405 5.45847 27.983 1.56427 2.85843 29.8543 3.34621 8.01249 34.4671 2.04459 8.5365 36.2569 0.17025 7.41105 37.8756 -1.60136 6.03239 27.4851 0.712197 3.33511 29.0792 1.56037 8.84778 33.322 0.774728 9.99423 35.2654 -0.536566 9.07394 36.9058 -2.45953 7.97595 27.1348 -1.18446 2.2058 27.5122 -0.700388 3.64784 30.5624 -1.67286 4.63084 32.9958 -1.53746 6.00177 36.1289 -1.34056 7.03919 
27 -1.38848e-06 -1.33905e-05 28.6338 2.89535 1.74334 31.3143 5.87614 5.01871 34.762 4.54612 5.68708 36.3605 3.27032 5.25099 37.8351 1.34415 4.3397 28.3015 2.23346 2.30122 30.3839 4.9845 6.6081 34.6592 3.71934 6.94041 36.3685 2.00597 6.28178 38.6099 0.0696187 5.47331 27.9693 1.57157 2.85911 29.8201 3.36882 8.01478 34.4363 2.08062 8.54382 36.2339 0.209439 7.42538 37.8571 -1.55665 6.04643 27.4746 0.717443 3.33549 29.0526 1.57901 8.85017 33.2956 0.811564 10.0064 35.2423 -0.495666 9.08718 36.8848 -2.42018 7.99314 27.1361 -1.1819 2.2071 27.507 -0.694214 3.6496 30.5581 -1.65498 4.64129 32.9868 -1.50969 6.01942 36.1121 -1.30787 7.07653 
27 -9.22553e-07 -7.45304e-06 28.6041 2.91468 1.73874 31.2526 5.93154 5.00679 34.7059 4.61938 5.69081 36.3154 3.35668 5.25776 37.7994 1.43139 4.35985 28.2772 2.25104 2.29773 30.3266 5.03319 6.59983 34.6104 3.79312 6.94025 36.3349 2.08994 6.28832 38.5944 0.165888 5.49348 27.9503 1.58739 2.85673 29.7768 3.41554 8.01021 34.4017 2.16163 8.54936 36.2154 0.29784 7.44297 37.8474 -1.46329 6.07016 27.463 0.729797 3.33444 29.0244 1.61808 8.85021 33.2709 0.891444 10.0174 35.2261 -0.405901 9.10168 36.8813 -2.32725 8.01969 27.144 -1.17531 2.21011 27.5067 -0.682967 3.65314 30.5609 -1.62083 4.65686 32.985 -1.45488 6.04088 36.1048 -1.2302 7.11096 
27 -4.56627e-07 -1.5156e-06 28.5846 2.92776 1.73469 31.2132 5.97103 4.99381 34.6692 4.66503 5.69249 36.2863 3.41249 5.26113 37.7703 1.48084 4.37702 28.2615 2.26302 2.29463 30.2902 5.06617 6.59253 34.5794 3.84018 6.94093 36.3135 2.14176 6.29453 38.5862 0.223822 5.51278 27.9385 1.59828 2.85457 29.7506 3.44749 8.00576 34.3804 2.21526 8.55378 36.2038 0.354007 7.45756 37.841 -1.40622 6.09111 27.4564 0.73844 3.33346 29.0077 1.64334 8.85104 33.2555 0.947621 10.0287 35.2162 -0.344287 9.11649 36.8794 -2.2664 8.04685 27.1501 -1.17058 2.21222 27.5064 -0.677701 3.65664 30.5606 -1.6033 4.67193 32.9806 -1.42522 6.06154 36.098 -1.1864 7.14071 
27 -1.81166e-06 -4.71837e-06 28.5929 2.92243 1.73608 31.2355 5.96059 4.9882 34.6858 4.63427 5.68933 36.3003 3.38219 5.25238 37.768 1.43827 4.36787 28.2703 2.25713 2.29561 30.3134 5.04944 6.59362 34.5994 3.80939 6.93697 36.3277 2.1057 6.28661 38.5945 0.179633 5.50372 27.9477 1.59183 2.85514 29.7757 3.429 8.00556 34.4028 2.18625 8.54703 36.2191 0.319208 7.44903 37.8501 -1.44463 6.07985 27.4655 0.731796 3.33366 29.0313 1.62018 8.85289 33.2774 0.924843 10.03 35.2341 -0.370372 9.11401 36.8886 -2.30081 8.04503 27.1538 -1.17477 2.20974 27.5131 -0.689948 3.65615 30.5629 -1.62744 4.67386 32.9836 -1.45896 6.06338 36.1062 -1.23039 7.13936 
