Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 5.08041e-08 -2.03441e-07 30.7029 -0.351873 -0.506106 35.7914 0.514423 -0.998278 35.8697 1.88466 2.50692 34.2679 2.00224 3.83769 31.875 2.98134 4.01342 30.3436 0.463025 -0.764123 35.4628 2.10242 -2.05638 35.823 3.4872 2.18369 34.0464 3.91446 3.9082 31.081 3.47891 4.60986 29.9843 1.27793 -1.02214 34.7497 4.18032 -2.45475 36.0954 6.11241 1.76163 34.3267 6.34376 3.95345 31.7526 6.0649 4.96503 29.3654 2.13695 -1.30533 33.6511 5.87949 -2.50144 36.5988 9.12909 -1.64608 37.868 10.9713 -0.497109 38.3085 12.7233 1.57995 27.3564 2.45288 -0.378217 28.1367 3.40092 -1.35219 28.0252 6.67004 -0.633751 28.9919 9.23723 -0.091672 29.3987 12.4563 0.548055 
27 -1.23568e-06 -2.05565e-07 30.6772 -0.378423 -0.653432 35.7428 0.452782 -1.3795 35.9407 1.88923 2.09434 34.3851 2.03574 3.47615 31.9858 2.99603 3.66635 30.3105 0.433131 -0.911649 35.3758 2.02155 -2.45371 35.8809 3.46587 1.75156 34.1284 3.90981 3.49557 31.2088 3.51744 4.38844 29.9438 1.24469 -1.16987 34.6535 4.09368 -2.86529 36.1133 6.05901 1.29741 34.341 6.27786 3.48757 31.784 6.0028 4.54283 29.3169 2.10108 -1.44323 33.5601 5.80009 -2.89427 36.5382 9.04933 -2.14978 37.8259 10.8567 -0.966684 38.2231 12.4979 1.20761 27.3497 2.44366 -0.439253 28.1021 3.37565 -1.44994 28.0953 6.65162 -0.754451 29.151 9.19917 -0.291557 29.6928 12.4087 0.293241 
27 -6.93071e-07 7.69836e-07 30.6435 -0.42862 -0.795363 35.682 0.334935 -1.74492 36.0134 1.82692 1.69512 34.5117 2.0296 3.12848 32.0922 2.93974 3.30983 30.2749 0.382468 -1.05218 35.2871 1.88924 -2.82919 35.9603 3.38849 1.33308 34.2481 3.86126 3.11005 31.3916 3.55297 4.21495 29.9062 1.19356 -1.309 34.5682 3.96104 -3.25009 36.1685 5.94451 0.851925 34.4065 6.16684 3.05005 31.8847 5.9221 4.19364 29.2773 2.05202 -1.57117 33.4913 5.67887 -3.26033 36.5227 8.90071 -2.62299 37.8473 10.6582 -1.40596 38.2174 12.1792 0.859451 27.3561 2.4322 -0.494256 28.09 3.34488 -1.53573 28.2234 6.62216 -0.859442 29.3889 9.13459 -0.474462 30.0958 12.3215 0.0555913 
27 8.19007e-08 1.74524e-06 30.6056 -0.498307 -0.918089 35.6172 0.170386 -2.0578 36.0823 1.69284 1.35321 34.6327 1.96905 2.8273 32.1893 2.81197 3.01297 30.2414 0.315995 -1.17109 35.2096 1.71898 -3.14374 36.0528 3.24982 0.975847 34.3925 3.7576 2.79284 31.5925 3.53335 4.05183 29.8772 1.1303 -1.42409 34.509 3.79671 -3.56661 36.2483 5.77375 0.481562 34.5094 6.01139 2.6964 32.0229 5.79663 3.92043 29.2536 1.99626 -1.67384 33.4595 5.53107 -3.55662 36.5634 8.69564 -2.98892 37.9351 10.3842 -1.72725 38.2784 11.7799 0.622079 27.3782 2.42034 -0.534433 28.1074 3.31427 -1.59527 28.4148 6.58065 -0.92293 29.7113 9.03721 -0.601764 30.6171 12.1799 -0.111891 
27 4.68725e-07 -2.28909e-06 30.5706 -0.588572 -0.99822 35.5671 -0.0434654 -2.2587 36.1436 1.47489 1.13988 34.7268 1.82616 2.62977 32.2674 2.6127 2.84968 30.2206 0.233704 -1.24548 35.1731 1.51118 -3.33745 36.1561 3.02446 0.757573 34.5493 3.56802 2.61194 31.7692 3.4248 3.92561 29.8706 1.05598 -1.49274 34.5127 3.60289 -3.75409 36.3549 5.53756 0.26898 34.646 5.80142 2.50415 32.1423 5.56426 3.68847 29.2628 1.93625 -1.731 33.504 5.36062 -3.72506 36.7 8.43103 -3.14664 38.1209 10.0258 -1.8192 38.4244 11.2934 0.604874 27.4247 2.40898 -0.550623 28.1728 3.28651 -1.61201 28.6881 6.52131 -0.914714 30.1406 8.89322 -0.626028 31.2847 11.9587 -0.145876 
27 6.23191e-07 -6.32341e-06 30.5326 -0.688709 -1.06673 35.5162 -0.283465 -2.4251 36.2024 1.21027 0.968015 34.815 1.63587 2.46623 32.3498 2.38311 2.74833 30.202 0.14395 -1.30566 35.1468 1.28583 -3.49006 36.2685 2.74534 0.588806 34.7229 3.32292 2.48449 31.9631 3.28609 3.84733 29.8713 0.97661 -1.54459 34.5384 3.39534 -3.89303 36.4782 5.25899 0.117681 34.801 5.54977 2.37346 32.2576 5.27352 3.46042 29.2847 1.87465 -1.76954 33.578 5.18035 -3.8423 36.8791 8.12673 -3.20814 38.3429 9.60791 -1.79808 38.5917 10.7383 0.695273 27.4836 2.39714 -0.553664 28.2625 3.25801 -1.60656 29.0154 6.43572 -0.864338 30.6423 8.6937 -0.592879 32.0603 11.6403 -0.0992717 
27 -1.38495e-06 -2.09468e-06 30.4866 -0.788875 -1.14602 35.4492 -0.527807 -2.61208 36.256 0.923085 0.775177 34.9053 1.41344 2.28702 32.447 2.14764 2.65161 30.1766 0.0551129 -1.37266 35.1042 1.06346 -3.65607 36.3824 2.4421 0.404845 34.9099 3.04792 2.34925 32.1795 3.12175 3.76875 29.8667 0.899101 -1.5993 34.552 3.19182 -4.03635 36.6005 4.95994 -0.036492 34.9557 5.27021 2.24033 32.3796 4.97126 3.24104 29.3033 1.81615 -1.80611 33.6425 5.0064 -3.95693 37.0556 7.80293 -3.24214 38.5473 9.15291 -1.7332 38.7188 10.1391 0.823378 27.5451 2.38501 -0.548905 28.3577 3.22836 -1.59044 29.3732 6.3176 -0.789854 31.1871 8.4299 -0.530899 32.9108 11.203 -0.00604333 
27 -3.39309e-06 2.13405e-06 30.4311 -0.887329 -1.23773 35.3621 -0.770548 -2.82425 36.3006 0.618742 0.55577 34.9933 1.16231 2.08749 32.5508 1.90251 2.53617 30.1434 -0.0312868 -1.44786 35.0424 0.847779 -3.83891 36.4946 2.11636 0.199313 35.1079 2.74214 2.19966 32.4132 2.92423 3.67636 29.8556 0.824754 -1.658 34.5505 2.99546 -4.18705 36.7172 4.6426 -0.197779 35.1047 4.96229 2.10085 32.5025 4.65627 3.02917 29.3175 1.76173 -1.84144 33.6948 4.84183 -4.07131 37.2248 7.45858 -3.2512 38.7252 8.65755 -1.6276 38.7903 9.49931 0.981381 27.6089 2.37238 -0.536401 28.4579 3.19673 -1.56404 29.7587 6.15781 -0.694816 31.7679 8.08686 -0.448262 33.8236 10.615 0.116913 
27 -3.29202e-06 -1.18854e-06 30.3593 -0.980834 -1.35834 35.2389 -1.01213 -3.10133 36.3414 0.306193 0.254847 35.0779 0.882729 1.81108 32.6743 1.67784 2.36384 30.0941 -0.112536 -1.54669 34.9389 0.645354 -4.0786 36.6032 1.77522 -0.0812394 35.3281 2.41131 1.9889 32.6782 2.69311 3.52974 29.8288 0.755761 -1.73504 34.5093 2.8117 -4.38431 36.8173 4.3083 -0.415044 35.2354 4.62873 1.90462 32.6256 4.34367 2.81419 29.3171 1.71281 -1.88761 33.7092 4.69281 -4.22147 37.3611 7.09063 -3.27575 38.8402 8.11268 -1.51721 38.7476 8.80814 1.13031 27.6713 2.35907 -0.520453 28.5563 3.16098 -1.53531 30.1759 5.9377 -0.595968 32.3935 7.62768 -0.383466 34.8192 9.79704 0.205386 
27 -2.58456e-06 -4.51113e-06 30.2799 -1.06287 -1.48469 35.0978 -1.23431 -3.3853 36.3665 -0.00569616 -0.0577313 35.1574 0.588328 1.53469 32.8063 1.44645 2.20667 30.0384 -0.182471 -1.647 34.8202 0.471888 -4.3172 36.691 1.43479 -0.367706 35.5326 2.06579 1.77143 32.9328 2.42769 3.37933 29.797 0.697928 -1.80932 34.4553 2.6557 -4.57036 36.903 3.97187 -0.620893 35.3493 4.28787 1.71833 32.7357 4.0478 2.6261 29.3133 1.67443 -1.92621 33.7126 4.56977 -4.35132 37.4799 6.72228 -3.27663 38.916 7.55566 -1.38779 38.6709 8.11747 1.2798 27.7341 2.34596 -0.494332 28.6539 3.12599 -1.49517 30.5754 5.67908 -0.492537 32.9682 7.11595 -0.321965 35.7091 8.87084 0.26517 
