Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -3.2039e-06 -7.41445e-06 29.1517 2.04617 -2.29673 33.219 4.10293 -4.75157 36.0064 1.95795 -6.10558 36.8902 0.0735734 -6.29315 37.4194 -2.44425 -5.96215 29.47 1.9573 -1.43039 33.9582 4.70555 -3.06642 37.2984 2.09496 -4.50048 36.9294 -0.231493 -3.62154 35.277 -2.45419 -2.27822 29.7883 1.86843 -0.564054 35.0174 4.25524 -1.11436 39.3596 4.95939 -3.08986 41.908 4.90952 -4.31502 44.2379 5.1901 -5.83125 29.9615 1.68589 0.502628 35.3726 3.84527 0.767306 39.6233 5.16249 0.723289 41.966 6.05475 0.953823 44.6124 6.78408 1.14327 28.9761 -0.0292556 1.54306 30.3012 0.759247 1.82344 33.267 -0.794472 1.75057 35.807 -1.10938 0.627973 38.3828 -1.95715 -1.25754 
27 -1.61595e-06 -2.2615e-06 29.1497 2.04154 -2.30277 33.2157 4.09057 -4.76636 36.0042 1.95682 -6.13326 36.9008 0.0800206 -6.33126 37.4431 -2.43508 -6.01392 29.4689 1.95422 -1.4366 33.9559 4.69833 -3.08276 37.2973 2.08649 -4.51335 36.9212 -0.23588 -3.62573 35.2526 -2.44308 -2.27685 29.788 1.8669 -0.570424 35.0166 4.25244 -1.13053 39.3564 4.94888 -3.11736 41.9027 4.89416 -4.3476 44.2292 5.16416 -5.86866 29.9624 1.6863 0.496409 35.3737 3.84639 0.751912 39.6256 5.16195 0.697453 41.9682 6.056 0.923449 44.6157 6.78118 1.11047 28.9777 -0.0267408 1.54105 30.3034 0.761915 1.81806 33.2656 -0.798499 1.73742 35.8004 -1.11801 0.607955 38.3664 -1.97069 -1.28729 
27 2.47929e-06 -1.12002e-06 29.1495 2.03756 -2.30649 33.2161 4.07726 -4.77714 36.0013 1.9534 -6.16381 36.909 0.0845291 -6.3766 37.4542 -2.42851 -6.08076 29.4698 1.9499 -1.44079 33.959 4.68601 -3.09467 37.298 2.07123 -4.52698 36.9114 -0.248362 -3.63627 35.2258 -2.44084 -2.28857 29.7902 1.86223 -0.575097 35.0214 4.23964 -1.14358 39.3593 4.92555 -3.14146 41.9033 4.86466 -4.3768 44.2273 5.1249 -5.90221 29.9659 1.68156 0.491499 35.3808 3.8337 0.738636 39.6357 5.14167 0.674779 41.9802 6.03323 0.896642 44.6293 6.75089 1.08027 28.98 -0.0296559 1.53801 30.3076 0.756785 1.81233 33.2639 -0.813997 1.72045 35.7931 -1.13984 0.582888 38.3482 -1.99805 -1.32354 
27 -3.28134e-06 -4.39671e-06 29.1488 2.03273 -2.31141 33.2156 4.06385 -4.78899 36.0002 1.95095 -6.19227 36.9203 0.0908712 -6.41686 37.4671 -2.41904 -6.14007 29.4699 1.94601 -1.44591 33.9598 4.67594 -3.10816 37.3006 2.06084 -4.53721 36.9051 -0.255556 -3.64238 35.205 -2.43608 -2.29624 29.7911 1.8593 -0.580404 35.0234 4.23228 -1.15711 39.36 4.91068 -3.16325 41.9028 4.84537 -4.40143 44.2257 5.09821 -5.92933 29.9676 1.67997 0.486272 35.3842 3.8289 0.72541 39.6408 5.13405 0.653719 41.9867 6.025 0.87191 44.6363 6.73913 1.05217 28.9815 -0.0290469 1.53611 30.3101 0.756635 1.80749 33.2624 -0.821307 1.70824 35.7874 -1.15217 0.564687 38.3345 -2.01507 -1.34953 
27 3.94767e-06 -2.38678e-06 29.1506 2.0217 -2.31934 33.2205 4.03487 -4.80727 36.0005 1.92635 -6.22486 36.9287 0.0724239 -6.45791 37.4745 -2.4352 -6.19449 29.4727 1.93648 -1.45401 33.9674 4.65089 -3.12916 37.3065 2.02985 -4.55287 36.8989 -0.281879 -3.65254 35.1838 -2.44893 -2.30553 29.7947 1.85126 -0.588683 35.032 4.21067 -1.17793 39.3678 4.87461 -3.19341 41.9089 4.80056 -4.435 44.2306 5.04208 -5.96602 29.9721 1.67428 0.478233 35.3941 3.81157 0.705271 39.6541 5.10826 0.623339 42.003 5.99484 0.836313 44.6539 6.70277 1.0111 28.9833 -0.0297034 1.53372 30.3144 0.753394 1.80076 33.2605 -0.835696 1.69541 35.781 -1.17626 0.545694 38.3194 -2.04882 -1.37538 
27 4.14987e-06 -4.13961e-06 29.1547 2.01013 -2.32559 33.2297 4.00286 -4.82231 36.003 1.89521 -6.25406 36.9345 0.04461 -6.49501 37.4807 -2.46228 -6.2409 29.4775 1.92533 -1.46051 33.9804 4.62035 -3.14639 37.3156 1.99138 -4.56677 36.8935 -0.31605 -3.66473 35.1642 -2.47101 -2.31789 29.8003 1.84053 -0.595435 35.0454 4.18082 -1.1954 39.3808 4.82926 -3.21931 41.9198 4.74554 -4.46496 44.2401 4.97506 -5.99918 29.9785 1.66484 0.471576 35.4082 3.78416 0.688256 39.6732 5.06796 0.59699 42.0262 5.94705 0.805371 44.6792 6.64624 0.974411 28.9851 -0.0338342 1.53132 30.3195 0.744895 1.79454 33.2579 -0.857853 1.68184 35.7741 -1.20926 0.525696 38.3036 -2.09126 -1.40263 
27 1.11184e-06 -1.41448e-06 29.1562 1.99369 -2.33835 33.2337 3.9627 -4.85087 36.0015 1.85187 -6.28831 36.9351 0.0024083 -6.52951 37.4891 -2.50325 -6.27 29.4801 1.91225 -1.47334 33.9879 4.58722 -3.17912 37.3221 1.94895 -4.58833 36.8879 -0.352137 -3.67956 35.1506 -2.4943 -2.32442 29.8039 1.83081 -0.608338 35.0544 4.15534 -1.22733 39.3878 4.7878 -3.26274 41.9243 4.69349 -4.51363 44.2415 4.90874 -6.05271 29.9832 1.65979 0.459242 35.4186 3.76724 0.658022 39.6878 5.04122 0.552149 42.0441 5.91526 0.752263 44.6989 6.60871 0.911572 28.9873 -0.0313509 1.52856 30.3242 0.7451 1.78531 33.2568 -0.868159 1.66953 35.7689 -1.23075 0.507622 38.2908 -2.12437 -1.42542 
27 1.4555e-07 -4.11329e-06 29.1631 1.97174 -2.35058 33.2486 3.90901 -4.87608 36.0093 1.78675 -6.31056 36.9397 -0.0652171 -6.54695 37.5006 -2.57068 -6.27259 29.4868 1.89419 -1.48518 34.0054 4.5412 -3.20825 37.3366 1.88636 -4.59839 36.8861 -0.407249 -3.68248 35.1398 -2.53399 -2.31717 29.8106 1.81664 -0.619793 35.0703 4.11769 -1.25397 39.4039 4.72605 -3.29635 41.9391 4.61593 -4.54984 44.2551 4.81196 -6.09145 29.9896 1.65125 0.448735 35.433 3.73983 0.634057 39.709 4.99605 0.516975 42.0697 5.86124 0.709869 44.7276 6.54461 0.860568 28.9875 -0.0297945 1.52825 30.3278 0.742859 1.77936 33.2526 -0.884581 1.66633 35.7618 -1.26268 0.502614 38.2779 -2.17307 -1.43017 
27 2.17973e-06 -2.68944e-06 29.1679 1.94985 -2.36434 33.2593 3.85665 -4.90495 36.0127 1.72112 -6.33407 36.9387 -0.134284 -6.56409 37.5076 -2.63937 -6.27108 29.492 1.87676 -1.49867 34.019 4.4975 -3.24165 37.3473 1.82578 -4.61238 36.8826 -0.460569 -3.68869 35.1312 -2.57327 -2.31076 29.816 1.80366 -0.633003 35.0827 4.08351 -1.28509 39.4154 4.66808 -3.33687 41.9491 4.54216 -4.59381 44.2631 4.71952 -6.13882 29.9951 1.64449 0.436447 35.4453 3.71724 0.605531 39.7284 4.95518 0.474963 42.0934 5.81175 0.658436 44.7548 6.48518 0.79829 28.9884 -0.0264672 1.52721 30.3315 0.74322 1.77199 33.2495 -0.896579 1.66219 35.7557 -1.28939 0.496752 38.2668 -2.21652 -1.43484 
27 7.04105e-07 -2.43495e-06 29.1733 1.93094 -2.37483 33.2714 3.8119 -4.92529 36.0194 1.66416 -6.34633 36.9415 -0.194225 -6.57018 37.5171 -2.69861 -6.26032 29.497 1.862 -1.50866 34.032 4.46084 -3.2656 37.359 1.77448 -4.61644 36.8825 -0.505811 -3.68578 35.1269 -2.60792 -2.29865 29.8206 1.79306 -0.642493 35.0932 4.05591 -1.30616 39.4263 4.61973 -3.3629 41.9599 4.47993 -4.62028 44.2741 4.64178 -6.16594 29.999 1.63956 0.427904 35.4541 3.70038 0.587018 39.7443 4.92055 0.447717 42.1131 5.76904 0.623788 44.778 6.43276 0.755578 28.9879 -0.0226302 1.52792 30.333 0.744897 1.7682 33.2456 -0.904844 1.6643 35.7506 -1.31014 0.500157 38.2599 -2.25195 -1.42685 
