Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -2.71412e-07 -7.7961e-06 29.9824 2.11936 0.839805 34.5349 3.95766 2.44754 36.3907 1.22176 0.634819 35.6511 -0.53537 -0.211443 34.1921 -2.30624 -1.39779 29.7964 1.44049 1.44336 34.2562 3.0167 4.28011 36.4072 0.000315074 1.77009 34.8751 -1.64637 0.648828 32.2117 -2.78932 -0.38811 29.6104 0.761619 2.04692 34.0332 1.32317 5.69892 36.0437 -2.19446 3.07103 34.0747 -3.38205 1.42837 32.4308 -4.47022 -0.531386 29.1979 -0.0539901 2.65175 33.4188 -0.449304 6.62831 36.4955 -3.47469 5.46289 36.0215 -4.699 3.3179 34.0647 -5.10844 1.43193 27.86 -1.59215 1.73555 28.8171 -1.5849 2.97658 30.2752 -4.48942 3.785 32.6618 -5.8947 4.22623 35.3853 -7.76273 4.0989 
27 -4.90082e-06 -1.5366e-06 29.9799 2.11088 0.869434 34.5222 3.94072 2.51042 36.3506 1.20325 0.674189 35.5604 -0.538028 -0.157114 33.9949 -2.25862 -1.28883 29.7904 1.42793 1.46727 34.2336 2.98499 4.33755 36.3672 -0.0178266 1.79662 34.7669 -1.6144 0.698457 32.2072 -2.84479 -0.465982 29.6008 0.744989 2.0651 34.0026 1.2818 5.74396 35.9966 -2.21755 3.07927 33.9796 -3.36027 1.46306 32.2098 -4.35344 -0.436471 29.1848 -0.074521 2.66212 33.3813 -0.498236 6.65985 36.4365 -3.54003 5.47874 35.9287 -4.70706 3.30865 33.9147 -5.00392 1.46458 27.8501 -1.60507 1.7285 28.81 -1.60217 2.96745 30.2987 -4.50677 3.71753 32.7024 -5.89432 4.12943 35.452 -7.721 3.94471 
27 -6.34907e-06 -8.99606e-06 29.9817 2.09983 0.890047 34.5205 3.91573 2.55184 36.3219 1.18457 0.683779 35.4828 -0.539158 -0.137087 33.8245 -2.21595 -1.21126 29.7905 1.41226 1.48205 34.2288 2.94371 4.37136 36.3398 -0.0419918 1.79164 34.6907 -1.60621 0.719359 32.1974 -2.86526 -0.541808 29.5994 0.724685 2.07406 33.9952 1.22835 5.7629 35.9779 -2.24629 3.05784 33.8987 -3.33196 1.48168 32.0129 -4.23329 -0.35085 29.1816 -0.0991461 2.66387 33.3705 -0.559467 6.66388 36.4077 -3.61082 5.46015 35.8647 -4.72297 3.26926 33.8054 -4.90695 1.46386 27.8461 -1.62027 1.71625 28.8108 -1.62493 2.95141 30.3216 -4.53134 3.64855 32.7376 -5.9065 4.02297 35.505 -7.69866 3.7597 
27 -1.0252e-05 -8.94577e-06 29.9778 2.09001 0.925432 34.5078 3.89082 2.62504 36.301 1.18406 0.718096 35.4276 -0.52036 -0.108172 33.707 -2.15998 -1.14091 29.7857 1.39443 1.50771 34.2127 2.89311 4.43001 36.3176 -0.0574716 1.80565 34.6364 -1.59572 0.745864 32.1929 -2.8496 -0.610164 29.5937 0.698864 2.09 33.9782 1.15752 5.79654 35.9719 -2.27355 3.04436 33.8315 -3.28837 1.50333 31.8501 -4.10057 -0.269089 29.1751 -0.133092 2.66771 33.3534 -0.643651 6.67103 36.3888 -3.68577 5.44132 35.8186 -4.74033 3.22779 33.7346 -4.8116 1.4449 27.8432 -1.64243 1.69653 28.8093 -1.65983 2.93043 30.3399 -4.56957 3.56801 32.7666 -5.92896 3.90205 35.5532 -7.67725 3.55173 
27 -6.23142e-06 -1.27931e-05 29.9831 2.06854 0.956074 34.5172 3.83409 2.6812 36.2958 1.15724 0.721257 35.3919 -0.524857 -0.11781 33.6181 -2.13089 -1.12118 29.791 1.36322 1.52648 34.2239 2.8047 4.46781 36.3109 -0.105678 1.78458 34.5933 -1.6093 0.733399 32.1797 -2.83511 -0.704029 29.5989 0.657894 2.09689 33.9902 1.0443 5.80266 35.9797 -2.33893 2.98887 33.7686 -3.26089 1.48988 31.6963 -3.9811 -0.217173 29.1799 -0.183343 2.66078 33.3651 -0.771797 6.64504 36.3914 -3.80299 5.36921 35.7827 -4.79725 3.1358 33.6794 -4.75474 1.3749 27.8436 -1.67324 1.66593 28.8155 -1.71081 2.89487 30.3568 -4.63074 3.45513 32.7901 -5.9796 3.73579 35.5892 -7.68564 3.29208 
27 6.286e-06 8.7478e-06 29.9955 2.04574 0.966393 34.5443 3.77417 2.69214 36.3014 1.11538 0.688164 35.3712 -0.550838 -0.155155 33.5543 -2.12844 -1.12818 29.804 1.33376 1.52868 34.2571 2.72236 4.46557 36.316 -0.163658 1.7348 34.5579 -1.63143 0.700076 32.1595 -2.83117 -0.795585 29.6125 0.621783 2.09098 34.025 0.944542 5.77758 35.9937 -2.40764 2.92005 33.7073 -3.22834 1.47818 31.5501 -3.86905 -0.153675 29.1937 -0.225229 2.64624 33.3993 -0.880944 6.59801 36.409 -3.91069 5.28108 35.7558 -4.85997 3.03769 33.6353 -4.72433 1.30062 27.8467 -1.69753 1.63956 28.8279 -1.75073 2.86052 30.3742 -4.68066 3.3505 32.8111 -6.02269 3.5825 35.6165 -7.6981 3.07321 
27 -2.51941e-06 5.49444e-07 30.0117 2.01948 0.971227 34.5808 3.70476 2.68984 36.3119 1.06043 0.642439 35.3603 -0.592829 -0.203604 33.5078 -2.14048 -1.15529 29.8205 1.30161 1.52607 34.2999 2.63275 4.45092 36.3264 -0.232723 1.67464 34.5285 -1.66254 0.655292 32.1329 -2.83433 -0.88214 29.6293 0.583736 2.08091 34.068 0.83965 5.74198 36.0104 -2.49143 2.84272 33.6477 -3.20128 1.46453 31.4151 -3.76857 -0.091418 29.21 -0.267993 2.62859 33.4399 -0.993153 6.54264 36.4271 -4.02555 5.18215 35.7331 -4.93447 2.93138 33.598 -4.72165 1.21821 27.8493 -1.72145 1.61306 28.8407 -1.78996 2.82501 30.3872 -4.73056 3.24544 32.825 -6.07414 3.43604 35.631 -7.73823 2.89365 
27 6.35341e-06 3.32567e-06 30.0271 1.99645 0.970792 34.6162 3.64332 2.67809 36.3226 1.00859 0.595806 35.3563 -0.63567 -0.248648 33.4756 -2.15564 -1.18541 29.836 1.27443 1.52025 34.3408 2.55706 4.4298 36.3357 -0.291714 1.62025 34.5034 -1.69102 0.616192 32.0987 -2.83506 -0.942256 29.6448 0.552413 2.06971 34.1082 0.753296 5.70567 36.0291 -2.56666 2.77484 33.596 -3.1672 1.4689 31.2991 -3.67115 -0.013492 29.225 -0.302319 2.61221 33.4771 -1.08366 6.4922 36.441 -4.12174 5.09597 35.718 -4.99924 2.83981 33.5724 -4.73049 1.14628 27.8512 -1.74006 1.59198 28.8518 -1.81974 2.79559 30.3978 -4.76826 3.15876 32.8355 -6.12037 3.32008 35.6353 -7.79109 2.77317 
27 -7.56392e-06 -1.07343e-05 30.0466 1.96618 0.971598 34.6581 3.56333 2.67047 36.3352 0.933792 0.557353 35.3546 -0.699628 -0.286728 33.4488 -2.18849 -1.21744 29.8529 1.24107 1.51608 34.3831 2.46562 4.41335 36.3422 -0.372301 1.57428 34.4831 -1.74164 0.582029 32.0535 -2.84345 -0.977688 29.6593 0.515963 2.06056 34.1435 0.653308 5.67557 36.0413 -2.66044 2.7161 33.5439 -3.14948 1.48746 31.191 -3.58785 0.0736538 29.2359 -0.340121 2.59817 33.5034 -1.18469 6.44923 36.4356 -4.23645 5.01989 35.6941 -5.08368 2.75737 33.5451 -4.76747 1.07489 27.8464 -1.75933 1.57322 28.8545 -1.85211 2.76966 30.3907 -4.81136 3.08381 32.823 -6.18388 3.22148 35.6075 -7.87919 2.67368 
27 -3.49486e-06 1.71447e-06 30.057 1.94963 0.972462 34.683 3.51774 2.66349 36.3431 0.900726 0.522441 35.3578 -0.726173 -0.324295 33.4395 -2.19602 -1.25418 29.8637 1.22093 1.51225 34.4124 2.40857 4.39798 36.3494 -0.410809 1.53071 34.4763 -1.7653 0.544375 32.0131 -2.82797 -0.993358 29.6703 0.492232 2.05205 34.1728 0.587501 5.64743 36.0667 -2.70875 2.66016 33.5146 -3.1047 1.51304 31.1144 -3.4896 0.164775 29.2469 -0.366713 2.58503 33.5311 -1.25339 6.40926 36.4439 -4.30594 4.9466 35.6955 -5.12819 2.6777 33.5475 -4.78331 0.996546 27.8484 -1.77388 1.55571 28.8635 -1.87555 2.74547 30.4013 -4.83821 3.01661 32.8322 -6.22132 3.12979 35.6061 -7.92906 2.56534 
