Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -1.21132e-06 -3.31042e-06 30.5315 1.15889 -0.526711 35.7105 1.27058 -0.628599 38.2865 -1.14124 -1.93911 38.5594 -3.04956 -2.73561 38.8504 -5.26925 -4.02632 30.3859 0.672251 0.249004 35.8406 0.894944 1.13971 38.7623 -2.13756 -0.374488 37.9321 -4.35392 -1.21972 36.0374 -6.51766 -2.31688 30.2403 0.185606 1.02471 35.6849 -0.59472 2.78782 40.2755 -1.90428 3.49457 42.8741 -3.00654 3.52132 45.4703 -3.86129 3.01532 29.8542 -0.356754 1.89528 35.0247 -1.61281 4.22429 39.055 -3.48983 4.68955 41.4101 -4.36629 4.58931 43.9753 -5.35686 4.74515 27.9418 -1.50672 1.76904 29.167 -1.65684 2.73472 30.708 -4.48986 3.63751 32.9892 -6.10689 3.65641 35.4701 -8.17566 2.94754 
27 4.26237e-07 6.74275e-07 30.5248 1.22075 -0.421337 35.7017 1.43209 -0.404643 38.2322 -1.03766 -1.69575 38.4189 -2.95514 -2.49512 38.5962 -5.1885 -3.78694 30.3685 0.717442 0.341559 35.7933 1.0158 1.36906 38.7068 -2.01641 -0.16149 37.7888 -4.18702 -1.03427 35.7179 -6.18801 -2.12172 30.2122 0.214133 1.10445 35.625 -0.513784 2.98413 40.1997 -1.88273 3.70499 42.7812 -3.02189 3.72711 45.3673 -3.90101 3.21079 29.8141 -0.350232 1.95542 34.9418 -1.57303 4.39213 38.9695 -3.45942 4.8512 41.3202 -4.34797 4.75427 43.8826 -5.34795 4.91677 27.923 -1.52577 1.76262 29.138 -1.67659 2.74103 30.711 -4.5309 3.512 33.0299 -6.09246 3.45857 35.5666 -8.02732 2.58771 
27 -3.32347e-06 -7.18959e-06 30.5152 1.27898 -0.31487 35.6864 1.58475 -0.176667 38.1805 -0.931858 -1.44795 38.2895 -2.85312 -2.2526 38.3627 -5.09522 -3.54505 30.3483 0.760062 0.435198 35.7355 1.13011 1.60141 38.6436 -1.89981 0.0559798 37.6517 -4.02791 -0.840322 35.425 -5.8633 -1.91197 30.1813 0.241142 1.18526 35.5587 -0.435963 3.18583 40.1156 -1.85664 3.91914 42.681 -3.0308 3.93601 45.2536 -3.93284 3.41308 29.7715 -0.343881 2.01647 34.8518 -1.53445 4.56482 38.8817 -3.42055 5.02062 41.2273 -4.3219 4.92163 43.7884 -5.32816 5.09494 27.9033 -1.54312 1.75772 29.1074 -1.69338 2.74957 30.7189 -4.55748 3.39435 33.0792 -6.05166 3.27137 35.6733 -7.82555 2.24128 
27 4.26728e-06 -4.03049e-06 30.5101 1.31006 -0.234526 35.6757 1.67212 -0.00888617 38.1163 -0.901639 -1.26945 38.1383 -2.82508 -2.07597 38.0953 -5.07261 -3.36517 30.334 0.779372 0.505151 35.6904 1.18519 1.77422 38.5661 -1.86234 0.203101 37.4909 -3.94627 -0.700922 35.1178 -5.61454 -1.73071 30.1579 0.248694 1.24483 35.5052 -0.409551 3.33446 40.0411 -1.90237 4.05373 42.5839 -3.12517 4.05145 45.1375 -4.06814 3.51605 29.7381 -0.351073 2.0604 34.7764 -1.53782 4.69182 38.8031 -3.43907 5.12646 41.1362 -4.37 5.00755 43.6909 -5.39623 5.18062 27.8842 -1.56076 1.75182 29.0824 -1.71499 2.75021 30.7229 -4.58784 3.27107 33.1158 -6.02093 3.07289 35.7482 -7.63284 1.88591 
27 -3.21226e-07 -3.52196e-06 30.5035 1.33963 -0.151159 35.6579 1.7572 0.169446 38.0523 -0.869234 -1.07115 37.9971 -2.79284 -1.87434 37.8508 -5.03821 -3.15943 30.3172 0.79922 0.578931 35.6386 1.24285 1.95859 38.4886 -1.82152 0.373501 37.3396 -3.86404 -0.534206 34.8562 -5.39404 -1.51761 30.131 0.258804 1.30902 35.4388 -0.3753 3.49678 39.9538 -1.93019 4.21385 42.4755 -3.1967 4.19998 45.0154 -4.17975 3.66673 29.7002 -0.353431 2.10943 34.6899 -1.53061 4.83505 38.7162 -3.43637 5.26282 41.0373 -4.39507 5.12775 43.5861 -5.43653 5.30888 27.8623 -1.57377 1.75111 29.052 -1.72854 2.7596 30.7237 -4.60083 3.17295 33.1497 -5.96769 2.91793 35.8228 -7.41313 1.6132 
27 1.17922e-06 -1.65754e-06 30.4935 1.37187 -0.0730608 35.6325 1.84866 0.333915 37.9833 -0.822419 -0.894215 37.86 -2.74406 -1.69332 37.6208 -4.9785 -2.98382 30.2992 0.821317 0.647275 35.5857 1.30594 2.1282 38.4142 -1.76847 0.524184 37.1984 -3.7696 -0.388716 34.6389 -5.20339 -1.32069 30.1049 0.270763 1.36762 35.3728 -0.335669 3.64221 39.8713 -1.94069 4.35198 42.3754 -3.24239 4.32417 44.9049 -4.25803 3.79243 29.6654 -0.354563 2.15307 34.6107 -1.51986 4.96277 38.6412 -3.41979 5.37905 40.9532 -4.39734 5.22552 43.4988 -5.44559 5.41084 27.8451 -1.58662 1.74788 29.0263 -1.74019 2.76649 30.7322 -4.60511 3.07901 33.1907 -5.90311 2.77894 35.9061 -7.18831 1.39629 
27 7.45911e-08 -2.03988e-07 30.4875 1.38884 -0.00849319 35.6137 1.90329 0.468945 37.9084 -0.819667 -0.751624 37.7159 -2.74059 -1.5413 37.3821 -4.9596 -2.84204 30.2853 0.830489 0.703618 35.5426 1.33549 2.26812 38.3374 -1.76044 0.64638 37.0527 -3.71676 -0.269268 34.4386 -5.0887 -1.14062 30.0831 0.272128 1.41573 35.3154 -0.325189 3.76151 39.7953 -1.98772 4.46011 42.2798 -3.3269 4.41876 44.7958 -4.37759 3.88321 29.6351 -0.362774 2.18861 34.5392 -1.53222 5.06815 38.5688 -3.43722 5.46895 40.8724 -4.43215 5.29863 43.4135 -5.48857 5.48454 27.827 -1.59939 1.74491 28.9998 -1.75387 2.77304 30.725 -4.61531 2.99973 33.2073 -5.85926 2.66812 35.9599 -7.01875 1.24851 
27 -3.71887e-06 -3.93326e-06 30.4772 1.41386 0.0452842 35.5898 1.9784 0.583458 37.8358 -0.788775 -0.628226 37.5874 -2.71168 -1.40245 37.1743 -4.91413 -2.71264 30.2699 0.849517 0.751187 35.4995 1.39074 2.3876 38.2736 -1.71991 0.758672 36.9359 -3.63984 -0.158006 34.2915 -4.9922 -0.966583 30.0626 0.28518 1.45709 35.265 -0.284098 3.86609 39.7345 -1.97848 4.55967 42.2073 -3.33948 4.51164 44.7147 -4.40893 3.97098 29.6093 -0.357856 2.22011 34.48 -1.51108 5.16306 38.5163 -3.4047 5.55435 40.8199 -4.39813 5.3762 43.3627 -5.44569 5.5661 27.8161 -1.60455 1.74532 28.9802 -1.7538 2.78399 30.7267 -4.60666 2.94721 33.2324 -5.79803 2.59955 36.0252 -6.85234 1.17629 
27 -5.97925e-07 -9.01132e-07 30.4702 1.42905 0.0848492 35.5728 2.02791 0.664856 37.7634 -0.782988 -0.548109 37.4614 -2.70566 -1.30766 36.9708 -4.88822 -2.62747 30.2591 0.859669 0.785562 35.469 1.4214 2.47263 38.2199 -1.7047 0.833762 36.8354 -3.59036 -0.0843921 34.1681 -4.93162 -0.833918 30.0481 0.290274 1.48627 35.2289 -0.265295 3.93836 39.6891 -1.98859 4.62003 42.1516 -3.36797 4.56319 44.6495 -4.45116 4.0105 29.5909 -0.359237 2.24141 34.4367 -1.5086 5.22831 38.4788 -3.3947 5.60459 40.785 -4.38067 5.41995 43.3306 -5.41621 5.61059 27.8076 -1.61109 1.74324 28.9647 -1.75872 2.78993 30.7205 -4.6084 2.90018 33.2422 -5.76137 2.5385 36.0645 -6.73692 1.11729 
27 1.72306e-06 1.52228e-06 30.4615 1.44746 0.121408 35.5534 2.08446 0.742753 37.6988 -0.761634 -0.46854 37.355 -2.68329 -1.2147 36.8007 -4.84868 -2.53893 30.2473 0.874136 0.817949 35.4373 1.46235 2.55338 38.1816 -1.67026 0.915935 36.7664 -3.5314 -0.00568162 34.0844 -4.86431 -0.716997 30.0331 0.300808 1.51449 35.1935 -0.232777 4.01003 39.6496 -1.96495 4.69105 42.1081 -3.35126 4.63259 44.6027 -4.43675 4.07531 29.5728 -0.354194 2.26296 34.3956 -1.48999 5.29431 38.4482 -3.35649 5.66772 40.7618 -4.32529 5.48483 43.3128 -5.34104 5.68341 27.8008 -1.61368 1.74396 28.9499 -1.7581 2.79989 30.7145 -4.60351 2.87548 33.2502 -5.7234 2.5084 36.0972 -6.63295 1.09263 
