Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -4.60825e-06 -2.80602e-06 29.6695 -0.857262 -2.49614 34.1311 -1.37325 -5.06101 36.7875 -2.03786 -2.48218 36.8093 -1.85712 -0.407611 35.9901 -1.68588 2.04491 29.7028 0.00691996 -2.16171 34.3282 0.662949 -5.10163 37.8659 -0.723249 -2.74545 37.8352 -0.943305 -0.243681 36.6549 -1.03779 2.58776 29.7361 0.8711 -1.82729 34.602 2.73577 -4.26061 38.6524 1.55937 -1.94512 38.5264 0.822431 0.780115 36.3302 0.335478 2.41309 29.5731 1.84646 -1.35481 34.3841 4.47564 -3.22208 38.685 4.04525 -2.13123 39.5195 2.82638 -0.0875463 38.7387 1.80812 2.34526 28.3895 2.01781 0.533354 29.5971 2.75898 -0.136526 32.3658 2.99237 1.73305 35.1229 2.69214 2.08868 38.1936 1.67126 2.76906 
27 -3.34065e-06 -1.96832e-06 29.6622 -0.857686 -2.50372 34.111 -1.35872 -5.09346 36.7739 -1.9597 -2.50549 36.7782 -1.7414 -0.431138 35.9707 -1.56477 2.02486 29.6883 0.0106642 -2.17963 34.2853 0.681556 -5.16014 37.8342 -0.645442 -2.78605 37.798 -0.834574 -0.281985 36.6336 -0.90658 2.55274 29.7144 0.879015 -1.85554 34.5418 2.76739 -4.34558 38.606 1.65575 -2.02023 38.4843 0.965982 0.715968 36.2744 0.419916 2.31126 29.544 1.85803 -1.39338 34.3113 4.51894 -3.32596 38.6164 4.14096 -2.23386 39.445 2.95381 -0.169636 38.6636 1.95811 2.27399 28.371 2.03877 0.50051 29.5655 2.78516 -0.186776 32.3394 3.06373 1.66889 35.101 2.78816 2.02299 38.1787 1.79446 2.71379 
27 -1.45516e-07 -1.98804e-06 29.6689 -0.856845 -2.49691 34.1198 -1.34122 -5.08634 36.7754 -1.88118 -2.476 36.7579 -1.63606 -0.404726 35.9375 -1.43854 2.04599 29.6861 0.0152425 -2.18239 34.2718 0.701946 -5.17681 37.8204 -0.565303 -2.7683 37.7663 -0.729106 -0.263414 36.6078 -0.779613 2.57207 29.7033 0.88733 -1.86788 34.5065 2.79963 -4.38611 38.5747 1.75281 -2.03192 38.4396 1.10104 0.714505 36.2486 0.490607 2.31268 29.5228 1.86951 -1.41633 34.2576 4.56157 -3.38618 38.5605 4.23547 -2.26792 39.3745 3.07973 -0.180934 38.578 2.10542 2.26843 28.3497 2.05859 0.476677 29.5351 2.81021 -0.220616 32.3038 3.13416 1.63545 35.068 2.88672 2.00455 38.1491 1.92661 2.72704 
27 4.31325e-06 -7.00141e-07 29.6734 -0.858072 -2.49168 34.1249 -1.329 -5.08318 36.7737 -1.81167 -2.45233 36.7425 -1.54576 -0.38391 35.9049 -1.31781 2.05839 29.6826 0.0174926 -2.18665 34.2564 0.716008 -5.19739 37.804 -0.494514 -2.75676 37.7352 -0.63394 -0.251258 36.5864 -0.658542 2.58917 29.6918 0.893063 -1.88161 34.4714 2.82467 -4.43074 38.542 1.83959 -2.04848 38.3962 1.21947 0.704717 36.2632 0.555755 2.35902 29.5026 1.87829 -1.44042 34.206 4.59649 -3.45046 38.5062 4.31808 -2.30623 39.3072 3.19423 -0.197701 38.4942 2.24191 2.25642 28.3305 2.07655 0.452266 29.5073 2.83209 -0.255188 32.272 3.19917 1.59884 35.0375 2.97954 1.98067 38.1201 2.04947 2.73455 
27 -6.06004e-06 -6.03498e-06 29.6817 -0.859614 -2.48217 34.139 -1.31992 -5.06704 36.7718 -1.75577 -2.41216 36.7262 -1.47407 -0.345968 35.8695 -1.22105 2.08659 29.6839 0.0187101 -2.18504 34.2536 0.72605 -5.20113 37.791 -0.439132 -2.72192 37.7052 -0.556906 -0.215825 36.557 -0.554915 2.62741 29.6861 0.89704 -1.8879 34.451 2.84343 -4.45442 38.5125 1.90961 -2.0337 38.3533 1.31211 0.723752 36.2966 0.611354 2.45761 29.4888 1.8847 -1.45574 34.1702 4.6232 -3.49124 38.4637 4.38347 -2.30994 39.2456 3.28711 -0.180679 38.4059 2.35379 2.27189 28.3139 2.09085 0.434348 29.4854 2.84921 -0.278935 32.2425 3.25087 1.57921 35.0064 3.05425 1.97777 38.0863 2.14361 2.76773 
27 1.03422e-06 -8.91476e-07 29.6788 -0.861874 -2.4846 34.1306 -1.31387 -5.08208 36.7581 -1.70948 -2.41382 36.7077 -1.41217 -0.349926 35.853 -1.14653 2.082 29.6761 0.0188163 -2.19455 34.2301 0.732371 -5.23441 37.7647 -0.39473 -2.73204 37.6774 -0.490914 -0.224612 36.5343 -0.462078 2.6229 29.6735 0.899507 -1.9045 34.4152 2.85713 -4.50645 38.4724 1.96929 -2.06273 38.3153 1.38979 0.698684 36.3408 0.668157 2.51733 29.4712 1.88929 -1.47959 34.1252 4.64365 -3.55737 38.4155 4.43849 -2.35586 39.1861 3.366 -0.211108 38.325 2.45063 2.23933 28.3015 2.10291 0.412896 29.4657 2.86325 -0.310134 32.2232 3.29358 1.54106 34.9862 3.11658 1.9428 38.0659 2.22056 2.75228 
27 -2.45273e-07 -2.30468e-06 29.6764 -0.862284 -2.48694 34.1236 -1.30494 -5.0957 36.7439 -1.66544 -2.4145 36.6867 -1.35206 -0.353168 35.8428 -1.08737 2.08454 29.6694 0.020286 -2.20275 34.2094 0.741327 -5.26311 37.7388 -0.353174 -2.73915 37.6538 -0.429835 -0.23031 36.5073 -0.378137 2.61642 29.6623 0.902863 -1.91855 34.3829 2.87208 -4.55073 38.4328 2.02621 -2.08379 38.2801 1.46049 0.68073 36.365 0.728899 2.558 29.4553 1.89422 -1.49963 34.0842 4.66386 -3.61324 38.3704 4.49115 -2.39087 39.1273 3.43702 -0.232937 38.2426 2.53787 2.21286 28.29 2.11342 0.394944 29.4477 2.8759 -0.336308 32.2046 3.32931 1.5102 34.9669 3.16984 1.91412 38.0483 2.29099 2.73733 
27 3.16154e-06 9.87844e-07 29.6698 -0.871226 -2.49093 34.1086 -1.31914 -5.1138 36.7226 -1.652 -2.42329 36.6606 -1.3198 -0.365041 35.8328 -1.05675 2.08068 29.6613 0.0131991 -2.21261 34.1872 0.726964 -5.29603 37.7115 -0.345594 -2.75605 37.6346 -0.402445 -0.245844 36.4836 -0.326875 2.59823 29.6527 0.897624 -1.93429 34.3565 2.86303 -4.59923 38.3997 2.04692 -2.11518 38.2551 1.49592 0.652736 36.3674 0.768595 2.56057 29.4444 1.89116 -1.52123 34.0555 4.66105 -3.67303 38.3385 4.5077 -2.43655 39.079 3.46701 -0.26698 38.1753 2.5884 2.17805 28.2854 2.11969 0.376106 29.4383 2.88045 -0.364358 32.1971 3.3467 1.47606 34.9603 3.19627 1.87781 38.0452 2.33417 2.70414 
27 3.71606e-06 -5.76986e-09 29.6685 -0.850049 -2.4997 34.1009 -1.26249 -5.13905 36.7114 -1.56587 -2.44323 36.6445 -1.22653 -0.386295 35.8244 -0.977034 2.06627 29.653 0.03457 -2.22228 34.1603 0.785375 -5.32419 37.6885 -0.25759 -2.77852 37.623 -0.309566 -0.267519 36.4683 -0.236962 2.57459 29.6375 0.919182 -1.94486 34.3125 2.92376 -4.63082 38.3575 2.14686 -2.13951 38.2275 1.59522 0.629008 36.3488 0.855157 2.53668 29.4218 1.91128 -1.53209 33.9983 4.72125 -3.70564 38.2805 4.60461 -2.46203 39.0114 3.56805 -0.287361 38.1049 2.69082 2.15804 28.2677 2.1315 0.369197 29.4112 2.90143 -0.376419 32.1691 3.38593 1.46064 34.936 3.25972 1.85645 38.0336 2.43692 2.67225 
27 -4.09358e-06 -6.70427e-06 29.6637 -0.834926 -2.50982 34.0865 -1.22082 -5.1691 36.6969 -1.49384 -2.47184 36.6299 -1.14774 -0.416035 35.8085 -0.894805 2.03889 29.6427 0.0501489 -2.23424 34.1293 0.828667 -5.35905 37.6652 -0.185449 -2.81364 37.6141 -0.229603 -0.30198 36.4621 -0.160073 2.54147 29.6216 0.935236 -1.95865 34.2677 2.96983 -4.67131 38.3194 2.22805 -2.18065 38.2081 1.68045 0.588849 36.3286 0.933607 2.48775 29.4001 1.92652 -1.54707 33.9434 4.76829 -3.74865 38.2273 4.68236 -2.50772 38.9523 3.65144 -0.328163 38.0548 2.77712 2.12446 28.2529 2.14201 0.358913 29.3871 2.9187 -0.39385 32.1464 3.42056 1.43647 34.917 3.31656 1.82116 38.0284 2.53312 2.61922 
