Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 1.80785e-06 -2.09991e-06 28.7443 3.30998 0.305611 31.7498 7.04465 2.28325 33.433 9.75333 4.27965 34.4327 11.2791 5.29209 35.2561 13.6345 6.0395 28.4247 2.95579 1.10072 30.9932 7.07785 3.74493 33.2814 9.93025 6.32587 34.5098 11.4409 7.9149 35.7194 13.7429 9.54382 28.1052 2.60159 1.89583 30.4768 6.22544 5.71892 32.7852 9.36204 8.58622 34.1919 11.255 10.1483 35.6705 13.418 11.0352 27.6174 2.0437 2.70327 29.8345 5.22781 7.04276 32.3164 7.75946 9.78504 33.6318 9.51689 11.0002 34.8009 11.5259 12.4747 27.2064 -0.143299 2.49471 27.2566 0.839895 3.71418 26.8626 0.755108 7.03883 27.6756 1.25231 9.67285 27.9808 1.27378 12.9634 
27 -1.2691e-07 -2.87563e-06 28.7433 3.30337 0.374887 31.7422 6.99772 2.43364 33.4298 9.65743 4.49091 34.4261 11.1624 5.53707 35.2552 13.4964 6.33486 28.4223 2.93336 1.16217 30.9842 7.00199 3.89385 33.2711 9.79497 6.53936 34.5037 11.2679 8.16043 35.7102 13.5299 9.84683 28.1013 2.56335 1.94944 30.4651 6.10974 5.84927 32.7717 9.18047 8.78551 34.1828 11.0347 10.3894 35.6564 13.1824 11.3213 27.612 1.98942 2.74467 29.8222 5.08624 7.15114 32.291 7.55921 9.95551 33.6145 9.28704 11.2029 34.7775 11.2684 12.7222 27.2017 -0.193017 2.49174 27.2474 0.766151 3.73037 26.8333 0.622664 7.05055 27.6423 1.06455 9.69451 27.9515 1.00877 12.9842 
27 -4.05009e-07 1.04461e-06 28.6995 3.31817 0.439434 31.6478 7.01027 2.57008 33.3107 9.64137 4.6834 34.2854 11.139 5.75847 35.0938 13.4581 6.6035 28.3836 2.92864 1.21931 30.891 6.97645 4.03039 33.1477 9.73779 6.73324 34.3681 11.1887 8.38292 35.5491 13.4243 10.1212 28.0677 2.53912 1.9992 30.3849 6.0391 5.96794 32.6572 9.07182 8.96608 34.0543 10.9034 10.6067 35.5037 13.0487 11.5803 27.5862 1.94335 2.78303 29.7568 4.98219 7.24955 32.1924 7.42437 10.107 33.5036 9.13952 11.3825 34.641 11.104 12.9434 27.2047 -0.238965 2.48751 27.236 0.696434 3.74463 26.8086 0.492506 7.05997 27.6181 0.887472 9.70917 27.954 0.747884 12.9941 
27 -7.67893e-06 -6.31725e-06 28.6868 3.31642 0.497634 31.6215 6.98009 2.69128 33.2863 9.56984 4.85424 34.2533 11.0533 5.95321 35.0629 13.3493 6.84121 28.3733 2.91161 1.27067 30.8669 6.91756 4.15193 33.1228 9.62963 6.90427 34.3438 11.0501 8.57925 35.5236 13.2505 10.3617 28.0598 2.50679 2.0437 30.3668 5.94345 6.07278 32.6372 8.92045 9.12468 34.0387 10.7181 10.7967 35.4893 12.8447 11.8077 27.5815 1.89505 2.81712 29.7445 4.8613 7.33582 32.1787 7.25066 10.2369 33.4922 8.94357 11.5372 34.6277 10.879 13.1345 27.2083 -0.283077 2.48257 27.2355 0.629413 3.75651 26.7979 0.374689 7.067 27.6156 0.718695 9.71879 27.984 0.494665 12.9961 
27 8.8571e-06 4.9852e-06 28.6742 3.3126 0.561762 31.5931 6.94361 2.82725 33.2536 9.4915 5.0437 34.21 10.9606 6.1688 35.0166 13.2351 7.1038 28.3614 2.89214 1.32671 30.8377 6.85177 4.28561 33.0864 9.51382 7.09237 34.3017 10.904 8.79631 35.4754 13.0698 10.6242 28.0487 2.47168 2.09166 30.3392 5.84003 6.18719 32.6011 8.7599 9.2979 34.0014 10.5241 11.0048 35.4519 12.6301 12.0579 27.572 1.8437 2.85293 29.7192 4.73244 7.42863 32.1507 7.06515 10.3768 33.4599 8.73702 11.7073 34.5925 10.6402 13.3432 27.2071 -0.329063 2.477 27.2286 0.559293 3.76799 26.7789 0.249451 7.07216 27.5966 0.544212 9.72897 27.9791 0.246477 12.9993 
27 6.21524e-06 -3.54171e-06 28.6574 3.31155 0.615214 31.5549 6.92006 2.94314 33.2019 9.43898 5.20367 34.1445 10.8986 6.35102 34.9392 13.1613 7.32619 28.3452 2.87805 1.37308 30.7978 6.80363 4.3973 33.0299 9.43208 7.24986 34.2327 10.8019 8.97899 35.391 12.9445 10.8444 28.033 2.44455 2.13095 30.3001 5.76087 6.28204 32.5443 8.64076 9.44172 33.9352 10.3828 11.1782 35.3783 12.4759 12.2674 27.5578 1.80286 2.88168 29.6827 4.63238 7.50404 32.1057 6.92357 10.4915 33.4023 8.58393 11.849 34.5275 10.4626 13.5169 27.204 -0.365645 2.47212 27.2185 0.503496 3.77621 26.7612 0.145275 7.07443 27.5696 0.408784 9.73787 27.9406 0.0756115 13.0064 
27 1.33605e-06 -1.90746e-06 28.6558 3.30339 0.661642 31.5533 6.87837 3.04262 33.1986 9.36621 5.33911 34.1379 10.8116 6.50713 34.9264 13.0639 7.51752 28.3447 2.8587 1.41344 30.7989 6.7413 4.49345 33.0291 9.33233 7.38295 34.2282 10.6797 9.13305 35.3796 12.7979 11.032 28.0335 2.414 2.16524 30.3035 5.67059 6.36277 32.547 8.50683 9.56231 33.9362 10.2256 11.3234 35.3784 12.3037 12.4436 27.5596 1.76112 2.90704 29.6885 4.52496 7.56662 32.1168 6.77015 10.5848 33.4083 8.41674 11.9657 34.5361 10.2693 13.6608 27.2068 -0.401448 2.46633 27.2226 0.449612 3.78228 26.7734 0.0402241 7.07566 27.5752 0.277933 9.74461 27.9202 -0.0644931 13.0149 
27 -5.95214e-06 -2.61974e-06 28.6639 3.29173 0.698252 31.5717 6.83003 3.12121 33.2206 9.29011 5.44486 34.1635 10.7193 6.63127 34.9472 12.9612 7.66799 28.353 2.8388 1.4452 30.8214 6.67899 4.56926 33.0565 9.23537 7.48696 34.2571 10.562 9.25331 35.4051 12.6578 11.1809 28.0421 2.38586 2.19215 30.3267 5.58661 6.42581 32.5765 8.38349 9.65588 33.9675 10.0813 11.4367 35.4119 12.1453 12.5804 27.5679 1.72524 2.92687 29.7121 4.42906 7.61424 32.1486 6.63284 10.6567 33.4403 8.26551 12.0556 34.5745 10.0951 13.7723 27.2097 -0.431178 2.46106 27.2305 0.405621 3.78605 26.7958 -0.0511185 7.07514 27.5901 0.168498 9.7483 27.8981 -0.163298 13.0225 
27 -3.26679e-07 -7.70815e-06 28.6567 3.28844 0.730327 31.555 6.80925 3.19291 33.1924 9.25427 5.54032 34.1329 10.672 6.74448 34.9002 12.9118 7.80379 28.3464 2.82778 1.47278 30.8057 6.64304 4.63635 33.0294 9.18033 7.57993 34.225 10.4945 9.36063 35.3564 12.5761 11.3153 28.036 2.36713 2.21524 30.3129 5.53126 6.48156 32.5496 8.30629 9.73936 33.9329 9.99242 11.5384 35.368 12.0509 12.7024 27.5628 1.69855 2.94342 29.7017 4.36191 7.6562 32.1279 6.54384 10.723 33.4122 8.16955 12.1376 34.5404 9.98616 13.8734 27.2094 -0.454088 2.45696 27.2291 0.371755 3.78883 26.806 -0.129178 7.07299 27.5894 0.0780578 9.74948 27.8614 -0.244548 13.0265 
27 -5.07996e-07 1.47863e-07 28.6473 3.28474 0.767277 31.5325 6.78645 3.27375 33.1583 9.21239 5.64842 34.0962 10.6172 6.87213 34.8481 12.8519 7.95639 28.3374 2.81533 1.50443 30.7834 6.60267 4.71275 32.9949 9.11626 7.68573 34.1873 10.4143 9.48138 35.3021 12.4786 11.4664 28.0276 2.34591 2.24158 30.2926 5.4691 6.54497 32.5135 8.2184 9.83412 33.8911 9.88842 11.6535 35.318 11.9385 12.8404 27.5554 1.66832 2.96205 29.6848 4.28587 7.70461 32.0984 6.44319 10.7991 33.3765 8.05871 12.2308 34.4976 9.86104 13.9879 27.2082 -0.479883 2.45216 27.2254 0.333056 3.79198 26.8106 -0.21448 7.06975 27.5885 -0.0319462 9.74766 27.8438 -0.377498 13.0225 
