Left_Hand_x Left_Hand_y Left_Hand_z Left_Pinky0_x Left_Pinky0_y Left_Pinky0_z Left_Pinky1_x Left_Pinky1_y Left_Pinky1_z Left_Pinky2_x Left_Pinky2_y Left_Pinky2_z Left_Pinky3_x Left_Pinky3_y Left_Pinky3_z Left_Pinky4_x Left_Pinky4_y Left_Pinky4_z Left_Ring0_x Left_Ring0_y Left_Ring0_z Left_Ring1_x Left_Ring1_y Left_Ring1_z Left_Ring2_x Left_Ring2_y Left_Ring2_z Left_Ring3_x Left_Ring3_y Left_Ring3_z Left_Ring4_x Left_Ring4_y Left_Ring4_z Left_Middle0_x Left_Middle0_y Left_Middle0_z Left_Middle1_x Left_Middle1_y Left_Middle1_z Left_Middle2_x Left_Middle2_y Left_Middle2_z Left_Middle3_x Left_Middle3_y Left_Middle3_z Left_Middle4_x Left_Middle4_y Left_Middle4_z Left_Index0_x Left_Index0_y Left_Index0_z Left_Index1_x Left_Index1_y Left_Index1_z Left_Index2_x Left_Index2_y Left_Index2_z Left_Index3_x Left_Index3_y Left_Index3_z Left_Index4_x Left_Index4_y Left_Index4_z Left_Thumb0_x Left_Thumb0_y Left_Thumb0_z Left_Thumb1_x Left_Thumb1_y Left_Thumb1_z Left_Thumb2_x Left_Thumb2_y Left_Thumb2_z Left_Thumb3_x Left_Thumb3_y Left_Thumb3_z Left_Thumb4_x Left_Thumb4_y Left_Thumb4_z 
27 -8.34369e-07 -4.88047e-06 28.5478 2.4038 -2.43264 31.2567 6.17837 -4.72738 34.3517 4.52629 -3.365 34.0561 3.20838 -1.77556 33.02 1.94669 0.236888 28.4633 2.71831 -1.56448 30.8569 7.41009 -3.27894 34.6698 5.4467 -2.00422 34.3328 3.50201 -0.448374 32.7907 1.47884 1.28481 28.3788 3.03281 -0.696325 30.9056 8.20086 -1.16284 35.0773 6.29081 0.343933 34.7158 3.80613 1.64065 32.2607 2.53887 1.88692 28.1481 3.22798 0.357156 31.0096 8.27769 0.852326 34.9119 10.4438 0.830227 37.4071 10.2528 0.96431 39.3632 8.55351 1.87369 27.8395 1.54123 1.79069 27.8861 3.07986 2.08515 28.5435 4.80038 4.88218 30.0764 6.53853 6.44765 31.3437 8.27835 8.94946 
27 -6.37917e-06 -3.75469e-06 28.5535 2.38414 -2.44833 31.2689 6.13019 -4.77989 34.3234 4.43755 -3.37072 33.9929 3.1385 -1.77263 32.8546 2.01986 0.268964 28.4732 2.70311 -1.58139 30.8815 7.37398 -3.32816 34.6625 5.35033 -2.03609 34.3537 3.42028 -0.456359 32.78 1.43481 1.29198 28.393 3.02208 -0.714463 30.9405 8.17696 -1.21685 35.0771 6.20208 0.303152 34.6762 3.73693 1.62535 32.1719 2.57428 1.8497 28.1665 3.22336 0.338777 31.0535 8.26174 0.805406 34.9742 10.3998 0.753514 37.4692 10.1794 0.881826 39.4162 8.46723 1.79573 27.8531 1.54496 1.78103 27.9076 3.08408 2.07157 28.5786 4.80499 4.86513 30.1162 6.54329 6.42723 31.3808 8.29201 8.92655 
27 2.2499e-07 -3.22101e-06 28.5514 2.36144 -2.47156 31.26 6.08059 -4.85125 34.2773 4.35758 -3.39416 33.9603 3.08653 -1.77105 32.6891 2.1273 0.27327 28.4753 2.68702 -1.60671 30.8843 7.33806 -3.39964 34.6436 5.28867 -2.09154 34.2742 3.38516 -0.492726 32.6853 1.43298 1.27928 28.3992 3.0126 -0.741864 30.9551 8.15775 -1.29488 35.0646 6.1419 0.239923 34.6206 3.6994 1.59008 32.0783 2.62504 1.80196 28.1772 3.2223 0.31069 31.0777 8.2552 0.733527 35.0223 10.3584 0.654896 37.5166 10.1036 0.782396 39.4536 8.38194 1.70892 27.8642 1.55549 1.76643 27.9235 3.09582 2.04953 28.6074 4.82074 4.83745 30.1436 6.56941 6.38908 31.3948 8.34782 8.87706 
27 -2.61777e-07 1.61513e-06 28.5282 2.35722 -2.48996 31.1996 6.07614 -4.90843 34.203 4.35172 -3.42603 33.9072 3.09538 -1.78753 32.5347 2.27183 0.250428 28.4561 2.68592 -1.62595 30.8305 7.33875 -3.45318 34.5879 5.29038 -2.14473 34.1758 3.40311 -0.537109 32.5878 1.46884 1.25514 28.384 3.01463 -0.761955 30.9137 8.1675 -1.35204 35.0193 6.14065 0.182169 34.5428 3.71269 1.54738 31.9768 2.69643 1.75507 28.1674 3.22768 0.29108 31.0492 8.27063 0.681223 35.0116 10.3517 0.586177 37.5059 10.0699 0.713602 39.436 8.3427 1.64963 27.8691 1.5655 1.75516 27.9238 3.10644 2.03585 28.6166 4.82641 4.82466 30.1431 6.58913 6.36787 31.3729 8.39916 8.84602 
27 -3.98479e-07 -2.46308e-06 28.4524 2.39595 -2.49836 31.0127 6.17553 -4.93796 34.0545 4.50738 -3.4758 33.7927 3.24826 -1.83365 32.3648 2.50027 0.195404 28.3831 2.72032 -1.63249 30.6353 7.42626 -3.47026 34.4371 5.43951 -2.19566 34.0238 3.54684 -0.594725 32.4779 1.5914 1.21135 28.3138 3.0447 -0.766622 30.7275 8.25037 -1.36724 34.8771 6.28098 0.131616 34.4088 3.85129 1.48766 31.8423 2.83528 1.70571 28.1045 3.24989 0.289438 30.8838 8.34696 0.669097 34.8282 10.4704 0.557715 37.3282 10.2025 0.674248 39.2764 8.49256 1.60396 27.8562 1.57726 1.75095 27.8822 3.11755 2.03927 28.5699 4.82423 4.83748 30.0682 6.61319 6.37813 31.2637 8.45088 8.85356 
27 6.55754e-07 -3.63084e-07 28.3979 2.43671 -2.49 30.8782 6.27163 -4.92062 33.9594 4.65338 -3.49151 33.6975 3.39197 -1.85112 32.221 2.6907 0.159697 28.3293 2.75362 -1.62131 30.4899 7.50676 -3.43923 34.3234 5.56404 -2.19116 33.895 3.65973 -0.60809 32.3734 1.68454 1.19707 28.2607 3.07053 -0.752629 30.5846 8.31848 -1.33115 34.762 6.38445 0.139316 34.2847 3.94835 1.47634 31.7135 2.93727 1.69391 28.0553 3.26467 0.30627 30.7535 8.40065 0.707705 34.681 10.5568 0.600502 37.1858 10.3012 0.71298 39.1389 8.59875 1.64068 27.843 1.5777 1.75695 27.8464 3.11581 2.05772 28.5265 4.79865 4.87219 30.0021 6.59779 6.42335 31.1692 8.43785 8.90989 
27 2.99358e-06 -1.26778e-06 28.3899 2.45067 -2.48074 30.8573 6.29993 -4.89809 33.956 4.70223 -3.48504 33.6545 3.45693 -1.83916 32.1193 2.80746 0.144928 28.3197 2.76426 -1.61098 30.4605 7.53058 -3.41183 34.2927 5.59053 -2.15636 33.818 3.68663 -0.58604 32.2817 1.71938 1.2154 28.2495 3.07785 -0.74122 30.5506 8.33798 -1.30169 34.7218 6.39602 0.173027 34.1973 3.96451 1.50142 31.6093 2.98402 1.70777 28.043 3.2675 0.318262 30.7187 8.4128 0.73972 34.6419 10.5691 0.644116 37.1482 10.3132 0.763188 39.0868 8.60746 1.70725 27.8363 1.57464 1.76289 27.8333 3.11179 2.06858 28.5076 4.77884 4.8938 29.9737 6.57529 6.45708 31.1218 8.40706 8.95637 
27 -1.91514e-06 -2.11291e-06 28.401 2.43239 -2.49251 30.8879 6.25597 -4.93008 33.9874 4.65613 -3.51608 33.6378 3.45164 -1.84947 32.044 2.87425 0.110506 28.3314 2.75078 -1.62444 30.4908 7.49857 -3.45007 34.3036 5.53735 -2.16899 33.7719 3.65387 -0.592335 32.2027 1.72581 1.22297 28.2618 3.06916 -0.756369 30.5803 8.31999 -1.34533 34.7291 6.35022 0.147671 34.1398 3.94095 1.49311 31.529 3.00898 1.69773 28.0552 3.26511 0.301956 30.7477 8.40502 0.697876 34.6709 10.5442 0.584376 37.1771 10.2863 0.70409 39.0993 8.58008 1.67284 27.8411 1.58062 1.75524 27.8428 3.11966 2.05126 28.5248 4.79451 4.87005 29.9953 6.59124 6.42827 31.1388 8.42627 8.92387 
27 9.93823e-07 1.32011e-06 28.4253 2.3777 -2.53117 30.9517 6.13606 -5.03194 34.0297 4.52148 -3.58145 33.6364 3.38325 -1.87841 31.9808 2.90807 0.0576717 28.3566 2.71158 -1.66887 30.558 7.40948 -3.57382 34.3381 5.41927 -2.23673 33.7437 3.58094 -0.629481 32.1279 1.72608 1.22091 28.2878 3.04546 -0.806587 30.6472 8.26973 -1.48483 34.762 6.27133 0.0547197 34.0972 3.90625 1.44708 31.4652 3.03682 1.65663 28.0807 3.26132 0.247767 30.8115 8.38921 0.559033 34.7393 10.4989 0.402193 37.2432 10.2376 0.524133 39.1524 8.54137 1.53091 27.8503 1.60395 1.72946 27.8625 3.14816 1.99692 28.5559 4.86304 4.78872 30.0372 6.67308 6.32159 31.1815 8.53681 8.79149 
27 -3.57696e-06 -6.04479e-06 28.4467 2.3186 -2.57348 31.0107 6.00677 -5.14445 34.0525 4.36152 -3.64997 33.6327 3.28929 -1.91083 31.9217 2.9227 0.000619866 28.3817 2.66838 -1.71723 30.6277 7.31069 -3.70844 34.3689 5.28378 -2.32263 33.7163 3.4951 -0.682273 32.0526 1.72385 1.20715 28.3166 3.01815 -0.860974 30.7236 8.20973 -1.63642 34.8042 6.17689 -0.0576728 34.0645 3.86059 1.38229 31.4124 3.05801 1.60199 28.1121 3.25466 0.189453 30.8901 8.36392 0.406624 34.8283 10.435 0.199054 37.3287 10.1651 0.318057 39.2312 8.47639 1.34867 27.8666 1.62614 1.70042 27.8924 3.17491 1.93897 28.6064 4.92915 4.70096 30.1061 6.74888 6.20378 31.2646 8.63845 8.64363 
