Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000406088 -4.75868e-08 -29.6632 -2.41898 1.0702 -33.7649 -5.55826 1.47871 -36.0748 -2.85794 0.227225 -35.5889 -1.0559 -0.704094 -33.6699 0.0693663 -2.03309 -29.4847 -2.40337 0.160443 -33.2873 -6.37967 -0.390197 -36.3191 -3.2206 -1.32336 -35.535 -0.891337 -1.8485 -32.9479 0.641938 -2.48958 -29.3063 -2.38774 -0.749312 -33.0703 -6.40632 -2.49401 -36.995 -3.83813 -3.61944 -36.5855 -1.0548 -3.88693 -34.1278 0.238575 -3.87445 -28.9168 -2.25274 -1.76479 -32.5086 -5.91145 -4.50453 -36.5289 -7.20888 -5.96766 -38.8387 -6.40054 -6.54746 -39.9647 -3.92115 -6.92991 -27.8329 -0.38299 -2.33361 -28.0423 -1.42912 -3.48166 -29.8727 -1.05863 -6.26162 -31.3156 -0.345768 -8.54827 -32.8791 -0.526094 -11.4568 
-27 0.00040658 1.51167e-06 -29.6502 -2.432 1.0729 -33.7351 -5.59154 1.49366 -36.0392 -2.88527 0.248414 -35.559 -1.08319 -0.685857 -33.6145 0.088646 -1.93512 -29.4734 -2.41483 0.162847 -33.2552 -6.41179 -0.381383 -36.2747 -3.23686 -1.30066 -35.4727 -0.915419 -1.83335 -32.8747 0.598354 -2.47909 -29.2966 -2.39765 -0.747209 -33.0403 -6.4378 -2.48591 -36.95 -3.84143 -3.59299 -36.511 -1.06039 -3.83634 -34.0336 0.193927 -3.86801 -28.9096 -2.26004 -1.76326 -32.4859 -5.93512 -4.50137 -36.5079 -7.24577 -5.94571 -38.8287 -6.45633 -6.50748 -39.9037 -3.95243 -6.89757 -27.8353 -0.384891 -2.33245 -28.0401 -1.43149 -3.48089 -29.8791 -1.03888 -6.25219 -31.3271 -0.327497 -8.53606 -32.8724 -0.534584 -11.4525 
-27 0.000403924 -2.49692e-06 -29.6389 -2.44678 1.06717 -33.7114 -5.62229 1.48736 -35.9992 -2.9068 0.237526 -35.511 -1.10541 -0.693855 -33.5612 0.0458556 -1.95394 -29.463 -2.42589 0.157037 -33.227 -6.43845 -0.394884 -36.2319 -3.24707 -1.30526 -35.4091 -0.934417 -1.84446 -32.7772 0.523457 -2.48431 -29.287 -2.40499 -0.753107 -33.0115 -6.45989 -2.49857 -36.9084 -3.84157 -3.59322 -36.4088 -1.07056 -3.83397 -33.9196 0.159988 -3.85067 -28.9014 -2.26243 -1.76903 -32.4603 -5.94686 -4.51722 -36.4821 -7.27333 -5.94317 -38.7983 -6.47166 -6.50701 -39.8716 -3.96395 -6.87697 -27.8356 -0.38086 -2.333 -28.0345 -1.42466 -3.48502 -29.8805 -1.00547 -6.24775 -31.3122 -0.314191 -8.54804 -32.8817 -0.477817 -11.4543 
-27 0.000406628 -8.56037e-08 -29.6229 -2.4589 1.07883 -33.6753 -5.65712 1.52008 -35.9587 -2.93592 0.274539 -35.449 -1.14087 -0.65757 -33.5007 -0.0117276 -1.93992 -29.4506 -2.43769 0.167995 -33.1942 -6.47155 -0.367266 -36.1908 -3.2694 -1.26714 -35.3319 -0.970407 -1.80836 -32.6827 0.469389 -2.41973 -29.2783 -2.41646 -0.742838 -32.9856 -6.4944 -2.47122 -36.8644 -3.84359 -3.54535 -36.3078 -1.08278 -3.7782 -33.805 0.119793 -3.78587 -28.8973 -2.27261 -1.76033 -32.4478 -5.97477 -4.49548 -36.4736 -7.30028 -5.90753 -38.7962 -6.50212 -6.45152 -39.85 -3.98779 -6.83193 -27.8428 -0.386233 -2.32951 -28.039 -1.43237 -3.47988 -29.9007 -0.999646 -6.22997 -31.3031 -0.364391 -8.56415 -32.9527 -0.425602 -11.4298 
-27 0.000405318 1.33028e-06 -29.626 -2.45701 1.07546 -33.6808 -5.653 1.51183 -35.9656 -2.93029 0.272318 -35.4252 -1.14594 -0.66305 -33.5154 0.0608951 -1.93234 -29.4534 -2.43508 0.164716 -33.1975 -6.46754 -0.377431 -36.1676 -3.23741 -1.26508 -35.2774 -0.951732 -1.81213 -32.6076 0.444907 -2.43587 -29.2807 -2.41315 -0.746035 -32.9902 -6.48583 -2.48213 -36.8565 -3.81173 -3.53745 -36.2695 -1.0584 -3.771 -33.7306 0.0657853 -3.78997 -28.8992 -2.26873 -1.76326 -32.4547 -5.96028 -4.50635 -36.4787 -7.3026 -5.90532 -38.8044 -6.51021 -6.44583 -39.8416 -3.98672 -6.81066 -27.8424 -0.382981 -2.33018 -28.0388 -1.42906 -3.48058 -29.8991 -0.958153 -6.2253 -31.3176 -0.317216 -8.54818 -32.9045 -0.413654 -11.4481 
-27 0.000404324 -3.91332e-06 -29.6063 -2.47839 1.0743 -33.6316 -5.71128 1.51181 -35.9168 -2.98327 0.28469 -35.3414 -1.21102 -0.65147 -33.455 0.00632974 -1.94559 -29.4344 -2.45414 0.163474 -33.1439 -6.51803 -0.382437 -36.1134 -3.2862 -1.26575 -35.1926 -1.00973 -1.80042 -32.5027 0.346835 -2.42881 -29.2625 -2.42987 -0.747347 -32.9367 -6.5329 -2.48702 -36.7918 -3.83992 -3.52905 -36.1685 -1.09332 -3.74915 -33.602 -0.0338989 -3.77831 -28.8827 -2.2814 -1.76463 -32.4094 -5.99545 -4.51443 -36.432 -7.35267 -5.90194 -38.7537 -6.54933 -6.44472 -39.8095 -4.03176 -6.7961 -27.8408 -0.386929 -2.33011 -28.0279 -1.43396 -3.4812 -29.8954 -0.949064 -6.21854 -31.2946 -0.299223 -8.55067 -32.9036 -0.432906 -11.4368 
-27 0.000406367 2.65327e-06 -29.5889 -2.49268 1.0833 -33.5943 -5.74781 1.53819 -35.8961 -3.03244 0.314181 -35.3038 -1.26477 -0.619647 -33.4184 -0.0652815 -1.93168 -29.4199 -2.46784 0.17194 -33.1037 -6.55683 -0.360123 -36.0507 -3.30208 -1.23463 -35.1106 -1.03382 -1.77055 -32.4198 0.322268 -2.39837 -29.2509 -2.44299 -0.739421 -32.9027 -6.57192 -2.46492 -36.7452 -3.85607 -3.48834 -36.0915 -1.11607 -3.70472 -33.4931 -0.122061 -3.74961 -28.8751 -2.29279 -1.75792 -32.3862 -6.02914 -4.49746 -36.4117 -7.38725 -5.87418 -38.7352 -6.58383 -6.4117 -39.7727 -4.05765 -6.75495 -27.8458 -0.392678 -2.32736 -28.0286 -1.44195 -3.47708 -29.9089 -0.941199 -6.2028 -31.31 -0.279094 -8.53038 -32.9131 -0.473433 -11.4163 
-27 0.000405435 -5.24227e-07 -29.5756 -2.50384 1.08928 -33.5642 -5.77834 1.55285 -35.8714 -3.06127 0.342896 -35.2723 -1.30011 -0.600637 -33.3899 -0.0882525 -1.90717 -29.4091 -2.47804 0.177497 -33.0748 -6.58421 -0.346913 -36.0107 -3.31495 -1.20441 -35.0727 -1.0472 -1.74613 -32.356 0.251747 -2.38456 -29.2425 -2.45223 -0.734285 -32.8798 -6.59733 -2.4517 -36.7143 -3.8656 -3.45704 -36.0351 -1.13065 -3.66094 -33.4419 -0.184031 -3.72538 -28.87 -2.30018 -1.75372 -32.3742 -6.04846 -4.48581 -36.4022 -7.41132 -5.84866 -38.73 -6.61815 -6.38055 -39.745 -4.08067 -6.70631 -27.8501 -0.395605 -2.32528 -28.0306 -1.44673 -3.47368 -29.9208 -0.923852 -6.18838 -31.3188 -0.261523 -8.51772 -32.9245 -0.480306 -11.4005 
-27 0.000405399 3.31666e-06 -29.5666 -2.5096 1.09727 -33.5424 -5.79801 1.57212 -35.8485 -3.07459 0.373216 -35.2525 -1.30255 -0.554596 -33.3686 -0.183789 -1.93817 -29.4025 -2.4838 0.185032 -33.0568 -6.60141 -0.329597 -35.9856 -3.32238 -1.17388 -35.0412 -1.05541 -1.70769 -32.315 0.215961 -2.36249 -29.2385 -2.45799 -0.727208 -32.8681 -6.61386 -2.43489 -36.695 -3.86613 -3.42018 -35.9817 -1.14067 -3.63733 -33.3576 -0.278429 -3.6936 -28.8691 -2.30548 -1.7477 -32.3726 -6.06058 -4.47126 -36.4051 -7.42336 -5.81923 -38.7331 -6.62921 -6.34307 -39.7433 -4.08841 -6.65689 -27.8554 -0.398685 -2.32282 -28.0356 -1.45227 -3.469 -29.9348 -0.904067 -6.17241 -31.3367 -0.270817 -8.50752 -32.9379 -0.463202 -11.3947 
-27 0.000402771 -3.10842e-06 -29.5577 -2.51888 1.09672 -33.5228 -5.81941 1.57672 -35.8332 -3.09432 0.38891 -35.2012 -1.34158 -0.554038 -33.3414 -0.179545 -1.9311 -29.3957 -2.49044 0.184193 -33.0394 -6.61737 -0.330898 -35.96 -3.3292 -1.16787 -35.0107 -1.06146 -1.68962 -32.2811 0.190668 -2.3686 -29.2338 -2.46199 -0.728335 -32.8548 -6.62521 -2.43615 -36.6725 -3.85903 -3.40101 -35.9393 -1.13985 -3.63261 -33.3046 -0.310541 -3.67498 -28.867 -2.30605 -1.74925 -32.3665 -6.06316 -4.47513 -36.4004 -7.42755 -5.81533 -38.7248 -6.62027 -6.32825 -39.7509 -4.0875 -6.65401 -27.8594 -0.39525 -2.32193 -28.0375 -1.44738 -3.46977 -29.9456 -0.86837 -6.1605 -31.3379 -0.257371 -8.5072 -32.9579 -0.406583 -11.3864 
