Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000407327 7.69047e-07 -28.8282 -3.09511 -1.08014 -31.9236 -6.38254 -3.62129 -34.61 -7.58651 -5.96722 -36.2269 -8.12756 -7.16662 -37.8757 -9.21153 -8.8479 -28.5404 -2.54462 -1.76853 -31.0485 -6.01127 -5.27075 -34.0411 -7.59582 -8.19665 -35.7615 -8.37348 -9.85026 -37.3578 -9.88216 -12.0048 -28.2526 -1.99412 -2.4569 -30.4761 -4.87045 -6.9451 -33.5004 -6.87986 -10.1267 -35.5396 -7.72207 -11.8796 -37.0549 -9.22835 -13.6569 -27.793 -1.24531 -3.11199 -29.5787 -3.4837 -8.17107 -32.4104 -5.31842 -11.1181 -34.2661 -6.18614 -12.5767 -36.2399 -7.30001 -14.1397 -27.3248 0.803761 -2.35277 -27.3144 0.46169 -3.88219 -30.1239 1.12706 -5.57919 -32.8384 1.52885 -6.11704 -35.9187 0.326284 -6.07003 
-27 0.00040461 -1.00091e-06 -28.813 -3.10196 -1.0862 -31.8904 -6.40047 -3.6348 -34.558 -7.61351 -5.9975 -36.1672 -8.16059 -7.20514 -37.8144 -9.24075 -8.88859 -28.5272 -2.54908 -1.77353 -31.0161 -6.02234 -5.28285 -33.9959 -7.61257 -8.21932 -35.7164 -8.39343 -9.87067 -37.2745 -9.92116 -12.0397 -28.2415 -1.99619 -2.46086 -30.4483 -4.87602 -6.95504 -33.4615 -6.89318 -10.1434 -35.5066 -7.73209 -11.8906 -36.9924 -9.26089 -13.6735 -27.7849 -1.24424 -3.11446 -29.5566 -3.48317 -8.17822 -32.3853 -5.32004 -11.1258 -34.2378 -6.19629 -12.5835 -36.2057 -7.32623 -14.1423 -27.3268 0.805827 -2.35179 -27.312 0.466055 -3.88169 -30.1239 1.12776 -5.5761 -32.8381 1.52794 -6.11613 -35.9048 0.290836 -6.07409 
-27 0.000404456 -1.09467e-06 -28.8073 -3.10014 -1.10074 -31.8755 -6.39617 -3.66356 -34.5297 -7.60371 -6.04416 -36.1299 -8.15438 -7.26312 -37.7598 -9.2482 -8.95375 -28.5216 -2.54405 -1.78551 -31.0003 -6.00755 -5.3117 -33.9691 -7.59942 -8.25886 -35.6742 -8.38887 -9.9215 -37.2354 -9.92705 -12.081 -28.236 -1.98795 -2.47028 -30.4333 -4.85224 -6.979 -33.4397 -6.87345 -10.1721 -35.4683 -7.72525 -11.9319 -36.9509 -9.25161 -13.7196 -27.7798 -1.23269 -3.12034 -29.5428 -3.44998 -8.19664 -32.3613 -5.29993 -11.1449 -34.206 -6.18098 -12.6095 -36.1663 -7.32013 -14.1712 -27.3255 0.814932 -2.34883 -27.311 0.482876 -3.88042 -30.1219 1.14578 -5.57619 -32.8357 1.53895 -6.12325 -35.9051 0.307801 -6.13096 
-27 0.000404587 -1.90034e-06 -28.7942 -3.10515 -1.10808 -31.8456 -6.40728 -3.68306 -34.4928 -7.63324 -6.06204 -36.0809 -8.18789 -7.29588 -37.6888 -9.30315 -8.99345 -28.5103 -2.54657 -1.79156 -30.9702 -6.01378 -5.32719 -33.94 -7.60192 -8.27581 -35.6267 -8.41426 -9.94571 -37.1677 -9.95739 -12.1161 -28.2264 -1.98797 -2.47504 -30.4077 -4.85183 -6.99181 -33.4069 -6.87642 -10.1901 -35.4277 -7.74335 -11.9511 -36.9151 -9.27194 -13.7329 -27.7728 -1.22959 -3.12329 -29.5233 -3.44461 -8.20492 -32.3344 -5.30082 -11.1554 -34.1804 -6.18377 -12.6174 -36.131 -7.33457 -14.1826 -27.3273 0.818287 -2.34742 -27.3104 0.489907 -3.87978 -30.1219 1.15582 -5.57321 -32.8395 1.53529 -6.11156 -35.9051 0.295281 -6.07983 
-27 0.000407247 -1.2365e-07 -28.7821 -3.10972 -1.11476 -31.8214 -6.41911 -3.69475 -34.4427 -7.6288 -6.11041 -36.0344 -8.19334 -7.33623 -37.6207 -9.29533 -9.06296 -28.5019 -2.54773 -1.79696 -30.9511 -6.01508 -5.33987 -33.914 -7.60974 -8.29199 -35.5952 -8.42813 -9.96401 -37.1179 -9.98585 -12.137 -28.2217 -1.98573 -2.47916 -30.3978 -4.84451 -7.00164 -33.3921 -6.87721 -10.1995 -35.4057 -7.75603 -11.9626 -36.882 -9.29291 -13.7465 -27.7726 -1.2233 -3.12581 -29.5225 -3.42847 -8.21191 -32.334 -5.29132 -11.157 -34.175 -6.18258 -12.6203 -36.1294 -7.33729 -14.1778 -27.3349 0.824128 -2.34429 -27.315 0.501305 -3.8778 -30.1298 1.16548 -5.56648 -32.8457 1.559 -6.10327 -35.904 0.302 -6.04455 
-27 0.000403437 -4.66139e-06 -28.7747 -3.1109 -1.12328 -31.8053 -6.42238 -3.71081 -34.4194 -7.64614 -6.12717 -36.0049 -8.21506 -7.35989 -37.5831 -9.32851 -9.08753 -28.496 -2.54629 -1.80393 -30.9364 -6.00993 -5.35651 -33.896 -7.6164 -8.3031 -35.5706 -8.44865 -9.97444 -37.079 -10.0127 -12.153 -28.2173 -1.98167 -2.48458 -30.3874 -4.83233 -7.01507 -33.3789 -6.8771 -10.2075 -35.3911 -7.76895 -11.9654 -36.8508 -9.31835 -13.7522 -27.7702 -1.21631 -3.12914 -29.5162 -3.4084 -8.22223 -32.3297 -5.28783 -11.1539 -34.1688 -6.185 -12.6161 -36.1201 -7.34026 -14.1769 -27.3374 0.829953 -2.34189 -27.3166 0.510111 -3.87601 -30.1336 1.17441 -5.56104 -32.8533 1.5537 -6.08834 -35.9316 0.344957 -6.08462 
-27 0.000406858 4.28178e-07 -28.7773 -3.107 -1.12993 -31.8096 -6.41331 -3.72206 -34.418 -7.63049 -6.14792 -35.9994 -8.2001 -7.38336 -37.5827 -9.32365 -9.10091 -28.499 -2.54067 -1.80933 -30.9434 -5.9933 -5.36989 -33.899 -7.61491 -8.31272 -35.5663 -8.44634 -9.99148 -37.0775 -10.0283 -12.1551 -28.2207 -1.97432 -2.48872 -30.3972 -4.80996 -7.02557 -33.3827 -6.87377 -10.2109 -35.3952 -7.7623 -11.9698 -36.8543 -9.32155 -13.7486 -27.7739 -1.20742 -3.13166 -29.5281 -3.38098 -8.22988 -32.3298 -5.27234 -11.1643 -34.1802 -6.17194 -12.6121 -36.1393 -7.33605 -14.1566 -27.3394 0.836495 -2.33927 -27.3211 0.52119 -3.87437 -30.1336 1.19007 -5.5651 -32.8511 1.59272 -6.08664 -35.9066 0.328547 -6.04068 
-27 0.000409359 2.11069e-06 -28.7686 -3.11242 -1.12856 -31.7936 -6.4254 -3.72073 -34.3988 -7.63853 -6.15203 -35.9805 -8.21225 -7.38494 -37.5523 -9.32075 -9.12449 -28.4938 -2.54459 -1.8081 -30.9333 -6.00216 -5.36723 -33.8801 -7.63712 -8.3119 -35.55 -8.46448 -9.98952 -37.0538 -10.0436 -12.1604 -28.2189 -1.97676 -2.48765 -30.3943 -4.81597 -7.02282 -33.3704 -6.89225 -10.2082 -35.3817 -7.78479 -11.9664 -36.8372 -9.34955 -13.7433 -27.7762 -1.2078 -3.13093 -29.5323 -3.38578 -8.22662 -32.3354 -5.27492 -11.1603 -34.1925 -6.17721 -12.5995 -36.1356 -7.3506 -14.1569 -27.3472 0.837039 -2.33792 -27.3299 0.524742 -3.87364 -30.1483 1.18695 -5.5571 -32.8633 1.60184 -6.08191 -35.9087 0.313257 -6.04096 
-27 0.000409562 4.18913e-06 -28.7575 -3.11301 -1.14416 -31.7679 -6.42494 -3.75461 -34.3603 -7.64729 -6.19501 -35.9372 -8.21272 -7.43745 -37.5118 -9.336 -9.16698 -28.483 -2.54174 -1.82095 -30.9057 -5.99221 -5.39845 -33.8407 -7.63053 -8.35319 -35.5081 -8.4578 -10.0328 -36.9928 -10.0447 -12.2112 -28.2085 -1.97045 -2.49773 -30.3676 -4.79778 -7.04809 -33.3258 -6.87696 -10.2476 -35.3424 -7.77074 -11.9989 -36.7104 -9.38395 -13.8019 -27.7668 -1.19771 -3.13715 -29.5066 -3.3597 -8.2452 -32.3047 -5.24516 -11.1851 -34.1621 -6.15228 -12.6229 -36.1023 -7.32652 -14.1832 -27.3451 0.84522 -2.33529 -27.3233 0.539603 -3.87229 -30.1406 1.19675 -5.55961 -32.8439 1.66329 -6.10103 -35.8733 0.338826 -6.02657 
-27 0.000408958 4.76655e-06 -28.7484 -3.10728 -1.1734 -31.7417 -6.40607 -3.81989 -34.3221 -7.63311 -6.27059 -35.8966 -8.19475 -7.5177 -37.4382 -9.31006 -9.28386 -28.4739 -2.52975 -1.84487 -30.879 -5.95739 -5.45599 -33.7988 -7.58412 -8.43228 -35.442 -8.42948 -10.126 -36.9628 -9.96269 -12.3181 -28.1995 -1.9522 -2.51635 -30.3418 -4.74631 -7.09505 -33.2846 -6.81496 -10.3151 -35.2906 -7.70913 -12.078 -36.7344 -9.26082 -13.8762 -27.7583 -1.17313 -3.14846 -29.4855 -3.29633 -8.27704 -32.2598 -5.18107 -11.239 -34.123 -6.07297 -12.6809 -36.0588 -7.24041 -14.2517 -27.3428 0.863965 -2.32876 -27.3158 0.571827 -3.8683 -29.8789 1.75601 -5.66951 -31.619 3.50533 -6.98513 -34.0259 1.34252 -6.30296 
