Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000400681 -4.43214e-06 -28.3476 -3.14339 -1.54655 -30.7482 -6.74547 -4.39403 -34.2975 -5.69984 -3.70188 -35.7154 -4.56326 -2.67786 -37.4778 -2.91837 -1.72751 -28.381 -2.39046 -2.08668 -30.5591 -5.49667 -6.10921 -34.8984 -4.91223 -5.18459 -36.6906 -3.73387 -3.87476 -38.9016 -2.25523 -2.33813 -28.4144 -1.63753 -2.6268 -30.857 -3.8206 -7.38378 -35.6158 -3.40009 -6.67687 -37.4091 -2.08785 -4.93102 -39.1957 -0.922142 -3.14892 -28.3199 -0.659626 -3.11247 -30.779 -1.75449 -8.26486 -35.2466 -1.66447 -8.15015 -37.126 -0.959494 -6.63489 -38.5625 0.129037 -4.5414 -28.1124 1.20436 -1.89722 -28.1185 1.4002 -3.45216 -29.823 2.3509 -6.17376 -30.9718 2.99255 -8.64102 -31.6697 3.69944 -11.7954 
-27 0.00040477 -1.083e-06 -28.3511 -3.11248 -1.60494 -30.7562 -6.65083 -4.52749 -34.3235 -5.65112 -3.86062 -35.8208 -4.62513 -2.83277 -37.7799 -3.17954 -1.94543 -28.3791 -2.35062 -2.13271 -30.553 -5.3797 -6.2159 -34.9088 -4.82979 -5.3498 -36.7882 -3.7424 -4.08422 -39.1703 -2.44814 -2.64196 -28.4071 -1.58876 -2.66048 -30.839 -3.68075 -7.46364 -35.6086 -3.28699 -6.81707 -37.5003 -2.056 -5.11639 -39.4554 -1.08706 -3.41663 -28.3066 -0.603325 -3.12945 -30.7501 -1.60529 -8.30812 -35.2194 -1.54314 -8.24941 -37.1435 -0.920651 -6.75436 -38.7576 0.0996732 -4.75591 -28.0986 1.23957 -1.88255 -28.0985 1.4565 -3.43471 -29.8041 2.46061 -6.13629 -30.9476 3.17952 -8.58465 -31.5819 3.87739 -11.7544 
-27 0.000408399 2.76625e-06 -28.2983 -3.0954 -1.67977 -30.6568 -6.59126 -4.69017 -34.2487 -5.65419 -4.0655 -35.786 -4.68418 -3.0425 -37.8975 -3.42824 -2.21833 -28.3253 -2.3246 -2.19444 -30.4207 -5.30066 -6.35687 -34.7915 -4.77071 -5.55608 -36.7493 -3.75895 -4.34804 -39.2497 -2.58493 -3.00436 -28.3523 -1.5538 -2.7091 -30.6875 -3.58808 -7.58449 -35.4655 -3.20293 -6.99729 -37.4392 -2.05361 -5.33311 -39.5427 -1.21073 -3.71318 -28.2537 -0.559359 -3.1591 -30.59 -1.50372 -8.39772 -35.0599 -1.44911 -8.39018 -37.0262 -0.85264 -6.93995 -38.752 0.0623198 -4.99041 -28.0814 1.26294 -1.87699 -28.0542 1.51403 -3.42375 -29.7146 2.54215 -6.14444 -30.8094 3.28001 -8.60937 -31.4651 4.04425 -11.7594 
-27 0.000407682 4.31752e-06 -28.2763 -3.0783 -1.72737 -30.609 -6.54121 -4.79541 -34.2211 -5.64411 -4.23131 -35.8012 -4.7325 -3.21984 -37.9553 -3.51355 -2.45228 -28.2979 -2.30213 -2.23417 -30.3479 -5.23925 -6.44657 -34.7355 -4.72948 -5.72944 -36.745 -3.76118 -4.5716 -39.3413 -2.68233 -3.32686 -28.3194 -1.52596 -2.74096 -30.5948 -3.51465 -7.66321 -35.3833 -3.16436 -7.1441 -37.4164 -2.04299 -5.53314 -39.6062 -1.29462 -4.00301 -28.2163 -0.526766 -3.17927 -30.4849 -1.42575 -8.45551 -34.9547 -1.38803 -8.51916 -36.9669 -0.848351 -7.11158 -38.7816 -0.00596945 -5.22088 -28.0603 1.28201 -1.8761 -28.0122 1.55279 -3.41902 -29.6391 2.59564 -6.15426 -30.7079 3.3559 -8.62377 -31.3321 4.15428 -11.7717 
-27 0.00040368 1.03822e-06 -28.2451 -3.05908 -1.78339 -30.5215 -6.49087 -4.92772 -34.1416 -5.59786 -4.41045 -35.7563 -4.71354 -3.42974 -37.9574 -3.55446 -2.70406 -28.2558 -2.27781 -2.28264 -30.2229 -5.16985 -6.56518 -34.6227 -4.67723 -5.9133 -36.6589 -3.72258 -4.79154 -39.3448 -2.75031 -3.64423 -28.2664 -1.49654 -2.78188 -30.442 -3.43265 -7.76981 -35.238 -3.08077 -7.32729 -37.3411 -2.01464 -5.76957 -39.6171 -1.34688 -4.32956 -28.1535 -0.493109 -3.20794 -30.3096 -1.33242 -8.5409 -34.7785 -1.30737 -8.6583 -36.8438 -0.821901 -7.30907 -38.7362 -0.041987 -5.4685 -28.0215 1.30223 -1.8837 -27.9476 1.58287 -3.42384 -29.5273 2.64383 -6.17974 -30.5624 3.45725 -8.64665 -31.0752 4.25138 -11.8157 
-27 0.000405324 -5.15896e-07 -28.226 -3.03598 -1.83539 -30.466 -6.42989 -5.04627 -34.1007 -5.54989 -4.61684 -35.7459 -4.69279 -3.66316 -37.9789 -3.56275 -2.99092 -28.2296 -2.24876 -2.32531 -30.1488 -5.08622 -6.66569 -34.5623 -4.60149 -6.10775 -36.6431 -3.68504 -5.03702 -39.3648 -2.73255 -3.95987 -28.2331 -1.46155 -2.81524 -30.3557 -3.33338 -7.8503 -35.1619 -3.00291 -7.51412 -37.3034 -1.97341 -5.98437 -39.6486 -1.34091 -4.63959 -28.1139 -0.453222 -3.22778 -30.2153 -1.22038 -8.59332 -34.6806 -1.2236 -8.81419 -36.7901 -0.791698 -7.51478 -38.7281 -0.0323532 -5.71336 -27.9965 1.32596 -1.88054 -27.9032 1.62258 -3.41664 -29.4659 2.71024 -6.17181 -30.4602 3.53565 -8.65151 -30.9108 4.38519 -11.8157 
-27 0.000402314 -1.36685e-06 -28.1953 -3.01554 -1.88859 -30.3869 -6.37268 -5.17072 -34.0357 -5.51925 -4.81273 -35.6968 -4.668 -3.88171 -37.9951 -3.62563 -3.29311 -28.1901 -2.22315 -2.37007 -30.0369 -5.01449 -6.77135 -34.4608 -4.53734 -6.29471 -36.5779 -3.63949 -5.28097 -39.3206 -2.70715 -4.23997 -28.1849 -1.43075 -2.85155 -30.2203 -3.24814 -7.94225 -35.0333 -2.94966 -7.68106 -37.1828 -1.89327 -6.18123 -39.596 -1.33755 -4.92182 -28.0582 -0.418144 -3.25118 -30.065 -1.12897 -8.66049 -34.5256 -1.13029 -8.9656 -36.6562 -0.704653 -7.69881 -38.6776 -0.0152689 -5.96215 -27.9633 1.34649 -1.88321 -27.8468 1.66076 -3.4142 -29.3708 2.77763 -6.17937 -30.3136 3.62334 -8.67232 -30.7011 4.49752 -11.8381 
-27 0.000405579 3.48339e-06 -28.1508 -3.00517 -1.93221 -30.2704 -6.35228 -5.2714 -33.9266 -5.50474 -4.97821 -35.6289 -4.6929 -4.08713 -37.9774 -3.73787 -3.55083 -28.1372 -2.20965 -2.40834 -29.8874 -4.97925 -6.86249 -34.3209 -4.52044 -6.46427 -36.468 -3.64109 -5.49819 -39.2471 -2.73942 -4.52351 -28.1236 -1.41412 -2.88448 -30.0461 -3.2059 -8.02787 -34.8633 -2.92194 -7.8373 -37.0543 -1.89754 -6.37677 -39.5069 -1.38716 -5.17218 -27.9905 -0.39873 -3.27485 -29.876 -1.07717 -8.73177 -34.3321 -1.09885 -9.09901 -36.4785 -0.678128 -7.85744 -38.5607 0.0131525 -6.17123 -27.927 1.35712 -1.89381 -27.7812 1.67967 -3.42056 -29.2632 2.80532 -6.20489 -30.1689 3.68043 -8.70143 -30.4491 4.54208 -11.882 
-27 0.000405335 2.26937e-07 -28.1058 -2.99432 -1.97492 -30.1523 -6.3221 -5.37836 -33.816 -5.4858 -5.14807 -35.5505 -4.72797 -4.27169 -37.9009 -3.73175 -3.8265 -28.0844 -2.19556 -2.44532 -29.7383 -4.94131 -6.95072 -34.1797 -4.49362 -6.63127 -36.3491 -3.62453 -5.7065 -39.1652 -2.75352 -4.81347 -28.063 -1.3968 -2.91571 -29.8747 -3.16014 -8.10891 -34.6946 -2.88333 -7.9916 -36.923 -1.90031 -6.5605 -39.4122 -1.42206 -5.4196 -27.9243 -0.378522 -3.29653 -29.6946 -1.02881 -8.79533 -34.1446 -1.05926 -9.2317 -36.3114 -0.674279 -8.01421 -38.4664 0.0139163 -6.41957 -27.892 1.36806 -1.90271 -27.7171 1.70061 -3.42425 -29.1484 2.84899 -6.2258 -30.0056 3.74092 -8.73351 -30.2236 4.59801 -11.9201 
-27 0.000407273 1.32108e-06 -28.0565 -2.99312 -2.00348 -30.0284 -6.31938 -5.45219 -33.7001 -5.49996 -5.29553 -35.4662 -4.76586 -4.46321 -37.8424 -3.8095 -4.07029 -28.0281 -2.19322 -2.47156 -29.5819 -4.93649 -7.01398 -34.0298 -4.49535 -6.77793 -36.2289 -3.65855 -5.89436 -39.068 -2.79118 -5.07339 -27.9998 -1.39331 -2.93963 -29.696 -3.15308 -8.17292 -34.5173 -2.88069 -8.12385 -36.798 -1.95823 -6.73674 -39.293 -1.42358 -5.63416 -27.8567 -0.373735 -3.31529 -29.5048 -1.02162 -8.85221 -33.9494 -1.04381 -9.34296 -36.1484 -0.68892 -8.17512 -38.3368 -0.0419909 -6.60862 -27.8578 1.3697 -1.91718 -27.6545 1.70351 -3.4349 -29.0449 2.83541 -6.26359 -29.8442 3.76453 -8.7769 -29.9989 4.59538 -11.9741 
-27 0.0004041 -4.63327e-06 -28.0063 -2.99177 -2.03116 -29.8989 -6.32316 -5.51912 -33.5765 -5.51796 -5.43436 -35.3833 -4.82342 -4.65737 -37.7555 -3.84508 -4.29582 -27.9703 -2.19083 -2.49693 -29.4195 -4.93342 -7.07423 -33.8717 -4.49449 -6.91748 -36.0978 -3.68159 -6.08038 -38.9626 -2.83523 -5.32986 -27.9343 -1.38988 -2.9627 -29.5122 -3.14752 -8.23356 -34.3345 -2.88986 -8.26676 -36.6511 -1.99723 -6.92124 -39.1544 -1.43563 -5.85158 -27.7862 -0.369152 -3.33323 -29.3087 -1.01014 -8.90677 -33.7452 -1.05058 -9.46621 -35.9617 -0.691305 -8.33327 -38.1962 -0.0862926 -6.81526 -27.8213 1.37138 -1.93194 -27.5876 1.70672 -3.44496 -28.9294 2.84811 -6.29328 -29.6783 3.77105 -8.82434 -29.7552 4.59505 -12.0262 
