Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000406492 -1.32397e-06 -27.84 -3.40046 -1.34898 -29.1822 -7.44259 -4.29951 -32.3523 -7.62153 -6.32149 -34.1972 -7.70702 -7.29101 -36.3174 -8.06629 -8.73031 -27.374 -2.848 -1.92983 -27.4016 -7.01975 -5.55879 -31.3244 -5.67837 -7.24346 -31.6354 -3.34543 -6.35734 -30.7812 -0.969483 -4.59157 -26.908 -2.29554 -2.51069 -26.3152 -5.8652 -7.0126 -30.5468 -4.39553 -8.82182 -31.0806 -2.1664 -7.1689 -29.8382 -0.700226 -5.16115 -26.3242 -1.51835 -3.01691 -25.1153 -4.25569 -8.00075 -28.967 -3.02557 -9.89461 -30.3573 -1.40208 -8.57326 -30.4137 0.096919 -6.26519 -26.46 0.616358 -2.36967 -25.6898 0.279253 -3.69232 -27.3894 1.1433 -6.44564 -29.2171 1.94036 -8.40604 -31.5516 -0.199362 -9.35893 
-27 0.000406963 1.87188e-06 -27.8304 -3.40384 -1.34645 -29.1626 -7.45796 -4.28501 -32.3318 -7.59191 -6.31185 -34.1849 -7.67072 -7.26635 -36.3081 -8.03531 -8.69994 -27.3666 -2.85024 -1.92797 -27.3793 -7.02688 -5.55137 -31.3052 -5.66087 -7.20896 -31.601 -3.33161 -6.30695 -30.7307 -0.98214 -4.51863 -26.9028 -2.29663 -2.50949 -26.296 -5.86969 -7.00683 -30.5437 -4.37827 -8.76372 -31.0518 -2.14994 -7.10166 -29.7836 -0.715379 -5.08701 -26.3218 -1.51788 -3.0166 -25.1008 -4.25263 -7.99894 -28.9697 -3.01478 -9.85268 -30.3516 -1.39842 -8.5145 -30.3062 0.0671226 -6.1848 -26.4638 0.616746 -2.37043 -25.6942 0.281195 -3.69382 -27.4064 1.14207 -6.44029 -29.207 1.93245 -8.42825 -31.5809 -0.198645 -9.29989 
-27 0.000399695 -4.89007e-06 -27.8396 -3.40178 -1.34592 -29.1815 -7.44389 -4.29662 -32.3674 -7.59233 -6.29606 -34.2233 -7.6685 -7.24595 -36.341 -8.0196 -8.69112 -27.3773 -2.8483 -1.92876 -27.406 -7.01969 -5.55811 -31.3432 -5.65088 -7.18788 -31.5938 -3.33542 -6.23925 -30.7322 -1.007 -4.42382 -26.9151 -2.29481 -2.51161 -26.324 -5.86311 -7.01483 -30.588 -4.35811 -8.72077 -31.0468 -2.1447 -7.02478 -29.7904 -0.703188 -5.00756 -26.3351 -1.51637 -3.02032 -25.1365 -4.25366 -8.0067 -29.0221 -3.01472 -9.82482 -30.3706 -1.39686 -8.45507 -30.3016 0.0457559 -6.11168 -26.472 0.617924 -2.37197 -25.7084 0.281871 -3.69868 -27.4356 1.14902 -6.43373 -29.2711 1.92793 -8.3942 -31.6373 -0.216007 -9.25498 
-27 0.000409263 1.47952e-06 -27.8488 -3.40301 -1.337 -29.2281 -7.44319 -4.27303 -32.3954 -7.58664 -6.30224 -34.2573 -7.64958 -7.24226 -36.376 -8.01775 -8.68165 -27.3884 -2.85094 -1.92266 -27.4428 -7.02895 -5.54407 -31.3761 -5.62689 -7.15621 -31.6015 -3.31831 -6.18703 -30.6749 -1.01877 -4.36662 -26.928 -2.29885 -2.50832 -26.3598 -5.88043 -7.00391 -30.6181 -4.347 -8.68822 -31.0141 -2.15092 -6.95429 -29.7964 -0.6935 -4.9246 -26.3494 -1.52181 -3.02068 -25.1641 -4.27371 -8.0022 -29.0525 -3.00651 -9.79501 -30.3829 -1.39978 -8.39487 -30.2722 0.0497639 -6.05736 -26.4813 0.613642 -2.37514 -25.721 0.27903 -3.70411 -27.4635 1.14607 -6.42954 -29.3121 1.93086 -8.37515 -31.6667 -0.23878 -9.20296 
-27 0.000406849 1.04479e-06 -27.8678 -3.40177 -1.32791 -29.2763 -7.44145 -4.25079 -32.4496 -7.57467 -6.27127 -34.3141 -7.62756 -7.2075 -36.4448 -8.00292 -8.62734 -27.4067 -2.85287 -1.91599 -27.4891 -7.03854 -5.52803 -31.4254 -5.61808 -7.11492 -31.6112 -3.31445 -6.12759 -30.6807 -1.01533 -4.30839 -26.9457 -2.30396 -2.50407 -26.4035 -5.89806 -6.99288 -30.6635 -4.33889 -8.64932 -30.9997 -2.17535 -6.86269 -29.7193 -0.696728 -4.88767 -26.3651 -1.53049 -3.01965 -25.2027 -4.2981 -7.99785 -29.1003 -3.00804 -9.75441 -30.4126 -1.39818 -8.34083 -30.2515 0.0167908 -5.98514 -26.4857 0.60677 -2.37784 -25.7339 0.265354 -3.70996 -27.4877 1.13291 -6.42794 -29.3966 1.93721 -8.30625 -31.6524 -0.296389 -9.23316 
-27 0.000406821 -2.16098e-06 -27.8725 -3.41077 -1.30153 -29.281 -7.4697 -4.19759 -32.4724 -7.58649 -6.20043 -34.345 -7.63713 -7.12157 -36.4543 -8.014 -8.57272 -27.4122 -2.8664 -1.8945 -27.5012 -7.07922 -5.47467 -31.4373 -5.63921 -7.04284 -31.6296 -3.33233 -6.06443 -30.6309 -1.05495 -4.25389 -26.952 -2.32201 -2.48745 -26.4173 -5.95035 -6.94956 -30.6764 -4.36829 -8.58642 -31.001 -2.21896 -6.78057 -29.6931 -0.720068 -4.83682 -26.3721 -1.55264 -3.00977 -25.2213 -4.36344 -7.96642 -29.1224 -3.05075 -9.69851 -30.4203 -1.43751 -8.27521 -30.2457 -0.0284046 -5.91697 -26.4901 0.589271 -2.38319 -25.739 0.237522 -3.713 -27.5084 1.10597 -6.42061 -29.459 1.93638 -8.24389 -31.6087 -0.391979 -9.18953 
-27 0.000414036 6.97397e-06 -27.8753 -3.42058 -1.2736 -29.2876 -7.50197 -4.136 -32.4744 -7.6289 -6.13562 -34.3434 -7.67716 -7.06483 -36.4717 -8.06287 -8.48575 -27.4146 -2.88143 -1.871 -27.5056 -7.12388 -5.41597 -31.4403 -5.68221 -6.98664 -31.6009 -3.37577 -6.00146 -30.605 -1.07729 -4.216 -26.954 -2.34228 -2.46841 -26.4199 -6.0084 -6.89959 -30.6766 -4.41904 -8.53595 -30.9822 -2.27725 -6.71787 -29.672 -0.753502 -4.79279 -26.3735 -1.57766 -2.99701 -25.2228 -4.43169 -7.92895 -29.1275 -3.11961 -9.65382 -30.4199 -1.50391 -8.22788 -30.2144 -0.0933654 -5.87298 -26.4898 0.569383 -2.38794 -25.739 0.205828 -3.71474 -27.5232 1.05143 -6.4198 -29.4261 1.82604 -8.31656 -31.664 -0.474811 -9.1132 
-27 0.000413727 8.3915e-06 -27.8742 -3.42725 -1.25625 -29.2807 -7.52505 -4.09802 -32.4632 -7.65641 -6.10416 -34.3323 -7.70277 -7.0339 -36.4549 -8.10527 -8.45876 -27.4117 -2.89182 -1.85556 -27.4948 -7.15502 -5.37574 -31.4308 -5.71677 -6.94687 -31.5768 -3.40079 -5.98205 -30.5438 -1.13179 -4.17992 -26.9493 -2.35637 -2.45487 -26.4047 -6.0487 -6.86295 -30.6673 -4.4663 -8.49113 -30.9838 -2.29474 -6.71062 -29.6079 -0.833721 -4.78915 -26.3669 -1.59513 -2.98637 -25.205 -4.47963 -7.89789 -29.1115 -3.17594 -9.62529 -30.3761 -1.55009 -8.18557 -30.2251 -0.112204 -5.84312 -26.4834 0.555429 -2.38985 -25.7313 0.183978 -3.71374 -27.5145 1.01138 -6.42515 -29.4166 1.76742 -8.33023 -31.6457 -0.554267 -9.09008 
-27 0.000405972 -1.69287e-06 -27.8674 -3.43518 -1.23921 -29.2622 -7.54927 -4.06318 -32.445 -7.67391 -6.06913 -34.3123 -7.71152 -7.00338 -36.4409 -8.10455 -8.42189 -27.405 -2.90221 -1.84076 -27.476 -7.18451 -5.33794 -31.4086 -5.74263 -6.91467 -31.5371 -3.42774 -5.94488 -30.4911 -1.15286 -4.15755 -26.9426 -2.36923 -2.44232 -26.3844 -6.08496 -6.82898 -30.6471 -4.49627 -8.4511 -30.9518 -2.28598 -6.71677 -29.5472 -0.896285 -4.76286 -26.3607 -1.60992 -2.97711 -25.1866 -4.52067 -7.8702 -29.0912 -3.21776 -9.603 -30.3468 -1.58994 -8.15716 -30.1696 -0.144015 -5.82151 -26.4813 0.543578 -2.39212 -25.7257 0.168673 -3.71305 -27.5073 0.981573 -6.42986 -29.3999 1.73406 -8.34575 -31.6394 -0.594256 -9.05312 
-27 0.00040728 -2.75847e-07 -27.8672 -3.43561 -1.23818 -29.2608 -7.55186 -4.05956 -32.4396 -7.65929 -6.06984 -34.3069 -7.69603 -7.00399 -36.4279 -8.08787 -8.43433 -27.4036 -2.90329 -1.83938 -27.4698 -7.18851 -5.3331 -31.3993 -5.73937 -6.91104 -31.4893 -3.42756 -5.92971 -30.4732 -1.13797 -4.14379 -26.9399 -2.37096 -2.44058 -26.3747 -6.0908 -6.82285 -30.6391 -4.4966 -8.4359 -30.928 -2.27419 -6.71443 -29.5084 -0.912985 -4.75018 -26.3568 -1.61231 -2.97497 -25.1739 -4.52637 -7.86396 -29.0815 -3.2282 -9.59381 -30.33 -1.59422 -8.14819 -30.1318 -0.177992 -5.79608 -26.4772 0.541652 -2.39167 -25.7205 0.165341 -3.71156 -27.4949 0.98142 -6.43218 -29.3878 1.72232 -8.35229 -31.615 -0.619675 -9.05321 
