Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000399603 -4.46015e-06 -28.2046 -3.1714 -1.60622 -30.442 -6.9871 -4.30446 -33.5191 -5.02875 -3.37391 -33.6843 -3.1404 -2.50346 -32.7249 -0.759443 -2.14896 -28.2442 -2.41605 -2.14252 -30.0995 -5.69844 -6.18695 -33.9649 -4.15668 -4.53011 -33.3804 -1.94441 -3.4993 -31.0718 0.0603104 -3.34321 -28.2838 -1.6607 -2.67884 -30.4635 -4.03363 -7.4725 -35.2722 -3.81439 -7.08542 -36.4866 -2.03768 -5.25388 -35.3765 -0.0232117 -3.69315 -28.2039 -0.677025 -3.15543 -30.245 -1.90671 -8.45783 -34.7116 -1.74729 -8.52599 -35.874 -0.639037 -6.58901 -34.3679 0.2783 -4.47532 -28.0899 1.18379 -1.92308 -28.2717 1.2404 -3.47872 -31.6141 1.24646 -3.68915 -34.3889 1.3977 -3.37835 -37.1603 -0.395765 -3.1798 
-27 0.000408699 6.85007e-06 -28.2442 -3.1678 -1.58298 -30.5308 -6.96873 -4.26066 -33.6006 -5.02571 -3.27515 -33.7518 -3.13922 -2.39815 -32.8597 -0.733586 -2.03653 -28.2803 -2.41469 -2.12266 -30.1938 -5.69868 -6.13855 -34.0449 -4.16737 -4.44062 -33.4538 -1.95888 -3.40559 -31.1337 0.0453385 -3.28731 -28.3165 -1.66157 -2.66234 -30.5612 -4.03736 -7.42451 -35.3729 -3.82234 -7.07399 -36.6359 -2.07939 -5.24284 -35.4757 -0.140027 -3.62436 -28.2308 -0.680956 -3.14418 -30.3296 -1.92515 -8.42059 -34.7965 -1.76414 -8.45723 -35.9753 -0.664912 -6.52665 -34.4439 0.225469 -4.41967 -28.0916 1.18458 -1.9216 -28.2872 1.21718 -3.47625 -31.6319 1.18569 -3.64282 -34.4064 1.29062 -3.31076 -37.1945 -0.478992 -3.13337 
-27 0.0004049 2.97869e-06 -28.3089 -3.16343 -1.53889 -30.6854 -6.96195 -4.1407 -33.7001 -4.93334 -3.15751 -33.8009 -3.03386 -2.30153 -32.8639 -0.641789 -1.96722 -28.3422 -2.4144 -2.08441 -30.3559 -5.7083 -6.04281 -34.1531 -4.08398 -4.31216 -33.551 -1.87426 -3.28626 -31.2127 0.122573 -3.20311 -28.3756 -1.66537 -2.62992 -30.7158 -4.05283 -7.33993 -35.5181 -3.77899 -6.90968 -36.7612 -2.00912 -5.09076 -35.6113 -0.035366 -3.50694 -28.2831 -0.690063 -3.12121 -30.4653 -1.94711 -8.36061 -34.9304 -1.74178 -8.32165 -36.1113 -0.621725 -6.40441 -34.5558 0.299506 -4.32856 -28.1016 1.18348 -1.91655 -28.3204 1.20081 -3.46835 -31.667 1.1842 -3.59521 -34.4362 1.32607 -3.23401 -37.2673 -0.36409 -2.9797 
-27 0.000406774 6.83073e-07 -28.3992 -3.15258 -1.48061 -30.9019 -6.92969 -3.99378 -33.8571 -4.8416 -2.95637 -33.9161 -2.93873 -2.10709 -32.9428 -0.554869 -1.82459 -28.4323 -2.4076 -2.03166 -30.5957 -5.69926 -5.91216 -34.3257 -4.01028 -4.10109 -33.6875 -1.79948 -3.09973 -31.3372 0.188184 -3.07296 -28.4654 -1.66263 -2.58272 -30.9607 -4.04796 -7.21356 -35.7516 -3.72449 -6.69907 -36.9827 -1.95083 -4.8757 -36.0514 0.0896724 -3.23389 -28.3676 -0.693179 -3.08444 -30.6996 -1.95644 -8.25739 -35.1622 -1.72899 -8.14116 -36.3935 -0.565254 -6.28246 -35.0502 0.522994 -4.14038 -28.1255 1.18676 -1.90057 -28.3887 1.19076 -3.44557 -31.7366 1.20769 -3.52862 -34.4966 1.3651 -3.10852 -37.3528 -0.275578 -2.81298 
-27 0.000404105 1.32513e-06 -28.5095 -3.12875 -1.42169 -31.1733 -6.86696 -3.82498 -34.0589 -4.73478 -2.68612 -34.0302 -2.81361 -1.87519 -33.1173 -0.431482 -1.4285 -28.5517 -2.38341 -1.97162 -30.9263 -5.63476 -5.76155 -34.57 -3.91562 -3.81043 -33.8884 -1.69195 -2.86794 -31.5392 0.297661 -2.84309 -28.594 -1.63806 -2.52154 -31.3213 -3.9766 -7.04411 -36.0955 -3.6383 -6.39992 -37.359 -1.89279 -4.57156 -36.8327 0.181748 -2.79792 -28.4997 -0.670468 -3.02753 -31.0768 -1.88239 -8.09538 -35.54 -1.67229 -7.96854 -36.9041 -0.566828 -6.16788 -36.033 0.800042 -3.94297 -28.1795 1.2053 -1.85567 -28.5183 1.21467 -3.38582 -31.8668 1.25706 -3.42461 -34.6287 1.39976 -3.01126 -37.4636 -0.267557 -2.66492 
-27 0.000414212 6.98698e-07 -28.6151 -3.10872 -1.34758 -31.4411 -6.80079 -3.6341 -34.2493 -4.63812 -2.36644 -34.1765 -2.72266 -1.5423 -33.2708 -0.345143 -1.06074 -28.6713 -2.36349 -1.89642 -31.2639 -5.58171 -5.56996 -34.8093 -3.83147 -3.47252 -34.0868 -1.61967 -2.53256 -31.7457 0.379709 -2.58381 -28.7275 -1.61826 -2.44526 -31.6925 -3.9219 -6.83417 -36.436 -3.50722 -6.02811 -37.6938 -1.80808 -4.15279 -37.4929 0.267024 -2.3143 -28.6421 -0.652697 -2.95667 -31.4815 -1.84004 -7.88834 -35.9426 -1.59607 -7.74538 -37.4386 -0.555792 -6.01196 -37.1114 0.885272 -3.68955 -28.2437 1.21971 -1.80357 -28.6625 1.23132 -3.31381 -32.0109 1.28517 -3.28754 -34.7686 1.41002 -2.84173 -37.6046 -0.246377 -2.45469 
-27 0.00041928 2.46286e-06 -28.7183 -3.08106 -1.28192 -31.7032 -6.71697 -3.45366 -34.4203 -4.52425 -2.04683 -34.3174 -2.61135 -1.21746 -33.3059 -0.270113 -0.773296 -28.7896 -2.33291 -1.82502 -31.598 -5.4975 -5.38475 -35.0235 -3.71821 -3.12069 -34.2581 -1.52318 -2.1753 -31.9019 0.452038 -2.3503 -28.8608 -1.58477 -2.36811 -32.0553 -3.82957 -6.62458 -36.7381 -3.32817 -5.55615 -37.9016 -1.62981 -3.62017 -37.8289 0.40772 -1.73081 -28.786 -0.618389 -2.87962 -31.8853 -1.74981 -7.66582 -36.3444 -1.49792 -7.48212 -37.9568 -0.529327 -5.81263 -38.1465 0.879879 -3.45562 -28.309 1.24376 -1.73981 -28.8007 1.26816 -3.22776 -32.1461 1.35658 -3.10069 -34.8834 1.53437 -2.55825 -37.6948 -0.130303 -2.04662 
-27 0.000407741 1.56383e-06 -28.8168 -3.05247 -1.21274 -31.9541 -6.63252 -3.25872 -34.5751 -4.40308 -1.73228 -34.4104 -2.5196 -0.845512 -33.3501 -0.174769 -0.569086 -28.9046 -2.30053 -1.74811 -31.924 -5.40575 -5.18533 -35.2103 -3.58221 -2.75624 -34.3405 -1.41053 -1.84788 -31.9588 0.522695 -2.12519 -28.9925 -1.54858 -2.28347 -32.4101 -3.72834 -6.39804 -36.9954 -3.12208 -5.0092 -37.964 -1.40419 -2.98513 -37.743 0.594436 -1.06597 -28.9302 -0.58041 -2.79325 -32.2837 -1.643 -7.42124 -36.7365 -1.3976 -7.11731 -38.4063 -0.479234 -5.47608 -39.022 0.939614 -3.199 -28.3754 1.2694 -1.66864 -28.9437 1.31182 -3.12862 -32.2798 1.45232 -2.87058 -34.9932 1.64789 -2.22384 -37.7638 -0.0459447 -1.59832 
-27 0.00040414 2.42331e-06 -28.8976 -3.02931 -1.14509 -32.1581 -6.56227 -3.07738 -34.6876 -4.31933 -1.42187 -34.4171 -2.4456 -0.539176 -33.2765 -0.13402 -0.31348 -29.0027 -2.27364 -1.67203 -32.2017 -5.3269 -4.99129 -35.321 -3.4596 -2.38292 -34.3595 -1.31172 -1.51104 -31.9689 0.594697 -1.88468 -29.1078 -1.51796 -2.19896 -32.7134 -3.6436 -6.17916 -37.1417 -2.86722 -4.41576 -37.8465 -1.10803 -2.31944 -37.3829 0.829336 -0.38084 -29.0597 -0.54754 -2.70601 -32.6372 -1.55049 -7.17694 -37.0704 -1.25558 -6.68718 -38.7551 -0.378083 -5.03885 -39.5475 1.00419 -2.79413 -28.4378 1.29093 -1.59809 -29.0714 1.34833 -3.03038 -32.396 1.52084 -2.66537 -35.082 1.74283 -1.92024 -37.796 0.0147702 -1.15602 
-27 0.000405413 1.67041e-06 -28.9839 -3.00127 -1.07036 -32.3712 -6.48055 -2.87764 -34.785 -4.19271 -1.11428 -34.4338 -2.3327 -0.232468 -33.2244 -0.0518419 -0.0690418 -29.1022 -2.24249 -1.58998 -32.4832 -5.23717 -4.77971 -35.446 -3.30475 -2.04058 -34.3883 -1.19349 -1.19071 -31.972 0.649923 -1.69596 -29.2205 -1.48371 -2.10959 -33.0121 -3.54782 -5.94678 -37.2643 -2.62945 -3.84982 -37.727 -0.860542 -1.69044 -37.1471 1.04997 0.243508 -29.1823 -0.512188 -2.61537 -32.9703 -1.44887 -6.92426 -37.375 -1.10055 -6.25877 -39.0219 -0.23004 -4.56911 -39.9632 1.06767 -2.33139 -28.4895 1.31444 -1.53013 -29.1853 1.3952 -2.93212 -32.492 1.66206 -2.47357 -35.1428 1.95058 -1.63151 -37.8078 0.218406 -0.71849 
